dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	0	I recently went to the doctor's to pick up my son's vaccination records. My son is currently living overseas and I needed this information to determine which vaccinations are now  due. He looked at the record, highlighted some stuff and just threw the card back at me. When I asked him to clarify he just walked away and ignored me. I then asked the receptionist who was very kind to help me and when he heard this,he began shouting for her to ignore me and not answer my questions. Very unprofessional. I would definitely not recommend. 	5	2	2	4 	Insurance:Unknown
2	1	friendly, knowledgable,thorough.   worst part - difficult to get appointment with her 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Awesome Doctor. I have recommended her to a few family memebers.  	5	4	5	5 	Insurance:Oxford
2	1	I have recommended her to friends. Very helpful, caring and profesional. 	4	4	5	4 	Insurance:Unknown
2	1	Very helpful, kind and friendly doctor. Accurately diagnozed a condition that 3 other doctors just wrote off to stress and overreacting. I was finally able to feel better after receiving appropriate treatment.  Highly recommended! 		5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	Went to Dr MacDonnell beacause my primary Dr wasn't helping me...Dr MacDonnell saw my lab tests and right away saw what was causing my problem and corrected it...I felt that I could talk to her and she listened. She was very helpful. I am now taking natural meds and feel much better. 	3	4	5	5 	Insurance:Unknown
3	1	I've only seen Dr.MacDonnell once, just because she meets with all her new patients at least once.  I changed to this office to see her PA, Jackie McMurray, who is absolutely amazing.  I wasn't unhappy the time I met with the doctor, the staff is prompt and competent in general, but punctuality is hit or miss.  	5	3	4	4 	Insurance:Blue Cross / Blue Shield
3	-1	I cannot believe that Dr. Diane MacDonnell in Glens Falls, NY practices under the title of &quot;Holistic Medicine&quot; (advertises as integrative medicine). She is one of the most inefficient and unprofessional doctors I have ever met, and was far from holistic in her approach. Terrible bedside manner, never even listened to my heartbeat though I was feeling very ill during the visit. I complained of feeling faint and she did not even feel my pulse. She did nothing but stare at the lab work results. She offered zero understanding of my symptoms and asked very few questions to help clarify what was going on. It seemed like the visit was a great imposition to her. I was soon rushed out after this very brief visit (though I waited 6 weeks for the appointment) and given no feedback about my condition. I requested copies of all my labs and they never even sent them to me. I DO NOT recommend this doctor.  	3	4	1	1 	Insurance:Blue Cross / Blue Shield
4	1	Dr. Macaluso was extremely helpful in pulling me out of a very difficult time in my life. She gave me tools I could use to be strong and cope well. I am a better and happier person because of her support. I learned a lot from her and am grateful for her unwavering care about me. I feel good about myself and feel effective when dealing with others because of my therapy with her.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	1	Excellent experience and help. definitely recommend.  	4	5	5	5 	Insurance:CIGNA
5	1	great interview and exam. Hit the diagnosis on the head within half hour.  	5	5	5	5 	Insurance:HIP
5	1	GREAT DOCTOR. REALLY LISTENED TO WHAT I HAD TO SAY.  	4	4	5	5 	Insurance:Oxford
5	1	Dr. Macaluso is one of the best. He spends time with you and is a wonderful doctor. 	4	4	5	5 	Insurance:Unknown
6	-1	WORST ORTHOPEDIC SURGEON IN WESTCHESTER, NY!: Dr. Magill performed an arthroscopic repair of my right knee at the end of 2005. He took out WAY TOO MUCH CARTILAGE!! Four and half years later in June of 2010, I returned because the knee was starting to bother me badly again and I wanted a renewal of my handicapped parking permit. He took x-rays but said the knee was stable and thus no new permit. Four months after that, I returned to my original Orthopedic surgeon who looked at the SAME X-RAYS and said I needed a TOTAL KNEE REPLACEMENT ASAP!!!! (I had no cartilage left and it was bone on bone which is very painful!!) HOW COULD MAGILL MISS THIS ONE&#63;!!!! He never looks a patient in the eye, the wait time to see him at any visit was always at least TWO HOURS, and his front office staff was extremely rude to me. Since I switched back to my original Orthopedic surgeon, I got the best care possible. STAY AWAY FROM DR.  MAGILL! - HE'S TROUBLE!!! 	1	1	1	1 	Insurance:Blue Cross / Blue Shield
7	1	Dr Maggio has been my family's doctor for 20-years and he is the best doctor I have ever had. He is very knowledgeable and always spends enough time to make sure that he understands my issues and to give me enough information and options if necessary. He is very friendly and personable. 	 5/23/12	5	4	5	Insurance:Unknown
7	0	Cannot get in to see the doctor. Nurse practitioners are nice but do not diagnose correctly.. (which lead to an emergency room visit later). The doctor seems to actually avoid meeting with (some&#63;) patients. Interestingly, even at times when we were told that he was totally overwhelmed with patients and could not see us, the waiting room was almost empty except for us!! One time, when we had scheduled an appointment with HIM (in fact, I was told that we would he would be able to spend a good amount of time with us), we first met with the nurse practitioner and then were told that the doctor was too busy to even poke his head in the room!!  This has never happened to me in my life!  I don't see the point of choosing a doctor if one never sees the doctor... even when the situation is acute!! The one time I did meet him, he seemed competent and caring - just wish he would actually meet with his patients more often. 	1	1	1	4 	Insurance:Unknown
7	0	Rarely see the dr unless for a physical. have been there for many years and pretty much always see only the np's. Np's are nice but not very knowledgeable. the check in staff is rude.  	1	3	3	3 	Insurance:Blue Cross / Blue Shield
