dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	very caring about her patients and follow up after my child when he  was really sick. i will recommended anybody to dee her for their child 	3	5	5	5 	Insurance:Unknown
2	1	After suffering for weeks and finally finding out about Dr. O - it was only two weeks between first fist, and fixing the problem.  Very knowledgable, makes you feel at ease. 	5	4	5	5 	Insurance:Unknown
2	1	I used him several times and was pleased with his treatment until my last time.  He suddenly stopped taking any insurance and I had to pay cash for a diagnosis that turned out to be WRONG AND THEN COST ME 75.00 FOR A BRACE THAT WAS NOT NEEDED. 	4	2	4	4 	Insurance:Unknown
3	1	An amazing staff and doctor...I would go to nobody else...very dedicated and caring! 	5	5	5	5 	Insurance:Unknown
3	1	Absolutely awsome 	4	3	5	5 	Insurance:Unknown
4	-1	solution he recommended to fix my TMJ was that I take muscle relaxers every night. 	3	1	1	2 	Insurance:Unknown
5	1	She has been my oncologist for one year and I am 100 percent satisfied.  She is a beautiful person and great doctor. She is up to date on everything.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
5	1	She is a wonderful, supportive doctor. I am grateful for all that she does for me.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
6	1	very caring..accessable..knowledgeable and never afraid to refer his patients. His appointments are on time. Often calls his patients direct.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
6	1	A wonderfully caring,thorough and talented physician who listens to what his patients have to say and always takes the time to answer questions.He even checks voicemail while on vacation and responds to patients, and he'll refer patients to other specialists when he believes they'll be of help. 	5	5	5	5 	Insurance:Unknown
7	1	Dr. Dennis O'Conner is a brilliant, middle-aged family physician. He has solved my problems with GERD, high cholesterol, depression, and other minor medical needs. He is particularly interested in avoiding illness; his talents in the area of preventative medicine are superb. I am on an exercise program, a cancer-watch program, heart-health monitoring, and find consultations with him to be very cordial and solution-based. Above all, Dr. O'Conner is up-to-date and he practices what he preaches: He recently ran a marathon! He is an incredible find in this small community. It is no surprise that he is the director of the local hospital.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
8	1	Mary O'Connor is the most helpful, knowledgable and professional therapist I have ever visited.  I am 48 years old and have been in therapy off and on since my 20s.  She has helped me, and continues to help me, enormously.  She offers concrete advice.  I never feel as though she is drifting or just &quot;marking time&quot; through our sessions.  She has consistently offered me tools with which to help me cope with life's various difficulties.  She has never been condescending, or insulting, or cruel, or unjust.  She listens patiently. She is always 100% &quot;there&quot; in our sessions.  KNowing that all therapists are not a match for all people, I would wholeheartedly recommend her.  I am grateful to have found her.  	3	3	5	5 	Insurance:Blue Cross / Blue Shield
8	-1	Do not go to this provider for a divorce action evaluation! She is known to be &quot;in the pocket&quot; of a local law firm who always insists that she be used. She is clearly partial and should be avoided. 	3	3	1	1 	Insurance:Unknown
8	1	I had approximately 30 visits with Dr.O'Connor. During this time she helped me with overwhelming personal and family problems. I am happy to say that with her help, I have solved many of these issues and with the tools she has given me, I am confident I can deal with those that remain. I always felt very safe to express myself without any fear of judgement. She is an excellent listener! I have been to other psychologists and she really is the best.  I can highly recommend her, especially if you come prepared to make the changes necessary to live your life authentically 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
8	1	Dr. O'Connor made me comfortable from my very first visit.  She was knowledgeable about my medication and suggested a change which made a huge difference.  She offered a different perspective to me which helped me see that I could get past issues I had carried with me for years.  She helped me improve my daily life, my work life, all of my relationships.  She basically empowered me to control my life and how I react to it.  I have to say that seeing her improved my life 100%.  I feel freer and more able to enjoy myself than I ever have.  I would highly recommend her to anyone. 	5	5	5	5 	Insurance:Unknown
8	-1	This doctor did a forensic evaluation for custody of my 3 children.she was chosen and paid for by my ex.-I later found out she is on a father's rights list.she diagnosed me with narcissitic personality disorder, without any tests or evidence.my ex abused me with this for months until i finally had another administer the mmpi-this psychologist found me normal.  she also said i was alienating my children, though she forgot to ask the children about their fahters abuse to me-domestic violence is important. she neglected to report my sons disclosure of sexual abuse by his father. she is a mandated reporter! whether she believed him or not! now after a gruelling trial, that she didn't want to testify in, i was forced to settle with a joint custody agreement. since then he has abused me on the email based on her dignosis, and my son has developed depression and adjustment disorder 	1	1	1	1 	Insurance:Unknown
8	1	Dr. O'Connor has helped me for over 2 years now, and continues to help me solve multiple issues.  She is head and shoulders above any other provider I've been to.  I have recommended others to her who have been extremely satisfied also.  I would highly recommend her. 	5	5	5	5 	Insurance:Unknown
8	1	We would NOT have made it if we (my family) did not have Dr.O'Connor...SHE went above and beyond to help us..aways right on with her counsel! Can't Thank You enough.  Even recommended her to friends and they are very happy :) 	5	4	5	5 	Insurance:Blue Cross / Blue Shield
8	1	Doc O'Connor has always seemed to be a diligent and caring shrink. It seemed as she genuinely cared about my concerns and problems for all of the time I went to see her. I couldn't be where I am now without her counseling.  	5	4	4	5 	Insurance:Blue Cross / Blue Shield
8	-1	I was in abuse situation and she did not call back until I called twice. Was late for appointment. 2nd appointment with husband she never showed up.  	1	1	1	3 	Insurance:Blue Cross / Blue Shield
8	1	I have been seeing Dr. O'Connor since January 2009 and fine her most helpful, non critical or judgmental and I look forward to my appointments with her. 	5	5	5	5 	Insurance:Unknown
8	0	Horrible.  Don't go see this woman.  She'll make you feel worse than before you came to see her. 	3	3	2	3 	Insurance:Unknown
9	1	I had my first visit with Dr Oconnor for hemorrhoids and found her to be a wonderful Dr..I was very nervous about the visit because I had a painful inflamation. We first spoke in her office about my symptoms and after our talk I felt more relaxed about the exam.The examination was not painful at all she was very gentle and concerned for my comfort. We then went back to her office and reviewed my condition and diet. She explained everything to me about my condition and recomended the most conservative treatment. I have total confidence  in Dr. O Connor and recomend her highly. She makes you feel comfortable when dealing with hemorrhoid treatment that you might be putting off because of fear. As far as not running on time she said sorry for the wait but she did not rush my appointment. I left the office feeling confident knowing I can finally deal with this condition i have been putting for a long time.  	5	4	5	5 	Insurance:Oxford
9	0	I went to see Dr O'Connor because I have hemorrhoids. She seems like a nice woman, and her staff is pleasant.  This was my first experience with this type of exam so I knew nothing. I assumed there would be an internal part of it, but did not expect it to be so painful. Just how painful it was going to be and how the procedure was going to take place was not explained until I was in the exam room, and even than only when the Dr. came in and began the procedure. The internal part of the exam was done abrutply and forcefully.  Once with her finger, than again with a probe!  I can't imagine why this exam has to be done so forcefully. I have spoke to my general MD who also agreed that was not necessary, and recommended me to another surgen who is more gentle. I will not go back to her because I know what I'm in for.  I'm suppose to do this 2/3 more times to have the internals removed. Sorry but...  NOT! 	3	3	3	2 	Insurance:Blue Cross / Blue Shield
10	1	Dr. Edna Ohebshalom is very competent, professional and caring.  I would definitely recommend her.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
11	1	Dr. O'Brien is absolutely superb. A brilliant, compassionate doctor, with deep empathy for his patients. His man is an extraordinary credit to his profession. 	5	5	5	5 	Insurance:Unknown
11	1	Dr. O'Brien is the BEST.  My Dad got sick out of state and he stepped up and made sure everything was taken care of and now he does the same for me.  His office is a run like a well oiled machine.  Very attentative, professional, and knowledgeable.  He is so patient with you and not only treats you, but teaches you.  I thank God daily for this man!!  You can tell that he loves what he does.  I have even been treated by his students and the respect they give him is admirable.  I like that he keeps in touch with my other dr's to make sure everything is in synch.  Appts are easy to make and not far off.  Testing is always convenient and prompt.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
11	1	A brilliant, caring, responsive, excellent diagnostician, prognostician. Returns patient phone calls in a very timely manner. A dedicated physician who listens to and cares about what his patients have to say. His office is very well run via the latest and most efficient computer technology, as are all the doctors and medical teams at NYU Medical Center. He is a wonderful doctor and a superb human being.  		5	5	5 	Insurance:United Healthcare
