dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	 Caring and compassionate and knowledgeable.  Not only a great acupuncturist, but knowledgeable about nutrition and helpful exercises to strengthen help ease the pain.   Great bedside manner too! 	5	5	5	5	Insurance:CIGNAPaid/Co-pay:$35
1	1	 Dr. Annie Qu is one of the most helpful and compassionate doctors that I have ever met. She is continuously researching and always shares her information with her patients and offers so much expertise and insight into so many different illnesses. I truly thank God for finging her.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
1	1	.  she is very nice and knowledgeable and spent time explaining everything 	5	5	5	5	Insurance:Blue Cross / Blue Shield
1	1	commentsExtremely profession in knowledge and application. This was my first ever acupuncture treatment. The Dr relived an extremely painful condition with my back locked, when Chiropractic and physical therapy were unsuccessful, Have recommended her to several others. 	4	5	5	5	Insurance:Unknown
1	1	 Professional, caring, highly experienced Acupuncturist.  	5	5	5	5	Insurance:CIGNA
1	-1	commentsunprofessional 	1	1	1	1	Insurance:Unknown
11	1	 She is a great doc and i highly recommend her ! she does both medical check up as well as woman's GYN exam and STD test , she even drew blood samples in her office and save me extra trip to the lab .  	5	5	5	5	Insurance:Blue Cross / Blue Shield
11	-1	 she was very rude and almost rushed me through my physical check section. The worse doctor I've ever went to.  	1	1	2	2	Insurance:CIGNA
11	-1	 Works only part time, so if you need immediate attention, find someone else.  Often rude, and does not follow up effectively with patients.  You will have to call her and hound her for your test results, and even then she treats you rudely for calling to ask about them.  She waited over 3 weeks to inform me of unusual test results.  Only plus is that when she is working, she'll see you punctually.  	2	4	2	2	Insurance:United Healthcare
20	1	.  He is a wonderful doctor! 	5	5	5	5	Insurance:Medicaid / Medi-Cal
23	1	 he listened, the wait was kind of long. he did what i needed him to. he checked me completely.  	5	4	4	4	Insurance:Medicaid / Medi-Cal
23	1	commentsHe was quite late to his appt with me which is quite off putting.  I also had to wait a considerable amount of time for him to return after my test was complete.  He also is not much of a talker and most definitely doesn't have a friendly disposition.  I was hopin my experience would have been better with him.  I felt quite unimportant when we first met, like oh, this patient is only here for allergies, probably just a hypocondriac because I was not having strong symptoms that day.  He cut me off a few times as I was explaining myself.  He seems to be rather knowledgable but not compassionate at all.  I prefer my health care providers to be more personable with a warmer fuzzier feeling. 	4	1	4	5	Insurance:Unknown
23	0	 It is hard to tell if this doctor is truly good or not. He relies upon x-ray reports from Borg Imaging, no looking at them himself. He really does not listen to the patient.  He missed a very crooked &amp; swollen thumb and had to rely upon Borg report.  When the observations did not agree with report, he said nothing and offered no opinion. Much of my data &amp; testing doesn't add up and doesn't match what my primary care physician suggested might be the problem, and he offers no real opinion as to why or what might be going on.  I was an EMT for 25 years, have had multiple orthopedic surgeries on joints, and have had excellent doctors in the past. I have had numerous dealings with various doctors (for my parents) and have seen both good and bad.  I have not seen anything amazing from this doctor to warrant great reports, but I have not seen anything agregiously wrong either.  If  you are looking for some pills to relieve your aches, he is probably okay.  Anything more complex, find another.  	5	1	3	3	Insurance:MVP Health
23	-1	commentsThe staff members were VERY friendly. The office was neat and clean. That is where the positive experience ended. Very long wait time, over 2 hours for the first appointment. When he finally came into the exam room, the appointment was interrupted by a knock on the door and he left and went to another exam room. Total he spent less than a half hour with me. I think this is unacceptable for a consultation appointment. He does NOT listen. Does NOT want to hear about healthy history. Very disappointed in my experience. 	5	1	1	3	Insurance:Unknown
