dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
4	-1	 Staff is rude and misstates what a patient was told.  Doctor will order tests and procedures that are not necessary and that in some cases are harmful to patient.  	1	2	2	2	Insurance:Blue Cross / Blue Shield
6	1	commentsThis doctor provides excellent care to his patients and is genuinely concerned that they receive proper treatment. He is willing to allot as much time as is necessary to patients' needs and concerns. And, his staff is so friendly! They were always quite helpful over the phone and in the office. 	5	4	5	5	Insurance:Unknown
8	1	 Dr. Damani has a great staff &amp; is very punctual. He advised me to have a lithotripsy; I had two done. The first time I had a bad experience with the hospital tech so Dr. Damani personally handled the second one. I appreciated his professionalism at all times &amp; his bedside manner is great. I highly recommend this doctor.  	5	5	5	5	Insurance:United Healthcare
8	1	 Dr. Damani was incredibly responsive and engaging.  He performed a procedure that was fairly amazing, taking out my kidney that had 3.5 liters of fluid trapped.  Exceptional Doctor and I highly recommend his work.  	5	5	5	5	Insurance:Anthem
8	-1	commentshe rushed me and didnt listen to my problem and wasnt helpful at all waste of time 	4	4	1	2	Insurance:Unknown
8	-1	commentsI did not have a good experience with Dr. Damani.  I explained my problem but I felt like he wasn't really hearing me.  He jumped to too many conclusions and made assumptions that were not true.  And once he determined my problem was not serious, he did not seem interested in any more questions.  I will not see him again. 	3	4	1	2	Insurance:Unknown
8	1	commentsI had a reversal done by Dr. Damani. The procedure was successful. The procedure was done mid Feb. within 2 months my wife and I are expecting a child. Highly recommended for reversal. 	5	5	5	5	Insurance:Unknown
10	1	 Very punctual, friendly staff, very helpful-  no complaints.  	5	5	5	5	Insurance:Aetna
10	1	 I have the highest respect for Dr. Dair.  He is extremely knowledgeable, thorough and patient.  I hold Dr. Dair in the highest regard.  	5	5	5	5	Insurance:Anthem
11	1	.  Knowlegeable gentleman, one of the best physicians I have ever encountered 	5	5	5	5	Insurance:United Healthcare
19	-1	commentsdoesnot listen to patients view of how they feel also wont help send to other drs over and over 	1	1	1	1	Insurance:Unknown
20	1	commentsReally an expert in his field, helpful and reassuring 		4	5	5	Insurance:Unknown
20	-1	.   		5	1	1	Insurance:Blue Cross / Blue Shield
24	0	 Dr. Dailey's secretary is extremely rude and unprofessional.  As for Dr. Dailey himself, he often looks disheveled and doesn't show any signs of real concern for his patients. I would highly recommend someone else.  	1	1	3	3	Insurance:Blue Cross / Blue Shield
24	-1	 MIDDLE AGE WOMEN WITH SEVERAL CRONIC PROBLEMS. Dr dailey was cold unconcerned, kept his back turned to me typing on his laptop. I questioned a need for blood work due to thyroid issue he said no although I am on a medication for thyroid and had not been tested in 7 months&#63;&#63; Did I mention I was a new patient&#63; He has no compassion or bedside manor.  	2	2	1	3	Insurance:Humana
24	0	 I was hospitialized.   Nursing staff paged Dr. Daily numerous times and even called his office, but he failed to respond.  The issue was time-sensitive, so another physician had to be called.  Aside from poor service, he needs to learn how to be friendly.  A smile never hurt anyone.  	1	1	2	3	Insurance:Blue Cross / Blue Shield
24	1	commentsYou will not find a finer physician that Dr. Dailey! 	5	4	5	5	Insurance:Unknown
26	1	 Dr. Damico and Scott His PA Saved my life. 1 was 21 years old when i was diagnosed with lung cancer. they removed part of my left lung and i couldnt be healthier today.  I am only 22 now and going through something like this has been very hard, but Damico has been amazing! his support, encouagement, love, and most of all his knowledge is amazing!!! he is one of the best thats for sure!! 	5	5	5	5	Insurance:Blue Cross / Blue Shield
26	1	 Comlicated surgery in 1999.  Go back once a year for checkups.  Would not be around today if not for Dr. D'Amico and his staff.  He is a busy person always give you as much time as you need.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
26	1	 i was hospitalized 3 times for surgeries performed by Dr. D'Amico, at DUMC.  he & his residents, and nurses, as directed by him, were excellent in quality of care and knowledge. i was followed up in his clinic for 5 years, and i don't believe i could have had a better doctor for the treatment given me, by Dr. D'Amico.  	4	4	5	5	Insurance:United HealthcarePaid/Co-pay:$12000
