dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	commentsA wonderful caring Doctor 	3	5	5	5	Insurance:Unknown
8	1	commentsHis current office (Piedmont Plastic and Dermatology) keeps him too busy to give patients all the attention he would like. 	4	5	5	5	Insurance:Unknown
8	1	commentsGreat experience.  Wonderful doctor. 	5	5	5	5	Insurance:Unknown
12	-1	 First off, they wanted the entire cost of delivery up front.  The receptionist was rude belittling when I refuse to pay up front.  The doctor told me I was going to have 8lb baby she was 10 lbs. When I delivered her I almost died and lost alot of blood.  He answered his page at the last moment and was laughing about me being in the amount of pain I was in and gave me no pain meds!! The reason he showed up so late...Golfing. His nurse told me.  See at your own risk!! 	1	1	1	1	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
17	1	 Maria is a wonderful internist with a great sense of Humor. She's very interested in what you have to say. She takes a lot of notes. She sets you at ease because you can joke around with her like a normal person. I find female Dr's listen &amp; communicate better then their male counterparts. I have many health problems if I need to see my specialist she will tell me so.  	4	4	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
17	-1	 She DOES NOT LISTEN to your real issues, just writes Rx and pawns you off to other docs.  DOES NOT LISTEN! Do not waste your time! 	3	4	1	2	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
17	1	 VERY GOOD DR PAYS ATTENTION TO YOU WHEN YOU TALK.  	4	4	4	5	Insurance:United HealthcarePaid/Co-pay:N/A
18	0	 This review goes back a few years but is still worth sharing. I was extremely sick, in and out of the hospital. Dr. Faber performed test for gall bladder issues which confirmed my gall bladder had gone sour and was poisoning my body. The only problem&#63; His office forgot to call me. I called a month or so later after a seperate doctor had asked what information (if any) were revealed by the test. The call to his office was rather interesting. I had to have emergency surgery to remove my very sour gallbladder. Luckily everything turned out fine for me.  Dr Faber is a kind doctor with a good bedside manner but hopefully since this incident, he has gotten better protocols in place to ensure that important information doesn't slip through the cracks.  	3	3	3	3	Insurance:AetnaPaid/Co-pay:N/A
18	-1	commentsDr Faber refused to send my colonoscopy pictures to second and third opinion doctors.  I would not use Dr Faber for this reason.  Pictures are patients property but dr faber does not understnand this consept. 	1	2	1	3	Insurance:Unknown
20	1	commentsWonderful ob for a first-time mom. She takes all of your concerns very seriously, and can put your mind at ease without being demeaning. A very sensitive, caring doctor! 	5	4	4	4	Insurance:Unknown
23	-1	 SHOULD BE PUT OUT OF BUSINESS    DOES NOT CARE ABOUT THE  PATIENT.   MANY HAVE COMPLAINED  AND LEFT THIS MAN 	1	1	1	1	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
23	-1	.   	5	1	2	1	Insurance:TricarePaid/Co-pay:N/A
26	1	commentsVery friendly, knowledgeable and punctual. Possibly the most down-to-earth doctor I've ever had the pleasure of seeing. Wants better for the community. 		5	5	5	Insurance:Unknown
37	1	 Listens well, easy to talk too and very well informed.  	4	4	5	5	Insurance:AetnaPaid/Co-pay:N/A
44	1	 Dr. Fair is an excellent doctor.  She delivered my daughter by c-section and then several years later she was my surgeron for my hysterectomy.  She is a very kind doctor and I truly believe that she really cares about her patients.  She listened to all of my concerns before and after my surgeries and I believe that I received the best possible care.  I would recommend her to anyone looking for an excellent doctor.  	5	4	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
44	-1	commentsI would STAY AWAY from this so called doctor. She is the WORST in her field. I wouldnt send my dog to her. She is non-professional. When my nephew was born, she walked right into the room, coughed in her hand and stuck them in gloves, she never once washed her hands. My sister end up with an infection from Dr. Fair. Then on another note, my mom went in for a total hysterectomy and her file even said she had a total Hysterectomy, well she was still having pains (years later)my mom went to another doctor and the doc discovered that she still had all her parts. Dr. Fair DIDN'T do as she said. Now my mom has to go back into surgery and have a cyst removed that has spread all over from one side to the other. If you want to stay healthy and not feel like you are a piece of meat for her to chop on. I WOULD STAY AWAY FROM HER..... 	2	2	1	1	Insurance:Unknown
44	-1	 Problems thinking outside the box when it comes to health problems. Argued about past comments from the previous visit. Was amazed that a female doctor was not more understanding of emotional effect of female health problems.  	3	3	2	2	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
44	1	 Always willing to answer questions/concerns. Able to work me in short notice.  Love everyone who works there!!! 		4	4	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
54	1	comments 	5	5	5	5	Insurance:Unknown
55	1	 I was extremely please with Dr. Fajenbaum- when he finally was able to see me.  He was an hour late for my appointment, but they said another doctor called in that day so it wasn't really his fault.  The only complaint that I have is that his office staff are VERY rude and unprofessional.  All 3 of them were on their cell phones while I was waiting to be helped- they looked and saw me waiting and continued to have their personal conversations while I waited and acted as if I was bothering them.  	1	1	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
55	1	 Dr. Fajgenbaum is an excellent doctor!  Would not see anyone else ever for orthopedics. He is very friendly and knowledgable and takes the time to clearly explain everything.   My only complaint would be with his front office staff.  They are not friendly AT ALL.  It took 5 months for me to get a refund back that they acknowledged I was due.  I really had to stay on top of them to get it.  But it is worth dealing with them to see Dr. Fajgenbaum.  	3	5	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
55	1	 Dr.  Fajgenbaum is an excellent listener and a great doctor! 	5	5	5	5	Insurance:United HealthcarePaid/Co-pay:$15
58	1	 She is one of the most caring, compassionate, knowledgeable, and forthright doctors I have ever known.  She explains and informs all detail and answers all your concerns. You can expect to get the same treatment each time. Yes, you wait but this is why - she spends the time necessary.  	5	3	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
58	1	 you do have to wait a little but she does have emergencys sometimes. she is great and performed surgury on my mom and was very knowledgeable had great bed side manners and gave us all the info and time we needed to discuss surgury.  She is Great!!! 	5	3	5	5	Insurance:TricarePaid/Co-pay:N/A
58	1	 I would wait for this doctor all day if that is what it took to see her.......there is no explanation needed for long waits.......when you are with her you are the only patient she has and she is never in a hurry to get you out.......she is the best in every way.... would recommend her to anyone for anything! 		3	5	5	Insurance:N/APaid/Co-pay:$27500
58	1	commentsShe is very knowlegable and has excellent bedside manner. She, however, is never on time. Sometimes up to two hours behind schedule with no explanation. 		1	4	4	Insurance:Unknown
59	1	 Dr. Falge initially gave me the best physcial I ever had. And subsequent visits have been characterized by lots of information from him. Although he does seem somewhat reluctant to provide referrals for diagnostic test at the VA facilities, overall I am confident of his treatment and advice.  	4	4	3	4	Insurance:Veterans AdministrationPaid/Co-pay:N/A
59	0	comments 	4	2	2	4	Insurance:Unknown
