dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	0	This eye doctor seems to be interested only in money.  I had nothing but trouble w/the glasses that he provided and, when I had to go from no-line to &quot;flat top&quot; bifocals, he would not refund the difference.  Even after receiving the flat tops, I had nothing but trouble.  Spent 4 months running to his office for &quot;service.&quot; 	2	3	2	3 	Insurance:Unknown
2	1	Excellent doctor, we used him when he was in NJ...he is the best.  	4	4	5	5 	Insurance:Blue Cross / Blue Shield
3	-1	Told me I only have bronchitis when I was on the verge of developing pneumonia instead. I had to go to the ER after seeing him. He treated me like a moron and didn't listen to me, which resulted in a wrong diagnosis. If I would have listened to him, I would have pneumonia and my life would be at risk. Having had asthma since childhood I know when something more is going on and there has to be some sort of exchange, but Dr. Kennedy dismissed my claims of certain medications and their effectiveness and refused to follow a standard course of treatment. What could happen to someone who trusts his wrong diagnosis and just goes home&#63; Don't trust him whatever you do.  	5	5	1	1 	Insurance:Blue Cross / Blue Shield
4	1	Biological dentist 	5	5	5	5 	Insurance:Unknown
5	-1	He is arrogant and not the nicest guy in the world.  He even posted a letter to the editor in the N&O; saying how he hates Obama and doesn't want to serve poor elderly people on Medicare.  Shameful!  Go somewhere else. 	1	1	1	1 	Insurance:Unknown
5	-1	There is another urgent care facility about 2 miles west of this clinic on Hwy. 70. It is absolutely worth bypassing Rapid Response clinic & driving the extra distance. Regardless of what kind of illness you may have and what meds. work well for you, this doctor does NOT care. You will get a script for whatever he feels like writing and you WILL like it. Even if you tell him that you've been prescribed that particular drug previously and you did not have good results, to him, it doesn't matter. Dr. Keith has to be one of the most arrogant, rude &quot;professionals&quot; I've ever met. If you ever feel that you need to be talked down to, well I'm sure he can find the time. The parking lot at his clinic is usually empty,(I now know why) parking is no problem. Honestly this guy's so full of himself, it's a wonder his doors are still open. Please don't waste your valuable money and time. Go a little further down the road to a dr. that listens to what you have to say that really cares about patients. 	2	4	1	2 	Insurance:Unknown
6	1	Awesome, always on time, very good with children.  Excellent doctor.  	5	5	5	5 	Insurance:Banner Health
6	1	Extremely knowledgeable, excellent with children.  Very intelligent.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
6	-1	Never on time,poor service and doesn't do test that should be done.Keeps the elderly waiting for hours to see him 	1	1	1	1 	Insurance:Unknown
7	1	love this man, he has helped my child with ear infections, would highly recommend this kind of treatment to parents with a miserable child in pain. also Brian suggests to align a child at birth, and yes with my next baby i will do that. 	4	5	5	5 	Insurance:Unknown
7	1	He was very professional and thorough.  		5	5	5 	Insurance:Blue Cross / Blue Shield
8	1	Being new to the area, it is Wonderful to find a Doctor like Dr. Kanelos. He is Genuinely Concerned with his Patients, taking his Time with each individual Patient, and making them feel Special. Additionally, his Nurses are very Friendly and Caring also. 	5	5	5	5 	Insurance:Unknown
8	1	Dr. Kanelos is a very down to earth man, which makes his patient interaction a real pleasure.  An excellent doctor who I'd recommend 100%! 		4	5	5 	Insurance:United Healthcare
8	1	We have always enjoyed and appreciated Dr. Kanelos as our family physician. He is very knowledgeable, helpful, and interested in our best overall health. We trust his wisdom and appreciate his personal interest in our health. We recommend Dr. Kanelos and Carolina Family Healthcare to everyone.  		5	5	5 	Insurance:United Healthcare
8	1	Fantastic bedside manner, great staff, and overall I was extremely satisfied.  		5	5	5 	Insurance:Blue Cross / Blue Shield
8	1	Great doctor, good nurses. Appointments always available 		5	5	5 	Insurance:Unknown
8	-1	During my visit I felt that I was treated poorly.I would NEVER recommend this doctor to my family and friends.  I felt this visit was a complete waste of time and money.Overall I would rate this visit : AWFUL! 		2	1	2 	Insurance:Unknown
8	1	 		4	5	4 	Insurance:Unknown
9	-1	Seems very rushed. Doesn't take but a few minutes with you, very impatient. If insurance allows fifteen minutes, then that is all she will give you. Then she pushes you out the door and suggest that you talk to a therapist instead. All she wants is money and to prescribe pills. She could care less about her patients.  	4	2	1	2 	Insurance:Blue Cross / Blue Shield
10	1	Are you sure you Jackweeds have the right doctor. This Dr. Kashyap is an endo doctor. 	4	4	4	4 	Insurance:Unknown
10	-1	Booksmart but no intelligence. Upon initial consult I mentioned I thought that my wife's fibroma may be an issue as it was not small. Was told there was no studies saying it would effect fertility. After two rounds of ivf and me bringing it up repeatedly, talked to three different specialists, all of whom read the same reports as Sonja and were astonished she disregarded the fibroma. They all mentioned that although no scientific study proved the fibroma was an issue, removal of the fibroma increased chances of conception 50-70%. She wanted us to try a third time before we left for other opinions. Also, constantly unprepared for our consults. 	4	1	1	1 	Insurance:Unknown
10	-1	 	2	3	1	1 	Insurance:Unknown
10	1	She is amazing doctor, We had a complicated case with our egg retrieval. My right ovary was in very bad location, but she somehow managed to aspirate all folliculars on both sides. Even more, she found more follies! Our original ultrasound count was 9 to 10 follies. She retrieved 15 eggs!!! She is a very good doctor. I would trust her 100 % 	5	5	5	5 	Insurance:Unknown
10	0	Doesn't know her patients and you feel like a number instead of a person.  You always have to remind her what stage you are at and what she last recommended.  Not just a one time occurrence.  Luckily everyone else at genesis is amazing, especially the nurses.  Her CV is impressive but she needs to improve her empathy and understanding of patients. 	5	4	3	3 	Insurance:Unknown
10	-1	Horrible doctor and VERY incompetent. Left me feeling that my prognosis was poor. Turned out she was wrong. I was left with a week of anxiety for nothing. Terrible doctor....stay away from her. I would not recommend Genesis, go to the place in Burnaby or UBC. I felt like i was always being rushed at genesis, unless of course i was making a payment. She is by far the worst doctor there. 	2	3	1	1 	Insurance:Unknown
10	-1	Has terrible interpersonal skills - was abrasive and seemed barely present. 	3	2	1	2 	Insurance:Unknown
10	-1	. needs to go back to school this is my life we are talking about i need someone who knows what they are doing! 	3	2	1	1 	Insurance:United Healthcare
10	-1	Everyone was scheduled for the same time. I thought I was going to learn something new and get better treatment but so far nothing has improved.  		1	2	2 	Insurance:Blue Cross / Blue Shield
11	-1	Avoid this arrogant idiot if you want to keep your intestines.He destroyed a family member of ours intestines because he didn't quit pushing the light when he couldn't get it to go on up and then his friend arrogant dr.robinson was called in and he put a bag on her side which didn't work and we had to call another Dr. in to  help her and then it got a little better thank the Lord. 	1	1	1	1 	Insurance:Unknown
12	1	Christian doctor and staff that really cares about their patients and making them at ease during appointments.  Love this place and would recommend to anyone.  Best around. 	5	5	5	5 	Insurance:Unknown
12	1	He is a great dentist and an even better man.  I highly recommend him to anyone. 	5	5	5	5 	Insurance:Unknown
12	1	Staff is great - Dr. Kemp is great - listens to what you have to say - if he doesn't know the answer - he or his staff will get back with you.  Runs appointments on time - expects same from the patient. 	5	5	5	5 	Insurance:Unknown
13	-1	He is terrible. Rude. Doesn't believe you. Laughs at u if you cry. Tells you that it is all in your head. 		3	1	1 	Insurance:Unknown
14	1	Dr K. is WONDERFUL! I'm a VERY anxious patient and he and his staff worked with me and did everything they could to make me as comfortable as possible. They even sat with me and went through pictures and xrays and explained EVERYTHING and made sure I knew everything I needed to know, especially for the next visit. It had been almost 8 years since my last cleaning and never was I belittled or scolded for waiting so long. Dr K welcomed me to the practice and promised to be as gentle as he could. His hygenist, Jill, was SO knowledgeable and kind. She even worked with the front desk to make sure that I knew how much my insurance covered and what exactly would be done when I came back. She also formulated a plan to help me get my teeth filled, then cleaned so I would be somewhat numb when she cleaned them and it wouldn't be painful. WONDERFUL place.  If you're looking for a new dentist, call them! you wont regret it!!! 	5	5	5	5 	Insurance:CIGNA
15	0	I thought she was condescending. I found another more amiable doctor. 	4	4	2	3 	Insurance:Unknown
15	1	VERY GOOD DR. ON TOP OF HER GAME.CAUGHT POSSIBLE PROBLEMS WITH MEDICATION I WAS TAKING AND NOTIFIED MY OTHER DR.,THEN WAS VERY KEEN ON TESTING AND KEEPING UP WITH FOLLOWING THROUGH TO MAKE SURE MY EYESIGHT REMAINED STABLE.I WOULD HIGHLY RECOMMEND. 	5	5	5	5 	Insurance:Unknown
16	0	I have worked with this physician, and must verify that my impression of his treatment of patients corresponds with the comments of the three persons having rated him to date. I would neither see him myself, nor refer anyone else to him. A doctor as rude and cold as he is cannot do justice to any patient's needs. 	3	3	2	4 	Insurance:Unknown
16	-1	Wow, the previous two people have really hit the nail on the head. Wife fell at work, seen at doc in the box then evac'd via ambulance to hospital on Thursday.  Doctor at hosp. very helpful and compassionate, gave wife powerful pain reliever. She was running out during weekend and saw this guy. Thorough exam, no bedside manner, told wife that med given was inappropriate.  I asked doc then if the other doc at hosp. didn't know what she was doing&#63;  He got defensive and matter of factly.  He told wife to take other meds at home that were prescribed for other conditions and was referring he to P.T.  That was it and no other meds. Wife in extreme pain I told doc that this was unacceptable and was told previous day that wife would be accomodated.  He arrogantly stated we were being accomodated and pulled out his prescription pad. Wife got script for a less powerful med which is fine. Not like we were shopping for narcs.  But this guy is NOT up to date on his prescribing regiments. Very rude.  	 4/4/09	3	2	1	Insurance:Workers Comp
