dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	Dr. Usadi provide an incorrect diagnosis. Her staff and hospital lost my labs twice. This caused a delay in starting iui cycles.Then she failed to complete a test and stated that some special procedure that cost a lot of money. I went to another specialist and they performed the test. this is horrible mistake for someone providing infertility care. This was not first visit at an infertility clinic. So I am aware of good service and practices. I would recommend finding another doctor.   Don't waste your money and precious time 	1	1	1	1 	Insurance:Blue Cross / Blue Shield
1	1	The Doctor is very Kind and very efficient.Very Professional and Explains everything.  We got postive Results under Dr's Treatment 	5	5	5	5 	Insurance:CIGNA
2	-1	A trip I wish I had never made. Old school, behind the times, unknowledgable, should retire. 	4	4	1	1 	Insurance:Unknown
3	1	. professional,caring 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	1	Thorough, kind and caring in his approach to his patients. 	5	5	5	5 	Insurance:Unknown
5	1	DR Urban is great in helping with pain managment .his staff are very friendly and nice to be around. thanks 	5	5	5	5 	Insurance:Unknown
6	-1	refuse to give me a week supply of blood pressure meds for a w2eek until my visit. Staff said he said I would have to wait until my appt. Appt was at one thirty got there at one eft at four fifty. This is not just this time but all the time. wrote wrong script just same as last visit and had to wait a extra hour and then another doctor came of front as I complain about time time and wrote on the script and put her emisonal. A patient over ten years and very dissatified with service I have receive for a while. Trying to fine good doctors in this area when you don't know who is who is hard very hard.  	2	1	1	2 	Insurance:Medicare
6	-1	Each time I have gone even with an appointment I am made to wait atleast 2 hours and then only see the doctor for a few minutes. They are not efficient effective or thorough in any way. Terrible that they are allowed to work this way.  	2	1	1	2 	Insurance:Tricare
6	-1	My husband had a horrible recurring back issue from an injury long ago. Unfortunately we never even got to see Dr Uba, but were seen by an extremely rude and unhelpful Physician's Assistant. We will never return to this practice based on her handling of the situation. Please note bad rating for staff does not include the receptionists and nurse, who were wonderful.  	1	3	1	1 	Insurance:Tricare
6	1	compassionate, caring, listens well and is very knowledgeable. 	5	5	5	5 	Insurance:Unknown
6	-1	This Dr. should have his licences taken. He is a poor example of a doctor and I hope his practice fail.  	2	2	1	2 	Insurance:Tricare
6	-1	This is thw worst treatment in North Carolina.  The staff is very unporfessional.  The wait is outragous.  The doctor has an oh well attitude. Don't waitget a professional doctor.  	1	1	1	2 	Insurance:Blue Cross / Blue Shield
6	-1	. unprofessional conduct / elusive when asking questions / staff is appalling / your time is considered not important / run, don't walk away from this so called doctor 	1	1	1	1 	Insurance:CIGNA
6	-1	This is the worst doctor I've ever seen. He is very rude and unprofessional. He should not be allowed to practice medicine, and needs to learn how to treat people with respect. I complained to him about chest pain and he never examined me and I left feeling worst than when I first arrived. He spent about three minutes with me before he rudely told me to leave. I would rather die before I let this doctor treat me again.  	3	1	1	2 	Insurance:Tricare
7	1	Dr underwood is very respectful and makes you feel totally comfortable. HE is also very personable. He never makes you feel like he is in a hurry and he has time to listen and answer all your questions.I was diagnosed with several things that could have been very scary but he handled everything very calmly and never upset me. They were treated and everything is under control. I am a nurse so I am used to dealing with physicians on a regular basis and he is an example of a great one. Does not have a superiority complex like some have.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
7	1	A wonderful doctor. Treated my husband and me for 17 years for asthma and LAM. We moved to WA and we miss him dearly. He always took time to listen to us. He treated us with respect and care. Also current on new treatments.  	5	5	5	5 	Insurance:Medicare
7	1	I feel that I am here today because of Dr. Underwood. I was diagnosed 3 1/2 years ago with lung cancer by Dr. Underwood and the care that I received and still receiving is absolutely top notch! He truly cares about his patients. 	5	5	5	5 	Insurance:Unknown
8	1	Dr. Usher is very knowledgeable and helpful. He has done an angioplasty, several stress tests and numerous checkups for me over several years. His manner is courteous and friendly without any arrogance or condescending behavior. He is also very accessible when required after hours. I recommend him highly.  	4	5	5	5 	Insurance:Blue Cross / Blue Shield
9	1	I am very happy with his services. He is very knowledgeable and gives the right medication at the right time to his patients. Highly recommended! 	5	5	5	5 	Insurance:Unknown
9	-1	needs to learn how to medicate properly 	5	1	1	1 	Insurance:Unknown
10	-1	Went to him for an unhealing spot on my daughters face.  He gave her cream and said it was harmless.  Got a second opinion and it was actually an aggressive form of basal cell carcinoma.  Surgery was required.  Dr. Uhlin did not take the spot seriously which turned out to be cancer.  	3	3	1	1 	Insurance:United Healthcare
11	1	. interested in the whole person well being 	5	5	5	5 	Insurance:CIGNA
12	1	The most skilled surgeon in Raleigh. Undeniably knowledgeable. Very caring and compassionate - you can feel his first priority in life is taking care of humanity. 	5	5	5	5 	Insurance:Unknown
