dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	DR.Bonnie Walker has been treating me for several years. I presented to her, bedridden with a serious and debilitating, illness. She has been excellent in the care of my illness. She has done whatever research needed in order to get me the best treatment plan possible. As I was so sick and couldn't care for many of my own needs, its taken years for me to heal. Yet, had I not had acupuncture, chiropractic, supplements , etc., I know that I would still be in bed. She has guided me, with such kindness, into a better quality of life.  She and her staff take extra care in the treatment of their patients. Always taking the attitude that patient care doesn't stop when you leave the office and that it begins when the phone is answered. Dr. Bonnie goes that extra mile, which is so rare, in health care today. I would highly recommend her to anyone in need or anyone who needs to just get back some of their lost energy and vitality. 	5	5	5	5 	Insurance:Unknown
1	1	Dr Bonnie is extremely thorough, knowledgeable and compassionate. She taught me more than I ever knew about my condition and resolved my problem quickly. She gave me lots of suggestions of diet and lifestyle practices I could do to keep myself healthy. She is the best all-around doctor of any kind I have ever been to! 	5	5	5	5 	Insurance:Unknown
2	-1	Arrogant...did not send  breast biopsy report to lab...resulting at least partially in undetected breast cancer.  Have heard others complain about his attitude. 	3	3	1	3 	Insurance:Unknown
3	1	Dr Wadon is a great Dr too be able to be seen by she is really onto her patents and there well being.She was the only Dr that took time out to help me when no other Dr could really find out what was wrong with me and I want to Thank her for that.  	5	5	5	5 	Insurance:Tricare
3	1	The best Neurosurgeon to ever live.  I think all of these other people are on steroids or need brain surgery because Dr. Wadon is wonderful. 	5	5	5	5 	Insurance:Unknown
3	1	I suddenly developed seizures and was diagnosed with a very large brain tumor.Dr Wadon removed my tumor and saved my life. Iam now disease free and no longer have seizures. I am very thankful for her tremendous skills and for the caring, compassionate care she provided for me.  	5	5	5	5 	Insurance:Medicare
3	1	Dr. Wadon operated on me for a ruptured aneurysm.I was very sick on life support and she saved me so I can now enjoy my life and my family. She is one of god's angels.I think those who slander her sound like drug addicts or drug dealers, as she is wonderful 	5	5	5	5 	Insurance:Unknown
3	-1	she is the worst and will not give any pain meds. after surgery and leaves you out in the cold. never even talked with family about what next to do.I am looking into sueing and now having to get another doctor to fix her mess upl 		1	1	1 	Insurance:Unknown
3	-1	TERRIBLE, I HAVE NO IDEA WHO WROTE THOSE OTHER RATINGS SAYING SHE CARES SHE IS TERRIBLE AND DOES NOT CARE ABOUT NOTHING BUT MONEY,SHE KNOWS SHE IS THE ONLY NEUROSURGEON IN THE AREA AND SHE LEAVES HER PATIENTS IN A MESS. I THINK SHE NEEDS TO RETIRE AND GET OUT OF THIS COUNTRY I AM HAVING TO FIND SOMEONE TO FIX HER MESS!!! 		1	1	1 	Insurance:Unknown
3	1	How do you rate someone who saved a life&#63; Can you put a value on it&#63; Our thanks to her and our deepest gratitude 		5	5	5 	Insurance:Unknown
3	1	Dr Wadon is the most personable, informative and kind doctor I have experienced. She performed carpal tunnel release surgery on both my hands and like the 1st person to comment, I too have no visible scars. Should I ever require head/brain surgery, she is the only surgeon in Fayetteville I would trust. 		4	5	5 	Insurance:Unknown
3	1	I had two surgeries with this MD and both times I was treated with respect and courtesy. My pain was kept under control and my follow-up care was excellent. I would recommend this MD to anyone. On top of that, I had virtually no scarring with such a small incision for carpal tunnel surgery. Usually your hand is cut from your wrist to your palm. This MD made a tiny cut along the natural line in my hand. Barely noticeable. 	 4/2/06		5	5	Insurance:Unknown
3	-1	she left me out in the cold basically all she did was mess up and if you need medication after her surgery you have to find a doctor who will prescribe it how can you preform a surgery and not give any medication and then not even come by and check on you in the hospital at all, she sends other doctors to check and make sure you are still sane from her wrath 		1	1	1 	Insurance:Unknown
4	1	Very wise and personable...very methodical and listens to parents.  Remembers patients and children love him.  	5	4	5	5 	Insurance:CIGNA
4	1	Great with the children and very thorough.  He takes every concern seriously.  He also writes things down for me and that little effort has helped me time and time again when the children are sick and I am trying to remember his instructions.  Great doc!  Thanks Dr.  Brad! 	5	4	5	5 	Insurance:CIGNA
5	1	Dr. Washington is a very great physician to have. Straight up with you as far as your condition. Very caring and understanding. I highly recommend him. The staff is just awesome been his patient for over 10 years... 	5	5	5	5 	Insurance:Unknown
5	1	 	5	5	5	5 	Insurance:Unknown
6	1	HE LISTENS AND CARES ABOUT YOU AND DOES NOT TRY TO MAKE DECISIONS NOT DISCUSSED WITH YOU FIRST 	5	5	5	5 	Insurance:Unknown
6	1	 	5	5	5	5 	Insurance:Unknown
7	-1	This man is a hack. He absolutely knows nothing about cancer and how to treat and operate for prostate cancer, which in effect caused my bladder cancer. It also had to be removed and took 8 hours to preform the procedure in order to correct what had been done previously and remove the bladder. I had to go to UNC at Chapel Hill in order to have problem corrected and my bladder removed.  	4	4	1	1 	Insurance:Blue Cross / Blue Shield
8	1	Very understanding, Well at answering questions. Not forceful towards a parents way of parenting. Would recommend him to anyone.  		5	5	5 	Insurance:Medicaid / Medi-Cal
9	1	Excellent Doctor and Staff. Had prostrate cancer and Dr Watson performed robotic surgery and took complete care of me.  	5	5	5	5 	Insurance:Medicare
9	1	new patient 	5	5	4	4 	Insurance:Unknown
10	1	Dr kyle is an amazing doctor! Hes personality is awesome!..and way of explaining the procedures are very helpful! I highly recommend him and his office! Thank you! 	5	5	5	5 	Insurance:Unknown
10	1	Dr. Kyle knows the body.  I was able to understand wht was done, his treatments are wonderful and I haven't had a headache in over 5 weeks 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
11	1	Takes the time to explain all treatments and medications.  Really listens to you and treats you as a person.  Does not stand with one hand on the doorknob.  Wise enough to know what is out of his field of expertise and recommends the appropriate physicians for your current condition.  	5	5	5	5 	Insurance:Medicare
12	1	.  	5	5	5	5 	Insurance:Medicaid / Medi-Cal
13	1	she is very very helpful and knowledgeable. she's not an M.D. but is a LNP so can offer all of the treatmetns an M.D. can.  She is very kind and patient and has always saved the day with my dermatology problems.  I would highly recommend seeing her for any skin care needs.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
14	1	Don’t be fooled by Dr. Walther’s boyish good looks, he is very thorough and he is very kind. He doesn’t rush you in and then out. He is a fabulous doctor! I highly recommend him.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
15	1	. Good doctor 	4	4	4	4 	Insurance:Blue Cross / Blue Shield
16	1	. Excellent doctor! I give him total credit with saving my life 	5	5	5	5 	Insurance:Medicare
16	1	Dr Wakefield has an excellent bed side manner. Very pleased with the surgery. And him saving my life.  	5	5	5	5 	Insurance:CIGNA
16	-1	doctor made declaration of my disease to staff after I told him not to. He sent my personal info to other doctors w/o my permission.his henchwoman called me &amp; put the blame on me.  	1	3	1	1 	Insurance:Medicare
17	-1	Might be good for routine office calls, but anything more serious, find another doctor. I know more people who experienced bad results once they got to the hospital with his advice. 	3	1	1	2 	Insurance:Unknown
17	-1	Dr. Warhaftig was the worst doctor I have ever been to. Very unprofessional. I asked him a question, which apparently he thought was dumb.  He laughed and sarcastically answered my question in a mean tone, which upset me greatly.  I will never come back to this doctor.  	1	1	1	1 	Insurance:AARP
17	1	The only bad thing I have to say about Dr. Warhaftig is that when you go to him expect to wait and wait and wait. BUT, that is because he is a popular doctor because of how good he is, and because he listens to his patients.  He is known to be too chatty sometimes, hence the waiting, but there has only been a handful of times where he has not given me a lot of time.  Normally, his jovial self comes in and you immediately feel better.  His personality is contagious.  He knows what he is doing and gets to know his patients very well -- in the sense of him basically knowing what I'm going to say before I say it.  He not only takes time to listen to patients concerns, but he gives his undivided attention (normally...like I said, he's a big talker!)  But still, I can talk with him about anything!!  He stays up-to-date on medical conditions and if something comes up (like my rare genetic disorder) that he isn't familiar with, he researches it while you are there in his office! 	3	1	5	5 	Insurance:Unknown
17	1	An awesome doctor.  Like others have said, he is funny, personable and listens to you.  Plus he's extremely bright and up-to-date on health matters.  I can't say good enough things about this guy.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
