dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Attentive and caring.  Actually takes time with his patients.  Rare in a psychiatrist.  	5	3	5	5 	Insurance:Blue Cross / Blue Shield
2	-1	Run very fast.  Do not let this so called dr. operate on you or your loved ones.  I wish I would have known about him first before he operated on my loved one. 	1	1	1	1 	Insurance:Unknown
2	-1	 	2	1	1	1 	Insurance:Unknown
2	1	I really liked Dr. Henry. He did my ACL surgery.  He was easy to talk to and seemed very knowledgeable.  I have since scheduled him to do my medial epichondilitis surgery.  I have complete confidence in him, and when I scheduled the surgery....I made sure it was him that I scheduled it with.  	4	4	5	5 	Insurance:Blue Cross / Blue Shield
2	-1	HE will not listen the person who he did surgery on he don't have a bedside maner he doesn't not want to listen what you have to have to say. he is always right even when you prove him wrong. 	3	1	1	1 	Insurance:Unknown
2	-1	This doctor is both arrogent and inexprienced which is a dangerous combination for a surgeon.  He is terrified to write any perscription and often attempts to get other doctors to do it for him as he is terrified of the DEA boggey man.  His standard of care is non-existent.  Avoid him if you can.  	4	2	1	1 	Insurance:Blue Cross / Blue Shield
3	1	Dr. Hummel is an amazing artist and attentive doctor.  He is kind and looks you right in the eyes.  His presence is calming and his staff if on top of everything.  Best dentist I have been to.  	5	5	5	5 	Insurance:HealthPartners
3	1	Dr. Hummel is the best dentist I've ever seen.  He treats every one of his patients special. I would highly recommend him to all ages.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	Dr. Hummel and his staff are the most professional, friendly, helpful, and competent individuals I have ever worked with.  The treatment and care given to my spuse was unparallel to any services dental or medical I have ever experienced.  I have the utmost respect for Dr. Hummel and his staff and will never forget the over and above treatment of my spouses needs, which are many.  We have recieved medical services from all over ND, MN, &amp; WIsconsin including Mayo Clinic and have never found more impressive professionals.  Thank you to Dr. Hummel and his staff.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	Dr. Hummel is the gentlest and most patient dentist I've ever gone to.  My 81 yr.  old Mother had quite a bit of work done and actually looks forward to going to her appointments! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	Dr. Hummel is always pleasant, efficient, kind, and charges fairly. I have no complaints about any of the work he has done for me. 	5	5	5	5 	Insurance:Unknown
3	1	After a bad experience with our old dentist, my daughter (5) was terrified of dentists.  Dr. Hummel and his staff were so gentle and kind that she now looks forward to appointments!  Even after having a couple of fillings, which I was scared would set her back, she still is very comfortable there and looks forward to going back.  We moved our entire family to Dr. Hummel and have had a fabulous experience there since then. 	5	5	5	5 	Insurance:Unknown
3	1	I have gone to Dr. Hummel for several fillings and a crown.  He was recommended to me by a friend of mine who is also his patient.  He and his staff are very friendly and competent.  He has done a good job numbing my teeth, and I haven't experienced any pain during the procedures (which wasn't the case with my last dentist).  He is very personable, and I would recommend him to others seeking a dentist.  	5	5	5	5 	Insurance:Aetna
4	1	I've been going to Dr. Howden for about three years.  He was the first doctor I've seen who was able to diagnosis (and successfully treat) my allergies.  Has a lot of common sense and very knowledgeable.  Really listens.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	1	great MD; sad the day he left Winnipeg (~20 years ago). 	5	5	5	5 	Insurance:Unknown
5	1	EXCELLENT! Very down to earth, personable, and knowledgeable. 	5	5	5	5 	Insurance:Unknown
5	1	Listens.  First doctor to help me with my weight.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
6	1	Dr. Honeycutt reconstructed my lower lip from a dog bite when she practiced in Paducah, KY in 1997.  Yes that was a long time ago, but I have never forgotten her caring ways and reassuring words in the Emergency Room that she could make me look normal again.  I will always be thankful for her help during a very scary time in my life.  She is an excellent doctor and a perfectionist at what she does. Thank you Dr. Honeycutt.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
6	1	 	4	4	4	3 	Insurance:Unknown
7	1	Dr. Harvey treated both of my children. What a fine gentleman and a fine orthodentist. I recommend him highly. 		5	5	5 	Insurance:Unknown
7	1	Great Orthodontist! Saw him for the 2 years I had braces as a teen. Very kind and funny man. Works in a nice facility and is very knowledgeable and professional. I recommend him especially for teens... he is really &quot;cool&quot;! NOTE: He is located in Moorhead- check the Yellow Pages. 		4	5	5 	Insurance:Unknown
8	1	Dr. Heringer is a perfectionist.  An expert at cosmetic dentistry 	5	5	5	5 	Insurance:Delta Dental
