dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Good Dr. - helpful - gave suggestions - willing to work with you on medications that cost too much by suggesting others that may work as well.  	5	4	4	5 	Insurance:Blue Cross / Blue Shield
2	-1	He was extremely rude and condescending to my father and browbeat him into having a catheter put in. My father did not need a catheter! He has NO positive bedside manner. His staff was just as rude.  	 4/20/11	1	2	1	Insurance:Medicare
2	1	Good communications and bedside manor.  Very pleasant.  	4	5	5	5 	Insurance:Medicare
2	-1	His bedside manner was very rude.  Didn't attempt to answer my questions.  Made me feel like I knew nothing.  Didn't explain anything to me in detail.  What questions I could ask him were not answered in detail.  He appeared to be checking his watch and running out the door as I was still asking questions.  	5	5	1	3 	Insurance:Blue Cross / Blue Shield
2	-1	Appeared annoyed initially upon walking into the room.  Proceeded to be short tempered and more annoyed as the session went on.  I don't know if he is good at what he does or not, but his bedside manner was rude. 	1	1	1	3 	Insurance:Unknown
3	1	Very honest and truthful and told you how it was.  Good to visit with and very easy to talk to.  Would recommend him to anyone. 	5	5	5	5 	Insurance:Unknown
4	1	I enjoy going back to her. She's a wonderful listener and advisor.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	1	She's the best.  Supportive, knowledgable, genuinly cares for patients 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	1	Excellent, pain free dentist. Wonderful, caring staff.  Extremely satisfied! 		5	5	5 	Insurance:Blue Cross / Blue Shield
6	1	Dr. Reams is the best 	4	5	5	5 	Insurance:Unknown
7	1	My husband, myself, and son all saw Dr. Rohla over a course of two years as our family practice doctor. I liked him and his bedside manner, I did not like his nurses (they called my 8month old spoiled because I brought a bumbo seat for him to sit in while I had my appointment, and they always brought in the incorrect amount of vaccinations in for my son). Many many times we were forced to reschedule appointments (that we had scheduled months in advance) although when we did arrive for our appointments we weren't made to wait. Dr. Rohla did give out incorrect (and dangerous) information on carseat usage but that would not prevent me from seeing him again (we switched PCP or we would still see him).  	3	4	5	4 	Insurance:Blue Cross / Blue Shield
8	-1	This doc is too old to be practicing. He diagnosed me with sinus infection when I actually had a cancerous tumor. When examining my throat, he was very rude and rough. I wouldn't take my dog to him.  	2	2	1	1 	Insurance:CIGNA
9	1	He is so great with children. He has a special talent to interact with them and make them feel special and not afraid. I would recommend him to anyone!! He is the best pediatrician I have ever taken my children to.  Easy to talk to and explains everything so well!!!! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
9	1	Fantastic with children! Very impressed by Dr Raghib's balance of humor,  knowledge, and personalized care. He really takes the time to connect with his little patients (Jack) and the taller people that bring them in.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
10	-1	Receptionist called and left 3 messages for me the morning of my appointment, and because I was at work, canceled my appointment. When I came to my appt found the door locked. When I called she made up story and said that she had left messages previously (not according to caller ID). Next avail appt is in a month 	1	1	1	1 	Insurance:Unknown
11	1	I have been seeing Dr. Roesler for years now and he is great. Very kind and really listens. Does not have a &quot;better than you&quot; attitude. I feel he has always cared for me versus treating me.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
11	1	Very Caring and Gentle. Very Patient.  		5	5	5 	Insurance:Humana
12	1	Very friendly and patient. I feel very comfortable around her. She doesn't over-test, but she does follow through if she has a suspicion. So, you don't waste your time and money. 	5	5	5	5 	Insurance:Unknown
12	1	Dr. Rostad is very knowledgable and professional, but also cares about me as a person and my family. My entire family goes to Dr. Rostad and were sad to see her leave Sanford, as we will now be transfering also.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
12	1	Dr. Rostad is a great doctor.  I found her to be very knowledgeable and caring.  I like that she took the time to answer my questions or give me ideas on other things I might try.  	3	5	5	5 	Insurance:Blue Cross / Blue Shield
12	1	She is a great doctor, and very personable.  However, she does cancel appointments a lot - more than any doctor I've ever known.  This is annoying, but I feel the care she gives is worth the annoying and random cancellations.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
12	-1	there have been times that I have had to wait weeks for test results, she is known for not finishing her charting and then she has to cancel appointments to get her paper work done. She is very kind, but not always professional. 	5	3	2	2 	Insurance:Unknown
12	1	Wonderful care, highly recommend. Moved away, otherwise would have be Doc for life. 		5	5	5 	Insurance:Unknown
