dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Great with kids 	5	5	5	5 	Insurance:Unknown
2	1	He is just the greatest. He office has such a pleasant atmosphere. He has televisions and he has a great sense of humor.  		5	5	5 	Insurance:Anthem
3	1	Dr. Baig is truly one of the best physicians I have ever experienced. Explains everything, makes sure that any treatment decisions are truly joint, and is extremely thorough. His office staff is also beyond compare with other doctor's offices. If you are looking for a true health management partner, this is your doctor.  	4	5	5	5 	Insurance:Aetna
4	1	Dr. Bajwa is extremely professional, articulate, and warm.  She is very nice. 	5	5	5	5 	Insurance:Unknown
5	0	 	1	3	3	3 	Insurance:Unknown
6	1	Dr. Ball is very kind to his patient's and sensitive to the needs of the children and their parents.  He is very thorough with his examinations, answers questions patiently and follows up for quality of care. 	4	4	5	5 	Insurance:Unknown
6	1	Dr. Ball is fantastic with our son -- he's very knowledgeable and also very good with kids.  	4	4	5	5 	Insurance:Aetna
7	1	The star is only for Dr. Bagenstose who was very kind and took the time necessary to walk me through the allergy testing process.    I booked the morning appt so that I could be back at work. I was assured that the exam would take 3 hours at the most.    My test took over 4hours. I was dressed in a gown and not feeling entirely comfortable leaving the room to ask if there was a problem. When I left they offered to write me a note to bring in to work.    I called today to ask about the bruises and rash left on my arm from the test that was 8 days ago and I spoke to a nurse who let me know that it was normal. I spoke again with the receptionist, Cathy, and asked her why the exam took that much longer than expected and why no one had come in to explain the situation. She interrupted me before I could finish my thought and exclaimed, &quot;I'm so sorry I really wish I could have been in there to personally entertain you!! What happens is that the doctor runs behind.&quot; 	1	1	4	4 	Insurance:Unknown
8	-1	Dr. Bailey should close her office. The office staff is nice enough but very unofficiant.Dr.Bailey was&quot;too busy&quot; to notify me of my test results in a timely manor.She ordered $3500 worth of tests (out of pocket). Then she did not have an answer to what was my health problem and said she didn't know what to do next&#63; She gave me no suggestion or guidance. Also discovered in my patient notes: that as an infant I had a spinal problem. I never had a spinal problem! It was a thymus gland issue. I could go on and on. Just glad I never had her cut into me. 	1	1	1	1 	Insurance:Unknown
8	-1	Dr.Bailey in my opinion should hang up her scalpel.She does not listen to patients, is very abrupt and leaves the room in a whirlwind,leaving you to wonder,&quot;what just happened&#63;&quot; How does she even know why I am here&#63; She didn't ask me any questions or even explain anything. I didn't get a chance to explain any of my concerns.Then I had to have emergency surgery for something that should have been adressed(firmly believe the Dr. i have now, would have NEVER allowed me to reach the state I was in when it turned to emergency status under her watch)sooner.Once she saw the outcome of her wild and careless sugery technique, she was totally trying to walk away and leave all my healing to other Dr.'s.If it had not been for the loving care and diligence of close family and friends, I honestly,truly believe I would NOT be here today. Yes, my situation was that dire. I am happy to report that under the care of my new Dr.I am slowly healing properly.she also caused much mental anguish.  	1	2	1	2 	Insurance:Medicare
9	1	 	5	5	5	5 	Insurance:Unknown
10	-1	When I went to see him for a physical and weight loss suggestions he said: &quot;Eat less.&quot; Wow, ya think&#63;!&#63; When my husband went to see him about quitting smoking, he said, &quot;You've been smoking all your life, you're going to do what you're going to do.&quot; THANKS! When I called 2 days after persistent cough + asthma, he said to take Mucinex OTC cough syrup. GOING TO GET A NEW DR. ASAP -- DON'T WASTE YOUR TIME! 	2	3	1	1 	Insurance:Unknown
10	-1	Told a depressed patient to &quot;just deal with it until it goes away&quot; and left the room.  Thumbs DOWN!!!!! 	1	1	1	1 	Insurance:Medicaid / Medi-Cal
10	0	i feel he doesnt truly listen to what i am telling him, therefore doesnt help me much with my medical issue at the time.  	5	5	3	3 	Insurance:Tricare
10	1	I find him to be punctual and cordial.  I sometimes come away feeling that a thorough enough job hasn't been done but I've only dealt with minor medical issues. Nothing life threatening. 	3	4	4	4 	Insurance:Unknown
10	1	 	4	4	2	5 	Insurance:Unknown
11	1	Dr Ballesteros will spend as much time as is needed to get your problem taken care of. Unfortunately he often spends a lot of time with the patient scheduled just before you, also! LOL. But the wait is definitely worth it, and you always feel that you are the only person in the world on his mind when he is with you. He is kind, gentle, and his breadth of knowledge of medicine and healing is AMAZING. He always knows just what you should do and has an encouraging word to help you get it done.  I would recommend him to anyone who needs a doctor who really cares, and in fact have sent both of my parents to him, too! 	5	4	5	5 	Insurance:Aetna
12	1	First time patient..recommended if you need a dermatologist. Friendly, great staff. Have had my share of unhelpful doctors so it's always worth rating when you find a good one.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
12	0	$115 for 5 minutes, most of which was spent with his assistant. Very rushed. My name was spelled wrong on my paperwork.  	3	5	3	3 	Insurance:Anthem
12	0	I felt like Dr. Bakos really rushed through my visit--he didn't spend much time answering my questions and seemed pre-occupied by other things and getting on to other patients. 	3	3	3	3 	Insurance:Unknown
13	1	I love my dentist! It is a friendly office and very modern. I have been a patient of Dr. Balaze since he took over the practice and have had a few fillings. It was always made very clear that I was not in network and I always knew what I was supposed to pay before I had work done.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
13	0	This dentist bought out my mother's dentist's practice (Dr. Magid).  AFTER doing work on my mother, she was informed that he was NOT following the previous payment practice of Dr. Magid, to allow elderly patients on fixed incomes to pay off their bill over time.  My mother is a senior citizen, and unemployed.  She has never reneged on a bill.  It may take a number of months to pay it off, but it always is.  Even though Dr. Balaze's office was told exact dates that my mother would send in a check, and the amount, they still reported her to a collection agency!   Oh, and by the way, the bill was only for about $250!!!  Even the collection agency told my mother that this guy was ridiculous.  Oh--and on top of that, he added a $30 service charge.  Pass the word--this is the type of doctor that cause the profession to have a bad name! 	1	4	1	4 	Insurance:Unknown
14	-1	Doctor did not listen to me.  Doctor did not run diagnostic tests and the succeeding doctor immediately ran a full battery of tests and found problems. 	3	3	1	1 	Insurance:Unknown
15	1	She is considerate and empathetic with her patients. She saved my life after I was undiagnosed with an MI by an ER MD and another cardiologist. She is wonderful with her followup care and with educating.  	5	5	5	5 	Insurance:Molina
15	1	Always comes in first thing in the morning to see all of her patients and after there procedures she checks on all of them and makes sure they have everything they need she always goes above and beyond for all staff and patients. 		5	5	5 	Insurance:Unknown
16	1	Dr Balint is the smartest, nicest doctor we have ever seen. My daughters life would never be as wonderful without her care. She's the BEST !!!! 	5	5	5	5 	Insurance:United Healthcare
16	1	Dr. Balint is the most caring, patient Dr. that I have ever met, my daughter adores her. 	5	5	5	5 	Insurance:Unknown
16	1	DR. BALINT IS THE MOST CAREING DR. THAT I HAVE EVER RAN ACROSS. SHE IS ABSOLUTELY THE WONDERFUL WITH MY DAUGHTER. 	5	5	5	5 	Insurance:Unknown
16	1	Dr. Balint is the best Gastro doctor at children's. Believe me I've been through them all! She is a very careing doctor. She was so personal, that she got to know not only me but my family also. She not only comforts you but your family also. She is a great, awesome, wonderful not only doctor but person.  words cannot explain her passion! 	5	5	5	5 	Insurance:Aetna
16	1	She has been a God-send to us! Kind and smart and caring, loving my daughter and saving her life time and again. 		5	5	5 	Insurance:Unknown
17	1	Dr. Ball is always on time, and very caring for her patients. She has the patients helf as her primary focus.  	4	5	4	5 	Insurance:Kaiser-Permanente
