dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	 Very pleasant, kind, takes time to listen and answer questions. Would definitely recommend to others. Very hard to make an appointment due to poor phone set up.  	3	4	5	5	Insurance:Medicare
1	-1	.  She prescibed me meds that I was unable to take and I called severa times and so did the praramcy never would even call me back very unhappy with the care I recieved 	2	1	1	1	Insurance:United Healthcare
1	1	 Dr. Gabbard is wonderful! Very good beside manner and really seems to care. Takes the time to listen to you and work with you to get the treatment you need. A little bit of a wait in the waiting room/exam room though.  	4	3	4	4	Insurance:CIGNA
12	-1	commentsBoth of my sons(ages 5 and 2)were scheduled for an appointment at 3:30. We showed up at 3:20. They took us back to a room right before 4:00 and I had to take my 2 yr olds clothes off for the exam so he only had on a diaper. We sat in the exam room until 4:20 when my husband went out to ask how much longer it would be and was told the doctor would be in any minute. He then read a story to my older son as slowly as possible to try and keep him occupied. Meanwhile my two year old fell asleep in my arms. My husband finished the story after 15 minutes and the doctor still wasn't in yet so we started to get my younger son dressed to leave and finally the doctor walked in. We didn't stay for the appt because by this time I had already made up my mind to follow my original doctor to the his new practice the drive is a little longer but it's worth it if you compare the wait. So if you have the time to sit for over an hour before even being seen this is the Dr. for you. 	3	1	1	1	Insurance:Unknown
12	1	commentsAbsolutely wonderfun, caring, and VERY understanding Pediatrician. Wouldn't see any other pediatrician outside of this practice. 	5	5	5	5	Insurance:Unknown
13	-1	 Dr. Gailliot violated an express agreement to respect me as a person, discounting my education, experience, and judgment.  He attempted to fob me off on a new doctor at my second appointment; then tried switching my meds by direct calls to the pharmacy without bothering to discuss the matter with ME (my body, after all).  Finally he overreacted to an anomalous test score, costing me an addition $100 in out-of-pocket expenses because he would not even bother to talk to me when I questioned whether the &quot;stat&quot; retesting was necessary.  Nevertheless I attempted to deal with him once again.  After allowing me to make an appointment and take specific time to come and talk to him, he informed me that I should find another doctor.  I agree, but he did not need to waste my time to do so.  	1	2	1	3	Insurance:United Healthcare
13	-1	commentsThis Doctor has the WORST attitude towards his patients as well as other healthcare workers. 	3	1	1	3	Insurance:Unknown
13	1	commentsI am 61 years of age and this is one of the best physicians I have ever had.  I have lived in Europe and all over the United States so I do have some knowledge of a lot of Doctors. 	5	5	5	5	Insurance:Unknown
15	1	 I loved Dr. Gabis and so did my husband and we are willing to travel an hour to go and see him.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
15	-1	commentsDisruptive. 	2	1	1	1	Insurance:Unknown
16	1	 I've been seeing Dr. Gale for more than 4 years now. Intelligent and direct, he spends no time chatting about his life like some doctors do in Cincinnati, your session with him is all focused on meeting your needs. Very helpful with whatever your patient request may be...I'd never seek another psychiatrist for treatment. New office space right off of 71 too. Staff is polite and friendly and never makes you feel like your being a pain when you need documents faxed/mailed.  	5	5	5	5	Insurance:Anthem
19	1	 I have been going to Dr. Gade for the last 22 years and have found him to be extremely knowledgeable and very personable. I visit him every six months and every time I walk in the door he knows my name and remembers our previous conversations. It doesn't even stop there, because his staff is the exact same way! They always keep my best interest in mind and are easy on my budget.  This is by far the best place to go if you are ever in need of a dentist! 	5	5	5	5	Insurance:Anthem
20	-1	comments 	1	1	1	1	Insurance:Unknown
25	1	comments 	5	5	5	5	Insurance:Unknown
40	1	commentsthe best doctor ever heard of and he makes his patients feel like there is always a chance for a new life and a cure for everything as long as he is taking care of you there is nothing to worry about because he has a huge heart and he is there to help no matter what it takes.  thank you so much again for everything you did and is still doing. God bless you 	5	5	5	5	Insurance:Unknown
40	1	commentsDr. Gabrail is extremely knowledgeable and caring. 	5	5	5	5	Insurance:Unknown
41	1	 he answered all my questions and seemed to care.  he is very knowledgeable.  	5	5	5	5	Insurance:Humana
42	-1	 Horrible bedmanner, asked &quot;Why are you crying&#63;&quot; in a very uncompassionate manner, when in fact, a very serious condition exsisted, he did not catch.  	2	3	1	2	Insurance:United Healthcare
42	-1	 very pleasant experience-- at least as pleasant as surgery can be.  	5	1	1	1	Insurance:United Healthcare
42	1	.  did not do very well with pain control, but surgery went great and I am very happy with the results 	5	5	5	5	Insurance:Anthem
42	-1	commentsDr. Gabriel recommended an open breast biopsy for a mass in my breast, only to wake me up from the anesthesia without performing the surgery because he failed to reevaluate the mass or mark the location for the surgery. The hospital then made me sign the consent for surgery with a nurse &quot;helping&quot; me hold the pen because I was so groggy. Fortunately, my husband stopped the process when I asked for him and I didn't have the surgery after all. When I told Dr. Gabriel I wanted a second opinion, he sent me a certified letter stating we mutually agreed that he would no longer be treating me. Another surgeon told me a biopsy was unnecessary from the start. 	3	1	1	2	Insurance:Unknown
