dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Best Doctor ever I have ever had. So glad she came to this area.  	5	5	5	5 	Insurance:United Healthcare
2	1	I have been seeing D. Iafelice for over 20 years and would not want to see anyone else. His bed side manner is the best, which makes talking about anything very easy and comfortable. AND he remembers who you are along with your family.  Awesome!! 	5	4	5	5 	Insurance:United Healthcare
2	1	TOP notch!  I was referred to him by two other of his patients who both told me how wonderful he was. I was very nervous but he was amazing. Sooooooo nice and very knowledgeable. Explained everything and really listened! Made me totally comfortable. I see why my friends recommended him.  	5	5	5	5 	Insurance:Aetna
3	-1	Too expensive - just looking for money - bad dentist 	2	3	2	2 	Insurance:Unknown
3	1	Very nice staff.  Liked Dr. Iranpour very much.  I appriciated his gentleness and knowledge in dentistry. 	5	5	5	5 	Insurance:Unknown
4	0	Told me he removed 1 cancerous lymph node when he removed 4.. 3 of which were cancerous.Why not tell the truth. 	1	1	3	3 	Insurance:Unknown
5	1	THE BEST, HE IS A GENIUS.... VERY EDUCATED CARING, COMPASSION, 	5	5	5	5 	Insurance:Unknown
5	1	Very helpful and kind.  Nice service 	5	4	5	5 	Insurance:Unknown
6	1	. Very good doctor, very knowledgeable, and helpfull 	5	5	5	5 	Insurance:Medicare
6	-1	When he could not figure out my illness he accused me of being ****ed.  I luckily found a specialist that got me  diagnosis.  He almost made me believe I was crazy, until i realized he was just too ashamed to admit he couldn't figure out what was wrong.  I strongly encourage any potential/current patients to find  competent doctor to handle their lives and well beings. 	3	3	1	1 	Insurance:Unknown
7	-1	Dr. Ivan did a bridge for me without x-raying the tooth used for the anchor. It had a decay. The bridge was poor quality, and poorly fitted. He did it three times and said I would have to live with it. Since then my tmj has gotten worse, and the whole bridge needs to be not only replaced but the tooth in front of the bridge has to be re aligned because it is pushed forward because of the fit of the bridge. Also I had beautiful crowns on the 4 front teeth, Top, and because of the mis alignment of the bridge those are now loose. I have had nothing but problems and the bridge looks like I have had it since the 60's. The teeth are large and unattractive. Dr. Ivan caused me much pain and suffering and anguish. 		3	1	1 	Insurance:Unknown
8	1	listens well. Answers all questions. Very kind and kind. 	5	5	5	5 	Insurance:Unknown
9	1	Dr.Irwin is an outstanding doctor who listens to me and helps us diagnose what steps should be taken next.  He has referred me to several specialists who have been outstanding in their profession.   I would highly recommend him! 	5	5	5	5 	Insurance:Aetna
9	1	I've been going to Dr. Irwin for about five years now.  I cannot adequately express the level of confidence I have in his care.  Always takes time to thoroughly discuss symptoms, diagnosis and treatment plans.  His referrals to various specialists have been spot on.  Have recommended him to many people.  	4	4	5	5 	Insurance:Anthem
9	1	I've been going to Dr. Irwin for years.  He's a very compassionate caregiver.  He takes the time to listen and makes appropriate referrals when needed.  He has worked with me and my referrals to him with costs when he can.  He rates highly with me on my most important criteria - caring and knowledgeable. 	2	4	5	5 	Insurance:Unknown
9	-1	Rude and inappropriate! He was trying to force medications on my mother that she did not want to take. My mother prefers only taking medications as a last resort, and Dr. Irwin did not listen to her concerns and was inappropriate and rude to her on more than one occasion. He was very unhelpful and my mother felt like he didnt care or listen to her, and she switched doctors.  	4	4	1	1 	Insurance:United Healthcare
9	1	fantastic doctor!  Answers every question and really listens.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
9	1	Dr Irwin is an asset to his profession.  Very professional 	5	5	5	5 	Insurance:United Healthcare
9	1	Outstanding doctor. Great communication and honest. Treats all patients with respect and care. Great doctors are very hard to find and I got lucky with Dr. Irwin. He takes the time to talk openly and honestly about one's concerns - while improving the effeciency of his office. He is extremely knowledgeable and knows when best to refer a patient, to whom, and he follows up. You can't go wrong with Dr. Irwin. 		5	5	5 	Insurance:Unknown
10	1	Yes dr. Itani may not have the best bed-side-manner..but he came through for me when I needed surgery.(two surgeries in fact, differnt problems)  No surgery is going to be 100% and it takes about one year to recover, and there is going to be scar tissue that will in the future cause pain.  	4	4	4	4 	Insurance:CIGNA
