dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
3	1	 She is an extremely nice doctor. I used to visit her at Metro but ever since she moved i have switched. Once again, great doctor very knowledgeable and really nice.  I recommend this to every single person like me 	5	4	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$45
6	1	 Dr. Vagnier delivered 2 of my 3 kids. She is very helpful in answering question, caring, and dedicated. She made me feel at ease and relaxed. The office staff is also very nice. I have recommended her to many friends and they all agree that she is amazing.  	5	5	5	5	Insurance:Anthem
7	-1	 Is friendly, tries hard to keep to his busy schedule.  This does not, however, permit him time to hear patient's concerns and receive adequate follow up information.  When a serious problem exists, I feel it behooves the Dr. to call personally and explain results rather than have minimal relayed by assistants.  	4	4	2	2	Insurance:AnthemPaid/Co-pay:$35
7	0	commentsWe visited three times and will not go back.Dr. Vail was condescending to us and his staff (in front of us as).He does not like to answer questions and spends very little time with the patient. I had set up a payment plan for $350 orthotics that our insurance did not cover. Two staff asked me about the payment plan during one visit. The third, caught me outside after I had left, to remind me that I still had a debit with them.I politely explained that I had set up a payment plan (again).The focus is definitely on paying off the beautiful office, not the patient.My child's feet did improve with the orthotics and the exercises. However, in less than a year, my child outgrew the orthotics. We were given no advice when I had previously asked what the benefits would be of spending $70 to purchase the &quot;outgrow plan&quot; for one free replacement set within the year, and now need to pay $350 for a new set of orthotics in less than a year.We will do that, but with a Dr. we respect. 	1	4	1	4	Insurance:Unknown
7	-1	 Save your time and your money.  This staff is rude and ignorant.  They acted like I was their first patient ever. Procedures are not clearly explained.  They want you to keep coming back FOREVER.  Who can afford it&#63;&#63;  Doctor talks down to staff in front of patient.  WAAAAYYYY too expensive for nothing.  	2	3	1	2	Insurance:Anthem
7	-1	 His staff is very rude. Long waiting room times and lack of respect for patients. I had issue with my insurance company and instead of helping me understand his staff wrote me off and treated me like dirt.  I won't be going back.  	1	2	1	1	Insurance:Anthem
7	1	commentsHe removed a painful bunion.  Friends said I'd be in a great deal of pain afterwards.  I experienced only a mimimal, short-lived ache.  I'd rate him 9 out of 10.  Make up your own mind.  His staff has always been very friendly and helpful. Dr. Vail has a commendable sense of humor that puts the patient at ease. 	5	4	5	4	Insurance:Unknown
7	-1	.   	1	2	1	1	Insurance:Blue Cross / Blue Shield
8	1	commentsDr. Vaida seems to be a very good thoracic surgeon.  I have had one procedure and am scheduled for another in a week.  Presents his opinion very matter of factly. I was disappointed not to see him at all the day of my surgery (out patient). Have had experience at his office of waiting for over 2 hours in the exam room.  His office staff does not seem very efficient and you have to make multiple calls to make sure issues aren't dropped. 	4	2	4	5	Insurance:Unknown
24	1	 Very good, careful and caring family doctor. I only hope Obama's healthcare palns don't drive him to retire.  	5	4	5	4	Insurance:United Healthcare
