dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
2	0	commentswhen you check in they should tell you that Dr. Hague uses unassigned claims on medicare this is totally surprised when we recieved the bill we would have gone to another doctor who accepts the assigned claims.... he had to go two days later to his family doctor  to recieve the correct treatment in these hard times is difficult to have to another doctor ..I hope you read this I thought it needed to be said. thanks for reading..... 	3	5	3	3	Insurance:Unknown
2	-1	 Does not care about this patient.  Would not listen to patient or examine patient.  Now patient has multiple physical problems.  	1	1	1	2	Insurance:Medicaid / Medi-Cal
2	1	commentsVery interested in patients, listens, treats, follows up on treatment. Very caring, intelligent, very thorough with his practice. Wonderful to all ages and sexes, cares about the person not the means of payment. Prefers payment but will treat person as a person with feelings. Wonderful doctor! 		5	5	5	Insurance:Unknown
3	1	commentsGreat dentist! Wonderful staff 	5	5	5	5	Insurance:Unknown
4	1	commentsthe nurse and receptionist are taking to much authority in this office. 	1	4	3	4	Insurance:Unknown
4	-1	commentsNot a great experience for me.  Make sure you have the doctor sit and talk with you before he begins any procedures.  Not his nurse, but the doctor sit and talk with you. 	3	5	2	2	Insurance:Unknown
4	1	 Both Dr. Hallquist and his staff are respectful, kind, compassionate, and sincere. They are very knowledgable and always contact you in a timely manner regarding any testing. We have been his patient for 5 years.  		5	5	5	Insurance:Blue Cross / Blue Shield
7	1	commentsFriendly staff that remembers my name and asks how I am doing. Dr. Hager is exceptional and honest in his overall prognosis and long term outcomes. A few days after a surgery, I started bleeding uncontrollably from my wound in my mouth. My husband in a pick called Dr. Hager at 6:30 that morning and he gladly helped walk us through getting the bleeding under control. He's just great! 	5	5	5	5	Insurance:Unknown
8	1	 Dr. Haas found some health problems that other doctors could not find. She is a very kind &amp; patient person.  	4	5	5	5	Insurance:Blue Cross / Blue Shield
8	-1	 This Dr. is great if your a drug addict. Was hooked on pain pills, she gave script for oxycotin 300 pills per month, along with 2 other scripts for (percidan/oxicodiene) Dr's at St. John's could not get her to return calls. Pills that &quot;didn't work&quot; (kill the pain) were given back to Dr. Haas.  Office personal continued to call after she was told we found another Dr.  	1	1	1	1	Insurance:Medicare
8	-1	 I could not even get a breath in and she would not even help me had to goto the er to get help and they wanted me to see lung dr and she would not set one up for me so the er had to.  	1	1	1	1	Insurance:Medicaid / Medi-Cal
8	1	commentsDr. Haas is sincerely concerned with her patients.  She listens and takes her time to understand any of the patients inquiries.  I have recommended her to many of my friends. 	4	4	5	5	Insurance:Unknown
8	1	 I really can't say enough great things about Dr. Haas.  She was so professional, willing to work with me and give me soon appointments even though I was on medicaid at the time.  She's really a credit to the community there and doesn't treat you badly like some doctors do.  After living all over the US, she is the Best and Most Professional doctor that I have ever seen.   :) 	5	5	5	5	Insurance:Medicaid / Medi-Cal
