dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	The office manager is a heartless jerk with no professionalism. The rest of the staff and the doctors in this office are wonderful! 	1	4	4	4 	Insurance:Unknown
2	-1	Have had this doc for awhile but am now looking for another.  If you catch him on a bad day, he won't listen to anything you are saying and only goes with a opinion he's already formed no matter what. Not consistent from one appointment to another. Had to &quot;prove&quot; he wrote a prescription (it wasn't in his computer) and had to resort to showing him the prescription bottle to convince him he had written the medicine! More than half the time, he doesn't listen.  I do like his nurse, however.   She is wonderful! 	5	4	1	3 	Insurance:United Healthcare
2	1	. I did not know he was still in the area but not only did I work for him part time but he was my doctor and when he could not get an answer he sent me to the right place he has always be very caring and helpful in many was he also can do adjustment on your back and neck 	4	3	5	5 	Insurance:Medicare
2	1	Dr. Oglesby was our family's doctor for several years.  We don't use him now because of he had moved out of the area and then came back, and we had already found another dr. we liked.  We would highly recommend him, though.  He never seemed to be in a hurry, and we also liked his assistant or nurse, Shonna. 	5	2	5	5 	Insurance:Unknown
3	1	I've been with Dr Omstead for years, since she was in practice in BA &amp; she is WONDERFUL!!!! I've always been able to call anytime I needed anything &amp; she &amp; her staff have always been extremely helpful. I've never had another doctor where I was able to get the kind of attention I do here! 	5	5	5	5 	Insurance:Unknown
4	0	.  	5	4	3	3 	Insurance:Medicare
5	0	I was very unhappy with our service when we saw this doctor and I will NOT be back. I was VERY sick and she acted like it was nothing and that I would be ok soon. She didn't perscribe any medicine or give me a chest xray, which I really felt was needed. The next day I went to the ER because I was so sick and they took tests and xrays and said I had phnemonia and perscribed medicine (which costed me WAY more $$). I would NOT recommend this Dr. Save yourself some money and find a more knowledgeable doc.  She is very sweet but thats about it!! 	1	4	3	2 	Insurance:Aetna
5	1	She is very nice and has a great personality. She is very knowledgeable and is willing to help you out with any situation you are in. I would recommend her to any and every one. 	5	5	5	5 	Insurance:Unknown
6	1	Been going most of my life to this doctor. He is a awesome doctor. He has help tremendously. 	5	5	5	5 	Insurance:Unknown
7	1	Dr. Ollar was absolutely wonderful! I had a difficult pregnancy due to pre-eclampsia and severe depression from losing my spouse in my 5th month. She was very attentive and understanding. Always willing to answer my questions. If i ever decide to have another baby i will definitely go to her again.  	5	3	5	5 	Insurance:Medicaid / Medi-Cal
7	-1	 	4	1	2	2 	Insurance:Unknown
7	-1	I never waited less than 30 mins for an appt. Her nurses were the only good aspect of her practice. She is very brash, even put me on a diet when I was 8 months pregnant because I gained 11 pounds in 6 weeks (over the holidays). She constantly nagged me about my weight gain, which was only 32 lbs for my entire pregnancy, and classed me as obese (I'm 6' and pre-pregnancy weight was 209, not exactly obese). When I did deliver, she pushed me to take the epidural which I refused because of several drug allergies. I had to wait to push until she arrived, 15 mins after they called to let her know I was at a 10. When she did finally arrive, she wasn't even completely gowned by the time my son was crowning, and I did scream 1 time when he tore me, she yelled at me. Yeah, she yelled at me and told me not to scream, made me feel horrible like I'd done something no other woman had ever done before. At my post partum check she only checked my stitches, no internal exam or pap smear.  	1	1	1	1 	Insurance:Aetna
7	1	I feel Dr. Ollar-Shoemake was very knowledgeable about my previous medical history that I provided her and she took great effort to make  me feel at ease. 	3	4	5	5 	Insurance:Unknown
7	0	I was a patient of Dr. Ollar's for about two years.  Very long wait times.  She seemed rushed and overbooked.  I found her to be pleasant and kind, though again, seemed too rushed to sit down and address real issues and concerns.  She also was an advocate of hormones/birth control pills for me, and I was not willing to take them due to family history of stroke and cancer.  I made the switch to another physician that I felt listened to my concerns overall, and respected such wishes.  	3	2	3	3 	Insurance:Blue Cross / Blue Shield
7	0	Horrible wait times. Horrible bedside manner. Bad experience. Waiting for too long when the baby was crowned and then told to hurry up because she had another surgery in 20 minutes. 	1	1	2	3 	Insurance:Unknown
8	1	great experience and has been consistently such over last several years.  fills out paperwork and issues new lab slips in spite of my chronically losing them.  compassionate and professional.  	4	5	5	5 	Insurance:Blue Cross / Blue Shield
