dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	commentsVery nice and knowledgable.  I go to him and so does my daughter, and we are very pleased. 	5	5	5	5	Insurance:Unknown
1	1	commentsVery Knowledgeable Paid/Co-pay:$111	5	5	5	5	Insurance:Unknown
2	-1	comments 	5	3	1	1	Insurance:Unknown
2	1	 Great Surgeon! Very patient and very informative. He performed two surgeries so far on our 3 1/2 month old daughter and succeeded on both of them. Very intelligent and knows how to talk to parents. He helped our baby girl and we are very greatful to him.  	5	5	5	5	Insurance:Medicaid / Medi-Cal
3	1	 Dr. Parham is a wonderful, caring physician. I have been seeing him for over 12 years. I met him when I had a miscarriage and was so grateful for his wonderful, compassionate care, I have returned to him with each of my pregnancies.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
3	1	 I had never had a male OB/GYN and Dr. Parham saw me at my last appointment before delivering and ended up delivering my son.  He was wonderful!  When my son decided to FINALLY come, he was coming right then!  Dr. Parham was there and ready to deliver.  My epidural had run out and wasn't working when I delivered and Dr.Parham did everything he could to make it easier for me.  I was very happy and comfortable with Dr. Parham.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
3	1	 Dr. Parham is a wonderful ob/gyn.  I have been going to him for over 11 years and find him to be a wonderful, caring, knowledgeable doctor who takes time for his patients and takes them seriously.  He has delivered both my children (via c-section) and did an amazing job.  I wish all doctors were like him.  	5	4	5	5	Insurance:Aetna
4	1	 He is has wonder bedside manner, in the hospital and in the office. He is very informative and answers any questions you might have and explains treatment, diagnosis what ever, in a way that you will understand everything completely.  	4	5	5	5	Insurance:Blue Cross / Blue Shield
4	1	commentsAt first, wasn't certain we wanted to continue to see this physician for pulmonary issues sustained from an auto accident.  However, he worked and worked with my loved one throughout the maximum time limits to wean him off of a ventilator.  Had he not been willing to do so, my loved one would still be on a ventilator.  Instead, he only requires oxygen 24/7 and sleeps with a bi-pap.  He still suffers with lung issues, but these are permanent due to the accident.  Needless to say, we think he is a great doctor!! 	4	3	5	5	Insurance:Unknown
8	1	commentswas very pleased with my breast reduction, was a much needed job so happy to have it done Dr.Padgett did a such a  great job and her office staff were just wonderful. would recommend her 	4	4	4	4	Insurance:Unknown
8	1	commentsDr Padgett is awesome, no issues with recovery and did an excellent job. I highly recommend her. 	5	5	5	5	Insurance:Unknown
8	1	commentsDr. Padgett did a wonderful job. The recovery was easy, and I had no complications. 	5	5	5	5	Insurance:Unknown
11	1	commentsHe is AMAZING!  Dr. Parker is VERY knowledgeable, gave us the pros/cons of treatment up front and was very realistic with all treatment options.  He stays on top of things and has even caught other health problems that other doctors have completely missed.  I've felt very comfortable with him and trust him completely. 	5	3	5	5	Insurance:Unknown
13	-1	commentsunfriendly staff. Not good at all.Unknowledgable 	1	4	1	3	Insurance:Unknown
24	1	 Dr. Parekh is very respectful and kind, however he doesn't spend much time answering questions. If you continue to ask them, he will answer them, but I personally felt a little rushed. He performed a laparoscopic procedure on me to remove an ovarian cyst, and did a fine job. I decided to change OB/GYN's due to the fact that I often felt like a car that he was working on, and not a real human woman. I prefer a female OB.  	3	4	4	5	Insurance:Blue Cross / Blue Shield
25	1	 Doctor was very knowledgeable and on time.  He had great bedside manor.  	5	5	5	5	Insurance:United Healthcare
25	-1	 I would not recommend this doctor at any cost.  	3	3	1	1	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$20
26	-1	 I would not send anyone to her. She is rude and addressed me as &quot;Hey Woman&quot;, and not by my name at all. Not very professional at all. I was there for a treadmill test.  	2	1	2	2	Insurance:Blue Cross / Blue Shield
26	0	 When I had a bad reaction to a medication she prescribed, she wouldn't talk to me on the telephone and was unavailable.  She also won't prescribe anything for anxiety at all - don't have the faintest idea why not.  Would never go to her or send anyone to her.  	1	3	3	3	Insurance:Pacificare
26	1	commentsi would trust her with my life 		4	5	5	Insurance:Unknown
31	0	 Dr. Palmer is professional, well-versed in her profession and caring; however, she seems saddled with nurses that do not care, are unfriendly and never write anything down. Also, her time is so limited with each patient that it feels like you're never a priority. Complications are minimized and she's always in a rush. Never called me back when I had cramps or questions. Unless you have an absolutely textbook normal pregnancy, look elsewhere. No discussion of the delivery until you're in the last weeks of the third trimester because she's off to the next. Get ready to rapid fire any questions you have during pregnancy rather than discussing anything. The receptionist acts like she's doing you a tremendous favor by finding a morning or afternoon time. You can expect to wait 45 to 90 minutes every single appointment.  	1	2	2	4	Insurance:HealthFirstPaid/Co-pay:$4500
