dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	I sometimes think that Dr Rahme needs a little more seasoning, but I think she cares about her customers and doing right by them. She has taken good care of me, and caught intermittent signs of glaucoma early enough that the specialist is confident he'll be able to stay ahead of it. 	4	4	4	4 	Insurance:Unknown
1	1	I don't remember what I paid, but I like Victoria's office, staff, and eyeglasses.  And her eyeglasses tech is really good at helping you pick out glasses.  I love my glasses and have gotten lots of positive comments on them.  Overall, a great experience.  	5	5	5	5 	Insurance:United Healthcare
1	-1	Inefficient, took me 3 weeks to get a new pair of contact lenses.  		5	1	1 	Insurance:United Healthcare
1	1	Great doctor. Take her time and gets it right. Very caring and interesting in getting to know her patients. 		5	5	5 	Insurance:Unknown
2	-1	Bad bedside manner. Very quick to rush you in and out. I felt more like a number than a parent. Sticks to the books and what he was taught. Threatened to drop my child as a patient because I wouldn't follow what he said. Very uncomfortable with him as a doctor. 	2	2	1	1 	Insurance:Unknown
3	-1	Dr. Riffe prescribed a heart monitor for me, it's now approaching 90 days since returning the monitor and have yet to get test results even though have called three times trying to get those heart monitor test results.  Cardionet is now trying to get me to pay for the heart monitor tests for which I still do not know the test results.  Dr. Riffe's nurse has assured me twice that she will get the test results info for me but has not to date.  Very disappointed and hoping my heart issue is not life threatening.  	1	4	1	1 	Insurance:United Healthcare
4	-1	He misdiagnosed me with tinnitus when I had severe Sinusitis. 	4	5	1	1 	Insurance:Unknown
5	1	Dr. Resneder has been my doc since 1986 and I was referred to him by my first (and also wonderful) OB/GYN in OKC when I moved to Norman. Dr. R has gotten me through my 2nd c-section, endometriosis, HP virus, and now fibroid tumors.  I have complete trust in his skills and knowledge.  He keeps himself informed on current medicine and has made an important contribution to the health and welfare of a lot of women in Norman. Also, I have always felt in very good hands with Cindy Resneder. They're both all about good medicine and good health. 	5	5	5	5 	Insurance:Unknown
5	1	I moved from North E.of Tulsa over a year ago and was pregnant and I was looking for a Dr.I found Dr.Resneder.I picked him because of experience. I really think he is a great Dr. and my delivery went great but,he has a dry sense of humor.He is all brain,and of course sweet.  	5	5	5	5 	Insurance:Aetna
5	-1	I had used Dr Resneder for over 20 years.  When he performed my hysterectomy in '07 and I kept having pain and bleeding with sex he diagnosed bladder infections or kidney infections.  After two years I saw another doctor who immediately saw that he had left tissue in my incision so it was unable to heal.  Still have pain - wonder what was left inside! 	4	4	1	1 	Insurance:Unknown
