dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Great doctor, he really knows his stuff! Doesn't give up always going an extra mile for me and my family. I've been seeing him for years and so has my family when my mom started over 8years ago after she fell. His staff is also great too! Always a smile and helping with any insurance questions I need answered.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	-1	 	1	5	1	1 	Insurance:Unknown
2	1	Dr. Taylor has been very professional and I have thankful to have him as my doctor. 	5	5	5	5 	Insurance:Unknown
2	1	 	5	5	5	5 	Insurance:Unknown
3	1	Its amazing that you interact with Great doctor rather than a PA. She is a Genius and I give her an A++. Clinic is a wonderful place and with great facilities and expert staff.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	-1	This man is unprofessional. He is constantly trying to force people to see things his way and refuses to listen to any information that does not fit within his narrative. I do not recommend this man as he has great potential to cause a great deal of harm.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
4	1	Dr. Tutt was really nice and friendly. Unfortunately, I had to wait for 2 hours with my 3 young children in the waiting room. Other than that, the doctor was really great.  	3	2	5	5 	Insurance:Medicaid / Medi-Cal
5	1	She was filling in for my doctors office while they got their new doctor. She was wonderful.  If she said she'd call you back, she did.  She called to check and see how I was doing. She never hurried me or my husband.  She answered all our questions and never made me feel like what I was asking was silly.  She seems like a very caring doctor as well.  I am sorry to see her leave wyoming.  I would definitely recommend her to anyone.  	5	5	5	5 	Insurance:CIGNA
5	1	We loved this doctor. She took a minute to get used to, her manner was a bit short. But after a visit or two we were completely comfortable with her. She did answer all of our questions and address all of our concerns. My husband and I were totally satisfied with her and used her for two our children. My sister in law is now seeing her and has had the same experience.  I would absolutely recommend her.  	5	5	5	5 	Insurance:Medicaid / Medi-Cal
5	1	Dr. Tyburski has always answered my questions completely.  She gives me her full attention during my appointments and makes me feel comfortable as possible.  My phone calls are always returned within a timely manner.  The staff does their best to help me with my concerns.  Dr. Tyburski is punctual, unless she has a delivery which, of course she has no control over. In which case, the staff will give the patient a choice of waiting or rescheduling for those who are already in the office.  Those who have not shown up yet they will try to reach so they will not have to wait unnecesssary.  Since I come from out of town I appreciate.  	5	5	5	5 	Insurance:Aetna
