dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	My Mother Was told by Doctor that She was going to Die. He did not ease into it or nothing. He is and has always been a cold blooded person towards Patients. I myself have gone to his PA because HE is great with ME and is very caring. I decided just to forget it all, because Dr. Vyas will get most of the Money anyway for doing absolutely nothing.  	5	5	1	1 	Insurance:Blue Cross / Blue Shield
1	-1	Absolutely neglectful!!!  Two years ago, I was having numbness and complete LACK of sensation in my legs and he called me a drug seeker!  After months he finally referred me out and I needed emergency spinal surgery by that point!  He has had 4 faxes and 6 phone calls about my blood pressure medication right now and he's taken 10 days and STILL not filled!  I could literally stroke out without it.  He has taken THIS life into his hands for the last time.  I am filing complains with every online board and medcial organization I can find!  He has done similiar things to my father as well.  WORTHLESS as a physician!  His PA knows a LOT more than he does! 	2	1	1	1 	Insurance:Unknown
2	1	I love this doctor and her office staff! They are amazing!!! I recommend her to everyone I know! 	5	5	5	5 	Insurance:Unknown
2	-1	.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
2	1	Love this office! I don't have issues with migraines anymore and I feel like I have my life back! My kids love her and have never been more focused in school. I definitely recommend Dr. Van Wyhe. 	5	5	5	5 	Insurance:Unknown
2	1	Absolutely love her and her staff.  Just walking into the office made me feel better.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	He is such a pleasure to meet and so empathetic 		5	5	5 	Insurance:Unknown
4	1	My guess is he is either in a hurry or just doesn't like talking to his patience. I felt like I was given no explanation and rushed through. I had pain afterward but was only asked under anesthesia if it hurt. I left thinking things were okay but days later I had pain. I felt like was kept out of the loop. I had minimal discussion about the procedure. He really seems nice but nice doesn't prolong my teeth or happiness. I guess Norman is a small town. I may look elsewhere. 	4	4	3	4 	Insurance:Unknown
4	1	Dr. Venk and his staff have taken care of my sons for almost 10 years now.  The care is gentle, the services are priced well,  and my favorite thing - they care about people.  They always talk about the treatment or need before they start on the money.  The office is funcational,  best equipment and latest practices, but the patients are not paying for fancy waiting rooms with high prices.  Dr. Venk reminds me of old fashioned doctors - the kind that went into the field to help people, not get rich.  My family and I LOVE Dr. Venk and his staff.   They are top of the line! 	5	5	5	5 	Insurance:Delta Dental
4	1	I have seen Dr. Venk since I was a little girl, and it should speak volumes of him that I now take my children.  I have been able to go to him on numerous occassions to keep an account with him instead of getting credit.  Not only is he wonderful, but his staff is just the same!  I know that at times he may seem a bit brisk, and since I've used him as my dentist for 20 years now, it is just his personality.  I would really say more quite than brisk.  The things that he has done for me are braces twice, permanent and temporary retainers, root canal and crown, removal of my wisdom teeth, baby teeth, and a few permanent teeth--all of these were done without incident. 	5	5	5	5 	Insurance:Unknown
4	1	Dr. Venk did my root canal in December 2008.  I was very nervous about this procedure, i felt very comfortable with him and his staff from the very start. The procedure took no time at all and he was very good about telling me exactly what he was doing and why...and i cannot explain how wonderful his staff is!! So friendly! He also seems like a very down to earth fun guy! And I am a person who HATES the dentist, now i cant wait to go back and finish up my dental work!! Thanks Dr.  Venk and staff!!! A+ 	5	5	5	5 	Insurance:Delta Dental
4	-1	Dr. Venk extracted 3 lower front teeth-made 4 impressions - made 3 temporary bridges..none of which would fit. He convinced me I needed LANAP treatment (laser)which he performed for over 2 hours on my lower jaw and then immediately began Deep Scaling. I've learned that LANAP is NEVER performed on a single arch in a single treatment. It is supposed to take 1 min. per tooth - not 2 hrs. Deep probing is not to be done for 6 months after laser treatment. When the 3rd bridge would not fit, I was told to wash my face before I went to the appointment desk to come back in the morning for a 4th try at a temporary bridge. My face was covered with blood splotches from his aggressive treatment. A bone splinter is now working it's way through my gum where he cut off the blood supply to the bone and it died - a gold crown has come off due to the treatment. The 4th bridge would not fit also! I am now undergoing damage control from a 2nd dentist. 		1	1	1 	Insurance:Unknown
5	-1	1st, Dr. Vantuyl is not currently a fulltime dentist.  He works part-time 2 days a week in another dentist's office.  2nd, I once made an appointment to see him.  When I arrived the waiting room was full.  It appeared there was a several hour wait just to be3 seen.  I wasn't told this when I made the appointment.  3rd, he would sometimes made derogatory comments about the condition of my teeth.  4th.  I was once in his waiting room and saw a lady crying loudly for some time in the most astonishing pain I have ever witnessed, waiting to be seen.  I looked in the practice area and saw that all the chairs were empty.  Nobody in the office seemed to care about this lady's urgent plight.  Judge for yourself if you want this man to be your dentist. 	1	1	1	3 	Insurance:Unknown
6	1	had good experiance, staff was great, was seen on time. My contacts work well and are comfortable.  	5	5	5	5 	Insurance:Tricare
7	1	I have used Doctor Viera for years.  She is highly competent.  Extremely easy to talk to and very understanding.  Her practice has grown quite a bit and yes you may have to wait for a while but, it is worth it.  She is the only doctor in her practice so she can get very busy at times.  She is very level headed.  There is one older woman on her office staff that seem put out with you when she is attending to you but, she is not practicing medicine, just taking your copay.  I would not let her stop me from getting good care.  	3	3	5	5 	Insurance:Blue Cross / Blue Shield
7	1	She is no nonsense, and gets to the point quickly. Real nice. I have reccommend her to co-workers and they love her too.  	4	4	5	5 	Insurance:Aetna
7	-1	Actually i like Dr. Viera but her staff is awful.  They seem very disorganized and non friendly.  THey run around the office wondering who did what, very unpleasant experience with Dr. viera's staff. I WOULD not recommend due to the staff of DR. Viera's.  Please Dr. Viera change your staff or most of them anyway.  	1	1	1	1 	Insurance:Aetna
7	1	This has to be the MOST unorganized doctor's office I have EVER, EVER encountered.  Husband called to reschedule his appointment, was given a 2:20 appointment and he told them he could not make it because he had to pick our son up from school.  They said, okay, can you be here at 4:10&#63;  he shows up at the 4:10 appointment and they WOULD NOT SEE HIM because they said, &quot;Uh, your appointment was at 2:20 today.&quot;  This is not the first time they botched an appointment time.  Also, the nurse called to give my husband information on his lab work and an ultrasound which she told him he had a biliary blockage.  When we went back to see Dr. Viera, she got the report and it said nothing of the sort.  If you enjoy long, long, long wait times PAST your appointment time, rude staff and no one ever knows what the other is doing, then by all means go to this doctor.  But, we are going elsewhere as this is not worth the aggrivation. 	1	1	3	4 	Insurance:Unknown
7	1	First and foremost Dr. Viera is one HELL of a Dr. She has been my doctor for years and she is completely worth whatever wait that may occur. She is extremely intellegent and efficiant. The office staff is very friendly and caring as well as Dr. Viera. If you have complaints against her then its obviouse that you are either to sensative or nothing will ever please you. So, those of you who have these complaints.............get over yourself.  Besides that.....DR. Viera is the ONLY family practice doctor that had agreed to accept Soonercare (state issued insurance for the less fortunate) in Norman. What kind of doctor who was uncaring,unefficiant, and selfish would take soonercare&#63; They barely pay for anything as it is. So be thankful for Dr. Viera! She is simply the best. 	5	5	5	5 	Insurance:Unknown
7	-1	I waited two and a half hours to be seen which i wouldn't have minded becuase doctors have emergencys. She was very very rude and uncareing. She complained about being sent patients and that she has too many. I am 37 weeks pregnant with a rare condition that is deadly and had to have a referal.  She said that 48 hours in advance was not enough time for a referal and there are  quote &quot;hundreds of other patients whos condition is worse and more important than mine&quot; 	4	1	1	2 	Insurance:Medicare
7	0	Had an appointment with her.  Called the day in advance and spoke to someone named Jennifer about my new insurance. After explaining to her that my insurance wanted them to bill them first and then insurance would bill me for the copay, was told taht would be fine.  Showed up for appointment and was turned away for not paying my copay.  AFTER waiting for them to open 15 minutes after they said they would be open for lunch, sitting for 30 more minutes and then being asked for my insurance card.  Her daughter, Salonge, is rude to other staff when they were trying to help her, also short with other patients.  Very poorly run office. However, Barbara, who is one of the office staff, is the most sweetest woman ever.  I will not be going back.  Have sought out another doctor.  Also, Dr. Viera misdiagnosed a rash my wife had, told her it was fungal infection, when in fact it was eczema.  Think twice before seeing this doc. 	1	1	3	2 	Insurance:Unknown
7	1	I have been seeing Dr. Viera since April 2008. I love her!! She is very friendly &amp; through. Sometimes I do have to wait a while past my appt time to be seen, but she is very busy &amp; takes her time with patients, instead of rushing appts. There is also a sign in her office that notifies patients that they might be seen on time. Overall she is a very good Dr. &amp; I will contine to use her services.  	4	3	5	5 	Insurance:Blue Cross / Blue Shield
7	-1	She was very rude, I felt rushed.  When I tried to explain my problem, she was not understanding at all.  	4	3	1	1 	Insurance:United Healthcare
7	1	LOVED the staff! They made my daughter and I feel right at home! The doctor was pretty good so far. 1st impression was 70/30, she was very knowledgable and helpful but slightly on the awkward&#63; side but that may have been the 1st impression thing. She was willing to listen to our concerns and address them skillfully. We will be going back. Long wait was warned to us, 1-2 hrs we were told, we were in and out in about an hour.  	5	4	5	5 	Insurance:Medicaid / Medi-Cal
7	-1	staff was nice and helpful. Dr. Viera very overwhelmed, she doesnt need to take any more patients.  She sometimes is rude and somewhat uncaring.  i wasnt impressed, maybe she had a bad day that day, but still whould hold some professionalism.  Going to find another family doctor.   :( 	3	1	1	2 	Insurance:Blue Cross / Blue Shield
7	1	Dr. Viera has been my PCP since 2005, up to the point she changed her location. Today I re-established my care with her. Her wait time is horrible. Two and half hours, and two people that came in an hour after my appointment went in before me. I love Dr. Viera to death. She is a great Dr., she does care and is compassionate, very thorough and competent. Hoping the wait time improves,can not  spend a half a day in her office. It is a tough trade off, horrible wait time for awesome healthcare. healthcare.  	4	1	5	5 	Insurance:Blue Cross / Blue Shield
7	-1	Friendly staff but Dr.Viera was very rude, became defensive when the hour long wait time was brought up, and then walked out of the appointment that I had scheduled two weeks in advanced. Her behavior was unprofessional and demeaning.  	4	1	1	1 	Insurance:Medicare
7	1	Dr. Viera has proven over several years to be extremely knowledgeable and thorough.  She is compassionate and down to earth and easy to relate to.  She has a heart for those who struggle to access healthcare, and specifically seeks to work with this population.  Knowing what a challenge access to healthcare is for so many these days, I admire her for this and highly recommend her.  	4	4	5	5 	Insurance:Blue Cross / Blue Shield
7	1	My husband has been going to Dr. Viera for a while now and I decided to move my care to her and I am so glad I did.  She actually takes the time to listen and will do tests to find out what is going on. We have never felt rushed when being seen by her.  I would highly recommend her.   She is awesome! 	5	3	5	5 	Insurance:Aetna
7	1	My husband and I have been searching for a caring and compassionate doctor who would listen to us. Well after much search we found HER!! My husband is anxious about doctors and hates going, but we were immediately put at ease with the friendliness and helpfulness Dr. Viera and her staff.  She has ordered some tests for my husband and he will follow up for those.  I am going to be changing my care as well as our son to her.  	5	5	5	5 	Insurance:Aetna
7	1	I really like Dr Viera, I had concerns with a kinda common condition, she had a battery of tests done, and fortunately found nothing wrong. I can get in and out fairly fast and can be seen on short notice.  	5	5	5	5 	Insurance:Unicare
7	1	Dr. Viera and staff were punctual and listened intently to my symptoms.  Short visit, correct treatment, satisfied.  	4	4	4	5 	Insurance:Blue Cross / Blue Shield
7	-1	Horrible doctor!  Uncaring, no follow through, not trustworthy, doesn't seem to know much about practicing medicine, doesn't smile, etc...  Doesn't explain what tests she has done.  She is patronizing.  She lies.  Doesn't take patients seriously.  Orders erroneous tests, and even prescribed a drug to me that hasn't been made in years (according to the Walgreen's pharmacist).  Uncaring and unhelpful.  If you care about your health, then please find a different doctor. 	 2/4/08	2	3	1	Insurance:Unknown
8	1	The staff at Dr Vu's (shared) office was very friendly and welcoming.  Both nurses that we dealt with were equally friendly and helpful and made both me and my wife feel very comfortable.  Dr Vu himself was very nice, knowledgeable, and willing to answer any and all questions.  	5	4	5	5 	Insurance:Aetna
8	1	Dr. Vu is the best kept secret in Oklahoma.  Very kind, compassionate and knowledgeable.  He is one of the best diagnosticians that I have ever seen.  He asks questions and listens to your problems.  He is conservative, but will not give up until he figures out what is going on.  I have been his patient for 6 years and travelled thousands of miles to see him when I lived out of state.  I would highly recommend this Dr. 	5	5	5	5 	Insurance:Unknown
9	1	Amazing doctor!! She has been my PCP since I was 13 and I am now 24. She has had the same MA since the day I started seeing her.  I live in Tulsa now and still drive to Edmond to see her, because she is that good! 	4	5	5	5 	Insurance:Blue Cross / Blue Shield
9	1	Very good doctor.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
10	1	Just came across this site today and looked to see if Dr. Volkman was listed. Yep! :-) I started seeing Dr. Volkman when I was pregnant with my daughter. I was on the Oregon Health Plan at that time, and worried about the quality of healthcare I would receive from a 'welfare' doctor. Fortunately, he turned out to be a fantastic doctor. He is very knowledgeable, and one of those rare doctors that really takes time to listen to their patients. I stayed with Dr. Volkman as a patient after I was off the OHP, and continued to receive exceptional until he left the area. 	 7/20/11	5	4	5	Insurance:Unknown
10	1	Dr. Volkmann left his practice about 2006 and I have missed him dearly. He saved my life by treating my chronic pain as real. He would be late on his appointments only because he didn't quit listening to his patients until he was confident they were done talking. He never billed the insurance company or me for the extended visits. I can't find a Dr. that comes close in comparison. He is human and was NEVER judgemental.  	5	3	5	5 	Insurance:Providence
10	1	Dr. Volkmann was my doctor for 18 years. He delivered 2 of my children. I was sad when he retired. He was awesome.  	5	4	5	5 	Insurance:OHIP
10	1	This doctor is most caring and looks into the possible cause of the illness. 	5	5	5	5 	Insurance:Unknown
10	1	He has been very helpful to Me, I can't find another Dr. like him.  	5	5	5	5 	Insurance:Medicaid / Medi-Cal
10	1	He is a very nice man who is and has been very helpful to me.  		4	5	4 	Insurance:Blue Cross / Blue Shield
10	-1	This doctor treats his patients poorly and has substandard office help. He is very judgemental to the point of emotional abuse. 		3	2	2 	Insurance:Unknown
11	1	Dr. Voskuhl has been more compassionate than other of my other previous doctors.  He is warm and caring.  	5	5	5	5 	Insurance:United Healthcare
11	1	Cares more about his patients than any other doctor I have seen.  Extremely knowledgable 	3	5	5	5 	Insurance:Unknown
12	1	Dr. Valuck is very knowlegable and seems to have a lot of experience in his field. He has a good bedside manner and I highly recomment him. 		5	5	5 	Insurance:Unknown
13	1	Dr. Valuck rocks! He is sympathetic where as other doctors I have seen treat me like some drug addict just trying to score.  I am a carpet cleaner and have had several back injuries and without my medication my job would be unbearable and thats how I pay my bills and put food on the table for my kids. 	5	3	5	5 	Insurance:Unknown
