dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	commentsI had a great experience with Dr. Gabel.  He was very friendly, helpful, and professional.  Karen and Ruby are the best! 	5	5	5	5	Insurance:Unknown
12	1	 Dr. Gade is the most punctual, efficient doctor I have ever been to.  He addressed all concerns and he and the staff were very friendly, helpful, and knowledgeable.  	5	5	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
12	1	 Very friendly, helpful and skillful.  Removed skin cancer from my nose with very minimal scarring.  Is interested in anything that concerns me, and answers questions very clearly.  Never makes me feel rushed.  	5	5	5	5	Insurance:MedicarePaid/Co-pay:N/A
17	1	 Dr Gardner is the greatest. Explains everything, gives each patient plenty of time. Might wait a while in the waiting room, but once you see him you have his undivided attention until he is sure you are cared for. He is a very good doctor.  	5	4	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
17	1	 Works with the patient on their treatment plan. Does not talk down to you, but treats you as a real living-breathing-feeling person.  Cares and listens. Confirms you know what is going on with your care and if you have any questions.  They are honest about the possiblility of time delays; people are more important than holding to a strict schedule.  	5	3	5	5	Insurance:N/APaid/Co-pay:$15
17	1	 Dr.Gardener is a very nice, knowledgeable and easy to talk to. He always explain very well the problem I'm having with a list of choice for treatment, he explain the pro and con for each choice. His office (North Plain, Oregon) is very-very understaff, waiting time for my last 3 times visit is from 1 hr to 2.5 hr waiting, including in the loby and in the room.  	1	1	4	5	Insurance:AetnaPaid/Co-pay:$20
17	1	 Great Doctor. He spends considerable time with patients, is knowledgeable and up to date on the latest medical research. He also provides options and explains the pros and cons of each guiding the patient to decide what treatment may work best for them. Yes, you may need to cool your heals for a while and wait but somethings are worth waiting for.  		3	5	5	Insurance:CIGNAPaid/Co-pay:$20
17	1	commentsDr. Gardener is a very nice man. He will spend time to explain what is going on. His office is extremely understaffed though. I have waited over an hour in his waiting area on more than one occasion only to go back to the room and wait another hour. Return calls are slow to non-existent from the advice nurse. I have had the wrong strength of a perscription called in twice although I have been very specific in asking for the lower dose. This time when I called to be sure, the nurse told me she didn't know which one had been called in and didn't offer to double check. They seem to be in over their heads. I have had the same pain meds prescribed at almost every visit and have felt like the issues are barely dealt with. Frustrating. 		1	3	5	Insurance:Unknown
30	1	 Dr. Galey is great - very responsive, interactive, knowledgeable.  Her staff are fine, nothing impressive.  A little on the sloppy side appearance-wise, but seemed competent.  	3	5	5	5	Insurance:ProvidencePaid/Co-pay:N/A
30	1	 Tina has been our provider for 3 yrs now Only after move to Astoria in Nov2008 did things go bad  She used to have the highest quality professional staff around.  Now her staff is beyond incompetent. Unfortunately she ended up in very poor situation when our clinic closed. My child ended up in Critical asthma attack because her assist failed to Ever call in his medication for pre-auth.  The insurance company was Never contacted by them & went ahead & approved meds for RX because he'd been out for 2 weeks!  Whenever we try to get an appt, we are told to use Urgent Care because there are no appts until next month.  When our 2 month old was seen their scale was broken. (weighed 2 lbs more 2 weeks prior @ Urgent Care & had visibily grown since)  The nurse refused to listen-very condescending, & very unkempt(personal appearance) Tina was not surprised when we told her about the scale  Tina is still great provider, but you can sure tell the diff. since the move.  Staff ignore people ALOT 	1	5	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
30	-1	 horrible! feeds medications without the correct diagnosis. felt very rushed out of the appointment, &quot;just take this and it will be better&quot;-well diagnosis was wrong. absolute nightmare!! took antibiotics for NOTHING!!! no knowledge, or ability to break bad news to people or just in general communicate professionally.  	3	1	1	1	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
31	1	 Dr. Ganter is a very good, knowledgeable doctor. I switched to his service some years ago after being diagnosed with type II diabetes. He was recommended to me by a very good friend who also has diabetes. He has consistently been helpful in treating this disease. He seems to get very involved with his patients' progress.  	5	2	4	4	Insurance:AetnaPaid/Co-pay:N/A
31	-1	commentsDr. Ganter told me on my 1st visit that most LIPA drs. don't want to deal with chronic pain patients because they don't get enough for it.  He also lied to the insurance co. on several occasions, to make it look like I was just a drug seeker and he went so far as to say I called and cussed him out, when nothing even close to that ever occurred. I have a disease called Reflex Sympathetic Dystrophy which hasn't been widely heard of, but it is easily researched online. The pain of this condition has been proven to be far worse than that of any cancer or even giving  birth naturally.  I live with this, barely 24/7 and dr. ganter wanted nothing to do with it.  He could easily have read up on the condition and found out how to treat it, but instead he chose to persecute me and defile my name,  All I have to say is;  I believe in Karma!!!!!!!... 	2	1	2	1	Insurance:Unknown
32	-1	.  Worst doctor Ive ever seen, save yourself and go elsewhere! 	3	3	1	1	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
32	-1	 Very dissapointed with Dr. Garcia, have never been treated so unkindly and without respect in my life, and this after seeing him for 8 years.  Made me realize how important it is to have a good Dr. that really cares and listens.  That would not be Dr. Gregory Garcia.  	1	3	1	1	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
32	1	 Extremely helpful in bringing an 89 year old woman back to good health after she had been poorly treated by another MD.  He listens, thinks, and treats well.  	4	4	5	4	Insurance:MedicarePaid/Co-pay:N/A
32	-1	 Doctor Garcia showed absolutely no interest in treating me,I was there as follow up after spending 2 weeks in a hospital,and had to have a cat scan.Dc. Garcia,was clueless as to my visit,I went with a friend that I introduced to him as a FRIEND and he kept referring to her as my mother,he also without even touching a hair on my head,said that he didnt understand why I was bothering because I looked fine,apparently Dc. Garcia has x-ray vision!he kept me waiting for a very long time,and never even apologized,he seemed bored,and thinking about lunch time.He also displayed overt signs that he was homophobic,and dismissed me without as much as a have a good day.Please stay away from this man!!!And by the way  shame on Providence for hiring such an inept so called doctor.Useless to say I will not have anything to do with the Providence system anymore,if you are looking for good health care in Portland head to OHSU.  	1	1	1	1	Insurance:MedicarePaid/Co-pay:N/A
36	1	commentsDr. Garcia was not only knowledgeable, but patient and kind.  Her expertise allowed me to heal quickly (I had a partial hysterectomy, and was running within 2 weeks of the surgery). I appreciate the time she spent with me, and the general spirit of the office. Dr. Garcia's support staff were delightful and helpful. 	5	5	5	5	Insurance:Unknown
