dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
3	-1	.   	1	1	1	1	Insurance:Pacificare
3	-1	commentsShe made choices during my surgery without permission and it was a mistake.  :( 	4	3	1	3	Insurance:Unknown
3	1	 She is very knowledgeable, compassionate and really listens.   I'm glad I was referred to her! 	3	5	5	5	Insurance:United Healthcare
3	-1	.  She made a major mistake with my surgery 	1	1	1	1	Insurance:Pacificare
3	1	commentsI have been seeing Salisbury for 10 years. She is amazing and I can't imagine seeing another doctor. She is worth the wait. 	3	3	5	5	Insurance:Unknown
3	1	 i like dr salisbury, and a good dr. is worth the wait. but if you can't wait see julia st. lawrence her pa. she's great. most yearlys i now have with her, she remembers who you are even when i only see her once a year. and she's so thorough, kind and compassionate. i can tell her anything. so if dr salisbury is busy ( because she's a good dr she often is) see julia st. lawrence. you won't be dissapointed.  	5	3	5	5	Insurance:Blue Cross / Blue Shield
3	1	commentsI've been seeing Dr. Salisbury for over five years for various gynecological problems. She is an extremely caring, knowledgable, competent surgeon. She has improved my life both mentally and physically!! 		2	5	5	Insurance:Unknown
3	0	commentsShe asks the same questions every time I've seen her. She is always very late. The last time I was there I waited almost an hour to be seen. When she finally came in she said one of her patients was having a baby that she'd send another person to see me. I did not like having to wait so long and then she did not introduce the N.P. I 		1	3	3	Insurance:Unknown
3	1	commentsI think Dr Salisbury is great. She's extremely knowledgeable and doesn't sugar-coat anything. When I was pregnant with my first child, she was very helpful and patient with me. 		4	4	5	Insurance:Unknown
3	-1	commentsThis doctor is very friendly. Unfortunately, she just wants to get through as many patients as she can as quickly as possible. She would take 5 min. max and then get impatient. She really doesn't care. I was very disappointed with my experience. 		5	2	2	Insurance:Unknown
4	1	commentsAll in all an excellent physician - have been long time patient, but have never waited less than 2 hours for an appointment any time of day.  Very knowledgeable, makes sure you understand everything, but quick to order tests that may be 'the newest thing' and informational, but are not medically necessary (do not lead to change in treatment).  Up side is many tests done right in office during your office call - no need to schedule and come back.  Downside to this is there is not enough time to find out if test is covered by insurance or is medically necessary.    Inability to get in if you are ill; have actually been told to go to urgent care instead.  Most doctors will squeeze in an established patient who is ill. 	5	1	5	5	Insurance:Unknown
4	-1	 Every time I saw Dr. Saddoris he preached to me about my alleged obesity and told me I needed to exercise more even though he was my ALLERGIST. I never asked him for any advise regarding my weight and/or nutrition. Once I called him in an upset state: I was having an allergic reaction and I needed immediate medical assistance. Dr Saddoris was very rude and told me I needed to schedule an appointment (they were booked 1-2 months out!) His lack of sympathy made me cry.  	3	3	1	3	Insurance:Blue Cross / Blue Shield
4	-1	commentsHad to wait 3 hours on several appts (all) as i found out so did others. The doc sits at his computer typing in everything i said but when it came time for some input from him/doctor nothing---quick to run blood tests etc--but as for answering any questions he seemed agitated &amp; this was on more than a couple visits as was the 3 hour waits. On arrival the waiting room would have people awaiting for their appt &amp; some people even brought sack lunchs..This is not right--especially for the wheel chair guy who desperatley needed to use the bathroom(not equiped for wheelchairs) &amp; he had been dropped off by a handicapped trimet bus. (( I now have a Dr. who answers questions ...no long wait &amp; whom answers my questions without Agitation))-- i can understand if a doc has an ER but c'mon Dr. Saddoris was late each and every time. 	3	1	1	1	Insurance:Unknown
5	1	commentsCARING PROVIDER    Dr Salman while always being professional shows a caring side as well which makes trips to the doctor easier. If being seen for a follow up from previous appointment she will always address other issues even if it means taking some extra time out of her schedule. 	5	5	5	5	Insurance:Unknown
6	1	 Great dentist fast to the point and does great work very impressed.  	4	5	5	5	Insurance:Delta Dental
6	-1	 Simply the worst dentist I have ever met. Unprofessional, rude, rough and cheap. Three of my four fillins fell out on the same day he put the them in.  I had to go back the next day and wait an hour and forty minutes to see him for new fillings.  His work is ugly and every session is painful and pure torture!!!   WILL NEVER GO THERE AGAIN!! 	1	1	1	1	Insurance:Blue Cross / Blue Shield
6	-1	comments 	1	2	1	1	Insurance:Unknown
15	-1	commentsPoor hygiene. Always late. Seemed a little off. 	3	1	1	1	Insurance:Unknown
15	1	commentsThis doctor evaluated me carefully and corrected a misdiagnosis that I had been given in the past. He was very concerned about balancing use of medication and therapy. I appreciated that he was very interactive and didn't just listen all the time.Very insightful and very direct. 		5	4	5	Insurance:Unknown
15	1	commentsI find Dr. Sacks very helpful, corteous and feel he is trully concerned about me. He has surprised me mulitple times with his detailed memories of past conversations, and has even gone out of his way to research some of my hobbies, so he could better understand me. THe only reason to &quot;run&quot; from Dr. Sacks is if you are afaid of what you may find out about yourslef and your relationships. 		5	4	5	Insurance:Unknown
16	-1	 He seemed to make a diagnosis before an exam or review of lab data. He spent time chatting with an intern, giving her praise, even a high five, during my appointment. The visit notes contained many errors, including contradictions to his own verbal statements. The next day, I was in pain due to his intense pulling, pushing, and twisting of several muscles and joints. He was trying to prove that either these areas DID have pain, to prove his diagnosis, or they DIDN'T have pain or range of motion limitations, again to prove his misguided diagnosis. He stated that he didn't need to review any of my existing lab work, which contained valuable data that indicated a disease state. The most absurd statement was his dismissal of technology as meddlesome, and that he was a doctor who could look at a patient and decide if they were sick and what they had. At the end, he did recommend some testing, even though I explained to him that these tests were consistently negative.  	4	4	1	1	Insurance:Aetna
16	-1	commentsPleasant enough, but quick to dispose of me with a short exam, no blood tests, very few questions, a narrow view, and next to nothing in the way of relevant advice. He did not listen well and sometimes cut me off. It may well be that my problems were not in his field after all, but he seemed to have preemptively made up his mind that nothing was wrong with me, without taking into account some of my most prominent symptoms. A couple of his remarks were dismissive and REALLY off-base. Of his two quick &quot;diagnoses,&quot; one was flat-out wrong (did not match my symptoms at all, and he did not even examine the relevant area) and the other was not very well supported. Several doctors had suggested I see a rheumatologist, but that turned out to be a mistake, because I didn't get a well-considered evaluation or advice. Be aware that rheumatologists don't want to see &quot;fibromyalgia&quot; patients anymore, now that it's no longer considered a rheumatology condition. 	3	4	2	2	Insurance:Unknown
18	1	comments 	3	3	5	4	Insurance:Unknown
21	-1	 My late wife complained about abdomenal pain, fatigue, loss of hair and appetite and low blood iron. Doctor ran simple blood tests, gave her prozac and called it could. She did not refer her to anyone else who had a better grasp on things. My wife had a renal transplant, was 25 years post crohns disease. I found my wife's handwritten notes about this only recently. My wife was later diagnosed with Stage 4 NK T-Cell Lymphoma. She died on 10/12/06. An emergency surgury had to be performed because of bleeding from her bladder secondary to her chemo. They found a large tumor in her bowel. That was the primary tumor and caused her Lymphoma. If this &quot;doctor&quot; had bothered to run tests or refer her to a specialist my wife would probably be alive today as the tumor would have been discovered. This so called doctor was more concerned whether Carol had signed a release form to let me contact this doctor.  	1	2	1	1	Insurance:Kaiser-Permanente
24	1	commentsDr. Salisbury is compassionate, kind, and empathetic.  She doesn't just poo poo your concerns - she might run a little bit behind but when she's with your child you'll understand why.  She works very hard and it shows in her caring for her patients. 	5	5	5	5	Insurance:Unknown
24	1	commentsVery knowledgeable. Has cared for both my daughters. Sought out help and a second opinion from a specialist when my daughter had intestinal problems at a young age. I would recommend her to anyone. 		5	5	5	Insurance:Unknown
25	-1	commentsDr. sage not only act as though he couldnt care less about my health , but also preceded to look in my mouth and remsrk on my teeth, even though I was there for  burning in my leg and my anxiety dissorder. I felt betrayed by the health professionals I trusted in, now my symptoms have worsesend  since I was never diagnosed and now iam going to seek out more professional care. 	1	4	1	1	Insurance:Unknown
25	-1	commentsin way to much of a hurry. only spend two minutes in the exam room. did not seem to have a very good knowledge of medcine. also, he missed the class on how to interact with people. very rude and short--does not even let you finish what you are telling him. 		1	1	1	Insurance:Unknown
27	1	 This doctor saved my life short and simple.I had not met him prior to me needing a Pacemaker but when I was admitted to hospital, he was there. Aftercare - he was there. Followup - he was there. Unlike as many other doctors I have experienced over 66 years, he cares. FULLY RECOMMEND THIS DOCTOR.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
32	1	 Dr Naina is knowledgeable. She is  fast talking &amp; fast moving. Naina is  processing, analyzing and disseminating information at record speed which may really surprise the observer. I'm fine with it. This is what I think has happened to her practice is that it has gotten away from her and she in no longer able to control it, it is controlling her.  Her focus is preventive care. She  suggests supplements, most can be purchased at a vitamin store for less. I spent $150.00 on supplements there.  For this practice to appear normal it needs less patients, no overbooking and more time for the doctor and the staff. Seeing people in a timely manner consistently would increase quality of care. I think another space nearby that sells supplements at a r reasonable rates would be a plus. Hire and keep a  manager that is an efficiency expert.   This would be helpful for Naina to have the calmness she needs,  and to regain control of her practice so can work on the level that is humanely attainable 	5	2	5	5	Insurance:Providence
32	-1	.   	3	1	1	1	Insurance:Blue Cross / Blue Shield
32	-1	commentsShe is always 35-2 hours behind. She is rude and all about money. Her staff complains that they don't have time for patients for phone calls from patients. I have even heard a staff member say they can't work like this and want out. Over is Always too busy so is the dr. She billed my first visit to my insurance company for 500 dollars And I was in the room for about 5 mintues. She has no idea what she is talking about and should stop pracaticing 	3	1	1	1	Insurance:Unknown
32	0	commentsShe is horrible, money hungry, and rude!  Always runs late and office staff terrible! 	1	1	2	4	Insurance:Unknown
32	-1	.  talks too much , too fast,does not know much medicine,just knows about supplements and pushes them to the extreme, never works in the hospital,has an office based practice to sell vitamins 	1	1	1	1	Insurance:Blue Cross / Blue Shield
32	1	 Dr. Naina really knows her stuff when it comes to thyroid and hormone issues. She is the fifth doctor I've seen and the first to help me. If you can't deal with doctors running late though, this is not the doc for you.  But, for me, after almost four years of no help from others I'll wait all day! 	4	1	4	5	Insurance:Providence
