dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	One of the BEST DOCTORS i have EVER SEEN!!! My Baby Boy LOVES HIM!!! He plays with him while doing the exam, so he wont cry(my baby is just 6 months old).   Would highly recomend this Doctor to everyone!!! THE BEST! 	5	5	5	5 	Insurance:Molina
1	1	. Great Doctor! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Dr. Tremaine and his group of Doctors are the best in the area.  I never feel rushed, quality time spent on me, treats you as a person not a symptom. I can't say enough GOOD things.  	5	5	5	5 	Insurance:Providence
3	1	The clinic is efficiently run by a   courteous staff.  Dr Trujillo listens, asks questions. His knowledge level appears to be very high.  The pain relief has allowed me to function, which in turn has allowed me to keep my job.  This is therefore a  hugely successful pain management practice, in my view.  	5	4	4	5 	Insurance:Blue Cross / Blue Shield
3	1	A wonderfully skilled doctor and genuinely nice. He does epidurals for the Spine Program at Providence Hospital, which have given me the only relief I have had from severe back pain. I also highly recommend the Spine Clinic at (541) 732-7746 .  	5	5	5	5 	Insurance:Medicare
4	1	 	3	5	5	5 	Insurance:Unknown
5	0	Dr. Thompson had the worst bedside manner of any ER doctor I have ever seen. I was in immense pain because an impacted wisdom tooth was pushing on the nerves of another tooth. He felt the need to tell me about other patients worse off for me and &quot;grandpas having strokes&quot; but since I was making &quot;so much noise&quot; he figured he would see me. I told him I had taken Vicodin but it didn't work and he said I was supposed to take 2 with 3 ibuprofren and acted as if I was dumb for not knowing that. he said he would give me those and a shot of novocaine but that was &quot;the best he could do&quot; like I was pill-seeking or something. I just wanted the pain to stop, and he treated me like I was a burden. 	3	1	1	4 	Insurance:Unknown
6	1	Dr. Thayer is very knowledgeable, he has a nice manner and shows his patients genuine concern for their issues.  He is a GP and thus his knowledge is well rounded but not specifically in one area.  He tries to see his patients on time or with very little waiting.  	5	4	5	5 	Insurance:Tricare
7	-1	Good thing this dentist has competent staff... he was loud, bumbled about, and did not even have the courtesy to introduce himself or talk face-to-face with a new patient (always stood behind or to the side). Not very welcoming. Office layout very noisy - all hard surfaces, little separation between patient spaces. After hearing loud (and rather rude) political rantings with a previous patient, I made a simple and polite request to not discuss politics during my appointment. Dentist seemed to take it personally and stomped off. Very unprofessional display of behavior;  after he returned, Doc Thompson seemed very distracted during the limited and awkward examination - the very competent hygienist had to guide him through the exam, prompting him about different areas of the teeth. Would never recommend this dentist to anyone.  	4	4	1	2 	Insurance:United Healthcare
8	1	Very good on call information, called back to give more info to patient 	4	5	5	5 	Insurance:Unknown
