dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	He isn't great on personality but the man is a great surgeon.  He fixed my shoulder up and everything is great! 	5	5	5	5 	Insurance:Unknown
1	1	Dr. Dailey doesn't have a great personality, but he does great work. My mother, brother and I have all had carpal tunnel surgery performed by him. We have had excellent results and couldn't be more pleased. My mother recommended him to me, then I recommed him to my brother. I would definitely recommend him again. The office is very large and a little overwhelming, but the skill of the doctor is what matters.  	5	4	4	5 	Insurance:Blue Cross / Blue Shield
2	-1	The doctor is arrogant and rude and as a result doesn't listen to the patient.  Follow-up care is very poor.  	2	2	1	1 	Insurance:Blue Cross / Blue Shield
3	1	We would like to thank you for being such a terrific doctor, making that special difference in both mom's, as well as our life. I think it is in times like this that you learn who your true friends are and you undoubtedly are our hero. The world would be an exceptional place to live if everybody was as compassionate as you are to your patients.  You are among the extraordinary. You answered a special calling to be not only a physician, but an astonishing individual. Your charisma never ceased to amaze me while mom was under your care. You repetitively went above and beyond the scope of your duties to administer superb medical care, and treated not only mom as a patient, but as a lovely, respectful, caring individual. There are no words that can express our gratitude to you and your staff for your prodigious care provided to our mother!  Thank you again for all your support and prayers and most importantly, being such a great friend and doctor.   May God Bless and watch over you, and keep up the good work! 	5	4	5	5 	Insurance:Medicare
3	1	Fantastic doctor. I went for a stress test and was fortunate enough to be in Dr. D'Andrea's care. He put me at ease and gave me his full attention. 		5	5	5 	Insurance:Unknown
4	-1	I went to see this doctor as a new patient complaining of stomach pain and left side pain.  After ordering some routine new patient type blood work I was told that she would call me if anything showed up and if not she would see me back in 6 months!  UMMM...I came because I was sick...what about the pain and nausea...any ideas.  She can't diagnose without her computer.  She types everything into her computer to check possible diagnosis and beyond that she's at a loss.  I would not recommend her to anyone.  	3	5	1	1 	Insurance:Blue Cross / Blue Shield
4	1	very helpful and gets you in as soon as possible usually the same day. 		5	4	4 	Insurance:Unknown
5	1	After several bad experiences with doctors, Dr.  Davis is a breath of fresh air 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
6	1	Caring demeanor.  Relays medical info to patient well and is extremely professional.  	4	5	5	5 	Insurance:Blue Cross / Blue Shield
6	1	Located a polyp which another doctor had missed.  Carefully explained the results of her examination, discussed alternatives available for treatment, went out of her way to communicate in detail.  The office staff is efficient.  	5	5	5	5 	Insurance:Medicare
7	1	Unlike some physicians, this one will spend time talking and explaining things to you.  He is quite knowledgeable and took care of my problems.  	4	4	5	5 	Insurance:Blue Cross / Blue Shield
7	-1	Diagnosed me with ED. I told him I can get an erection and have no morning erections though, which should have ruled out ED and made it something physical. Put me on Cialis and I am only 22...  	5	3	1	3 	Insurance:UPMC
8	1	dr d'auria is a very friendly, knowledgeable,thorough dr. I would not change him for any dr.  	5	5	5	5 	Insurance:Medicare
9	-1	. I though he retired 	5	1	1	1 	Insurance:Blue Cross / Blue Shield
10	-1	This office does not care about bad economic times and healthy children they wanted to terminate my children from the office for a nonpayment of $67 will my husband is lucky to have a job.I have to worry about food on the table,the mortgage and my husband hours getting cut from 48hrs p/wk to 24 hrs p/wk...but they don't care even thought the insurance takes care of the bulk of the visit they need their money...plus the amount was only $40,but they kept adding late fees.they're as bad as credit card companies..greedy  ****s.  	1	3	2	2 	Insurance:Blue Cross / Blue Shield
11	-1	STAY AWAY, more concerned about money than about my mental health.  Charged me $270 for missing an appointment.  Could not get in touch with her when needed.  Very aggressive about her billing procedures. 	1	1	1	1 	Insurance:Unknown
12	-1	He wont take the time to discuss with your problems...always in a hurry. 	4	3	1	1 	Insurance:Unknown
12	0	He is not a lifetime doctor you want. He is more in a hurry to get your dx. he wont help with your job papers like fmla or labor dept, when your job requires it. 	5	2	2	3 	Insurance:Unknown
13	1	Courteous, helpful, knowledgeable, excellent 	5	5	5	5 	Insurance:Unknown
14	1	I have been looking for an eye doctor for years.  My kids see her and my parents just adore her.  She is a very caring doctor.  she fitted my son in contact lenses and was very patient with him.  She was relentless until my son felt comfortable with taking the contact lenses home.  I recommend her to all the children in Newtown.   She is the best 	5	5	5	5 	Insurance:Aetna
14	1	I have seen Dr. D'alessandro for years.She identified an eye problem I didn't know I had during a routine eye exam and sent me to a specialist immediately. Then she called me to make sure I was okay. I was very impressed. She is very professional and helpful.  I trust her for my eye exams for myself and my family.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
14	1	Dr. D'Alessandro was incredibly helpful. Not only does she continue to assist me in my troubles, but I have heard she is doing whatever she can to help her patients. 	5	5	5	5 	Insurance:Unknown
14	1	Doctor is on time and is very helpful.  My famly adores her.  	5	5	5	5 	Insurance:Aetna
14	-1	Rude, unprofessional, and answered her cell phone during my first visit.  When I showed up for my next appointment, I waited for well over 30 minutes.  She came out, saw a walk-in patient she knew (or friend of hers) and asked that person to come back.  When the receptionist advised her that I had an appointment and was waiting, this was ignored.  I walked out.  	3	1	1	3 	Insurance:Aetna
15	1	excellent physicians! no c/o with their professionalism/knowledge...etc. however their office receptionist and whoever does their phone scheduling is rude, unfriendly, extremely unprofessional. def shouldn't be working in that environment. might be more suited for anything unrelated to the public.  	1	3	3	5 	Insurance:Blue Cross / Blue Shield
15	1	Dr. Ellen Dailey has been my doctor for 20 years and I trust her with everything that I am. She was extremely helpful with my pregnancies. When I had issues getting pregnant...she was the one who helped us find the correct solution. I am blessed to have her in my corner. 	5	4	5	5 	Insurance:Unknown
