dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
15	-1	 WoW. For my second pregnancy and new to the area, I thought I'd give this practice a shot. 1st visit with nurse went well...everything seemed put together and staff took their thime to answer questions. Second visit until 7th month pregnant was horrendous. She was always late for my appointment and then when she did come in, I always felt like her &quot;hand was on the door knob&quot; waiting to finish with me. So needless to say I left the practice. Please note that even though I won't ever have another appt with Dr. Haas, their are other physicians in the practice that have since stepped up and changed my mind (I will only visit Dr. George or Dr. Sheinberg)Hope this helps.  	2	1	1	2	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$20
15	-1	commentsShe misdiagnosed me.  Said everything was okay when in fact, I had uterine cancer. 	2	3	3	1	Insurance:Unknown
15	1	 Dr. Haas is the best Gynaecologist I have seen, personally. She walked in with the brightest smile, showed genuine concern, gave me great advise and the nurse who assisted me was also really riendly and patient. You're in good hands with this doctor. You might wait a little bit, to be seen, but this is becuase she devotes quality time to each patient.  Definitely give her 5 stars 	5	4	5	5	Insurance:Blue Cross / Blue Shield
15	1	 Extremely helpful and knowledgeable, non-judgemental, patient and caring. Will take the time to talk to you, which can lead to slight delays for other patients.  		4	5	5	Insurance:Blue Cross / Blue Shield
15	1	commentsGreat 		5	5	5	Insurance:Unknown
22	1	commentsvery kind and caring doctor, made us feel much better about diagnosis 	5	5	5	5	Insurance:Unknown
22	-1	comments 	4	2	1	1	Insurance:Unknown
40	1	commentsI had Dr. Habecker for years as my OBGYN. He made you feel like you were impt. and always took those extra  minutes to listen. He never made me feel like my problems were just my problems. He would take the time to  explain in plain english to me what I didn't understand.Very caring and great bedside manners. I highly recommend his service to anyone looking for a gynecologist. 	5	5	5	5	Insurance:Unknown
40	1	 Dr. Habecker is an oasis in the midst of a large practice. He is caring and knowledgable. I never feel rushed when I visit. Contrasting the consistently personalized care from Dr. Habecker, the scheduling system of the large practice is somewhat cumbersome and depersonalized.  	3	4	5	5	Insurance:Blue Cross / Blue Shield
40	1	 Dr. Habecker is kind, gentle, and caring.  He values my thoughts and concerns.  	5	4	5	5	Insurance:Blue Cross / Blue Shield
40	1	 Caring and always willing to take his time to discuss any concerns with you as a patient.  Always concerned with you as an individual and treats you like a human being NOT a number.   He is amazing, I drive from Philadelphia to Lancaster just to continue to have him as my OBGYN and always will!! 	5	4	5	5	Insurance:United Healthcare
40	1	 Dr. Habecker was the first doctor to take me seriously, and he may have saved my life because of it. His bedside manner is gentle and he always has time for all my questions.  	4	4	5	5	Insurance:Blue Cross / Blue Shield
45	1	commentsVery professional and knowledgeable.He took the time to answer questions we had. 	5	5	5	5	Insurance:Unknown
45	1	comments 	5	5	5	5	Insurance:Unknown
56	1	 What can I say--he's wonderful.  He has so much compassionate and is such a warm person.  He is so knoweledgeable.  He explains your problem and treatment thoroughly.  	5	4	5	5	Insurance:Blue Cross / Blue Shield
67	0	 I love the Doc. He is a great guy and very good to my family.I really like nurse Sally,she is very helpful. I do not like the other staff,and his secretary she is ignorant and cocky,very unprofessional.  The doc will do anything to help you and is very kind and carrying, listens to what you have to say, if he could just replace his staff or visits would be 100 % 	1	2	2	4	Insurance:CIGNA
