dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	great doctor. aaa++++ great with shoulders and very kind. i had three shoulder surgeries from a body building injury. very honest and hard working and will meet 4 times a month if needed he takes united healthcare. anthem and medicaid and tricare and medcare. great highly recommended for any one with shoulder problems or knee or elbow problem. i have been seeing dr. burns for 5 years now. aaaaa++++ and if you need to get in to see him they get you in write away asap to see him.  a++ 	5	3	5	5 	Insurance:Blue Cross / Blue Shield
2	-1	did not spend any time with me, condescending attitude, dismissed my concerns 	4	1	1	1 	Insurance:Unknown
2	-1	I do not recommend this psychiatrist.   He was short-tempered, impatient and   did not explain diagnosis. 	4	1	1	1 	Insurance:Unknown
3	1	Great doctor, very warm and easy to talk to. Will take you seriously and give you a proper workup to find out what's going on. 	5	5	5	5 	Insurance:Unknown
4	1	Best Pain Medicine Doctor. Take a while to get an appointment.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	1	Best Pain Doctor in Rhode Island.  He helped me so much with a surgical procedure for my back that it chaned my life! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	-1	POKED A HOLE IN MY EYE WHILE DOING ROUTINE CATARACT SURGERY, HAD TO WAIT FOR ANOTHER DR. TO HELP HIM .TOOK 4 HOURS TO REPAIR TEMP. NEEDED ANOTHER 3 HOUR OPERATION (BY DIFFERENT DR.) AND 6 MONTHS TO RECOVER. NEVER GAVE EXPLAINATION OR APPOLOGY.  BUT DID SEND ME A BILL! 	3	3	1	1 	Insurance:Medicare
5	1	Dr Brasch is an excellent doctor, he takes his time with you and is very knowledgable in all aspects of his care.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	1	Dr. Brasch was able to see me fairly quickly but was unable to do more than diagnose my problem of a clogged tear duct and refer me to a specialist.  He was very nice and I would certainly feel comfortable returning to him for more routine reasons such as eye exams.  	4	4	4	4 	Insurance:Aetna
6	1	I was wary when I had to switch from my longtime MD to another in the Hillside Family Medicine practise.My anxiety was allayed,however,by Dr.Behtash who is a very caring and professional physician.I first saw her when I was in crisis and she took as much time as needed to diagnose and treat me.She always followed up and worked well with my specialist.I wish she were in sole practise because I find Hillside,under the current management,to be frustrating and even incompetent.I was recently charged a missed appt.fee and was put through hoops for months before it was settled.Most of the MDs in the practise can waive this fee,but because Dr.Behtash is not a partner, she isn't allowed to.Instead I had to contact the billing specialist,Renee Bromley,who,despite repeated contact from me,never replied.It was only after Dr.Behtash intervened (the bill was put in collection!) that I got a reply from Ms.Bromley.This is not how any MD office should operate!Dr.Behtash is excellent;Hillside is not! 	2	3	5	5 	Insurance:Unknown
