dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
2	1	commentsDr. Campbell is a good doctor, but  I didn't like two things about her:  her staff is UNBELIEVABLY rude, and the Dr. herself tried to push me to take phentermine in order to lose weight (I'm about 15 lbs overweight).  I don't like the idea of taking speed as a weigh loss aide, but apparently she does.  She is a nice person, but should dress a bit more professionally...I felt like I was talking to a high school kid rather than a medical professional. 	1	3	5	5	Insurance:Unknown
2	-1	 I voted punctual bad because I was placed on hold for over 4 minutes. I called this doctor because I was diagnosed (diagnosed 1 visit) w/ Auto-Immune Throid in 2007 by a Boston MD. NO action taken because my Thyroid was functioning. I moved to RI &amp; have had no follow up since, but felt I was having a problem (losing hair, dry skin, full feeling and bump in my throat in thyroid area, eyes dry and protruding). I called this doctor &amp; was told she would REFUSE to see me, simply because I had seen another doctor FIVE years ago...I tried to explain that it was just 1 visit to be diagnosed but they/she didn't care. Key word :she DID NOT CARE. I would NEVER suggest a MD who doesn't have the confidence to help a patient w/exisiting condition-especially if they've never been treated. BAAAAAAAD sign of a baaaad doctor! I have never seen this doctor--my review is simply based on the &quot;helpfullness&quot;, knowledge after explaining my issue, rudness, and call wait time.  	1	1	1	1	Insurance:Blue Cross / Blue Shield
2	1	commentsDr. Campbell was amazing.  She was very thorough, giving many important tests and then sitting with me explaining what every test was for and thoroughly explaining the results. I don't think i have ever had such a thorough exam, testing and explanations. 	5	5	5	5	Insurance:Unknown
2	1	 Extremely kind, patient, and compassionate. Very knowledgeable about diabetes and associated complications. Advocates for her patients. Does a fantastic job of trying to understand a very complex disease.  		5	5	5	Insurance:HealthPartnersPaid/Co-pay:$15
17	-1	 I've been seeing Dr. Callen for over a decade. He was really good once. Now that he works for Primacare, he's a referral machine (to other Primacare physicians, of course). He just wants to get you in the door so he can bill your insurance company, then refer you to someone else so they can also bill your insurance company. It's sad when a doctor starts putting profit ahead of quality care.  	3	2	1	3	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$10
23	1	commentsI was rushed into South County Hospital for what I assumed was a stomach virus, the attending Emergancy Dr., realized right away something was not right. I was admitted early Monday morning April 23,2007, I had come in on Sunday April 22, 2007.   Dr. Capuano performed surgery on me and it was not good new's , I was 39yrs.old and I had to have a big portion of my colon removed! I never had any warning sign's, it all happened within 2-hour's - and then my husband rushed me to the hospital on Sunday.   Dr. Capuano came and saw me everyday, I was in until April 28, 2007. He did want me to leave until we knew what we were dealing with.   I am going to a specialist for this problem, I still suffer side affect's, but if it was not for Dr.Umberto's quick action and had my surgery moved up by 3-hour's. Well who know's&#63;   He never made me feel like my question's were dumb, I am sure he could tell I was scared to death, after surviving Cervical Cancer, this new blow really hit me 	5	5	5	4	Insurance:Unknown
23	1	 Excellent physician, kind and compassionate and very intelligent. Top surgical skills.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
26	1	 My son was just 3 1/2 when I was told he needed surgery. I was a wreck. This office w wonderful. Dr Caldamone was unbelievable w my little guy. I could not have been happier w his treatment. My son is now 7 and has had no issues and no recollection of his surgery.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
26	1	.  i love this guy , ive had so many kidney problems and he helped me 	5	5	5	5	Insurance:Blue Cross / Blue Shield
26	1	 I agree wholeheartedly with all the previous posts.  My son was treated by Dr. Caldamone when he was 12 -- he is now 29 and completely healthy.  It is vital to trust your MD during such stressful periods.. He is an excellent doctor and I am so grateful that we found him.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
