dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	This is on behalf of my father, who is not here today because of this sc****g.  My dad went to him for metatarsal surgery and came home, collapsed on the bathroom floor, he was taken to the emergency room where it was confirmed he got sepsis with listeria.  My dad died a week later in the ICU.  This doctor is NG.  My dad would always come home with bloody socks on after his appointments with him, too.  He falsified my dad's medical records after I requested them.  Why&#63;  Because he knows we are going to sue him, so that I would get spoiled evidence.  I think he should be in jail for what he did to me and my dad.  He is no good and should be closed down.  I have reported him to my state board of licensure and please ALL who read this don't go to him.  He owes my family ALOT of money right now.  He deserves to get sued for every single dime we can get.  He isn't going to get away with my father's wrongful death charges and wanton negligence that he committed.  He is a criminaland a quack.  	1	1	1	1 	Insurance:Medicare
2	1	This office was great. Had to leave when my daughter started to feel uncomfortable with him. He could be rude at times but the staff was amazing. 	5	4	4	4 	Insurance:Unknown
2	1	Dr. Ghoreishi has been my doctor since I was a baby and he's great. I'd recommend him to anyone looking for a pediatrician. He's very helpful and always knows what he's talking about. The staff is great, and over all the office is great. Always smiles and knows most, if not everyone, by name. The office and staff make sure you have a comfortable time while at your appointment and are never rude.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	-1	. I guess hes ok if your young but if your older than 60 look for another doctor cause they dont want to treat you 	1	4	1	2 	Insurance:Medicare
3	1	. Shoulder came back and still threw in the low 90's 	4	4	5	5 	Insurance:Blue Cross / Blue Shield
3	1	nice guy but way behind 		2	3	4 	Insurance:Unknown
4	1	Dr. Greco has been our pediatrician for 9 years.  He  has always taken my concerns seriously, listened patiently, diagnosed correctly, spoken straightforward and understandably. He provides thorough care. The office staff is always pleasant. Sometimes there is a wait on the phone when calling in for an appointment. If I have needed a return call about a question the return call has been within the hour.  I recommend him highly!~ 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	1	Dr Greco is just awesome and always has been.  Both of my children had him (they are now 25 & 18). He was caring, patient & most personable.  He never provided a misdiagnosis throughout the years. His office staff is just the best too!! Hats off for running a tight ship.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	1	had him for 18 years. extremely caring, helpful and knowledgeable doctor. i was extremely sad when I became too old to go to him anymore.  short waiting time, friendly office staff, a tribute to the medical professsion 	5	5	5	5 	Insurance:United Healthcare
4	1	Fabulous pediatrician!  Responsive and follows up on issues.  	5	5	5	4 	Insurance:Blue Cross / Blue Shield
4	-1	. I have changed Doctors when my DAUGHTER ALMOST DIED AND HE WAS NOT THERE 		2	2	1 	Insurance:Blue Cross / Blue Shield
4	1	THE BEST PEDIATRICIAN, THERE IS... HE IS GREAT!!!! 		5	5	5 	Insurance:Unknown
5	-1	Unskilled, and led to problems later. 	2	5	3	1 	Insurance:Unknown
6	1	very kind gentle doctor  does not push additionnal appointments he leaves it up to you.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
6	-1	 	1	1	1	2 	Insurance:Unknown
6	-1	Poor Service Overall... Would not Refer anyone to him. 	1	1	1	2 	Insurance:Unknown
6	1	very kind, gentle, and caring. 	5	3	5	5 	Insurance:Unknown
7	-1	Lack of knowledge and skill. None existent 'bedside manner' to the point of rudeness. Her biggest concern is covering her butt. Really doesn't understand what is expected. Little knowledge of regulations. 	2	2	1	1 	Insurance:Unknown
8	1	Dr. Godley was referred to me by my PCP, so I knew immediately I would be in good hands, and I absolutely was. In addition to info provided above, Dr. Godley is caring and most considerate of patient's fears and anxiety. I ended up having some surgery, which scared me, but the entire experience was absolutely comforting. I trust Dr. Godley and am confident that he his patients' wellbeing is is his top priority.  	5	5	5	5 	Insurance:Medicare
8	1	dr.  godley and his team were great i would recommend him highly 	5	5	5	5 	Insurance:CIGNA
9	-1	Always late and will text during appointments. Office manager is very rude. He's very arrogant and has no social skills whatsoever. Rushes appointments. Does not want to be there. Has pictures of family everywhere and always talks about them. Think he's an MD just to make money and doesn't care about anyone but himself. Not a nice man and neither is his staff. Stay away at all costs.  	1	1	1	1 	Insurance:United Healthcare
9	-1	I felt that he was only in it for the insurance money, he did not care if he was a good Dr. as long as the money was coming in. My opinion. Found a new Dr.  	 12/1/11	3	1	1	Insurance:United Healthcare
