dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
2	-1	 Problem with post-op infection. Passed off &quot;wound-care&quot; with comment that there's nothing more he could do, yet never given antibiotics.  	1	1	1	1	Insurance:Blue Cross / Blue Shield
5	1	 Dr Larkin operated on both my eyes and I would recommend her highly to anyone.  She is top rate in my book.  	5	5	5	5	Insurance:Medicaid / Medi-Cal
5	1	 Dr. Larkin recently operated on me to remove cataracts. At her suggestion, she implanted newly-perfected toric lenses. The result was the cataracts were gone and so was my astigmatism! Not only can I see better than I did with bifocals, she adjusted  the prescriptions of each eye individually, so one is more for distance and the other for reading! I now really do not need to wear glasses at all tho &quot;readers&quot; make things a bit more comfortable for the &quot;distance&quot; eye if I am reading at length. If I were to choose just one word to describe the end result, it would have to be &quot;miraculous&quot;. I am totally thrilled and highly recommend Dr. Larkin to anyone heading down the &quot;cataract removal path&quot;.  	4	4	5	5	Insurance:CIGNA
28	1	 Superb physician. Caring, careful and honest. Would drive 5x as long to keep him as our family's doc! Consistently follows up, always prepared for our appointment.  	4	4	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$15
42	1	commentsMay God Bless Dr. Edward Lally, All I can say is THANK YOU! I was a patient of Dr. Lally's for many years. He was a brilliant doctor and a most kind hearted person. I now live in FL and I have yet to find a doctor who can compare to Dr. Lally. If I am not mistaken, Dr. Lally is researching connective tissue disorders, my Mom died from scleroderma. I wish Dr. Lally the best in his endeavors. 	5	5	5	5	Insurance:Unknown
45	-1	 Was a patient of Dr.L'Europas.  Had a medical emergency and ended up in the hospital. ER contacted him...No response. I contacted him the next day. No respone. Numours messages left - NEVER got a call back.  DO NOT GO HERE! 	2	1	1	1	Insurance:Blue Cross / Blue Shield
45	1	 This past summer I was stricken with full-blown migraine w/ aura lasting over 2 months and so severe I could not sleep, work, drive, think, and barely functioned. Referred to Dr. L'Europa by my primary care doctor...an MRI and CAT Scan ruled out anything critical and was completely evaluated at NeuroHealth.  Treatment included a comprehensive mind/body and medicinal approach to identify triggers and treat debilitating migraine pain. I credit Dr. L'Europa and his team of professionals for getting me back on my feet and back to work.  After reading some of the negative reviews on this site I decided to share my experience...not every person will respond well to this unique treatment facility because sufferers must be willing to benefit from a multiple approach to wellness:  medicinal, physical therapy, and behavior modification.  It required full participation... I'm grateful to this team of professionals for educating and helping me to manage migraines, and for restoring my life! 	5	5	5	5	Insurance:Blue Cross / Blue Shield
45	1	 I first met with Dr. Leuropa in the late 1990's when he thoroughly assessed and referred me to the only doctor in state who had the expertise to diagnose a very  unique form of migraines.In January 2011,my endocrinologist urged me to return to Dr L'Europa's NeuroHealth Facility. I was amazed to find a vastly expanded practice which includes many neuro-specialists;doctors,nurses,Physician's Assistants and a whole floor devoted to NeuroPhysical Therapy.During each appointment with these specialists,Dr. L'Europa met with me personally.His genuine interest and concern for my health and well being has been evident in his willingness to answer questions and provide comfort at times when I've needed it most,lead me to trust in him and the other gifted professionals he has hired to work with him.These words:bright,genuine,kind,thorough and professional pefectly describe Dr. Gary L'Leuropa.NeuroHealth is clearly his baby and a total success.I would encourage anyone to seek his care.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
45	-1	 I have seen this doctor in 2006 for Headache(migraines) and he spent less than 5 minutes with me. He ordered al kinds of tests which I think unnecessary. He comes and fly even during EMG or EEG (which I don't remember). He won't answer our questions. After that every visit seen by RN not him. A patient needs Assurance from Doctor which you won't get it. I realized and changed the doctor. Don't judge by his medical degree.  	3	2	1	1	Insurance:Blue Cross / Blue Shield
45	-1	commentsHe is an arrogant jerk.Period.The other poster is right.He has no time for you,his NPs do all the work.Well,I am not paying to see your NP.My problem requires a competant nuerologist which he is not.All he did was come in and out to shoot me up with trigger point injections that do not work for most people I know.I timed him once,he saw me in under 3 minutes.That was the average.First visit to evaluate me,under 5.Please don't waste your time like I did.He does not care about you or your pain.Obviously it must be the $.Having the means to graduate from Brown does not make you a good doctor.NO compassion whatsoever.I suspect if the good ol doc had to miss his life due to constant,crippling pain,then maybe he would understand.It's clear he does not.I'm sure the good reviews online were written by him since he is arrogant enough to read them all and sometimes comment.Do your patients a favor doctor and retire,I'm sure you have a nice set of golf clubs waiting. 	4	4	1	1	Insurance:Unknown
45	1	 I suffer from a rare neurological disorder that I have had since birth.  Dr. L'Europa was very knowledgeable, caring, and very sympathetic to my situation.  I will recommend him to anyone who is in need of neurologic care.  	5	4	5	5	Insurance:Medicare
45	-1	 Ok, my impression of Dr L'Europa was one of distrust. Let me explain why: 20 minutes late seeing me. The nurse did the work up ( his name is Joe and he is BEYOND wonderful). The Dr comes in for the last 5 minutes and brings nothing. I have nerve damage in my leg and had very specific questions about the EMG. When he answered the question I could tell that he uses EXTREMELY EVASIVE language. It was like listening to Clinton during the Ken Starr questioning. He's talking but he is not caring or listening. I was very conflicted. Ultimately I cancelled all further appointments with him.  The reason being that when I thought of him in charge of my care , I felt fear. Fear that he is not invested in any way as to how I need to be cared for.  This part of his career is done. He has a lot of power, respect and ego. He can now be on whatever track he chooses. He seems to have chosen to strictly diagnose and fix. No more, no less. Never settle for this. Find a Dr you feel GOOD about.  	4	2	2	2	Insurance:Blue Cross / Blue Shield
