dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	0	long wait never on time. Staff is not friendly or courteous.Dr. is NOT CLEAR ON DIANOSIS.  	3	1	3	3 	Insurance:Medicare
1	1	 	2	2	5	4 	Insurance:Unknown
2	-1	He was uncommunicative and rather cold. He smirked in a condescending way when I told him what I thought was wrong with me. (I turned out to be correct).  	4	4	2	2 	Insurance:United Healthcare
2	0	This doctor's office is sub par. While his medical skills are adequate his management of patient accounts is terrible. Very disappointed in this dr. and the way I was treated. 	3	4	2	3 	Insurance:Unknown
3	0	You always are kept waiting. Staff can be brusque Dr. is very casual about her work.  	2	1	3	3 	Insurance:Medicare
3	1	Dr.  Muglia helped me with my skin problems  and answered all my questions 	4	4	5	5 	Insurance:Blue Cross / Blue Shield
3	-1	I waited 6 months for this appointment, and then she was 60 minutes late. The office is located inside RI hospital, which is a filthy place. I didn't get the impression that she was really interested in her job when I saw her.  	2	1	2	2 	Insurance:Harvard-Pilgim
4	1	best doctor/surgeon in RI probably New england hands down. Great guy... great doctor 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	1	. excellent explanations, compassionate, skillful successful surgery, great follow-up, willing to take time to answer questions 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	-1	Had me unwisely rehabbing torn rotator cuff... then rushed off to lunch in his sports car at 11am. I switched Docs and had successful surgery. Office crew great.  	2	2	1	2 	Insurance:Blue Cross / Blue Shield
4	1	This doctor is absolutely fabulous.  I have had 3 different surgeries performed by him - all turned out just fine.  Plus, he keeps up to date with new procedures.  I highly recommend him. 	5	5	5	5 	Insurance:Unknown
5	1	I've been taking my mom to Dr. Miele.. he is by far one of the nicest doctors anyone can ask for. Very kind and wonderful bed side manner...  	5	5	5	5 	Insurance:United Healthcare
5	1	Outstanding.  Dr. Miele is great, the staff are caring and professional.  I have unfortunately been to alot of doctors so I know really good.   They are really good!! 	5	5	5	5 	Insurance:United Healthcare
5	1	Dr. Miele and his staff are by far the best at what they do!  I would recommend Dr. Miele to anyone who needs a GREAT doctor.  	5	5	5	5 	Insurance:Aetna
5	1	Outstanding surgeon! Great personality. Explained everything and answered all questions. Thank you, Dr.  Miele! 	4	5	5	5 	Insurance:United Healthcare
6	-1	I had a very tramatic experience with this Dr. and I was physically shaking when I left the office. I never had a bad experience with any other dentist before.  		3	1	2 	Insurance:Delta Dental
7	1	Dr. Maggiacomo and his staff are very courteous.  He has never kept me waiting and has responded to my phone calls within 1-business day.  I've referred family members to him, the biggest compliment you can give any Dr. 	4	5	5	5 	Insurance:Unknown
7	1	Dr.  Maggiacomo is the best! He cares about his patients and his staff have been excellent to deal with! 	5	5	5	5 	Insurance:Medicare
7	1	DR FRANK IS THE MOST FRIENDLY,HONEST,COMPASSIONATE AND THE MOST UNDERSTANDING DOCTOR YOU'LL EVER WANT TO MEET. HE TELLS IT LIKE IT IS AND MAKES SURE YOU GET THE RIGHT DIAGNOSIS AND THE RIGHT TREATMENT. HE FOLLOWS THRU ON EVERY CASE NO MATTER HOW SMALL. HE'S EVERYTHING A DOCTOR SHOULD &amp; COULD BE. THAT'S WHY I AND MY WHOLE FAMILY GO TO HIM.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
7	1	Dr. Maggiacomo and his staff are wonderful.  He has managed to lower my blood pressure and cholestoral and is always caring, kind and takes the time during each office visit.  He is wonderful.  Thank you.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
7	-1	see dept. of health disciplinary complaints 	1	1	1	1 	Insurance:Unknown
7	1	Excellent partner in my healthcare. Very up to date on medical information. Perfect at explaining difficult medical terms and therapy. Get's back to me quickly if I need him for appointment or consultation. Office staff friendly and efficient. Good beside manner.  		4	5	5 	Insurance:Blue Cross / Blue Shield
7	1	Everything the first person rating this Dr says is so so true. My mom is 82 and if she had not switched to Dr. Frank two years ago I don't think she would still be with us. He has gotten all of her health issues under control and does not consider her age not worthy of his time as her other Dr had.  	 9/23/06		5	5	Insurance:Blue Cross / Blue Shield
7	1	Warm & compassionate, this doctor has the best bedside manner I've ever experienced. He's also thorough, listens to what you have to say, and involves you in your own care.  		4	5	5 	Insurance:United Healthcare
8	1	Great doctor and staff. Patient and gentle. Staff is very skilled and helpful. Glad I found that office. It is where I bring my family and refer all my friends. 		5	5	5 	Insurance:Unknown
8	1	This dentist is wonderful...where another local dentist left me high & dry with a problem tooth, this dentist immediately relieved me of the pain and took care of the tooth.  		5	5	5 	Insurance:Delta Dental
9	0	DO NOT SEE THIS DOCTOR! i was being treated in hi ma office. one day out of the blue he starts pushing subox on me!! i told him what he was giving me was working very well to manage the pain, and he still insisted on pushing the suboxone. i am not the only one he was doin this to turn out. he also tried pushing methadone on me&#63;&#63;&#63; he tried to tell me that this was a way better route to take then the meds that i was on ( mind you which are working) i knew and know people on suboxone and methdone and they all tell me the same thing, the one that came off of it....they are way worse then the painkillers as far a a detox, and screw you up more. i went there for PAIN MANAGEMENT!  Not Opiate dependacy or Heroine issues. Hes also alway very late, rude, cocky and just a plain useless dr. he is more concerned with the $$ he can make then treating the patient for thier issues. i seen what he billed my insurance for 1 visit... 1400&#63;&#63; this guy is a SHAM 	2	1	2	3 	Insurance:Medicare
9	-1	This doctor should not be in practice! Who makes pain patients wait 4 hours for an appoinment. He also has alot of people in his waiting room that make me question what kind of practice I even attempted to go to. If you are not looking for heavy doses of narcotics I would not suggest going to New England Pain Associates. 	1	1	1	1 	Insurance:Unknown
9	1	GREAT Doctor, long wait, but worth it.  He's VERY caring and LISTENS to his patients, if you don't mind a bit of a wait, I 110% suggest this Doctor for pain relief/advice!!! 	5	2	5	5 	Insurance:Medicare
9	0	DR. MASHALI WAS PROBABLY A GOOD DOCTOR BEFORE BUT HAS DEFINATLY LOST HIS WAY. HE IS ALWAYS AT LEAST 2 HOURS LATE, ANSWERS HIS EMAILS AND PHONE IN FRONT OF PATIENTS, GIVES NARCOTICS OUT LIKE THEY ARE CANDY,AND IS PUTTING LIVES IN JEOPARDY. HE ONLY SEES THE $ SIGN ABOVE YOUR HEAD. PATIENTS ONLY LIKE HIM BECAUSE HE GIVES OUT SO MANY NARCOTICS. 	1	1	1	5 	Insurance:Unknown
9	1	. AWESOME Doctor, cares about his patients, GREAT staff, only issue is wait time, but well worth it!!! 	5	2	5	5 	Insurance:Medicare
9	1	Dr mashali is exceptional in is field he has helped me to begin to live my life again. I am grateful for his ability to help treaty back problem and recommend him to anyone who needs to recover from serious back problems. His expertise is second to none. 	5	5	5	5 	Insurance:Unknown
9	1	My back pain is finally more manageable after treatment. 	5	4	5	5 	Insurance:Unknown
10	-1	After seeing four other Doctors, My PCP sent me to this Doctor because he was a specialist in his field. WE both had hoped to get some result from him. My husband and I walked out of his office feeling WORST then going in. We left with NO resolution to my medical problem. This Doctor had no more to tell me then the other Doctors. What he did tell me was, he thought I ate to much, which I only eat one small meal a day, That maybe weight watchers can help, or better yet, Stapel my Stomach. I work out 3 days aweek, walk 5 miles a day and this is what I had to hear from this doctor. I took my husband in with me, so he could witness first hand what I had to deal with. I'm left with no other resources then before I walked in to this specialistes office. Now when I go back to my PCP, I will be giving him an ear full. 	1	2	1	1 	Insurance:Unknown
11	-1	He is on the Insurance company payroll to rule against social security and workers comp claims, even if both your arms and legs were lobbed off he would say you were able to go back to work, he gets paid to end your benefits..Old, uses archaic methods of assessment , ignores test results, is rude, unprofessional unbeleivable and the judicial system is finally noting that he can't be trusted. Avoid this one calling him a quake would be an insult to quakes. 	2	2	1	1 	Insurance:Unknown
11	-1	I have nothing good to say about Dr. Mariorenzi whatsoever.  Arrogant, rude, narrow-minded and foolish.  His bedside manner is atrocious.  He should have retired 20 years ago.  He defines what is wrong with the medical industry. 	4	5	1	2 	Insurance:Unknown
11	1	I have had Dr. Louis J. Mariorenzi (the son) do total hip replacements of both my hips, 8 years ago. They were done 3 months apart. I consulted with 4 other Docs. before choosing Dr. Mariorenzi and I have to say after talking to all of them and inquiring/researching into the skills and techniques of total hip replacment, I felt totally confident that Dr. Mariorenzi was the best surgeon for the job. While it is true, he is lacking in bedside manner (speaks mostly very factually), I feel he is the type of surgeon who will be very meticulous and precise in his surgeries. I'm very happy that I had him to do my surgery. When someone is going to operate on you; you want the best and that is what you will get with him. If you want to see someone for pain and sympathy go to a primary care doc. or rheumatologist.  I do find some of the staff leave something to be desired.  Also, wish he was affiliated with RI Hosp. and Miriam, instead of Fatima and Roger Williams. Happy with outcome.  Adore him 	2	4	5	5 	Insurance:Medicare
11	-1	Absolutely no bedside manners. No regard or help for your pain. Basically father and son (the Louis') tell you to suck it up or go elsewhere for pain. I was told before surgery its an engagement and after surgery its marriage.  	2	3	1	2 	Insurance:Blue Cross / Blue Shield
12	1	I do like the doctor herself, in fact recommeneded her to several friends as well as my own sister. The only complaint I have is on first impressions. She has all these tacky signs taped to the front door at the entrance and beyond. At least they could be laminated or neat and professional, not all dog earred and faded by the weather. And her staff although very helpful and polite hardly look like the epitome of health. Yes I understand overweight, but they are downright obese at a medical professional front desk. Not a great impression of healthy even remotely. Otherwise, the doctor is great, easy to get an appointment and is very genuine and down to earth.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
12	1	Dr. Ami is the best. She never makes you feel like you are being rushed out of the office. Very rare these day's.She is laid back and will listen to what ever you need to tell her.I couldn't have asked for a better Dr. She honestly seem's to care about her patient's. 	4	4	5	5 	Insurance:Unknown
12	1	I LOVE Dr. Muehlberg! She is caring, knowledgeable, and thorough. Also very easy to get in and see her. Her staff is top notch and knows their stuff. There is also a lab on-site.  After switching doctors three times - I'm so pleased to have found her! 	5	5	5	5 	Insurance:Aetna
12	1	Dr. Muehlberg is the best doctor my husband and I have ever been to. My husband does not like to take any sort of drug unless there is nothing he can do naturally to prevent the issue. Dr. Muehlberg explains everything thoroughly and listens to everything we have to say. She also lets us decide our care within reason. My husband and I are also overweight like the majority of people in the US, but she never states that we need to lose weight (not like we don't already know). Instead, she talks about different foods to eat and types of exercise we can do to change our cholesterol and triglyceride levels.  I would recommend her to any of our family and friends; I like her that much.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
13	-1	Dr. Malik thinks he is God's gift to gastroenterology.  He told me that my symptoms were all in my head.  I ended up seeing another specialist who diagnosed with me with Crohn's.  	1	3	1	1 	Insurance:Blue Cross / Blue Shield
14	1	The most helpful and thoughtful man. I was told by my general dentist that 2 of my teeth needed to be removed. He told me that they still could be saved, and sent me to a new dentist who saved both my teeth with just fillings. Love him.  	5	5	5	5 	Insurance:Medicaid / Medi-Cal
14	-1	This man was very unprofessional, I went in to have some teeth removed and was not sure of what the procedure was going to be like. When he asked me what i wanted done(how many of the three teeth i wanted removed that day) i was not sure so i asked what his advice was. He told me that &quot;you should have brushed your teeth and then you would not have to had any removed.&quot; Then he proceeded to ram the novacaine needle into my gum as hard as he could and without letting it get numb began to rip my teeth out of my mouth.  He got angry with me because i said i was in pain and rammed some more novacaine in my gums. He actually yelled at me to open my mouth wider as he wrenched out my teeth. this was the worst dental experience of my life and i would never advise anyone to use this man. After he finished ****ing me he just left the room without saying a word and when i told my regular dentist about what happened him or someone in his office lied and said i got angry and threw a chair.  	1	1	1	1 	Insurance:Medicaid / Medi-Cal
15	-1	Saw this Doctor in the ER of Rhode Island hospital. She had an awful bedside manner. She sounded like she didn't believe anything I was telling her. No compassion whatsoever. Came off as cold and a bit rude. She needs to work on making the patient feel more comfortable. She made me feel like I was a bother and that she had no time for me. She doesn't seem to be a very happy person. I'm not even sure that she likes her line of work. 	1	3	1	3 	Insurance:Unknown
16	1	I could easily wrap this up in 1 word - SMART - but thsi comment box thing is making me add more.  So, I'll add that she's friendly, nice, and smart! 	5	5	5	5 	Insurance:Unknown
16	1	AMAZING AMAZING AMAZING. EXTREMELY SHARP AND SMART.  	2	5	5	5 	Insurance:Blue Cross / Blue Shield
16	1	She was a nice person, treated me kindly. I would recommend her.  	1	4	4	4 	Insurance:Blue Cross / Blue Shield
16	1	Dr. Modha is really sharp and smart.  I got the feeling she is really well liked and respected by her staff too. 	5	5	5	5 	Insurance:Unknown
16	1	Excellent Doctor - Smart, helpful, efficient and very professional. You can't but help getting better by just consulting with the doc! 	5	5	5	5 	Insurance:Unknown
17	-1	This doctor keeps patients waiting for hours. He ofetn doe snot arrive in hte office until hours after is first appointment is scheduled.  	5	1	1	1 	Insurance:Blue Cross / Blue Shield
17	-1	 	4	2	1	1 	Insurance:Unknown
18	1	Dr. Matthews helped me when no one else could. She was consistent and caring and professional. She knows her stuff, that is for sure. I comfortably recommend Dr. Matthews. If you are willing to work hard, she won't let you down. Of this I am sure.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
19	1	Dr. McCauley is an excellent physician who truly cares about his patients; his office staff - especially the summer technicians - proved extremely helpful on my visit and I no longer feel that I have to dread going to the ophthalmologist.  The doctor's examinations are always thorough as well, a comforting thought. 	5	5	5	5 	Insurance:Unknown
19	1	Dr. McCaulley is more than just a doctor, he's a friend. 		4	5	5 	Insurance:Unknown
20	1	&quot;Dr. Mig&quot; is one of the best doctors I've ever had.  He was so caring and really took him time with me with anything I needed.  He even made himself available for concerns when he was home!  He made me feel very relaxed and at ease with my surgeries because I was so nervous and anxious.  His staff was even friendly and comforting.  I wish all doctors were like Dr. Mig.  Thank you doctor. 	5	5	5	5 	Insurance:Unknown
21	1	I am so happy I chose Dr. Michaud for my procedures of a Tummy Tuck and Breast Augmentation. The staff, hospital and Dr. Michaud himself are attentive and sensitive, and knowledgeable. I am 2 weeks post-op and my implants look fabulous and have a very natural full breast look. My stomach looks like a normal stomach. The scars are what are expected and not bad at all. The TT scar is very low and easily hidden beneath my panty line. He helped give me my confidence back after birthing and nursing 2 kids and weight loss. I feel fabulous! I would recommend his services  very highly. I would like to stress that I was extremely fit for the procedure and my BMI index were normal, which I believe contributed to my overall satisfaction with these procedures. 	5	5	5	5 	Insurance:Unknown
22	1	To echo everyone else, he's great and the staff at the clinic (on Rancho) are very good also. 	5	5	5	5 	Insurance:Unknown
22	1	I had read ratings from others about DR Michaels. He is EVEN NICER than I could've imagined. Ive had some negative experiences w/dermatologists in Clark County & Im am so glad to have found someone so nice,caring & informed. I got in at exactly my appt time, he was completely on the same page w/me regarding my skin condition & so personable I felt like hugging him when I left! I restrained myself, but that is not my typical reaction to a Dr.  so believe me when I say its worth the drive! He's a sweetie! 	5	5	5	5 	Insurance:Secure Horizons
22	1	Dr. Michaels recently removed a cyst from my daughter's face.  If you have had experience with teenage girls, you know how important their appearance is to them.  Dr. Michaels let us know up front their would be a small scar involved, and tried injecting the cyst first to see if it would resolve itself.  When that didn't work and my daughter asked him to remove it, he couldn't have been more kind or understanding.  He and his staff were extremely professional during the removal procedure itself, which involved only one small stitch.  My daughter is very happy with the results.  I am impressed with Dr. Michaels and his staff and would recommend him very highly.  	5	3	5	5 	Insurance:Aetna
22	1	I finally found someone who can help a life-long skin condition other doctors said nothing could be done to correct!  Its a long process, but I can see improvements. Dr. Michaels and his staff are very helpful and polite.  They always listen to my questions and concerns and never rush in and out of the exam like other doctors tend to do. My only problem is that I live a great distance from the new office and cant get there as easily as I would like. But hey, its worth the drive!!! It is a little on the expensive side, but I think in the end its worth it. 	4	5	5	5 	Insurance:Unknown
22	1	Dr. Michaels is one of the best. Knowledgeable, thorough, competent and patient caring. He and his staff are great. Hard to find good Drs. so don't pass this one up.  	5	5	5	5 	Insurance:CIGNA
22	1	Dr. Michaels and the entire staff at the Las Vegas Skin & Cancer Clinics are outstanding! Dr. Michaels is willing to take the time to talk about various options to skin problems, and he is more than willing to take the time to answer patients' question. The PA's & the nurses are also extremely knowledgeable and are willing to answer patients' questions. Dr. Michael's bedside manner ROCKS! 		5	5	5 	Insurance:Unknown
