dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Up front problem is that I have waited 2 to 3 hours past scheduled appointment time. Good news is that it is worth the wait: he gives you full attention,all the time you want...talk about all your problems and he will help or show you the way to go next. He has given me advice, referrals, and tests and medications that were totally right and missed by other doctors.  		1	5	5 	Insurance:Blue Cross / Blue Shield
1	1	Dr.  Opalenski truly helped me with the multitude of stomach problems I have had and I would reccomend him to anyone with gastro-intestinal problems 		5	5	5 	Insurance:Blue Cross / Blue Shield
1	1	He was late be helped me out perfectly. I went to a bunch of other doctors and they couldn't help me. A very knowledgable and professional man.  		3	5	5 	Insurance:HealthPartners
1	-1	Every appointment I had with him he was at least 3 hours late,and not even in the office when my appointment was scheduled for, helped me somewhat with my condition, my condition greatly improved when I switched doctor's, I would not recommend him.  		1	2	2 	Insurance:HealthPartners
2	-1	Dr. Oliva is NEVER on time for appointments. The average wait time for me is just under an hour; over an hour I leave. My last visit I decided to see how long it took. At the one and one half-hour point, I was called in. When I complained that this was unreasonable, she told me I was free to find a new doctor, a far cry from the &quot;I'm sorry you had such a long wait&quot; that I expected. With one exception, the staff is snarky (especially when I leave) and medically this office is so impersonal and institutional that if I didn't need my prescription I would learn more from a book or on the web. Her arrogance gets in the way of my treatment. I wish I had realized this earlier and left her care then.  	2	1	2	2 	Insurance:Medicare
2	1	Dr. Oliva seems like a very good doctor to me, in the sense that she has always been right on the money when disgnosing any of my problems. However, she is always running at leas tan hour late. I cannot deal with this any more now that I have a little baby. I also was oping for my physical to be more comprehensive, and not just a CBC. I would like to know my cholesterol, etc.  	3	1	3	4 	Insurance:Harvard-Pilgim
2	-1	I have had Dr. Oliva for years and over time the office had gotten worse.  	1	1	1	1 	Insurance:United Healthcare
2	-1	I called this office 6 times to request results of a test taken IN  OCTOBER .  This is now JANUARY.  At this time she has not returned my calls.  	1	1	1	1 	Insurance:Medicare
2	1	Dr. Oliva has been a thorough and caring doctor to me since Sara Nugent left her practice (4 years&#63;).  	4	3	5	5 	Insurance:Harvard-Pilgim
3	1	Dr. Ortiz changed my life.  After having thyroid problems for 35 years, he increased my dosage of synthroid and I began to live life like I should be.   He is extremely knowledgeable  I would highly recommend this wonderful doctor! 	5	5	5	5 	Insurance:United Healthcare
