dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	She is great! The kids love seeing her. Patient and kind and very knowledgeable. 		4	5	5 	Insurance:Unknown
1	1	. Wonderful Pediatrician! Listens, takes her time and someone who really understands the child bearing issues, since she is a Mom herself! 		3	5	5 	Insurance:Blue Cross / Blue Shield
2	-1	Would not see my son who had sore throat.  Called at 2pm was told a call-back would be right away.. called back at 4:30pm.. The following excuses were used 1) patient hadn't been to the office in 2 years (not true... saw nurse after pressman was too busy), 2) the office policy is not to see sick patients (son had a sick visit in the last 5 mos), 3) couldn't get rapid throat culture... Horrible.. never going back... retire please..  	1	4	1	2 	Insurance:Aetna
2	0	Poor bed side manner and getting worse. His focus seems to be seeing 20-30 patients a day, at the expense of patientand people skills. Very little patience. Arguementative when asked to complete the Physicians portion of paper work. Ignorant to the extent that he takes personal calls while in an exam room, seeing a patient. Would not call into question this doctors medical abilities however, his attitude towards the patient is, in this patients view, terrible.  	4	4	2	4 	Insurance:Blue Cross / Blue Shield
3	1	I couldn't have asked for more of a caring doctor and office staff.  They were all wonderful.  I had Dr. Polacek preform breast augmentation after years of considering the surgery.  I am so glad I trusted Dr. Polacek to do the work.  I couldn't be happier with the outcome, the treatment I received from her, her office staff and at the hospital.  I have recommended two friends to her already and I was sent from a friend.  I could not be happier with my results.  She took her time answered all my questions, as crazy as some of them were.  I just wish I would have done it sooner! 	5	5	5	5 	Insurance:Unknown
3	1	I have had numerous scar revisions and cyst removals on my face by Dr. Polacek and she did an excellent job.  I made the mistake of going to another surgeon because I did not want to wait for Dr. Polacek to do it and I regret that day because the doctor that did surgery on me not only messed up my face but I got two staph infections and now I have to wait until Dr. Polacek can fix it for me.  I should have never trusted another doctor with my face.  Lets just say I have learned my lesson the hard way.  Dr. Polacek knows her stuff and she takes pride in her work and does what is best for the patient. 	5	5	5	5 	Insurance:Unknown
3	1	I first heard of Dr. Polacek when her picture appeared on the cover of Rhode Island Monthly.  In the ensuing article, she was selected by her peers as one of Rhode Island's top doctors in plastic surgery.  This is why I selected her as my plastic surgeon for a breast reduction.  I was impressed with the professionalism of her office staff and with the consultatioin.  The consultation was highly informative and her philosophy was evident.  She listened to my concerns and goals for the end result.  I was educated as to the procedure and felt all my questions were answered.  My surgery and hospital stay were well orchestrated and a very positive experience ensued.  I love the end result and would definately recommend Dr. Polacek as a plastic surgeon.  I continue to use a variety of products and procedures offered at her office.  Selecting the right plastic surgeon if very important.  I wanted someone who listened, advised, and delivered a natural end result that would compliment my body.  I couldn't be happier.    JD 	5	5	5	5 	Insurance:Unknown
3	1	She performed a breast reduction on me.   I'm pleased with the results, although they are still too big.  Dr. Polacek is a good surgeon, but very expensive, and at times, difficult to deal with.  I don't think I would go to her again.  	5	5	4	3 	Insurance:Blue Cross / Blue Shield
3	0	Dr. Lori Polacek performed a breast reduction on me.  The results were so-so. I have a lot of scarring, and they are still too big.  She is an adequate doctor, but I don't think I would go to her again.  	5	2	3	3 	Insurance:Blue Cross / Blue Shield
3	1	I recently had a surgical procedure performed by DR. LORI POLACEK.  I found her to be very helpful and informative, and she has an excellent bed side manor.  She was very caring and knowledgable, I even trusted her enough to let her make the final decision about my anesthesia. Her staff has been extremely helpful, and she continues to show the same level of care and compassion throughout my follow-ups. *HIGHLY recomended* .. In reference to the negative review about Botox Injections: plastic surgery, no matter how invasive, still poses certain risks and side effects (which Dr. Polacek also explains to her patients). Therefore, she can not be held liable for side effects which are out of her control. Also, I wouldn't trust a review from a patient who can not spell their own physician's name. 	5	5	5	5 	Insurance:Unknown
3	-1	I went to  Polachek for Botox injections(. While injecting the Botox, Polachek RUSHED me to have Botox on the side of my eyes as well. Two days later I ended up in R I hospital;s ER with stroke like symptoms.(Drooping eye lid, blurred vision and weak aching muscles in my arms). I immediately called Polacek to ask if these symptoms could be  from the Botox injections. she said NO!!  After two days in the hospital and many tests, they found the cause of my symptoms to be directly related to the Botox injections. When I told Polacek about the test results, her response was to send me the name of the Botox company and a 'case number' so that I could deal with them directly (As if the problem had nothing to do with her!!). A few weeks later I was again back in the hospital with similar symptoms. As costs mounted for hospital bills and my stress and fear increased, Laurie Polachek, MD. took absolutely NO responsibility... Ladies, beware of this doctor. She lacks concern for her patients. 	 2/1/10	3	4	1	Insurance:Unknown
3	1	I first went to Dr Polacek for a breast lift and the results were fantastic.  The other day, I had rejuaderm and botox on my face and I look GREAT!  She spent a considerable amount of time with me expaining all options and never once rushed me.  This is the only person I would ever trust with my face. 	5	4	5	5 	Insurance:Unknown
3	1	Dr. Polacek had a great bedside manner.  She took the time to answer all questions and concerns.  Very caring and compassionate.  She made you feel very comfortable. My suregery results were everything I hoped for.  Her office staff was very friendly, helpful and reassuring.  I have recommended her to quiet a few people. 	5	5	5	5 	Insurance:Unknown
3	1	I am currently 4 weeks post-op. I couldn't be happier with my results. Dr. Polacek really took the time to understand exactly what I wanted. In fact, I left the final decision of the implant size up to her. I trusted her final opinion based on the fact that she knew the exact shape and size I wanted to end up with. Dr. Polacek and her staff have been nothing but amazing since the first time I stepped foot in the office back two and a half months ago. 	5	5	5	5 	Insurance:Unknown
3	1	She operated on my sister and WOW! She looks amazing.. If I did not have previous Medical condition I would go to her too..  	4	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	Dr. was informative,extremely professional and informative . She spent a significant amount of time for discussion pre-op.She did everything promised and more!! My abdomen looks perfect. Her office staff is pleasant and helpful. She also did an otoplasty for my daughter and her experience was just as positive. I highly recommend her. 	5	5	5	5 	Insurance:Unknown
3	-1	Re; my operation,  She promised me certain types of gentle care, and specific details I had requested, (while talking in her office) but on the day of surgery, none of those details and promises were kept. Promised to not have the same anesthesia team I had been unhappy with at a prior operation, but on the day of the second surgery, that promised was not kept.  When I asked why, Dr. X was there, for my anesthesia, she replied &quot;What do you want me to do&#63;, He's the Head of the Dept.&quot;  (So, politics are more important than promises made to patients.) Also, refused to go back and complete some touch-ups she had stated she would do, again  promises broken. 	5	3	1	3 	Insurance:Unknown
4	1	This doctor was the BEST doctor in the world... He was quick to see me. He was an expert and able to size up the symptoms and treat me and had a great bed side manor..  I would recommend him to anyone and everyone!!! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	-1	This doctor was extremely rude to the patient, not showing any knowledge about an infant. He doesn't consider an infant with a 103 degrees an emergency, making the infant wait 3 hours in total before seeing the doctor. This is the worse doctor I have seen in my lifetime. I will never go and see him again. In addition, the doctor saw my behavior as a mother inappropriate after asking him how long can an infant wait. This is extremely unprofessional, since doctors are there to serve, but as I see this doctor would rather see the baby faint before seeing her. For me as a mother this is totally unacceptable. Knowing the baby has high fever, the nurses didn't show the results to me, telling me much lower temperature than I have got at home.  Overall, he is rude and extremely unprofessional! 	1	1	1	1 	Insurance:Blue Cross / Blue Shield
5	1	The staff is very nice.  But forget about being on time.  Every time I have gone, I waited at least 1 hour.  One day I waited 2 hours and had to reschedule because they had no idea how long the doctor was going to be.  	4	1	4	4 	Insurance:Blue Cross / Blue Shield
5	-1	Dr. Penkala &amp; his front desk staff were horribly rude and dismissive both during &amp; after my appointment. Dr. Penkala berated me while I was on the table, IN THE STIRRUPS, chastising me during my very first appointment for what he thought was inappropriate behavior. Last I checked, I came to him for a pap smear, not to receive lessons on morality. His attitude led me to not return, however months later, I was left wondering what the results of my pap smear were, until I received a call from my PCP advising they had gotten a call from his office regarding my abnormal pap!! I picked up the phone and called, and his RUDE nurse told me she left 5 messages (ummmm nope!) for me, and that she recalled &quot;specifically telling&quot; me the results of my pap last month when I told her via phone that I had no interest in returning to their office. She then continued to argue with me for almost 5 minutes until I told her to give me the fax # so I could end the effing call. Good business practices, jerks.  	1	4	1	1 	Insurance:Blue Cross / Blue Shield
5	-1	Dr. Penkala is the worst dr EVER, he recently did my moms surgery and nearly killed her! I was a patient of dr molly and im sad to say I will never use there office ever again! 	1	1	1	1 	Insurance:Blue Cross / Blue Shield
5	1	Dr. Penkala and the staff all compliment each other.They take their time to listen and I have always had my concerns addressed.I would recommend Blackstone Valley OB/gyn to all my friends and family.  	5	3	5	5 	Insurance:Blue Cross / Blue Shield
5	0	Would recommend Dr.Penkala if you like being ignored.  There were a few amazing people working there that help off-set Dr.Penkala's impersonal demeanor.  Preferred Molly over Dr.Penkala because she actually listened to my concerns and made me feel that she cared about me and my well-being.  	3	1	3	3 	Insurance:Blue Cross / Blue Shield
5	1	Dr. Penkala diagnosed me with Uterine Cancer 10 years ago and saved my life.  I had gone to 3 previous doctors and everyone told me that the pains were in my head.  I was going through some bad family times and no one believed my symptoms.  Dr. Penkala did tests that no one would think of doing on this &quot;middle aged&quot; head case as I was called.   He delivered my first grandchild recently and I give him an A+.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	1	I think he is great!! I had a hystorectomy and he did a great job....very little pain after and recovered very quickly!! 	4	2	5	5 	Insurance:Unknown
5	-1	I found doctor penkala to be very unhelpful and downright dangerous. I had gained about 50 lbs. of water during my pregnancy and penkala did not even think to check for preeclampsia. i ended up switching doctors at 27 weeks and delivering at 28 weeks with severe preeclampsia and water crushing my heart. all the fears i had mentioned to him during my time under his care were brushed aside. i felt very ignored... 	1	3	1	2 	Insurance:Unknown
5	1	Dr. Penkala is by far the most intelligent doctor I have seen and knows exactly what he is doing.  I have only experienced him being rude to ignorant people.  He has been quite pleasant with me through all my visits.  Robin, the head assistant, is AMAZING. Molly Fox, the PA, is fantastic as well. I feel at home in the office.  I would not go anywhere else, all my children will be &quot;Dr. Penkala babies&quot;  I highly recommend him to any woman...whether pregnant or with a problem.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	1	I started seeing Dr. Penkala after suffering from pain and abnormal periods for many years which my previous doctor had ignored. Dr. Penkala listened to me and was able to get my sypmtoms under control and find a diagnosis after 2-3 visits.  The office nurses were also very helpful and pleasant 	4	4	5	5 	Insurance:Blue Cross / Blue Shield
5	-1	. I have gone to Blackstone Valley OB-GYN for 7 years, recently I had to have a biopsy, this was the first time I ever had Dr Penkala, and if I ever need to see the Dr again instead of the PA, I definitely change doctors! He's RUDE and I never heard of paying a co-pay for a procedure! PA Molly Fox is AWESOME!!!!! Also the girl at the front desk was beyond RUDE! 	2	2	1	1 	Insurance:Blue Cross / Blue Shield
5	1	I had a hysterectomy and I never even took a pain killer or even an advil.      Very thorough 	5	5	5	5 	Insurance:Unknown
5	-1	First of all, the midwife (Lynette Scolpino) was not very pleasant to me in the least... I found her to be rude and impatient with my simple questions. Second of all, Dr. Penkala diagnosed me with Endometriosis with VERY little information, based it solely on the pattern of my pelvic pains. So I left to get a second opinion... The second opinion found that I had a cyst that had been causing the pain, new doctor also was surprised that my previous doc (Penkala) had been so quick to diagnose me with Endo. Being diagnosed with Endo. was not a good feeling at all. Thankfully, I am very happy with my new doctor! 		4	2	2 	Insurance:Unknown
