dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	commentsVery professional, high quality result. Would highly recommend a consultation with Dr. Zienowicz before making any decision. With several board certifications, publications and excellent references, Dr. Zienowicz highly skilled and trained. I enjoyed every appt. with this Doctor and his kind staff. 	5	5	5	5	Insurance:Unknown
1	1	commentsDr. Zienowicz is the most personable and professional doctor I have ever met. I gave him a picture of the breasts I wanted and he gave me exact clones, despite the level high level of difficulty. It is a relief to know that I will not need any revisions. I received a lift and a high profile augmentation with a rather large amount of cc’s and it is not often that people get exactly what they wanted on the first go around. He also does his incisions through the armpit so there will be no scarring. His staff is also excellent and very friendly. He called me the day of my operation as well as every day after, sometimes multiple times a day to check in on me for a week. I traveled a couple hours to use him and it was well worth it. I would never consider going anywhere else for all of my future work. He truly has the best personality in the world on top of having the best reputation for all of his work. I would trust him to remake my entire body any day.  -Sarah Alexis Paid/Co-pay:$14000	5	5	5	5	Insurance:Unknown
1	1	 dr. z started from scratch what dr. iacono ****ed up.  i had a double mastectomy 2 yrs ago for breast cancer with immediate reconstruction.  5 surgeries and a yr. and 1/2 later no change. dr. z fixed me in the 3 surgerys it should have taken dr. iacono. he  has also been in ri monthly more than once on the best doc list for ri.  	4	5	5	5	Insurance:Blue Cross / Blue Shield
1	1	commentsThese ratings seem to be way off base. I am a man who had excessive fat in my pecs. It was effecting me psychologically and it was very embarrassing . I had a consult with Dr. Zienowicz and found him to be the nicest, most empathic plastic surgeon I have ever met. He was understanding and very compassionate. I had the went ahead with the surgical procedure. After getting other opinions Dr. Zienowicz was the doctor for me. His fee was cheaper than 2 other doctors. His staff are top notch, professional and polite. They were very kind and caring. So I don't seem to understand the negativity on this site. If I ever need another procedure I surely will go back to Dr. Zienowicz. He is top notch but even more important he is the nicest doctor I have met. Sure I had to waite a bit longer in the waiting room but when you seek the best the waite was worth it. So if I had to grade this doctor I would give him an A++. 	5	3	5	5	Insurance:Unknown
1	1	commentsI went to see Dr. Z for re-constructive surgery on a skin disease. He was extremely caring and was in the room for over 20 minutes talking with me and easing my worries. He explained exactly what he was going to do and how he was going to do it. 	5	2	5	5	Insurance:Unknown
1	-1	commentsI have also had a horrible experience with Dr. Zienowicz and would love to discuss this with any one who has had a bad experience with him. I had breast augmentation and have displacement, distortion, severe scarring and need for additional surgery and he said I have to pay for it.  It was a straight forward surgery my breasts were perfect, they were just small, these problems should not have happen and he will not take responsiblity and was extremly rude and hurtful.  Please please reply so that we can discuss.  Breast Surgery 	1	1	1	1	Insurance:Unknown
1	-1	 worst doctor of all time, please dont be as foolish as i was, his on concern is to get money and get it fast. it 2 consultations, 1 in which he was present (2nd time) because i was rushed out my first one, he looked at me, told me i needed a lift and a D would fill me out, 5 mins later he was out the door and in a rush because he had a train to catch&#63; &gt;:o i was so aggravated because he didnt even explained to me how a lift procedure was like, i had to do this on my own time.  i went in confused and left the same, luckly my mom convinced me to call back and explain to them how horrible of a job they did and ask for a 2nd consulation, assuming i would be talking to the doctor, negative, i needed up with a snobby nurse who was just aggravated everytime i ask another question, apparently she must of been a rush, my question is why schedule someone in if everyones always in a rush to get in and out&#63; 	2	2	1	2	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$10500
1	-1	commentsHorrible! I had mastopexy with augmentation and have experienced lateral displacement and bottoming out. However, this MD refuses to acknowledge his error...in fact actually said &quot; I am the best of the best&quot; meanwhile im in tears! I am an educated RN with realistic expectations. I will seek a revision from a different surgeon. There are so many things I have left out, however please trust me when I say ...keep looking! Paid/Co-pay:$11000	1	1	1	1	Insurance:Unknown
1	1	commentsI've had Dr. Z twice and After reading these reviews, I think you all got the WRONG Doctor. He was very helpful, polite, and a great surgeon. His work is renound all over the U.S. and he writes for medical journals. Get your facts straight!! BTW, a doctor isnt there to make friends, he is there to do a job. 	5	5	5	5	Insurance:Unknown
1	0	 Had no time for consult, he slid in like Kramer on Seinfeld and spent less than 5 mins telling me about my surgery, when the surgery was over, the procedure was different than what was described. He didn't show up in recovery,no contact with him at all. He is arrogant and seems offended if you ask him a question. The office staff are inept also. They were calling me during a procedure at another location for the procedure with Dr Z. @ hours early and were mad when I reminded them of the proper time. Luckily I was on my way when I received the fifth call. All they are interested in are taking pictures and collecting money. They even screwed up my TDI. No follow up ,if you can steer clear you should.  	2	2	1	5	Insurance:United Healthcare
1	-1	 extremely rude, he took about 30seconds to consult with me, he was also chewing gum or eating something while doing so which i found to be very annoying and unprofessional.  extremely arrogant as well.  his staff not helpful one bit, i got the run-around from them on several occasions, in which one of them got short tempered with me and started to raise her voice and talk through me.  I didn't even go through with the scheduled surgery because he made me so uncomfortable.  clearly doesn't care about the clients concerns.  He showed that when he was in and out the room in less then a minute,  hes only concerned with making as much money as possible.                                       In conclusion, absolute worst plastic surgeon.   avoid! 	1	2	1	2	Insurance:Blue Cross / Blue Shield
1	-1	commentsI HAD TWO SURGERIES WITH THIS DOCTOR, ONE BY CHOICE AND THE OTHER BECAUSE I WAS DISGUSTED WITH THE RESULTS,I HAD THE SURGERY REPEATED WITH NO BETTER RESULTS. COSMETIC SURGERY IS A PERSONAL CHOICE, IT IS EXPENSIVE AND YOU SHOULD GET WHAT YOU WANT. WE DISCUSSED MY SURGERY IN DETAIL AND EXACTLY THE OUTCOME I HAD HOPED FOR. HE FULLY AGREED DURING THE PRE-OP VISITS, HOWEVER, THIS DOCTOR DOES WHAT HE THINKS LOOKS GOOD INSTEAD OF WHAT THE PATIENT WANTS. I NOW GO OUT OF MY WAY TO DISCOURAGE ANYONE FROM CHOOSING HIM FOR SURGERY, I WASTED ALOT OF MONEY TO GET THE RESULTS HE WAS HAPPY WITH. ADDITIONALLY HE IS SO ARROGANT THAT WHEN YOU EXPRESS YOUR DISAPPOINTMENT TO HIM HE BECOMES RUDE AND CAUSTIC, GOING SO FAR AS TO MAKE INAPPROPRIATE COMMENTS, TAKE MY WORD FOR IT GO ELSEWHERE... 	1	1	1	2	Insurance:Unknown
5	1	 I was referred to Dr. Lili Zeng by a friend of my mother's because I have been having chronic back pain. She was very courteous and answered all my questions in her consultation, which was free by the way. I opted to have the treatment immediately after the consultation. The office is clean and comfortable and the treatment experience itself was free of discomfort. I went back for two followup treatments and in the subsequent weeks I felt better, and it definitely took the edge off the pain. If it returns, I will definitely be going back for more treatment.  	5	5	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$15
6	1	 Dr. Z is wonderful and very caring. I have been a patient there for 11 years. Sadly, I am leaving because he is no longer doing OB but is expanding his practice to include cosmetic surgery. He is an excellent OB and person in general but the person he hired to take over his OB patients is not nice at all.  	4	4	5	5	Insurance:Blue Cross / Blue Shield
11	1	 I have been going to Dr Zwetchkenbaum for many years.  He is always thorough and very knowledgeable in his profession.  He is a very good doctor.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
11	1	 very attentive and spends as much time as you need.  		5	5	5	Insurance:Blue Cross / Blue Shield
12	1	 He is very quick and knowledgeable.  Just the kind of doctor to 'see'.  Very assessable, and short wait time.  Some surgeries done in office.  He knows what to do.  If you have a problem in the AM, he can see you that afternoon.  I know you will be satisfied.  	5	5	5	5	Insurance:United Healthcare
15	1	commentsDr. Zeller is remarkable. He is extremely understanding, easy to speak with, offers valuable advice and critiques, and is always right on time.  A++ 	5	5	5	5	Insurance:Unknown
17	1	 Dr. Zeller has been my primary care physician for over ten year. She is very compassionate and a good listener. Dr. Zeller is thorough in her examinations and very knowledgeable. I have recommended her to several of my colleagues and neighbors.  	5	5	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$35
17	-1	 I used Medicare and Medicaid on my doctor visit. I went to see Dr. Zeller several times but she showed no interest in finding the source of my pain. I tried to go to other doctors but when they read the notes on my records they refused to treat me too. I am still in constant and increased pain that it has become difficult for me to sleep now even with pain reliever. Dr. Zeller told me the reason for my pain was noted in my records but she refused to tell me. I tried to get my medical records to find out what it was for myself but I was denied purchase of my complete medical records. I still don't know what is wrong and I feel I have the right to know if I am dying or not. No one wants to tell me they pull up my account and look at me in grief and say they can't help me. I would like to know what is wrong with my health and how long I have left to live if that indeed is the case here. I feel I am not being treated fairly.  	3	3	1	1	Insurance:Medicare
17	1	 An outstanding physician.  Very prompt and easy to get in to see when it's important.  I've been very impressed with her diagnostic ability as well as the level of caring and compassion she has.  As an RN, I expect a great deal from my doctors and Dr. Zeller exceeds my expectations frerquently.  I highly recommend her.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
22	1	commentsVery good bedside manner. Called after my surgery, didn't rush me off the phone-really listened to me. Even asked how I was treated by everyone else at the hospital! I would recommend him to anyone with a foot problem. 		5	5	5	Insurance:Unknown
