dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	 	4	4	5	5 	Insurance:Unknown
2	1	The best doctor I've had since separating from the Armed Forces, prompt, friendly, and caring. I would trust him with my life takes the time to figure the underlying issues. Knows when and what treatment is necessary. I never feel like a appointment is routine.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	0	rude staff .... felt only # on slaughter line, was more interested in discussing none issues related to appt. 	2	3	2	3 	Insurance:Unknown
4	1	He's simply the best!  I drove 3 hours there during college (hometown), and now my husband goes there, too.  Dental assitants, reception, &amp; hygenists are all fantastic. 	5	4	5	5 	Insurance:Unknown
5	-1	Everytime you need to call a nurse they send you to a machine and the nurse never calls you back. In order to get a referral i had to leave several messages for the nurse, after receiving no phone call back. I then had to call and talk to the office manager. To get a appointment with belinksi you have to call months ahead. She does not see patients the same day no matter how sick you are. I had flu and strep and still had to go to the after hours clinic because she couldnt get me in.  	1	1	1	1 	Insurance:Tricare
6	0	this doctor was very unperfessional. during the exam i caught him making faces behind my back.  		2	2	3 	Insurance:Blue Cross / Blue Shield
7	1	Dr. Benjamin has always been helpful dealing with my illness for 8 years. When I needed surgery outside of his area of work, he gave me referrals and helped me with absolutely anything I needed. He always answered pages from the emergency line within 30 minutes, but usually within 5-10 minutes. He was always available and I never had trouble getting in appointments at his office. Yes he moves quickly, but he will talk to you if you want to talk. He is incredibly smart and thorough, and one of the best doctors I've ever encountered.  	4	5	5	5 	Insurance:United Healthcare
7	-1	In our opinion, this doctor isn't willing to go the extra mile to diagnosis.  Patient had issues w/ severe dizziness since very young (sometimes preventing them from getting out of bed).  Symptoms didn't  fit standard causes.  This Dr. was unable to diagnose &amp; didn't take any time outside our short visits to consider the case.  When asked for a letter to excuse the patient's absences (from work/school), this Dr. could have said he was not comfortable doing that, but instead he wrote a damaging letter that all but called the patient a lier, saying there was nothing found to be wrong and the patient shouldn't be excused.  Meanwhile, a lot of research on our own has lead us to believe the patient has Migraine Associated Vertigo.  I am not a dr. but if I can discover this, why couldn't the doctor trained in that exact area&#63;  He needs to stay current with what is going on in the world, be professional enough to not write accusatory letters, and put a bit of thoughtfulness into the practice. 	3	3	1	1 	Insurance:Unknown
7	1	Dr. Benjamin is simply the best. He diagnosed me with MS in 2008. It was devastating with three small children to care for. Through it all, he has been a great source of valuable information and comfort since. He TRULY cares for his patients.  Good doctors are hard to find and I am so blessed to have found the BEST! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
7	-1	this doctor was very arrogant, does not feel for the patient as well as does not care to listen, will continually interrupt you and rushes through the exam.  and just leaves you there until someone comes and tells you it is time to leave.  	2	2	1	2 	Insurance:Anthem
7	1	I have migraine HAs, had MVA with disk rupture c4-c5.  Dr. Benjamin has been outstanding through it all. He listens well and is attentive.  He calls me with results of tests and I don't get the &quot;run around&quot;. He seems to do what's necessary but doesn't order tests by the boatload. I'd recommend him to anyone.  A++ 	 9/15/09	5	4	5	Insurance:United Healthcare
7	1	I highly recommend Dr. Benjamin. He has treated my MS with the utmost compassion and professionalism.  Absolutely one of he best! 	3	5	5	5 	Insurance:Blue Cross / Blue Shield
7	1	Dr. Benjamin was extremely helpful with my migranes.  He read my MRI and returned my phone calls immediately.  He gave me a whole bunch of sample prescriptions to try for free, and when we found the perfect one, he made the effort to get it pre-authorized with my insurance so I didn't have to pay an arm and a leg for it.  When it was time for me to relocate, he made the extra effort to type up a letter for my new neurologist so I wouldn't have to go through everything again.  I never waited more than 10 minutes after I walked in for my appointment.  He is very friendly and personable.  His staff always returned my phone calls and were very helpful.  I have recommended Dr. Benjamin to many people.  	5	5	5	5 	Insurance:CIGNA
