dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	 	2	2	2	1 	Insurance:Unknown
1	1	Excellent surgeon and very knowledgeable. 	5	5	5	5 	Insurance:Unknown
2	-1	One to two diagnosis mentality.  If you are female menopausal every symptom is because of lack of estrogen, headaches, joint pain, EVERYTHING.  nothing else considered or ruled out.  GERD is popular diagnosis, again without ruling out any other possible problems.  When he was told heartburn from eating wheat products,(but none from spicy foods) got blown off, like not possible.  One of the symptoms of Gluten intolerance is heartburn.  Blood work could have been used to test for h.pylori bacteria ulcer and for gluten sensitivity.  Not done. 	1	2	2	2 	Insurance:Unknown
3	1	. very helpful doctor for a family type practice 	5	4	5	5 	Insurance:United Healthcare
4	-1	She shared my medical records with another person who authority or purpose to be seeing me medical records. I attempted to make formal compaints but was strong armed by MUSC 	1	2	1	1 	Insurance:Unknown
4	1	Caring and knowledgable. Took the time to really understand my problem.  		5	5	5 	Insurance:Blue Cross / Blue Shield
5	1	Caring and Personable.  Good for cosmetic dentistry as well. 	5	5	5	5 	Insurance:Unknown
6	-1	 	1	1	1	1 	Insurance:Unknown
6	1	I cannot fathom what the others above are complaining about. This doctor was fair, punctual, and provided a very thorough report for my son. 	5	5	5	5 	Insurance:Unknown
6	-1	I read the first rating before going and thought that maybe someone was angry but still it may have been true.  Well it was!!!!  The report was probably altered by the GAL who he sent it to but still there were questions that he asked me specifically and the responses on the report was not even related to my true responses!  The staff obviously had some tranference when I walked in.  I had to initially reschedule because they had some very manipulative and unwritten policies that I  did not agree with and was unaware of.  The staff acted better my second visit.  But the results of the fake testing and the less than 20 minute interview with him were absurd.  He is professionally unprofessional.  I would not recommend him to anyone for anything.  If you are reffered to him, get out before going! 	1	1	1	1 	Insurance:Unknown
6	-1	 	2	2	1	1 	Insurance:Unknown
7	1	I was very impressed with doctor Hartsock's competence and knowledge reguarding my open hip surgery for synovial chondromatosis. I think that some of these individuals fail to realize that he works for MUSC, meaning he also is academia and has a very constricted schedule. However, I have developed a bit of patience over the years and am willing to wait for a job done right. He had no problem answering all of my questions of which were prepared primarily prior to the appointment, and his staff was overly cordial and attentive. I took time getting paperwork prior to the operation due to his work at the university, but everything was completely in a timely manner and I feel that I received a clean and comprehensive surgery.  	5	3	4	5 	Insurance:Tricare
7	1	Excellent surgeon.  Fixed a broken leg that had been operated on 5 times and would never heal. 	5	5	5	5 	Insurance:Unknown
