dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	Worst doctor of any kind...ever. This man should not be in practice much less receiving patients. 	5	4	1	1 	Insurance:Unknown
2	1	Dr. Leis is by far one of the best qualified chiropractors that has ever treated my spinal conditions. I have never been disappointed. He is also a person of the highest standard of integrity.   Tim T., Huachuca City, AZ 	5	5	5	5 	Insurance:Unknown
3	1	I like dr.lawton and staff. they were very helpful to me.doctor lawton was knowledge and helpfulness was great.  	5	4	5	5 	Insurance:CIGNA
3	1	This doctor was very helpful. I liked his prompt and straight forward answers to my questions. This was refreshing to have a physician be honest and explain options in a clear manner.  I would gladly reccomend Dr. Lawton based upon the expereince I had.  	5	5	5	5 	Insurance:Aetna
3	1	Dr. Lawton is one of the best Urologist in America. He is rated as one of America's Top Physicians. I thought he was amazing!! 	5	4	5	5 	Insurance:Unknown
3	-1	This is by far the WORST doctor on the face of the planet!!  DO NOT GO TO HIM!!!  He damaged me so badly during a &quot;check up&quot;, that I had to go to 2 other doctors to repair his f-up.  It took me 6 surgeries in all to regain about 80% of what I had before I went to him.  This hack job doctor needs to have his license taken away!!!  Not only did he damage me severely during my &quot;check up&quot;, but he was also at least 30 minutes late to my surgery and nobody could get ahold of him or find out where he was at.  He never called to let anyone know he was running late.  They put me out before he showed up, so I don't know when he actually got there.  Then I was in excruciating pain following the surgery, and he wouldn't answer his phones, return my phone calls, or give me any help whatsoever.  Even his &quot;emergency number&quot; he gave me sent me to some nurse that told me he was busy and to just leave a message.  Other doctors have just been in disbelief in what Dr. Lawton did to me.  DON'T GO TO HIM 	1	1	1	1 	Insurance:Unknown
4	1	He was very professional explained what needed to be done.  Did the job and it turned out just like he said it would.  Came to see me each day in the hospital and he has a great office staff that is very caring and a very knowledgeable PA.  	5	5	5	5 	Insurance:Medicare
4	1	Outstanding bedside manner. Answered questions and explained procedure in terms I could understand.  He was so nice and comforting at the hospital and my recovery has been better than expected.  	5	5	5	5 	Insurance:Tricare
4	-1	This doctor does not follow up on your calls to his office after surgery. He let me go two weeks with a rectal infection and told me it was ok to pass blood until my regular appt in 2 wks.  	1	3	1	2 	Insurance:Medicare
4	-1	After an ileostomy and six months with the doggone thing leaking and breaking down my skin, he did a &quot;revision&quot;, and I went through another six months of hell with the thing leaking and breaking down my skin.  Finally, thankfully, he left the practice, and I had Dr. Vrees from the same practice fix it.  One shot and it was perfect.  I wouldn't have Lagares-Garcia spay my dog. 	5	5	1	1 	Insurance:Unknown
4	1	I cannot say enough good things about this doctor.  He is extremely knowledgeable about his field, but he is also very caring about his patients.  I would recommend him with complete confidence in his abilities.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	1	Dr. Latzka is how a doctor should be.  Not only is he is knowledgeable, but practical and uses common sense. He is the easiest doctor to communicate with that I've ever met.  He always takes the time to talk with you and answer questions.  He is caring, understanding and very pleasant. His evaluations are good, thorough and provides great treatment. He is top notch and I highly recommend him.  	5	4	5	5 	Insurance:Medicare
6	-1	Very bad experience. Told me everything was fine, whereas in fact I have a substantial problem,, which another doctor uncovered. 	2	2	1	1 	Insurance:Unknown
7	1	I have been going to Dr.Lindaberry for years, he is a very good doctor, he has compassion and is caring, he takes the time to sit and talk with you. I also think his staff is great. I know that some times you might have a longer wait , but he does take the time to go over things with you and make sure you are ok, this is why I dont mind waiting . I like everyone in this office. 	5	5	5	5 	Insurance:Unknown
7	1	The doctor was fine but the office staff was not very friendly.  I found out from a friend though that this doctor uses a company called Omega Medical Solutions to do all the medical billing.  This company sends all the work to a company in India.  The company in India receives all my personal information so I will never go back nor refer anyone.  I will tell everyone I know about the billing because I think it is wrong not to tell the patient (me) about this before being seen.  Also, we do not need to send anymore jobs to other countries.   I will always ask if the billing is done within the doctors office from now on! 	2	3	4	5 	Insurance:Medicare
7	1	DR. LINDABERRY WAS VERY NICE TO ME AND HELPED ME ALWAYS. HOWEVER, HIS STAFF, WITH THE EXCEPTION OF LYNN, WAS SO SORRY I CAN'T EXPLAIN.  THEY WERE THE REASON I LEFT THIS DOCTOR.  SHOULD THE STAFF CHANGE I WOULD DEFINITELY GO BACK TO DR. LINDABERRY.  	1	1	4	4 	Insurance:Medicare
7	1	Dr Lindaberry is one of the best doctors that I have found not only here at the beach but the other places I have lived as well.  I have been a patient of his since before he opened his practice so that should say something.  I see 6 other specialists since I have various different problems and he is the center for everything.  All the doctors pretty much report to Dr. Lindaberry to let him know what is going on.  I need certain tests done on a regular basis and the staff is up on making me appointments when it is time to have the test done and then they let me know about it.  I would recommend Dr. Jefferey Lindaberry to everyone that I know.  The wait time to see him is worth it.  He is normally late due to seeing emergencies and taking the time with his patients.  He does not rush out.  He will answer any questions you might have and the office staff is fantastic as well.  	4	2	5	5 	Insurance:CIGNA
7	1	One of the best doctor's I've seen. Takes the time to listen and then respond openly.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
7	1	doctor is great!!!!  office staff neeeds classes in customer service.  	1	5	5	5 	Insurance:Blue Cross / Blue Shield
7	1	Dr. Lindaberry has been my primary HMO for the past two years.  I can tell you from my experience that I am very pleased.  He does take the time to listen to your medical problems and tries to give you the help needed.  The staff is helpful and a special thanks to Lynn and Kathy. For those that are complaining about wait time - well I have never had to wait too long - sometimes I am called within just a few minutes.  	5	3	4	5 	Insurance:Tricare
7	0	Three times the staff has prescribed to me a medication that gives me a terrible allergic reaction.  I am also asthmatic.  Thank goodness the pharmacist caught it.  	1	2	2	3 	Insurance:Blue Cross / Blue Shield
7	1	I have to disagree somewhat with the previous review. I've been seeing Dr. Lindaberry for 3 years and I have complex medical problems. He is very knowledgeable and up-to-date on the latest medical news. I will agree appointments are not the best. You can wait quite a while to be seen but since the last review, he has another doctor working with him that takes care of the walk-ins so the load on Dr. Lindaberry has eased. Another reason for delayed appointments is Dr. Lindaberry takes the time to listen to the patients complaints, and answer all questions.  	3	2	5	5 	Insurance:Medicare
7	-1	I would not use this doctor for your family practice. When you have an appointment, please allow 2-3 hours wait time due to the fact that this practice takes walk-ins and over booking appointments. This practice does not have the capability to handle patients of record and walk-ins. 		1	1	3 	Insurance:Unknown
8	1	Highly recommend 		4	5	5 	Insurance:Unknown
9	1	Dr. Legerton is very knowledgeable and explains conditions well.  He is willing to say that he does not have all the answers (with lupus, no one has them).  You may have to wait for your apt. but he is worth it.  	3	3	4	4 	Insurance:United Healthcare
9	1	Dr Legerton is good.  I do feel dismissed at times, but he does seem to care about patients and he is knowledgable.  The biggest problem is his office staff.  If you need a copy of your records, or have a question about insurance, good luck getting to the right person to talk to, much less a straight answer.  And if the office staff makes a mistake, they do not take ownership of it.  The interoffice communication is bad and it is not being corrected. It is being defended.  	2	2	4	4 	Insurance:Blue Cross / Blue Shield
9	1	GREAT Doctor...he has really helped me with so many issues I have encountered having lupus since 1989... I hope he never leaves SC!!! I am so pleased with him that I drive 3-4 hours one way from upstate SC(Gaffney) 	4	5	5	5 	Insurance:Blue Cross / Blue Shield
9	1	I like Dr. Legerton, but he seemed to dismiss or ignore mine and my husband's questions.  My primary doctor has asked me to get a second opinion, as he is not pleased with some issues that arose.   His nurse is the least friendly person in the place! 	2	2	4	4 	Insurance:Tricare
9	1	Dr. Legerton is the best!!  We're blessed to have been referred to him.  Very thorough and very calming nature.  He spent a great deal of time explaining test results and showed a lot of compassion for us.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
9	1	Dr. Legerton is one of the most caring physicians I have ever known.  He not only spends time talking with his patients, he listens intently to what they have to say as well.  Although I usually have to wait longer in his office to see him, I don't mind like I do in other offices because I know he is spending time with someone else who needs him too. 	4	2	5	5 	Insurance:Unknown
10	1	Dr. Lanza is a terrific doctor who puts you at ease very quickly. 	5	5	5	5 	Insurance:Unknown
11	1	Wonderful doctor with a great humor.  Funny guy, excellent doctor and very knowledgeable.  	3	4	5	5 	Insurance:Blue Cross / Blue Shield
12	1	Used supplemental BCBS.  The doctor spends time with you and gives you a sense of caring, unlike some doctors you see.  He is bright and knowledgeable.  	5	5	5	5 	Insurance:Medicare
12	1	Thankful to find a cardiologist who will talk with you straight and to the point and not run test for the money but for need.  	5	5	5	5 	Insurance:Medicare
13	1	Very late with my appointment.Wrote an incorrect perscription.  	4	1	4	4 	Insurance:Blue Cross / Blue Shield
14	1	I have seen Dr. Lipsi numerous times over the past 30 years.  He is an excellent doctor, very patient to answer your questions.  My daughter and husband have also seen Dr. Lipsi and we are all very happy with him.  Wonderful bedside manner! 	4	5	5	5 	Insurance:Unknown
15	1	Dr. Leonard is a wonderful doctor!!! He is my 3 year old son's physician and he is just great with kids, he is extremely knowledgeable and takes the time to answer questions he is very personable I would recommend Dr.  Leonard to everyone!! 	5	5	5	5 	Insurance:Tricare
15	1	Dr. Leonard is a very bright and promising young physician.  He is the best doctor I have ever been to.  He is very knowledgeable about a wide variety of medical issues.  I would recommend him to my family and friends.  He has treated me for everything from a sinus infection to my recent problem of a mass on my ovary.  He has referred me to the best physicians in their fields of practice.  	3	5	5	5 	Insurance:Blue Cross / Blue Shield
16	1	Without Dr. LeBel I would have believed the first Dr who told me I could never have a baby. She worked with me and my husband for 2 years and I have a beautiful daughter now I would never of had without her. I have had 3 surgeries with her and she is extremely caring, always answers all my questions and never rushes anyone. I highly recommend her to any woman looking for a great gyn.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
16	1	Dr. Lebel is very caring and professional. She takes her time and is thorough in answering all your questions. Her office is a very comfortable environment. 	5	4	5	5 	Insurance:Unknown
16	1	She is the most wonderful doctor I have ever met!!!! I will sit her waiting and listen to her other patients rave about her. I meet people all the time who tell me she is the best!!  Sometimes I will wait but  it's because she spends time with her patients and NEVER blows them off!!! I love her and she has helped me so much! 	5	4	5	5 	Insurance:Unknown
16	1	Following a miscarriage, my husband and I waited for over an hour in the waiting room.  When we complained we were treated rudely by her assistant - she was very condescending.  These folks are unkind and rude.  When we discussed this with Dr. Lebel she was passive-agressive.  She must be burned out.  We immediately changed physicians and ended up with a great doctor Rebecca Usadi.  Her staff and fellow physcians were wonderful and professional.   Stay away from this practice 	1	1	2	5 	Insurance:Blue Cross / Blue Shield
16	1	She is a very caring, knowledgable and helpful Doctor!!! 		4	5	5 	Insurance:Unknown
17	1	very,very smart man  not sure whats wrong he is the dr. you need to see no matter your age 	5	3	5	5 	Insurance:Unknown
17	-1	I have waited for 12 years to say this.  My mother-in-law was on blood pressure medicine .  She had an awful cold and was having a difficult time breathing.  He would not prescribe any medication to help with the cold, phelgm, congestion and etc.  Her organs shut down slowly and finely...so did her heart.  If he had been more caring and aware...she might be alive today. 	3	3	1	3 	Insurance:Unknown
18	1	One of the upstate's best doctors.  She is good at managing care of complex patients with chronic conditions.  She has great follow-up and will see you through whatever you are going through.  Excellent clinician.  	4	3	5	5 	Insurance:Blue Cross / Blue Shield
19	1	Always listens and addresses any concers I may have.  	5	3	5	4 	Insurance:Blue Cross / Blue Shield
