dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	.  really interested in your wellbeing, I've never felt so better after surgery 	5	5	5	5	Insurance:BC Med
4	1	commentsExcellent diagnostician 		4	5	5	Insurance:Unknown
5	1	commentsGreat,,attentive, thorough and really listens. Has great experience as ER Doc ...has seen it all. Does not try to have all the answers...will send you elsewhere if needed. 	5	5	5	5	Insurance:Unknown
5	1	commentsBest Doctor I have seen in Charleston. Great service and friendly atmosphere. Little or no wait at the office, and addressed all of my concerns in a timely fashion. Would reccomend highly to others. 		5	5	5	Insurance:Unknown
14	-1	commentsI was horrified at my second appointment to arrive to find that this allergist had brought two dogs to work with her. They were allowed to run around the facility. As someone who has severe pet dander allergies (too much exposure can restrict my ability to breathe and breathing is very important to living), this posed a serious health threat to me. When I expressed my concern and alarm at the situation, neither the doctor or the staff apologized or indicated that they found anything wrong with the situation. There were signs posted all over warning of the dangers of wearing perfume to an allergists office b/c of patient reactions. um. But you can bring your dogs to work because it's inconvenient to find an alternate solution&#63;! Any credible allergist never would have allowed such a contaminant into what should be a safe space.     I feel I have to clarify, that I have nothing against pet owners, dogs, cats, etc. BUT, knowingly putting your patients in danger is beyond irresponsible. 	1	2	1	1	Insurance:Unknown
14	1	 Dr. Magera is one of the best doctors in the lowcountry.  My husband and I have been patients of hers for years, and now we have two young children who we also take to see her when sick.  Your appointment with her may take awhile, but she is very thorough and gives personal attention and time.  If you call her answering service after hours due to sickness, she will call you back personally.  She is highly knowledgeable, caring, professional, and genuinely interested in the health of her patients.  HIGHLY RECOMMEND HER.  	5	4	5	5	Insurance:Blue Cross / Blue Shield
14	-1	commentsI had numerous terrible experiences with Dr magera and would advise anyone looking for an asthma and allergist to look elsewhere. My first bad experience was when they booked me an appointment at the wrong location, when I showed up the doctor was not even in office. It was the staff's fault. Since then I have numerous rude experiences where the practice is only concerned about making money and not helping patients. I was lied to on numerous occasions about actions taken on their part and yelled at, spoken down to and disrespected. I can't believe I tried to come back (close to my home, wanted it to work out) save yourself the trouble and find a doctor who will actually care about and want to help you be healthy and happy. It is not this practice. Be warned... This is a disrespectful office only concerened with profit. Not people. 	1	1	1	1	Insurance:Unknown
14	1	 Very nice staff and Doctor. The Wait time was longer than I expected, but I was happy that Dr. Magera took as much time with me as I needed. She doesn't rush and you may have to wait but she spends as much time with you as you need.  	5	5	5	5	Insurance:Aetna
14	1	commentsPositive experience in her office. Interested in the patient and family and costs of medical care. 		5	5	5	Insurance:Unknown
18	1	 Dr. Magura has been my urologist for the past 20 years. I have found him to be extremely knowledgable, very thorough in his exminations and he just happens to be head of Urology in York County. If you are seeking the best in Urology, you can't do better than Dr. Magura. He probably saved my life by diagnosing my prostate cancer at it's infancy stage.  	5	5	5	5	Insurance:Humana
18	-1	.   	5	1	1	1	Insurance:Blue Cross / Blue Shield
28	1	commentsHad a pancreatic attach and went to Emergency one year ago and received excllent care before and after surgery 	5	5	5	5	Insurance:Unknown
34	1	commentsbest doctor I have ever had!! He truly cares about his patients. He has a great sense of humor- which makes the visit easy and comfortable.  Highly recommend him!! 	5	5	5	5	Insurance:Unknown
34	1	commentsGreat doctor and great staff.  Would definitely recommend him to others. 	5	4	5	5	Insurance:Unknown
34	1	commentsGreat doctor!  Best PCP I've had!  Takes great care of me and my family. 	5	4	5	5	Insurance:Unknown
47	-1	commentsMy first visit was ok however my 2nd was spent just telling me I needed to loose weight, which I not only acknowledged but told him I had already lost 25 lbs, however instead of giving me tests results I was subjected to a lecture on weight. Will not be returning since I seem to be such a waste of his time 	3	3	1	3	Insurance:Unknown
47	-1	commentsVery rude and hateful to his staff and not very caring about patient 	1	1	1	3	Insurance:Unknown
58	1	commentsAs a patient I find Dr. Tron to be a genuine and personable individual.  A very pleasant and caring man who makes a great intuitive doctor.  He and his specialized clinic offers the personalized education and hands on care to his patients in the journey to totally achieving and maintaining whole wellness and is a great health care asset and blessing to our community of Summerville and the great Palmetto state of South Carolina. 	5	5	5	5	Insurance:Unknown
62	1	commentsDr Madden assisited my Grandmother in her battle against BREAST CANCER and did so with much compassion.  His nurse Cindy does such an awesome job and is compassionate about her work and it shows.  They both were so good to my Grandmother and passionate about her care until the day she passed away.  I am a sincere believer that there heart is certainly in their chosen occupation and will be forever greatful for their job well done. 	5	5	5	5	Insurance:Unknown
62	1	 always willing to listen.  will research a condition or problem to find answers.  makes you feel human not a number.  	4	3	5	5	Insurance:Blue Cross / Blue Shield
62	-1	commentsDoctors take an oath but soon after forgets this oath.  Why become a physician if there is no paasion to help others&#63;&#63;  Too many people nowadays seeks careers for financial purpose.  This why I feel no caps should have been placed on malpractice. In my opinion doctors should be sued because of their neglience.  In most cases this is not about the money.  It is simplt to make sure this does not happen to another human being while getting the attention of that doctor. No one is above anything in life and can be brought down to nothing.  My suggestion to Dr. Madden rethink your career.  you should not be bias to patients regardless of gender nor race.  I am very upset with the way he misdiagnosed a family member and will do every thing possible to seek justice. 	1	1	1	1	Insurance:Unknown
62	1	 I am starting to trust Dr. Madden. I've been seeing him since December 2006. I had breast cancer with bone progression. He has acted very agressively in my case. I wouldn't give you twenty five cents for his assistant Paula. She has caused untold anixiety .  	3	2	4	5	Insurance:Blue Cross / Blue Shield
62	1	commentsDr. Madden shows me he cares. I feel he is thorough in reviewing and considering my case. 		4	5	4	Insurance:Unknown
62	-1	commentsDoes not seem to care. 		3	2	2	Insurance:Unknown
69	1	.  she is a very good doctor!!!! I just love her she was very helpful!!! 	5	5	5	5	Insurance:CIGNA
