dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
8	0	commentssays the same things every time and never really pays attention to my children. She actually recommended I stop breastfeeding bc my daughter is underweight but all my kids are.they were only 5 lbs when born! mini babies!! they are tall and skinny.I have such a hard time even understanding her bc of her accent. It's not a caring personalized experience at all! u wait forever to get in and once u do its wham bam thank you ma'am. She is very book smart but like I said everytime I go in she just repeats everything she said at the last visit! i'm on the hunt for a new pediatrician as we speak! Also I went to pick up my childs immunization records and they didnt have them on hand! I am origianlly from Pennsylvania and you can go to your ped and ask for their immunization records and make a copy for you right then and there! I couldnt register my child for school bc they don't keep accurate records. 	1	1	1	5	Insurance:Unknown
8	1	commentsExcellent doctor. In answer to the child with asthma, I would rather my doctor be caring enough to follow up my child's health as suppose to sign a prescription blindly. 	5	5	5	5	Insurance:Unknown
8	1	commentsShe is one of the best doctors I have ever met. Very smart, experienced and observant. Great advices could sound harsh, but it's only because she cares. Excellent with children. Highly recommended. 	5	5	5	5	Insurance:Unknown
8	-1	 MY SON HAS HAD ASTHMA FOR THE PAST 6 YRS. I WAS SURE HE HAD A REFILL FOR HIS ADVAIR BUT I WAS MISTAKEN. I CALLED THE OFFICE FOR A REFILL TO BE CALLED IN AND THEY SAID THEY NEEDED TO SEE HIM. I SAID THAT'S FINE BUT I CAN'T MAKE IT TODAY. CAN I MAKE THE APPT FOR TOMORROW BUT GET THIS CALLED IN TODAY. THE DOCTOR SAID NO. I SAID YOUR NOT GOING TO GIVE ME MY SONS ASTHMA MEDICATION THEY SAID NO. I FOUND A NEW DOCTOR THAT DAY. NO REASON MY SON HAD TO BE WITHOUT SUCH AN IMPORTANT MEDICATION. NO REASON AN APPT SHOULD BE REQUIRED EVERYTIME HE NEEDS MEDS. AFTER 6 YRS NOT A WHOLE LOT HAS CHANGED. SHE JUST WANTS THE 75$, IF YA CAN BELIEVE THAT PRICE, FOR THE OFFICE VISIT.  		1	1	1	Insurance:Medicaid / Medi-Cal
10	-1	commentsAbsolute worst experience I've ever had with a physician. When I called to have my medical records transfered I was called a liar when asked why I was switching doctors, refused the fax number, and hung up on. 	1	5	1	1	Insurance:Unknown
10	1	 Dr. Raheja is a great doctor. I went to him with my first pregnancy. Other people in my family also were seen by him and loved him. The only problem I had was after I had the baby and went for my 6 week check-ups he wasn't as helpful or willing to answer questions. It was kind of like he was awesome and excited to take care of pregnancy related issues but nothing after the fact. So great obgyn but not the best for just gyn issues.  	3	3	4	4	Insurance:Medicare
16	1	 GREAT Doctor takes his time and is VERY thorough. Could not ask for a better foot Doc. Highly recommend him.  	5	5	5	5	Insurance:United Healthcare
16	1	 I was in such severe pain with plantar's fasciitis that I could barely walk at times. Upon seeing Dr. Rainer and explaining my concerns and symptoms to him, he diagnosed and corrected my problem in two visits. He is such a kind, gentle, patient doctor who LISTENS and strongly desires to help resolve your pain. He goes to the root of the problem. I do not like needles at all, but his professional technique in giving injections is almost pain free - seriously!  I was so impressed with him, as well as his proficient courteous staff. I highly recommend this doctor - just can't say enough about the wonderful care I received.  	5	5	5	5	Insurance:Medicare
16	1	 I had been to 2 other doctors who had no idea what was wrong with me. Dr rainer took the time to listen to me and found my problem and got rid of my pain.  Very clean office too 	5	4	5	5	Insurance:Blue Cross / Blue Shield
17	1	commentsMy husband just had a hip-replacement with Dr. Ramsey at Conway Medical Center....Terrific surgeon, great staff, great hospital, very attentive, knowledgable....There are not enough words to express how grateful we were to the entire staff and to the expertise of Dr. Ramsey...   Thank you all!! 	5	4	5	5	Insurance:Unknown
17	-1	commentsMy fiancee saw doctor Ramsey for a broken hand. We were referred by the local hospital and told that this doctor's office was one of the best in the area. We were VERY disappointed. The wait time in the lobby was long even though we showed up long before our appointment time. The doctor/assistant literally forgot we were in the office. When the medical assistant put the splint on he let us know it was his first time doing that kind of splint, even though it was a common fracture of the hand. (Not very good for the nerves!) The assistant then set the splint in a way even a perfectly good hand does not move. The doctor never checked the splint and my fiancee is now having problems because of the lack of care from this doctors office. For the amount of time we were there and the poor service we receieved they sure didn't mind charging us an outrageous amount. If they forget we are in the office, can we forget to pay the bill&#63;! 	2	1	2	2	Insurance:Unknown
20	-1	.   	1	1	1	1	Insurance:Blue Cross / Blue Shield
21	-1	 Very rude to not only myself but the paramedics that brought me in.  	4	4	1	1	Insurance:CIGNAPaid/Co-pay:$100
26	1	 Rabon is the best dentist I've seen and I've had a few. I have trigeminal neuralgia and severl problems with my teeth, but he took great care of me and I couldn't ask for better. He even knows about my other health problems and has helped me in all areas of health.  LOVE HIM!!! 	5	5	5	5	Insurance:Anthem
27	0	 Dr Rames appears to be knowledgeable in the areas that he has experience.  He is quite territorial if you have questions or concerns about your symptoms.  He has a difficult bedside manner if you are proactive about your healthcare.  Healthcare should be a team approach including the patient not a challenge.  He appears knowledgeable in the areas where he has cultivated his canned approach.  	5	5	2	3	Insurance:Assurant
32	-1	 Dr. orders unnecessary amount of test and appointments for problems that can be easily explained. She does not take time to update herself on patient history and also does not realize you have to work your job in order to pay your bills. My experience, as a type one diabetic with her was horrible and the same thing for any of the dr. she referred me to, as they were after the money as well. Currently looking for a new endocrinologist.  	2	4	1	1	Insurance:Blue Cross / Blue Shield
32	-1	commentsDo not go to this doctor. Spent 5 minutes with her (after waiting and hr) and she wanted to change medication that has been working for me for several years. Charged $200 (would have been $300 if I had insurance)to tell me she does not support T3. Shows her thyroid knowledge, greed of the practice, and listening skills/concern... Please don't waste your time. 	2	1	1	1	Insurance:Unknown
32	-1	 I have not been satisfied with her bedside manner.  I have not been satisfied with her treatment either, for a goiter.  I read the other comments posted and I agree, she is condescending, rude and she does not come across as very knowledgeable.  She always makes a &quot;uh huh&quot; kind of sound when you ask a question or make a comment about your treatment, more like she really isn't listening.  Even her nurse has said to me that she should have done more than she has.   I would not recommend her to anyone.  	1	2	1	1	Insurance:Blue Cross / Blue Shield
32	-1	 Very rude, uncaring, blunt, doesn't listen to patients but instead makes assumptions.  Orders unneccesary tests.  Don't waste your time.  She is mean and really unhelpful.  	2	2	1	1	Insurance:CIGNA
32	1	 HAVE SEEN DR. RAHMANI ON THREE OCASSIONS FOR THYROID NODULES. I HAVE FOUND HER TO BE VERY KIND, SUPPORTIVE AND KNOWLEDEABLE IN HER FIELD.SHE HAS TAKEN ALOT OF TIME WITH ME TO EXPLAIN THINGS AND LET ME KNOW WHAT MY OPTIONS ARE.I HAVE SEEN MANY DOCTORS FOR OTHER ILLNESSES AND I WISH I COULD HAVE HER FOR MY REGULAR DOCTOR.SOMETIMES WE ARE TOO CRITICAL OF PEOPLE FROM OTHER COUNTRIES .CAN YOU IMAGINE GOING TO ANOTHER COUNTRY, LEARNING THEIR LANGUAGE AND TRYING TO COMMUNICATE MEDICAL INFORMATION TO THEM&#63; I THINK THAT IF PATIENTS GIVE HER A CHANCE AND THEY WILL FIND A WONDERFUL KIND, KNOWLEDEABLE AND COMPASSIONATE WOMAN. I WOULD HAVE NO TROUBLE IN RECOMMENDING HER HIGHLY TO FAMILY AND FRIENDS.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
32	1	 If you are looking for warm and fuzzy, go somewhere else.  I am trusting her to be a great clinician but if you are looking for any kind of beside manner, do not expect to find it from her or her staff.  	3	3	3	4	Insurance:Blue Cross / Blue Shield
