dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Excellent experience overall. The whole staff was very friendly and accommodating. Crystal my hygienist was super and took a lot of time to talk with me about my oral health.  I can't wait to come back! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
1	1	I went to Rice Creek Family Dentistry earlier this week with my two sons for routine cleanings and checkups. We had what was by far the best dental visits we've ever experienced. The service was very good and Dr. Schweiger spent more time with us than any other dentist we've had. We had to wait about 10 minutes for our appointment to begin but the staff was apologetic for it. We have Tricare insurance and didn't have to pay anything out of pocket. All in all, I was very pleased and look forward to going back.  	5	4	5	5 	Insurance:Tricare
1	0	I Was a patient here for 6 months and they stopped accepting my insurance company and did not tell me. Then billed me for what TRICARE would have covered.  They always made me wait more than 20 minutes and even asked me if I would want to reschedule after taking off work&#63;!&#63;! 	2	1	2	3 	Insurance:Tricare
2	1	My dad saw Dr. Sandoz and I am a nurse, therefore I have medial knowledge.  He is a very good doctor, I would highly reccommend him.  	5	5	5	5 	Insurance:Medicare
2	1	Straight up honest. He is not the Dr. if you don't want to here the truth. He is both my Neurologist and Opthomalogist. He is Board Certified in both. I am at a point that I have reached max improvement. Surgeons say not to have the surgery until I can't stand it. I had a blood clot from an unknown source. Although not my primary Dr. he did keep up with my condition. He did a complete exam on my first visit.  Has been professional since my first visit in 2006 	5	5	5	5 	Insurance:Workers Comp
2	-1	.  	3	1	1	1 	Insurance:United Healthcare
2	1	I have been going to Dr. Sandoz for over 3 years , he is brutally honest which to me is just fine. I like his candor and would not even thank about going elsewhere.  	5	5	5	5 	Insurance:United Healthcare
2	-1	Very bad. Was extremely rude I was in tears not once but twice. I had brain surgery was told to go to one of the doctors in the office for the eye pain I was still having. I got in with him since he had many openings quick. He was nice the first few visits but after that he was rude and cruel. I now have to go back to a neuro and have to wait to see one of the others. He almost sent me for an MRI which would kill me if I had one. He should know this. I was told by the surgeon never to have one done. Maybe he felt stupid by me pointing this out but it could have ended very badly if i hadn't. For simple things he can handle, I would recommend - for more advanced NEVER!!! Also was told by others he cares more for people with $$$ Even by his own staff...  	3	5	1	1 	Insurance:Medicare
2	-1	Worst experience at a doctors office I have ever had.  Very rude and disrespectful 	1	1	1	1 	Insurance:Blue Cross / Blue Shield
2	1	I can honestly say he's the best thing that happened to me. He listened, we talked and came up with the right solution for me. I can't say enough good things about him. I wouldn't pay any attention to a couple of these post. Dr. Sandoz has helped me greatly and I have talked to others that have seen him and they all agree with me.  A1 in my book! 	5	5	5	5 	Insurance:Aetna
