dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
2	1	 Dr. Dib takes his time to make sure that you thoroughly understand your diagnosis and does a great job of answering all of your questions. He's very thorough and has followed up with a number of my other Doctors. Most importantly, he genuinely cares about you as a patient.  I would highly recommend him! 	5	5	5	5	Insurance:Blue Cross / Blue Shield
2	1	 Very knowledgeable.  Took all the time I needed to be sure I understood my situation and what it was going to take to be on the mend.  Very gentle spirit and is very caring.  	5	4	5	5	Insurance:HealthPartners
2	1	commentsI have known Dr. Dib for over a year beginning with my diagnosis of non-Hodgkins lymphoma.  I consider myself fortunate to have him as my oncologist.  He is caring, considerate, intelligent and well-spoken with a great &quot;bedside&quot; manner.  Not once did I feel rushed when in an appointment with Dr. Dib and there were times that I asked a lot of questions.  I would recommend him highly to anyone being treated for cancer. 	5	4	5	5	Insurance:Unknown
4	1	 DR DAVIS IS THE BEST OBGYN I HAVE SEEN.  SHE IS SO CARING, ANSWERS ALL QUESTIONS. I WAS IN PRETERM LABOR FOR 3 MONTHS AND SHO WAS GREAT. RIGHT MEDS, KNEW WHEN TO HOSPTALIZE ME AND SHE WAS SO CALMING. LOVE HER AND RECOMMEND HER TO EVERYONE. MY DAUGHTER IS NOW SEEING HER ALSO.  	5	5	5	5	Insurance:HealthPartners
4	1	 Dr Davis is the best dr I have ever been too.  She is very caring, always trying to get to the root of the problem, asks and cares about your complete wellbeing.  She always takes time to answer any questions.  I would and have recommended her to anyone 	5	4	5	5	Insurance:Blue Cross / Blue Shield
16	-1	commentsdoctor should do his job and not accuse me of taking pain meds. Than the doctor found out I just had surgery. NO SORRY... All that he had to say was don't ask me for anything... wichI never did or was going to. I highly do not recommend this doctor! He will Judge you the minute you walk in. as well as I have been sitting here now for three hours. I wrote this while waiting.. 	4	1	2	2	Insurance:Unknown
16	0	commentsMy experiences with this doctor fluctuate hugely; I thought he was a great family dr. at first, then there was a billing dispute and he became incredibly rude, berating, and dismissive over a minor charge that I was disputing.  It was so off-putting that I have to quit him as a dr.  I would not recommend him to anyone looking for a emotionally stable, consistently professional physician. 	4	3	2	3	Insurance:Unknown
16	1	 I have been a Registered Nurse for 21 years and have been an Intensive Care Unit nurse, a Nurse Educator, and am now a Certified Care Manager for seniors and those with disabilities.  My husband is a Registered Nurse also with General Medical, Pre-Operative, GI experience.  I worked with Dr. Diamond professionally in the hospital as well as with my clients.  He is an excellant physician.  With our background, my husband and I are very choosy about who we will let treat us and our family. Dr. Diamond is the physician our family chooses and I frequently recommend him to friends and others who ask my opinion.  He is a very thorough physician, very knowledgable and best of all understands his strengths and weaknesses. He is not afraid or too arrogant to refer to a specialist and is very collaborative in his care.  	5	4	5	5	Insurance:Blue Cross / Blue Shield
16	0	commentsDiamond seems very pleased with himself.  Can be arrogant and dismissive. 	4	1	2	3	Insurance:Unknown
16	1	commentsI can't understand the last post....REALLY&#63;&#63; I agree more with the others.  He does take TIME and was very concerned about me - not just the refill I needed but preventative care and how I have been doing with some other issues... His office provides appointment reminders, and always call my tests results back the next day!  His staff are as personable and caring as any office I have ever been in. This is a great doctor ! 	5	5	5	5	Insurance:Unknown
