dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dr. Steve and his staff are amazing. I have tried everything for my headaches and back pain and he is the only one that has every gotten rid of it without drugs. Yahoo Chiropractic and Dr. Steve. 	5	5	5	5 	Insurance:Unknown
2	1	Dr. Genoff, did my bilateral carpal tunnel surgery in 2000 when he was in Louisiana,His Staff was very courteous professional, and courteous, His PA was one of the nicest professional I have every met, Dr. Genoff himself was a 10 star, makes a patient feel very comfortable,and explains everything very well. Very excellent physician he is very knowledge and doesn't leave his patients in the dark. I really met him. I was very upset when he left for south Dakota. Best of Luck Dr.  Genoff and Thanks a Lot  Bessie Fuselier 	5	5	5	5 	Insurance:Workers Comp
2	1	I have had 5 surgerie's on my left wrist by 2 other Dr.'s That obviously didnt know what they were doing, I was able to go see Dr. Genoff and felt very comfortable with him with in 5 min's! He's an EXCELLENT EXCELLENT Ortho Dr! Precise, caring, down to earth! Much appriciation goes to this Doctor from myself and family. I could tell a few days after he did my surgery that 60% of my pain was gone immiately, my hand/wrist will never be the same but he was able to help get rid of some pain I live with everyday! I will forever go to him along with my family & friend's.  I HIGHLY recommend him to anyone with ortho problems!!! 	5	5	5	5 	Insurance:United Healthcare
2	1	Dr. Genoff is simply the best ortho that i have ever met in my life. 		5	5	5 	Insurance:Unknown
3	1	he was a great doc! and still go to him! he was very nice and he explains everything well.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	 	5	5	5	5 	Insurance:Unknown
4	1	. Very Good 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	1	very smart and personable, best combo in a doc, highly recommend 	5	5	5	5 	Insurance:Unknown
5	1	This doctor is a very good doctor.  He's always honest with you and doesn't sugarcoat a thing.  If he's unsure of what may be wrong or doesn't know the answer, he refers you on to a specialty doctor instead of just guessing.  I would recommend him to anyone!  He's been my doctor since birth and is now my son's pediatrician.  	5	5	5	5 	Insurance:HealthPartners
6	1	Dr.Gulbranson did a wonderful job! She seemed very knowledgeable and was easy to talk to. Her staff were very nice as well. Overall, I had a pleasant experience, and my eye sight was properly adjusted. I would not go to any other OD for my eye checkup.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
6	1	Dr. Gulbranson is a God send! She is patient, kind, and upbeat with my three year old.  Because of her we have avoided the eye surgery our last doctor recommended and improved my daughters vision through eye therapy.   She is wonderful and we'll never go to anyone else again! 	5	5	5	5 	Insurance:CIGNA
7	-1	This doctor has horrible bedside manner. He screamed at my husband on the phone when he couldn't figure out what was wrong with him. His nurse called back at 5 p.m. on a Friday when my husband was having another attack. She said there was nothing else they could do for him. We were forced to go to the local clinic, which pulled his hospital records and made an accurate diagnosis. It turns out that my husband has a rare syndrome, which Dr. Gross would have figured out if he did a little work (even the hospital radiologist knew what it was). I would never recommend this doctor to anyone I care about. 	1	3	2	2 	Insurance:Unknown
8	1	verry good 	5	5	5	5 	Insurance:Unknown
