dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
4	1	 You will not find a more thorough doctor than Dr. Hammell. He is concerned of your overall health not just your neck and back. He performed a thorough exam. His staff which is his wife is very nice and educated and experienced on insurance. She is also a certified chiropractic asst.He has a fully equipped clinic with x-rays.I can't say enough about this clinic. If you are on Interstate 90 stop in. You will get your money's worth.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
11	-1	 He brushed me in and out of his office, didn't explain my condition nor did he seem interested.  I found his bedside manner very chilly which would have been acceptable if he had been helpful, but he basically brushed me off, in a hurry to go elsewhere.  	3	5	1	2	Insurance:Blue Cross / Blue Shield
11	1	commentsCould not adk for a more personal/caring doctor.  Feel most comfortable with him and his staff.  Lab work and procedures are explained completely and returns calls (or staff) in a swift manner. 	5	5	5	5	Insurance:Unknown
11	1	commentsDoc Harvison is very caring, wants to find solutions. 	4	3	5	5	Insurance:Unknown
11	1	commentsDr. Harvison is a very good Doctor.  He has a great 'bed side manner'.  He has a great sense of humor!  He listens and seems to care about his patients. I would recommend him very much! 	5	5	5	5	Insurance:Unknown
12	1	commentsDr. Hajal seems to truly care about my sleep issues and my health and is working WITH me to find a solution.  Also, he has a great sense of humor, which I find most helpful.  I would definitely reccomend him to my friends. 	5	5	5	5	Insurance:Unknown
12	-1	 dr rizan hajal didn't do anything except prescribe me a bunch of medication. keep in mind that i was 16 at the time, and i feel that i was way too young to be taking lunesta, ambien, every other sleeping pill under the roof, etc. would NEVER go back to him, ever.  	3	1	1	1	Insurance:Blue Cross / Blue Shield
12	1	commentsVery knoweldgable and caring. Explained to me everything that needs to be done. Strongly recommended 	4	5	4	5	Insurance:Unknown
12	1	commentsDr Hajal did a great job explaning my condition and was very helpful thru my treatment. If you have any sleep apnea or have been told you have sarcoidosis, I recommend that you see him. 		5	5	5	Insurance:Unknown
12	1	commentsHe is a very wonderful physician and really cares about his patients. I live out of the state he works in but travel to it just to see him when I need to because I wouldnt trust anyone else as much as him. 		5	5	5	Insurance:Unknown
17	1	commentsGreat Dr. 	5	5	5	5	Insurance:Unknown
23	1	 Dr. Hanley is awesome. I can really tell he cares about me and all aspects of my treatment. He is the best psychiatrist in the area. I have seen most others. His staff is tremendous as well.  He even makes personal telephone calls when warranted! 	5	5	5	5	Insurance:Medicare
23	1	 He is a very caring psychiatrist that genuinely want to help his patients.  	5	5	5	5	Insurance:Medicaid / Medi-Cal
27	1	.  great 	5	5	5	5	Insurance:Humana
29	1	commentsHe's not &quot;Mr Personality&quot;, but answers questions and knows his stuff.  He doesn't try to rip off the ins co, by doing unnecessary procedures.  I would return to him for surgery in a heartbeat. 	5	5	5	5	Insurance:Unknown
29	1	 The staff is fantastic. Really informative and supportive. You are encouraged to call anytime you have questions or concerns. These people are friends now.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
30	1	commentsDr. Hammer sewed up a laceration on a Saturday when he was not even on call. He did a great job and I have no noticeable scar. Is the previous message poster a Sanford employee&#63; 	4	3	5	5	Insurance:Unknown
38	1	commentsThe BEST!  I cannot say enough good things about Dr. Haft.  He is everything you would want in a doctor.  Professional, approachable, kind, smart, etc.  I could go on and on.  Most definatley one of the best doctors ever.  Sioux Falls is so fortunate to have a quality physician like him! 	5	4	5	5	Insurance:Unknown
42	1	 Dr. Hart is a very courtious Dr. with very good bed side manners. He won't give up on you til he finds out whats wrong, even if he has to send you to a specilist. He's not affraid to say he doesn't know, BUT he will find out. He saved my mothers life. My adult family goes to him and is very satisified. Very knowledgeable man. Very busy, very kind, but won't take alot of hooey from anyone. We always get results. Thank You Dr. Hart.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
55	1	commentsThe best orthopedic surgeon in Rapid City! Wouldn't go to anyone else. 		5	5	5	Insurance:Unknown
62	1	commentsDr. Hansen is everything you would expect in a great doctor: very large depth of knowledge, very sharp to catch minor details that may lead to something bigger, and LISTENING to the patient! He is the single best doctor I have dealt with in my life (aside from the timeliness factor, but I understand he was overbooked because so many people trusted and were seeing him). If he were to enter FP again I would recommend him to anyone and everyone (he left active practice to pursue cosmetic medical interests). 	5	3	5	5	Insurance:Unknown
62	1	 This is an awesome doctor.  Until he left the sycamore and 4th ave practice.  He was our family doctor for many many years.  I thought he was awesome and he was good with my children.  Very respectful, courteous, once in awhile late.  I have major medical problems, spinal strokes and many other conditions.  I wish he was back in family practice because the doctor I got after him is the worst I have ever had.  	5	5	5	5	Insurance:Medicare
62	1	 I saw him in Acute Care, he was very nice and knowledgeable both when I saw him and another time when my child saw him. He is a very caring doctor who figured out the problem and made sure all bases were covered, even making me go to the ER for an extra test. I was able to avoid hospitalization because he was so thorough and gave me an antibiotic shot right away, and he left my Acute Care visit notes with my regular doctor so he would know what was going on when I saw him the next day (I was told to make an appointment and tell them I had to be seen). He also explained things to me so I knew exactly what was going on. He is easy to talk to, also it is easy to ask him questions, as he is nice about answering them. He will go the extra mile to make sure that you are going to be okay.  		5	5	5	Insurance:Blue Cross / Blue Shield
62	1	commentsHe spent extra time with me discussing my sons asthma. he was very knowledgable. 		5	5	5	Insurance:Unknown
62	-1	commentsThe man didn't seem to respect me or the field of medicine. 		1	1	1	Insurance:Unknown
62	1	.  willing to combine appointments for various family members which is very helpful 		3	4	4	Insurance:AetnaPaid/Co-pay:$15
72	1	commentsWent there for acl surgery and he did an excellent job and gave a great discount for being in sports then went there for broken ankle and had surgery also did a great job just 3 months later 	5	5	5	5	Insurance:Unknown
72	1	 Dr.  Harbert was wonderful! He treated my child for a broken arm and I highly recommend him!! 	5	4	5	5	Insurance:Blue Cross / Blue Shield
72	-1	 Had to go to Sioux falls to get my arm repaired after Dr.  Harbert did surgery 	3	2	1	1	Insurance:Blue Cross / Blue Shield
