dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	very nice staff and very nice doc; very friendly 	5	5	5	5 	Insurance:Unknown
2	1	Dr. Kalo has taken excellent care of my mother throuh many joint surgeries.  He is caring and compassionate! 	5	5	5	5 	Insurance:Unknown
2	1	Had a knee scope done to repair a torn meniscus. He took the time to explain the injury and the procedure to repair it. Was on crutches one day and only had to take three pain pills following the surgery. Now ten months later I have had no problems.   Thanks Doc 	5	5	5	5 	Insurance:Workers Comp
3	-1	Peg Kelsey was my husbands therapist first then mine and eventually both. I often wondered about the contact by texting and the fact that my husband called her at home. Have been seeing another therapist since the end of December. I just recently asked him about this kind of contact. He said it is 100% unethical.  	 2/20/12	3	3	1	Insurance:Aetna
3	1	I personally have needed years of psycho therapy and I will say that Dr. Margaret (Peg) Kelsey, is without a doubt the most caring, understanding, Psychologist I have ever seen.  She has been my lifeline for years.  I would highly recommend her to anyone needing to talk to someone about their life circumstances to reach out to her, because she is truly a wonderful person to work with.  I admire her extreme dedication to being there when you need her.  	 7/18/11	5	5	5	Insurance:Medicare
4	1	Outstanding Dr. 	5	5	5	5 	Insurance:Unknown
5	1	Dr. Konkimalla is one of the best doctors. She listens to the patients problems and treats well with always a smile on her face. 	5	5	5	5 	Insurance:Unknown
6	1	Dr. Kallemeyn is an amazing physician! She responded swiftly to a concern that arose during my delivery, and calmly assured me that all would be okay, while explaining to me what was happening...all with a smile on her face. Any questions or concerns I have had that come up, she responds quickly. I would recommend her to anyone! 	5	5	5	5 	Insurance:Unknown
6	1	Great Doctor.  Wonderful bedside manner.  She did a great job with me! 	5	5	5	5 	Insurance:Unknown
7	1	Dr. John Knecht is one of the best doctors I've ever seen. Very knowledgeable about a number of different health ailments. The only times I had to wait for him was during an emergency.  	3	4	5	5 	Insurance:Blue Cross / Blue Shield
7	-1	I would not recommend this doctor to anyone. 		2	1	1 	Insurance:Unknown
8	1	Very skilled surgeon.  Did Mohs surgery on me and results where excellent.  Highly recommend. 	5	4	5	5 	Insurance:Unknown
9	1	 	5	5	5	5 	Insurance:Unknown
