dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	my daughter got hurt and dr swift told me that she didn't need surgery - got a second opinion and he said she needed to.  I am glad we listed to the other doctor or she would have had some serious issues.  This was the third child he turned away for surgery when after second opinions they needed it after all. 	1	1	1	1 	Insurance:Unknown
2	-1	Dr asked what my expectations were from surgery. I wanted to run, bike and swim. Dr Shumaker said this would be a reasonable goal. Prior to surgery I was getting epidurals and was doing all three. At first follow up after surgery I asked when I could start running. His response was that I could never run again (I had a fusion done on lower back) He was right about that. After 18 month healing time spasms returned and have not had a pain free day since.   As a bonus I had a blood clot 2 weeks after surgery which the good doctor would not see me for as &quot;the surgery could not possibly have caused&quot;    Bottom line in my opinion this doctor may be good surgeon but he is definitely not interested in following up after the fee is collected 	4	4	3	1 	Insurance:Blue Cross / Blue Shield
2	-1	Not helpful when you need answers. Does not pick up the phone, leaves you hanging. He'll be there to cut though, after that he's done with you.I think he's a good dr, but only in the OR. 	5	4	1	1 	Insurance:Unknown
2	-1	This man ****ed my back, having my 4th surgery be a SPINAL FUSION at the age of only 22!!  I am now permanently screwed, litterally.  I have had numerous surgeons say they NEVER would have done the surgeries he did on me!  I HATE this man and plan on filing a medical malpractice case on him! 	2	2	1	1 	Insurance:Unknown
2	-1	. 	3	2	2	2 	Insurance:Unknown
2	1	Absolutely the BEST NEUROSURGEON in the country!I have been to many, but none so helpful and caring as this one.  He is worth his weight in gold! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	I don't what to say but WOW!  I have always had a very hard time dealing with a chronic illness.  Dr. Sorensen seems to understand better than most has has so helpful and easy to talk to.  He always takes the time to listen and doesn't get impatient when I start to freak out.  He is alway very courteous and willing to work with me to keep me as healthy as possible.   I just can't enough good things about him, except for thank you so much! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	I happen to think that Todd Sorenson is one of the best doctors. My two kids trust him very much and he is in fact the only doctor that they do trust.  	5	4	5	5 	Insurance:Medicaid / Medi-Cal
3	1	Dr. Sorensen is one of the best family physicians I have ever received care from. He truly cares about the patient as a whole. He recognizes that medicine is multi-faceted. He takes time to ask questions and he listens!  When seeing his patients for physical illness he also recognizes the mental/emotional dynamics that go along with chronic illness. As a family physician he is attentive to how the other members of the family are impacted by chronic illness of a family member. Dr. Sorensen's bedside manner is great and he puts his patients at ease. He is positive and reassuring which makes a big difference when a loved one is facing a long-term illness. He is sensitive to the financial burden medications place on family budgets and is willing to assist with filling out necessary forms in order to get the medications. When I or other of my family is sick we are willing to wait for an available appointment with Dr. Sorenesen. Only an real man of God could provide such attentive care.  	3	4	5	5 	Insurance:Blue Cross / Blue Shield
3	1	Dr. Sorensen does more than figure out what is wrong and prescribe a medicine. He takes time to answer questions in a thorough manner. When I was admitted to the hospital he told me he would come see me as soon as he was done for the day. Dr. Sorensen is not just concerned with getting the job done and moving on to the next patient. He is personal and compassionate. I would recommend him to anyone.  :) 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	Dr. Sorensen is very thourough. He takes time to answer any questions you may have and he listens to what you have to say. He knows his patients and he works very hard to work you in if you need to be seen. He is great with my daugther who is 14 months old and has been her doctor since before she was born. He is gentle and does not rush you out the door. His nurses are very personable and are usually very good about calling right back if you leave a message. I have absolutely no complaints about Dr. Sorensen and would recommend him to anyone! 	5	5	5	5 	Insurance:Unknown
3	1	I rated Dr Sorenson the way I did because he is very knowledgeable, courteous and helpful. He is easy to talk to and answers any and all questions I have for him at my appointments or whenever I call his office. He is knowledgeable in such a wide variety of ways. His nurses are also wonderful and so friendly and helpful. I would recommend him very highly. 	5	5	5	5 	Insurance:Unknown
4	1	I had large area removed on my temple and the results were amazing. I would have to show you you where the scars are.  Friendly, kind, good man and great Doctor, 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	1	Dr Shields and his nurses are just amazing. It is always fun to go see them. They make your visit very relaxing and enjoy the conversations. I would recommend Dr Shields.  	5	5	5	5 	Insurance:HealthPartners
4	1	Dr Shields is a very caring doctor.  Always cheers me up and has something positive to say each time I see him. He is very knowledgeable and won't do any procedure just to make money, as I have read under other docs on this site.   Dr Shields is the best! 	5	5	5	5 	Insurance:HealthPartners
4	1	 	5	3	5	5 	Insurance:Unknown
5	1	He &quot;might&quot; be a good surgeon, but he rarely looks the patient in the eye. Strange demeanor, yet cordial. He doesn't tell you everything about the upcoming surgery. 	4	5	3	4 	Insurance:Unknown
6	-1	I felt the exact same way. I had a few question to ask, she asked me what my top 2 were.. wth. I will never go back to her. 	1	1	1	1 	Insurance:Unknown
6	-1	I had just moved ito town and called the clinic to setup a new appt.They assigned me to Dr.Smith and she was pleasant at first meeting. However everything that I wanted to talk to her about she told me to not worry so much that she's had these symptoms before too, etc. She totally downplayed what I was bringing to her attention. She ordered labs, I was diagnosed with hypothyroidism. I setup another appointment to see her less than 2 months later and I waited over an hour to meet with her. When she finally came in the room it was very very brief. She prescribed me meds for my thyroid and being newly diagnosed with this condition I had questions about it and the meds. I said &quot;May I ask you a couple questions&quot; and she said &quot;No, I don't have time for questions today. You need to schedule another appointment for that.&quot; I was FURIOUS. I rescheduled alright, but not with her. I left feeling like this was about money. 	1	1	1	1 	Insurance:Unknown
7	1	. She's a great doctor and the nurses/staff are wonderful! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
7	1	Tells it like it is-I feel we are in the best of care when we see her.  Great Doctor!!! 	5	5	5	5 	Insurance:Unknown
8	1	Is old school but knows his stuff. Obviously cares greatly about his patients. 	4	3	4	5 	Insurance:Unknown
8	1	He has a wonderful bedside manner but does like to talk down to you. Doesn't take the time to really listen at times he seems to be arrogant. His staff acts like they are afraid to ask him anything. I seen him berate one of his nurses when he didn't think anyone was watching. I don't have any plans on going to him again.  	5	4	3	5 	Insurance:Blue Cross / Blue Shield
9	1	I had at least 3 headaches a week for years. Now they are gone. I couldnt be happier. It was a bit of a pain scheduling at his old office since it was just him and i put up with it because he was helping me, but his new office location is more convenient for me and his staff is very very helpful. Highly recommended. 	5	5	5	5 	Insurance:Unknown
9	1	At first I didn't think this type of chiropractic would work because there is not &quot;cracking or popping&quot; but after a couple times, I am becoming a believer that this works.  I can now turn my neck both ways when I wasn't able to for weeks.  I am going to continue to see Dr.  Aaron since it seems to be working! 	5	5	5	5 	Insurance:Aetna
9	1	Dr. Skonhovd made me a believer in upper cervical adjustment. Was skeptical at first but overall very pleased with the results. I will be back. 	5	4	5	5 	Insurance:Unknown
9	-1	Was not what I expected, he was late to appointment.. just was not good at all. 	1	1	1	1 	Insurance:Unknown
9	1	Great Doctor.  Very knowledgable in upper cervical adjustment. I would recommend to others 	5	5	5	5 	Insurance:Unknown
9	-1	Very unprofessional and did not help one bit...even seemed shady. 	1	1	1	1 	Insurance:Unknown
10	1	very caring; thinks out of the box; excellent for second opion.  I love him 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
10	1	terrific; very compassionate. Only Doc that is willing and able to work with Chiropractors and other specialists. Always keeps my interest the right and center.  We are fortunate to ahve him in Sioux falls 	4	4	5	5 	Insurance:Blue Cross / Blue Shield
10	-1	Husband saw dr.be careful with this guy.he charged us for a follow up call when he had told us he wpould call with results. Results were 2 months late. When asked for records they where never sent. This is true about not able to go to other facilities. The nurses at sioux falls surgical center have also had issues. Will not go to this man again.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
10	1	After seeing many doctors and no one could find out what was wrong with me, he realized I have celiac disease.  I'm allergic to wheat etc!  I lost a lot of weight over the years without trying and I had severe pain.  He did a colonscopy and endoscopy at the Surgical Center and did a biopsy.  I did not have any complications.  I am pleased with him overall.  His staff is helpful.  He does run far behind schedule.  The biopsy report that I got a copy of said there was a portion of the biopsy that was not easily identified and was not what the dr thought it was.  He does suggest more of the same tests but when I asked to wait since I'm doing so well, he was fine with my decision.  I continue to be his patient because he found the problem when so many other could not including Mayo Clinic.  	1	1	4	4 	Insurance:Delta Dental
10	-1	As stated below, this physician does not have privileges at Avera McKennan or Sanford; only the Surgical Center. After only one office visit, I knew this physician was not for me. He wanted to instantly yank me off all medications I was on and admit me to the Surgical Center as he knew I'd have complications from doing so. Then, also stated below, if there was an emergency I'd have to be taken to one of the other hospitals and see their doctors. This doctor is way too radical. I will never go to him again and I don't refer any one to him either.  	1	1	1	1 	Insurance:Medicare
10	-1	This doctor has lost hospital privileges at Sanford and McKennan Hospitals.  He also was fired from the VA.  If you have complications from a procedure of his at the Sioux Falls Surgery Center (the only place in Sioux Falls that allows him to do procedures) you have to be tranfered to McKennan Hospital and be seen by their gastroenterologists in the ER.  If you had a good outcome with this doctor then you were one of the lucky few.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
10	1	After going to numerous doctors for 2 1/2 years I went to Dr. Singaram and he finally figured out what was wrong with me. He spent alot of time with me and was very very helpful and very sympathetic.  	4	3	5	5 	Insurance:Blue Cross / Blue Shield
11	-1	Told me all my back x-ray said to him was how old I was. Later that month a back surgeon showed me a lot with same x-ray and I did have numerous problems with my spine and did have surgery. Doing well now. I would not recommend Dr. Seibel to anyone! 	3	3	1	1 	Insurance:Unknown
11	-1	He told me arthritis was &quot;to be expected&quot; as i WAS &quot;on the other side of 50&quot; Very condescending and poor bedside manner 		4	1	3 	Insurance:Unknown
11	1	He went out of his way to be kind and helpful during a difficult time in our lives. His excellent skills and caring made all the difference in a frightening and confusing situation. A doctor reaching out over and above his duty is truly appreciated! 		4	5	5 	Insurance:Unknown
11	-1	This doctor does not deserve to have a licence. My daughter is now 8 and her arm is forever hyper-extended because he SCREWED UP. 		1	1	1 	Insurance:Unknown
12	1	Very cheerful, Seemed to know his stuff. Personable.  	5	4	5	5 	Insurance:Medicare
13	0	Good surgeon, but seems like he could care less about me after discharge. Did not seem to want to listen to the concerns that I had after my surgery and would not be proactive to ensure that my surgery would not be compromised. 	4	4	2	4 	Insurance:Unknown
13	1	Mr. Sorrell is outstanding! I credit him & his team w/ saving my fathers life this summer. He is professional to speak with, as well as informative. I will refer him to everyone I know. He is an &quot;asset&quot; to Sanford Medical Center, and my family. Last, but most importantly, his surgical abilities are truly a gift! I cannot say enough about him. I am forever grateful to him and his team, for allowing me and my family to spend more time with my father. 	5	5	5	5 	Insurance:Unknown
13	1	Matthew Sorrell is an amazing surgeon. Not only is he nice to work with but hes nice to look at too :) 	5	5	5	5 	Insurance:Unknown
13	1	Extremely kind and caring to patients.  Wonderful bedside manner. Came highly recommended as a surgeon and did a wonderful job.  Nurses at hospital also commented on what a nice guy he is to work with.  Would recommend to anyone, wish more doctors were like him. 	5	5	5	5 	Insurance:Unknown
13	1	spends time with patients to answer any questions, very caring and knowledgeable 	5	5	5	5 	Insurance:Unknown
14	1	Super service. Great staff. Best glasses ever. Recommend them to all my friends.  	5	5	5	5 	Insurance:Coventry
15	1	he said if he was a mechanic and I came in with a old car and transmission trouble, I'd go home with a better transmission but not in a new cadilac.  I still have back pain but am off disability and back to work.  Explained things well, down to earth and took me time when nobody else would.  Pretty damn good.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
15	1	My back hasn't felt this good for 30 years.  If I hadn't woken up with a band aid on my butt I would not have known that he had even done anything.  Very busy but he does sit down and take the time.  I am much more functional now even 2 years older that I had been.  Very good Doctotr.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
