dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	 He is a very great doctor and also great with kids, including special needs.  		4	5	5	Insurance:Blue Cross / Blue Shield
18	1	commentsDr. Watson and his staff were awesome.  We tried different non surgical things before I had go have surgery.  I would recommend him and his PA to anyone. 	5	4	5	5	Insurance:Unknown
18	1	commentsA very capable surgeon.  Offered several options relative to my needed surgery.  He had to do a more extensive job once the surgery began, but that had been one of the things he had explained during my initial consultation.  His P.A. is great and also very professional.  I have referred other family members to him because of my confidence in his ability.  Answers any and all questions during appointments and his P.A. returned my calls as well.  Very happy with Dr. Watson and staff! 	5	5	5	5	Insurance:Unknown
18	1	commentsVERY friendly guy! However, at each appointment I've had to wait up to an hour and a half before getting called back to be seen by the doctor. Physician assistant is the nicest lady you'll ever meet! Overall, a great doctor experience. 	3	2	5	4	Insurance:Unknown
18	1	 Dr. Watson is WONDERFUL!!!  One of the truly best Dr's out there.  He was very compassionate when I came to see him for my foot injury.  He was very precice on everything he did, and took the time to explain my injury in detail & in Leimans terms so that it was easier to understand the injury and also with different possibilities of treatment routes. He is one of the few Dr's out there that seem to really care about his patients wellbeing.  I can't say enough good things about Dr. Watson.  I would recommend anyone to see him if you have a foot or ankle problem.  Keep up the GREAT work Dr.  Watson!!! 	5	4	5	5	Insurance:Blue Cross / Blue Shield
19	-1	comments 	4	4	2	2	Insurance:Unknown
19	1	 Dr. Westbrook painstakingly helped me through a very traumatic back injury, and provided me her medical pain management treatment. I have recovered after several surgeries and now living a pain free and normal life I have resumed life and am happy with the services she and her staff provided me.  	5	5	5	5	Insurance:Workers Comp
19	-1	 In Dr. Westbrooks care, from people I know as well as me, if you are not a drug addict before you go in, you will be one before you leave . I went in for a concern of taking to much of a weak pain med.Within a year I was loaded up on oxycontin. She is basicly a legalized drug dealer and she knows how to keep people coming to see her. And if you do not pay up completly before your next &quot;visit&quot; she will not see you. And if you are taking oxy you will do anything, I mean ANYTHING, to get the money for more. The money is to be sent to her personel account in New York. I detoxed off all the pain meds and have little to no pain anymore. Go to floridadetox.com  if you want out of that awful addiction.  	3	3	1	1	Insurance:Blue Cross / Blue Shield
19	-1	 I felt very uncomfortable asking questions or voicing concerns about procedures and medications she was prescribing - she seemed offended as if I was questioning her expertise.  When I had to page her due to an emergency, she began the conversation with &quot;I hope you know i'm supposed to be on vacation!&quot;.  There needs to be more concerned with the patient's wellbeing.  	4	1	2	2	Insurance:Blue Cross / Blue Shield
19	1	commentsDr. Westbrook is the only doctor who has been able to offer me any type of relief, but still hasn't been able to 'cure' me. I like that she is open to many types of procedures that other doctors in the area will not even address. My only complaint is that I think there is a lack of communication between the doctor and patient, but otherwise the visits have been fairly average in satisfaction. 		4	4	3	Insurance:Unknown
19	-1	commentsDr. Westbrook has been treating a chronic condition I have for years. I consistently wait an hour in her waiting room, a half an hour before the nurse will see me, and another hour before the doctor herself shows up. A gentle bedside manner is nonexistant, and you are a chart as opposed to a patient. There is no eye contact, and any questions you ask are treated as an attack on her knowledge of medicine. She's very impersonable and cold. 		1	1	1	Insurance:Unknown
21	-1	commentsVisited this doctor as a new patient for a yearly checkup. After his nurse took BP and heart rate his contribution was basically an ear, nose and respiratory exam and an order for general blood work. Hardly what i am used to for a yearly exam especially that I just turned 50. Had mentioned the prescription drugs and dosages I was currently taking and noted on his visit review document that he had noted all the dosages incorrectly. I should, &quot;continue taking 100 mgs of Imitrex 4 times a day&quot;&#63; If that were the case I'd have much bigger problems! His general knowledge of prescription drugs left me feeling that he has not kept current for some time. While many drugs can fall into the same category, the way each works can differ but the doctor's reply to my request to switch a given medication was to the effect of, &quot;they're all the same&quot;.   I can not recommend Dr. Weiland due to his apparent lack of medical knowledge and the inaccuracy of documentation. Surely the latter outweigh the former. 	5	5	1	1	Insurance:Unknown
21	-1	 The amount of time spent during the physical exam averages 5 min or less.  Not thorough in the least.   Prostate exam &quot;in and out&quot;...that's it.  Professional but very defensive if asked questions.  May be a very good generalist however with multiple medical conditions, may not be a good choice for a physician.  	5	3	1	2	Insurance:Blue Cross / Blue Shield
21	1	 This pleasant and friendly doctor spent adequate time discussing my medical history, but the physical exam was extremely cursory. He didn't listen to carotids, iliac arteries, palpate lymph nodes or abdomen, such as to check for pulsatile masses, ie. a check for developing aneurisms, or check for peripheral pulse strength. The least thorough exam I've ever received. He didn't do a prostate exam which might be all right given some of the evidence that precludes such exams in low risk moderately older men, but there are always exceptions to studies that find such results. I do not enjoy the exam, but need to do more checking to see if it still should be done even in light of a history of low PSA results. Dr. Weiland and his nurse have been very helpful with fast response to prescriptions and queries about various subjects. I believe I'll still try this gentleman in the future, but hope for more in depth examinations, especially as I get older.  	5	5	3	4	Insurance:Blue Cross / Blue Shield
24	-1	 Said I needed surgery for an anel fissure....went to the Mayo Clinic and they said that there was absolutly no need for surgery.  Mayo fixed my problem on the spot. Stay away from conventional doctors is my best advice.  	1	3	1	1	Insurance:Blue Cross / Blue Shield
24	1	commentsThe best. Took his time and really cared about you as a person. He wouldn;t open me up because it could cause more harm than good. He is also going to be checking with other doctors about my care and how I am doing. SUPERB 	4	5	5	5	Insurance:Unknown
24	-1	 Based upon the recommendation of my gastroentrologist, I set up an appointment with Dr. Wheeler to have a Nissan fundoplication. I had no problem with the requirement to set up a separate appt just to discuss the procedure. He required invasive, painful pre-surgery tests to determine if I was a good candidate for the surgery, but then advised surgery before even looking at the results. He did not do so until I specifically asked him to. I came to the pre-surgery information appt having researched the surgery and with a list of questions.  He perfunctorily told me that he didn't have time to talk to me about the surgery (even though that was the entire purpose of the appt), so if I had questions, I needed to make ANOTHER appt.  He was the quintessential negative stereotype of the arrogant surgeon.  End of story&#63; I had the surgery - it was a failure, and I am worse off now than if I had never had the surgery. I am now scheduled to go to Mayo Clinic to see if they can fix his mess.  	3	3	1	1	Insurance:Blue Cross / Blue Shield
25	1	 Dr Weekly is very knowledgeable and patient to questions. I have been very pleased with his service. I was in a terrible accident and he was one of the specialist that was called and did an awesome job.  	5	4	5	5	Insurance:CIGNA
25	1	.  He is great friendly helpful and very knowledgable 	5	5	5	5	Insurance:Medicaid / Medi-Cal
34	1	 I have been going to Wallace for 9 years and would not trade her for anything. She is the best dr ever and is very smart and she truly does care about her patients no matter the age. My grandma switched and came to her and my grandma reminds me very time she goes to see her she wished she had her the whole time.  I  can't say enlightened about her she delivered all three of my children and she is their primary dr as well! I will recommend her to anyone she truly is the best 	4	5	5	5	Insurance:Medicaid / Medi-Cal
34	-1	 I went with my elderly mother to this Doctor.  She was not very friendly or concerned and has very little personal interest.  She does the very minimum and is ready to refer the patient to someone else. Most people go out of their way for older people.  	4	3	1	1	Insurance:Blue Cross / Blue Shield
