dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Been in Practice for over 40 years. Was a Vet before. 		4	4	4 	Insurance:Unknown
2	1	Yes the wait time is long most of the time, but Dr. Le has always been very pleasant and personable.  I have been going them for years.  I have never had a bad experience with any of the providers there. I would highly recommend them if you don't mind the wait.  But they are worth the wait!! 	5	3	5	5 	Insurance:Aetna
2	-1	My first visit, my mom & I sat for over 4 hours before I was even called back, then waited another half hour before seeing a nurse/practitioner. She immediately, without many questions raised my pain medication a huge leap. Skip forward several months, and I still didn't know what this doctor looked like because I never saw him. I cried the day that the nurse changed my meds again, for about the forth time, to morphine. I was in pain, but felt this was extreme, especially since I had never even met the doctor yet. Months went by and many medications before I finally met the doctor and he was so rude and unkind, I left crying and went back to my regular doctor for help, who was shocked at all the meds this office had put me on for months on end without ever even talking to dr. le. BTW, every visit was a full day because I always had to wait a very long time to get in.  	1	1	1	1 	Insurance:Aetna
3	1	Best doctor I've ever had. Extremely intelligent with an awesome bedside manner. Everything anyone could ever want in a doctor.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	He listens really well and does his best to do what you want. I had a skin cancer that needed to be tested. I wanted it totally removed which he did. Good on him.  	4	5	5	5 	Insurance:CIGNA
3	1	I LOVE Dr. Laurence.  Have been going to him for years and he is the best! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	1	By far one of the best doctors I've been to and THE BEST Pediatrician I've ever had for my kids. He listens to you, answers any questions you have and truly cares for his patients. I have since moved away and I can't find a doctor who is 1/8 of what this Dr. was to my children. He gives his cell phone number in case you have any problems and I've never had any trouble getting in touch with him through the front desk. The wait is a little long at times but when you get in you see it's because he actually spends time with you when most doctors just get you in and out and barely look at you. I'm so upset that we aren't able to see him anymore because he is such a warm, caring, family-man that you rarely get to see in a doctor now.  	4	3	5	5 	Insurance:Blue Cross / Blue Shield
4	1	Dr. Langenberg is one of the best doctors I have ever been to.  His personality is great and I really felt like he listened to my needs.  I don't really expect him to work for me for free and I don't expect his personal cell number in today's world unless I plan on paying him also for that call.  It is sometimes tough to get through all the front desk stuff to get to him, but once you do things are great.  I have been to a few doctors who have an excellent front desk, but then are not too good once you get in the room to see the doctor.  Langenberg seems to care about you and that is hard to find these days for sure.  	4	4	5	5 	Insurance:Blue Cross / Blue Shield
4	1	Dr.Mark is awesome. He listens and if he tries to figure out the problem and he can't.He is honest enough to send you to someone else and if you don't like that doctor. He will make a call to another just to get you seen quicker. He gave me his cell and I have had to use and he always got back with me ASAP. SO he is a nice guy he doesn't treat you like cattle running you in and out and come back in a week if that don't work. Because he listens he can usually determine your problems and prescribe what you need so u don't have to come back.  He is an A +++ man and doctor 	4	5	5	5 	Insurance:Blue Cross / Blue Shield
4	-1	This is the worst dr's office I have ever been to. Nobody will answer the phone, and if by some chance they do, no one knows what is going on or can get an answer for you. You can't speak to the dr. unless you go into the office and pay him for his time. He won't answer phone calls or return emails. My children's last dr would give his patients his cell phone # to call anytime, day or night. This dr. doesn't care about his patients and is only after the money. It would really be nice when a parent has a question about their child's health if they would at least try to provide them with an answer instead of them having to wait for hours on end, worrying with no answers what so ever.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
4	1	Dr. Langenberg is a really great doctor, he is the only doctor i will see! he really cares about his patients and gives them the time they desvere, his nurse Kathy is great too. Sometimes it is hard to call into the office, the front desk people are a little gossipy and etc, but Dr. Mark can't help what the front desk does, and I know for a fact he has got onto them in the past for things! He is a stand up christian guy and is always there for his patients, he is the best, and i highly recommend him! 	5	5	5	5 	Insurance:Unknown
4	1	I just love him as a doctor. He has been both my kids ped. since he moved here. he is great, takes my concerns seriously and is just generally a nice person. I also think his nurse Kathy is super. Will not take my kids anywhere else! Mt only complaint is that sometimes it is hard to call in to his office. The front desk sometimes doesn't pick up the phone! I have even seen them do this.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
4	1	Dr. Langenburg has been most helpful. He has always worked me in and since I do not have insurance, allows me to make payments, etc. He listens patiently and allows me plenty of time to discuss health concerns. Very happy with Dr. Langenburg and his staff. 	4	5	5	5 	Insurance:Unknown
4	1	I take my children to Dr. Langenberg and have always been impressed with both his intelligence and his ability to put children at ease.  He takes the time to address any concerns that we may have.  I also think very highly of his nursing staff. They are very knowledgeable and extremely helpful. They have always addressed my concerns and if needed, worked my children in to be seen.  I have not had any bad experiences with the front office staff.  They are busy, but polite.  I would highly recommend Dr. Langenberg to anyone.  You could not ask for a better doctor.  	5	5	5	5 	Insurance:United Healthcare
4	-1	staff is rude and gossipy, nurses are unhelpful, irritable, rude and gossipy. Doctor is uninterested and very inept. The doctor has trouble making simple decisions, forgets to order tests, and forgets the patient is even in the room. He also forgets to write prescriptions and forgets what meds the patient is taking. The entire experience with this doctor is highly disappointing and a little frightening.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
5	1	Very thorough.  	5	4	4	5 	Insurance:CIGNA
6	1	I can’t say enough good things about Dr. Faron. In addition to helping you feel better, he cares about your well-being and making you a healthier person overall. He has a passion and love for life that transfers to his work and he is truly unique in his genuine and enthusiastic treatment approach. I was new to chiropractic care but after alleviating tension headaches, I’m sold; and I couldn’t imagine a better chiropractor than Dr. Faron. 	5	5	5	5 	Insurance:Unknown
7	-1	I didn't actually see Dr. Lam... but had a HORRIBLE time working with the staff of Phoenix Perinatal Associates on 92nd Street. They are RUDE and unhelpful and the gal would NOT answer my questions when I called about an appt. I'm not sure I've EVER had a medical-related office be so incredibly rude. She basically hung up on me! Unbelievable and unacceptable! (Especially when I'd been a patient there before!) I would NEVER use them again and would NEVER send anyone I care about there. I just hope they refund the money they overcharged me... UGH! What a rotten experience! :-( My advice: go somewhere else if you have a choice. 	1	2	1	3 	Insurance:Unknown
8	1	I appreciated the professional staff at Dr. Larson's office.  He discussed all of the treatment options with me.  He spent more time with me than any other orthopedic surgeon that I have seen.  He was excellent 	5	5	5	5 	Insurance:CIGNA
8	1	Dr. Larson and his staff were excellent. He took extra time to answer all of my questions.  I would definitely want him to do my orthopedic surgery 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
8	-1	 	2	5	1	2 	Insurance:Unknown
9	1	She has helped my diabetes tremendously. Great caring Doctor.  	5	4	5	5 	Insurance:United Healthcare
