dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	. very nice helpful exxelent bed side mannersvery knowledgeable wil highly recamend to anyone/friends/famil 	5	5	5	5 	Insurance:Humana
2	1	Dr. Nesbitt seemed very capable and had a good bedside manner with patient but was rude to me, his wife.  His office staff is wonderful. However, his personal nurse that follows him around is an absolute nutcase.  He really needs to ditch her and polish his attitude just a hair and then he would be a great doctor.  He seems to be a great surgeon but could use a little people skills perfecting.  But overall he did a good job for my husband surgically.  	4	5	4	5 	Insurance:Blue Cross / Blue Shield
3	1	Good Kids Doctor. He is great with children. Goofy would be a great word to describe him. Answers questions honestly and in full.  		3	5	5 	Insurance:Blue Cross / Blue Shield
4	-1	 	2	3	1	1 	Insurance:Unknown
4	0	dr nestor seems to want to treat problems that are clearly out of her realm. i had slightly high BP 130/85 and she wanted to put me on BP meds. i went to a cardiologist (respected) and he told me that yeah my BP was elevated but he didnt see why i should be on BP meds at this time. my elevations didnt warrant being on the meds just yet, and try to change my eating habits for now. dr nestor also tends to not listen very well about what your problem is. and if you have more than 1 sypmtom she will only pay attention to the 1st one you name and ignore the rest. so if i have swollen feet and nose bleeds, she will tend to listen to the swollen feet and ignore the nose bleeds...very irritating. although she is a nice person her lack of attetion or caring overcomes her personality.  	4	3	3	3 	Insurance:Blue Cross / Blue Shield
4	0	Very patient and takes her time.  But dissappointed she brushed off severe leg pain. If I had not insisted to look further,  I would not have been refered to a specialist. I have been diagnosed with a chronic and painful disease. Also, Cumberland practice treats their practice like a clinic.  It is hard at times to get into see Dr. Nestor; they ask if you will see another doctor or the nurse practicioner. Not good medicine in my opinion.  But I personally like her.  A shame I have lost a lot of confidence. 	3	5	3	2 	Insurance:Unknown
5	1	Doctor is very knowledgable and very much patient oriented. He explains medical terms so that anyone could understand them. He is kind and caring. 		5	5	5 	Insurance:Unknown
6	-1	Twice had to wait 10 days for tests results with staff informing us he was busy in cath lab..&#63;&#63;  Didn't have time to look at tests results and not keep patient waiting anxiously&#63;&#63; 	3	3	2	2 	Insurance:Unknown
6	0	terminated me as a patient because I lost my insurance and could not pay up front.  	1	1	1	5 	Insurance:Assurant
7	0	I had three surgeries by this doctor and NONE of these surgeries were successful. When I complained of severe pain he just blew me off. His answer for everything was that I need more physical therapy.   I finally had to go to another doctor who was shocked that he missed so much. I would not recommend this doctor to anyone. 	2	1	4	1 	Insurance:Unknown
7	1	Dr.NAsh performed back surgery on me about 4 years ago and I have been so much better!!  His staff was very friendly to me and I cant compliment him enough.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
7	-1	he done two surgurey on my shoulder and never fixed the problem, I asked him to do another x-ray he refused, said he'd done every thing he could do. went to another dr. he said he would not have beleived I'd had the operation if he had not seen the medical records, he went in and cut the collar bone off and took out the spurs, which is what dr. nash said he did. bones do not grow back. I'D NEVER USE NASH AGAIN AND WOULD URGE OTHERS NOT TO HE HAS CAUSED ME ALOT OF PAIN, AND 3 OPERATIONS ON MY SHOULDER. 		1	1	1 	Insurance:Unknown
7	1	I have gone to Dr. Nash for different &quot;ailments&quot; for about 7 years. He is THE MOST CARING doctor I have ever gone to in my entire life. He is EXTREMLY knowledgeable, has a wonderful, helpful staff and treats you like you were his own family. Even when he is doing surgeries he has done before, he has been known to go back and research them it, just to check on new and best practices. He is warm, listens and is never in a rush (which is why he runs behind). THe first time I went I had to wait a while, but trust me, he was worth the wait. I have reccomended him to several folks, and trust him in all he does. I can not praise him enough. It is interesting to note, too , that nurses who work with him at hospitals praise him as well, so he is well thought of by people who have to work with him. Great doctor.  		2	5	5 	Insurance:United Healthcare
8	1	awesome doc, very knowledgeable, great bedside manners 	4	5	5	5 	Insurance:Unknown
9	1	Dr.Nowak is interested in her patients.She takes time to listen to your questions and concerns. She explains very clearly all treatments. Gives quality care. 	5	5	5	5 	Insurance:Unknown
10	1	dr. nelson was the most helpful and most knowledgeable of any dermatologist i have seen in several years of dealing with a rare and severe skin condition. his staff was great also as far as pleasantness and efficiency. i would highly recommend him.  	5	5	5	5 	Insurance:Medicaid / Medi-Cal
10	1	DR. Nelson has been my dermatologist for a longtime. I came from Vanderbilt with him. He is always on top of my needs and keeps in touch with my many other doctors that help keep me going. I have several serious problems including pyodermagangrenosum that started from a brown recluse bite and he has followed me through all of it and treated me appropraitely. He is always willing to work me in if I get worse. Dr. Nelson is very Knowlegeable in all the skin issues I have but the clotting disorder I did develop from the spider bite. He has even gone to the trouble of making sure when I was in the hospital in Tullahoma that he got them my records on what all he was dealing with and worked with the doctors there. I would definately reccommend him as a physician to anyone. His staff has always been as helpful as he is. I have nothing  but good things to say about him.  	5	5	5	5 	Insurance:Workers Comp
11	1	Outstanding physician. Very kind, compassionate, really listens to you. I felt he truly cared about me as a person. Have complete confidence in his skills and clinical judgment.  	5	5	5	5 	Insurance:Anthem
11	1	The most extraordinary Doctor I'm ever likely to have. Thorough, knowledgable, steadfast, attentive, involved, caring &amp; personable. We even like each other! Absolutely the best.  	5	5	5	5 	Insurance:Anthem
11	1	 	5	5	5	5 	Insurance:Unknown
12	1	Best Oral pro Ive had in awhile! I wish he could be my fulltime dentist! 	5	5	5	5 	Insurance:Unknown
12	-1	Not helpful or thorough. He is very short and unable to complete work in a timely fashion. He seems to treat people bad.  		2	2	2 	Insurance:Medicaid / Medi-Cal
13	1	. Excellent staff , Lindsey has excellent skills  if I had any teeth left I would go back 	5	5	5	5 	Insurance:HealthPartners
14	1	Dr Nowell spent considerable time with me and was very through.  Seems very knowledgeable.  Would reccommend to family and friends.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
