dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dr. Stacey is an outstanding pulmonologist with a caring bedside manner.  My sister was so impressed by the care she witnessed from Dr. Stacy she baked her cookies!  I've seen many doctors and enjoy appointments with Dr. Stacy becasue she really cares about her patients.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Outstanding bedside maners and polite. He is a knowledgeble professional.  I am very satisfied with his care to my family 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	If you need a great Doctor/surgeon Dr.vissers is the man to see.Originally my foot surgery was performed by another surgeon in which I did not get the greatest care,it left me in a wheelchair &amp; with concern of losing my leg.I then found Dr.Vissers who agreed to take over my care.Since then I have made great progress. I cant possibly say enough good things about him. He has truly been my angel in my recovery.It's your health &amp; your decision but before any surgery I suggest you consult him.. :) 	3	4	4	5 	Insurance:Humana
3	1	If you want a physician that is knowledgeable, compassionate, and kind, this is the one for you. 		5	5	5 	Insurance:Unknown
3	1	Dr. vissers is a very caring, professional young doctor, who told us he loves surgery. We felt very comfortable with him preforming my husband's knee replacement. We would recommend Dr. Vissers to anyone needing surgery! 		3	5	5 	Insurance:Unknown
4	-1	do not use this doctor.  he was very knowledgeable and seemed very concerned with whether i would like him or not. the staff was VERY rude, and unprofessional.  I've never experience anything quite like it. We were quoted several different prices for the same procedures, noone seemed to know what things cost.  it was a complete waste of money for a $300 consultation which consisted of a discussion with the doctor, and a quick exam (5 minutes). The follow up appointment was a nightmare and I will never return. I've never seen a more uncaring, rude staff. Good thing I discovered the problem prior to spending thousands of dollars with this man. Money hungry. I was told when I called to set up an appt that if I wasn't planning on showing up, then don't make the appt. That was my first communication with the staff. Should have been my last. During the first appt, they kept on asking HOW I planned on paying for services. Horrible practice. dont trust my health to these individuals. 	1	1	1	3 	Insurance:Unknown
4	0	Do Not use this Doctor.  He is only out for money.  Yes he is very knowledgeable but he is very dishonest. I went to Nashville Fertility Center and they were wonderful and they only charged me $1,000 for the whole procedure IUI compared to Dr. Vazquez who charged me %5,000 and made me use $5,000 worth of unneccesary shots.   I got pregant fine without all the shots.  Please don't use this dr.  He has lots of staff turnover.  Please don't go to him. 	4	4	2	3 	Insurance:Unknown
5	1	I have been with Dr. Vargas for nine years now. He has always been helpful to me and listens to my input.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
6	1	I have seen many MD's in my 64 years and he is the best.  Spends appropriate amount of time with patients, is compassionate and explains everything patiently.  Too many pluses to list.  	4	4	5	5 	Insurance:Blue Cross / Blue Shield
6	1	he shows real compassion for all of his patients. my entire family uses him. i have not had a bad experience with the staff in the 10 yrs i have been seeing him. 	5	5	5	5 	Insurance:Unknown
6	1	Dr. Vlasak is FANTASTIC!!!  He is patient, kind, and concerned.  His staff is NOT.  The office as a whole leaves you hanging when you are anxiously awaiting testg results.  They have a very unconcerned attitude about getting the results to you!&#63;! 	1	1	5	5 	Insurance:CIGNA
6	1	Dr. Vlasak is the type of doctor I wish all doctors could be.  He is supremely competent and has genuine concern for his patients. He is always patient and kind and spends as much time as needed with each patient.  He has cared for me and my elderly parents for over ten years through many health crises. He is an exemplary physician.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
7	-1	Dr. Valley was the greatest,but he left. I was one of his patients and was not told he was gone. After that no Dr. in the practice came to talk to me and nothing further was said about fixing my problem.I was run through the mill with a P.A. writing prescriptions , but not helping when it became severe. Mistakes were made by the staff. When I finally went to the E.R. I was given medication that helped. Now that I have made them mad, I am no longer welcome as a patient.Given a story that I failed a drug test after 2 years of clean tests.I had my own test done by a private lab , it came back clean.Oh well it's as good a reason as any to get rid of someone who is not happy with a treatment that no longer works, and would like to do something to get rid of severe and unbearable pain. Never tell your doctor you think there wrong or there staff is not doing it&quot;s job. where are you DR.Valley people like me need someone we  can trust. I will be looking for you to start somewhere else.  	1	5	1	1 	Insurance:United Healthcare
7	1	Very Nice Doctor. But best of all very SMART Doctor. He answered all my Questions,gave me pro &amp; cons and in the end I was well informed, and well taken care of.  I traveled far away from home to have him do a proceedure and would do it again if I had to only because I have learned he is the best! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
7	0	 		2	2	3 	Insurance:Unknown
7	1	I had 5 different procedures done by this Doctor. Everytime he was very professional. He never forced a Procedure on me I had them all willingly They all stopped multitudes of pain, some so severe I would have willing done anything to get rid of the pain. I thank God everyday Dr. Valley Is practicing. Everytime the pain has come back I know who to call. He has always done his very best. The reason I live many days pain free is because of the Rhizotomies he did. 		5	5	5 	Insurance:Unknown
7	-1	. rude,needs to be more careful with meds 	 6/23/06		1	1	Insurance:Blue Cross / Blue Shield
8	1	Best family physician i have ever been to. Takes his time, and is thorough and patient when listening. Office staff is busy but still friendly and kind. Highly recommend.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
9	1	Best we've had anywhere. Cut out the standard dance around the issue and went right to solutions and options. Office is fairly busy, but no more than any other. Finally feel safe with a pediatrician's suggestions.  	4	4	5	5 	Insurance:Tricare
9	1	Great doc. Far easier to get in to see than anywhere else for me. Definitely someone I feel like I can trust when they tell me something. This will be my son's only pediatrican.  	4	4	5	5 	Insurance:Tricare
9	-1	Worst experience I have ever had with a doctor, after living in four different states.  Doctor was more than an hour late, spent very little time, and was not helpful.  Seemed to have some kind of chip on her shoulder.  The staff and doctor acted like it was an inconvenience for them to be there (doing their job).  The only good thing is the answering service after hours, which connects to Vanderbilt.  	 3/9/10	1	1	1	Insurance:Tricare
9	1	The front office staff and the long wait to see the doctor are very frustrating, but it is definitely made up for by the doctors, nurses, and tech's. They are wonderful. There are no stones left unturned in the search for medical answers. They are very thorough, helpful, and knowledgeable.  	3	2	5	5 	Insurance:United Healthcare
