dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
12	-1	 This doctor is on my insurance plan but refused to file the claim for my inserts. The inserts were covered by my insurance and I was told I would have to file the claim myself. I had to pay the full price up front then file, the insurance company paid the doctor less the discount he agreed to in his contract with Cigna. I called to request my refund but got the run around by his insurance person and the office manager. After 3 weeks I was told that Dr. Bachman said the refund would only be for the discounted amount. He would not give me the discount that was in his contract. In other words he is not honoring his contract with Cigna. I would never recomend this doctor to anyone.  	1	3	1	3	Insurance:CIGNA
12	-1	 Let's be clear - this place is in business to sell expensive medical supplies.  The first visit I had a paper shoved in front of me that made me agree to purchase a $100 splint - the male nurse was irritated that I expected to read the waiver.  The doctor told me that I really needed physical therapy.  The nurse called me later to say that the physical therapy in their office is done by NON-LICENSED therapists, so my insurance didn't cover that.  The second visit the doctor never mentioned physical therapy (which was so important the first visit) and was instead pushing me to be fitted IMMEDIATELY for orthotics that are not covered by most insurance companies.  When I told this doctor that I had to think about shelling out $480 for orthotics, he couldn't get out of the exam room quick enough.  On both visits I was left in a waiting room for 30 minutes before the doctor came in.  These people are rude and condescending and I will NEVER go back.  	2	2	2	2	Insurance:HumanaPaid/Co-pay:$170
12	-1	commentsNo service of any kind.  Rude and uncaring office workers.  They lie and give you the run around when you call.  They hung up on my mother and did not call her back.  They made her wait 4 days for a prescription  for her foot.  She was in terrible pain.  I do not understand any physcian that would have this happen in their office.  I have yet to get a call back or an apology.  We will not be going back nor recommending this place. 	1	2	1	1	Insurance:Unknown
12	1	 Dr. Bachmann tried other treatments before resorting to surgery. I appreciate his patience with my treatment. He is very clinical and professionally engaging. He did present himself as a caring person which gave me the sense of trust in him for my personal well being.  	5	4	5	5	Insurance:Blue Cross / Blue Shield
12	0	 Dr. Bachmann treated me for Plantar Faciatis (sp&#63;). About a year after treatment I receied a bill for $314. No explanation, had not received anything from them before that. Ive called several times and have been unable to speak with anyone. Messages left have been ignored. My friend had the same problem. 6 years since she had seen him. I dont even have the info on my old insurane company anymore to figure it out. I payed my copay every time, and paid in full for services not on my plan. I am very unhappy with this service. I really don't believe it was worth ever going to him. I would tell anyone I liked, not to go to this doctor or his associates.  	1	5	1	4	Insurance:United Healthcare
15	-1	 Most horrible family doctor ever visited. Will not ever go back.  They lie saying the doctor is on vacation while when you go to visit she is sitting in her office 	1	1	1	2	Insurance:MedicarePaid/Co-pay:$200
18	1	.  awesome doctor and very nice staff! all 3 MD's in his office are GOOD! 	5	5	5	5	Insurance:Blue Cross / Blue Shield
26	0	commentswait times are extremely long, staff is not friendly 	2	2	2	3	Insurance:Unknown
30	1	commentsDr. Bacon treated my mother.  He treated her for her lower back.  When she came in to see him, he answered all of her questions and laid her fear of needles and using any anesthesia to rest.  Dr. Bacon did some steroid injections to her back.  He explained the pros and cons to this procedure in detail.  He answered all of her questions.  She only had one injection and she is now pain free.  Because of him, she was able to get her life back.  She is now able to work and enjoy life.  I thank him for giving me my mother back.  I would recommend him to anybody who wants a sincere doctor with a great bedside manner. 	4	3	5	5	Insurance:Unknown
30	-1	 Doesn't care about his patients!! Promised to be there for my post surgical pain management. Woke up from surgery in horrible pain and he could not be reached after multiple attempts. He should have been a cattle farmer because that's how his patients are treated. The staff is no better. They have crazy rules about when you can pick up meds. Lord help you if you are sick and can't pick them up or if you will be out of town. They are completely unwilling to work with you. Can't reschedule appointments the day of- not even when my daughter had an accident. I was written up as a no-show.  Stay away from this office! 	1	2	1	2	Insurance:Coventry
