dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	I made the mistake of not taking all of the negative reviews to heart. She was the rudest, most offensive woman I have had the misfortune to meet. I strongly suggest that you seek other help. 	4	1	1	1 	Insurance:Unknown
1	-1	I was very disappointed with Dr Eberle. I went to see Dr Eberle because I was having severe fatigue, headaches/head pressure, numbness in my feet and several other neurological symptoms. Dr Eberle constantly interrupted me as I was trying to explain the symptoms I was having. I told her about the numbness in my feet and her comment was &quot;so what&quot;. I told her that I was having sever fatigue and that my GP had done some blood tests to try and determine what the problem was. When I told her that my GP did not find anything in my blood tests she stated &quot;Well if your GP didn't find anything wrong then you should just go back to work.&quot; Of course that was impossible because I was exhausted beyond belief. Dr Eberle was completely arrogant and made little if any attempt to try and help me. She simply stated &quot;I don't see anything wrong with you and recommend that you go back to work&quot;. Dr Eberle recommended that I take Cymbalta (an antidepressant) for the numbness in my feet.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
1	-1	A great disappointment. I am a 30 year survivor of Ms and recently moved to the Pearland area. I attended the infusion therapy center in Pasadena where I had to bring to the attention of the wonderful nurse Susanne that Dr. Eberle had given her the wrong prescription. This doctor was at the clinic on two of the three days I was being treated and didn't have the courage or humanity to even stop in to apologize for the error or to acknowledge my presence as her patient. As they say...she is not quite ready for prime time.Should stay in a big hospital setting with a large support staff. Perhaps she should return to physical therapy until she appreciates the mindset of today's neurology patients. We want to be participants in our care! 	4	1	1	2 	Insurance:Unknown
1	0	Having worked in a Neurologists office I did not think this doctor did a very thorough exam.  Nurse did not set up authorized procedure.  	2	2	2	3 	Insurance:Blue Cross / Blue Shield
1	-1	I dove 30 miles too see her one way and she kept me waiting over an hour.  I made my appt at 8:30 one morning and 8:45 the other morning on purpose so I would not have to wait.  Her staff said this would allow me to get in and out easily. Secondly the staff was rude on more that one occasion.  When I asked questions that she did not like she accused me of hiding something from her about my condition.  Nobody likes to be accused of such nonsense- especially when they are being paid for their help and for service.  After these two visits I had enough of being treated like dirt and decided it was not worth seeing Dr. Eberlee again.  Besides I wasn't going to drive all that way and wait for an hour while she had a cup of coffee and read the paper before she was ready to see me.  I found a much better physician closer to home who talks to me with respect and doesn't treat me like an idiot.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
1	1	During my visit I felt that I was treated very well.I would absolutely recommend this doctor to my family and friends.  I felt this visit was a big help.Overall I would rate this visit : outstanding! 		5	5	5 	Insurance:Unknown
2	1	They have a great staff!! very clean and nice office and very affordable the husband and wife pair work great together and i will continue to go there for years to come.  	5	5	5	5 	Insurance:United Healthcare
3	1	I was admitted to the hospital for a stent procedure. Well it did not go well, the stent ruptured my artery and  occluded, I had arrest in the Cath LAb. They called Dr Echeverri who took me to the OR on CPR , put me on the heart lung machine and did a quadruple bypass, I woke up in the ICU with tubes and machines. I wlake out of the hospital in less than a week. Every Christmas I dropped a thnak you note in his office. He saved my life.If you ask me , He's best cardiac surgeon in Houston. I hope one day he can join me to go deep see fishing for Marlin in Baja, I know he has got some Sails and Marlins in the Caribbean, but in Baja is monster fishing!! He's a great surgeon , but also a straight forward non-nonsense Texan man.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	Dr Echeverri fixed my Aneurysm. I was told it could not be done. I had surgery  with the stent. I was out of the hospital in 2 days! Best cardiovascular surgeon. I came from out of town for this operation , and I will if I need anythong else to have him as my surgeon. Excellent office.  	5	5	5	5 	Insurance:Aetna
3	1	I had a massive heart attack, made  it to the Hospital and had cardiac arrest. Dr Echeverri, did a quadruple bypass and put an artificial heart that stayed on for over a week. My heart was too weak to make it. Once  my heart recovered , he removed the artificial heart. This nice , handosme cowboy looking guy is the best cardiac surgeon. He is the man for the job.  	5	5	5	5 	Insurance:Medicare
