dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	BEST optometrist in Lubbock! Extremely helpful &amp; knowledgeable.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	. He is a great Doctor and very Caring 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	I really enjoyed my ortho exam with Dr. Farley. His entire office was so caring and helpful. He won't rush you and treated my child like one of his own. My daughter's friends love him and I can see why....he truly cares and his results prove it. 	5	4	5	5 	Insurance:Unknown
4	1	Very up to date, skilled, kind. Office organized.  		5	5	5 	Insurance:Aetna
5	1	Facello is a great doctor. I met him at the start of his career and he took his time with me. I felt that he cared immensely. His demand became such that his time was compromised. Toward the end of his career I did feel that he didn't spend as much time per patient but it comes with the territory and it seems that he had personal issues. What I will say is that he adjusted my back with precision in minutes and healed 4 years of pain.. He was always appropriate with me and he quelled my pain. It is a shame that he has lost his license to even practice chiro. Have you considered DR's Without Borders, Dr. Facello&#63; if you are reading this, no one is perfect, you made mistakes, (who doesn't&#63;) but some of us really miss you. The world needs you. 	5	4	5	4 	Insurance:Unknown
5	1	MISS HIM TERRIBLY...  WILL NEVER FIND ANOTHER PHYSICIAN THAT WILL TAKE CARE OF ME AS HE DID 	4	4	5	5 	Insurance:Blue Cross / Blue Shield
5	-1	Dr Facello completely misdiagnosed my back.He didnt see a problem. I have since had 3 back surgeries.  	5	4	2	1 	Insurance:Blue Cross / Blue Shield
5	1	. He is a very kind doctor who has helped us for several years with our special needs adults!!! Very patient and understanding and doesn't rush you out of his office! 	3	5	5	5 	Insurance:Medicaid / Medi-Cal
5	-1	This man was fined and censured by the TMB for having sex with a patient.  This patient's husband was also a patient of Facello.  He is not to be trusted, and is a home wrecker.  Please see the Tx med board site to verify! 	2	2	1	1 	Insurance:Unknown
5	1	. He is the man that saved my life! I love him! 	4	3	5	5 	Insurance:Blue Cross / Blue Shield
6	-1	I do not question Dr. Fakhri's skill, knowledgge, or ability, but every interaction that I had with his administrative/office staff has been terribly unprofessional and unorganized, from entering my name in their computer system two different ways to having two different staff members set me up with two different sleep study facilities (for the same sleep study!).  When I finally contacted them to schedule my surgery (about a month ago) I was told that they would have to call me back.  Never heard back from them.  Not surprising at this point and the list goes on...and trying to have my medical records sent to a different doctor has been no easier.  I have had to call the office numerous times for that.   I do not recommend based on poor administrative processes.  	1	3	1	3 	Insurance:United Healthcare
