dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
2	1	commentsLOVE Dr. Mabli!! Very insightful! My husband loves him as well. Makes you look at things differently. Just a wonderful counselor and man! 	5	5	5	5	Insurance:Unknown
2	1	 I'm a 23 year old woman suffering from severe depression and anxiety. Dr. Mabli is fantastic! I've been struggling with anxiety all my life and I have seen many psychiatrists, but he's the only one who has ever really helped. He’s a little tough on you and does want you to challenge yourself, but also gives coping techniques. I really cannot say enough about how much this man has done for me. I can go to the grocery store, the movies, and family gatherings. I’m back in school and working full time. I didn’t think it was possible.  	5	5	5	5	Insurance:Aetna
7	1	commentsThe best doctor in Southeast Texas, for sure. I see other people have said it, but it's true that he really cares. 	5	5	5	5	Insurance:Unknown
7	1	 Dr. Mabray is encouraging and experiences. He explains things better than any doctor I have ever visited.  He specializes in allergies and bariactrics also.   I recommend him to everyone I like! 	5	5	5	5	Insurance:AetnaPaid/Co-pay:$35
7	1	 I've been going to Dr. M for 30 yrs. He is the most knowledgeable Dr. I know. I miscarried once, he saved my next. he is not your everyday conventional Dr. He has a yearning for learning and growing in his medical education. He cares for and takes time with each patient. Everything he has ever taught me about has come to pass over the years concerning my health.                            Mary 	5	4	5	5	Insurance:Blue Cross / Blue Shield
7	1	 I've been a patient of Dr. Mabray for 22 years.  He is caring and emphasizes preventative care.  He listens and evaluates carefully; he takes small patient observations seriously.  His staff is caring and competent.  I would and have recommended Dr. Mabray many times.   Sharon Smith 	5	5	5	5	Insurance:Aetna
7	1	commentsDr. Mabray was recommended to me by a friend. I drove a far distance to Victoria, Texas, to see him and was thoroughly pleased. He so obviously cared about me as a patient and really listened. He really seemed to want to help me feel better. I would recommend him to my family and friends in a heartbeat. Excellent physician! 		5	5	5	Insurance:Unknown
13	1	 Dr. Maccatto and his staff have provided me with outstanding care and service. He's delivered two of my babies and I've always felt he was more than knowledgeable and prepared to deal with any situation. I've really liked his staff.  I've almost always been surprised at how fast they get me in and out of the office.  I highly recommend Dr. Maccatto.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
13	1	 Dr.  Maccato is the best!! He delivered my two girls and I absoultly LOVE HIM!! He is kind, very patient, and has the best assistants in the world! If I have any more kids I will run straight back to him GREAT DOCTOR! 	5	5	5	5	Insurance:Medicaid / Medi-Cal
13	1	 He is an awesome doctor. very easy to talk to and understand. He has been my doctor for about 4 years and he has always been kind and professional and very knowledgeable. I would recommend Dr. Maccato to anyone who needs a doctor that cares.  	5	5	5	5	Insurance:CIGNA
13	1	 He's very down to earth and comforting. He's also funny and easy going. He took me in as a patient when no other doctor would, because most doctors care about lawsuits more than the actual person/patient. I am so glad Dr.Maccato accepted me.  He's great! 	5	5	5	5	Insurance:Blue Cross / Blue Shield
13	1	 This is the best doctor I've ever encountered. I wish he could serve as a doctor in other capacities as well. He's so comforting. I highly recommend him.  He delivered 3 of my 5 children! 	5	5	5	5	Insurance:Aetna
13	1	 I wish all my doctors would be like him. Excellent manners, waiting time is almost none, and the staff is very friendly. I highly recommend him.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
13	1	 Dr Maccato is the best!  Very kind, knowledgable,and genuinely cares about his patients. He delivered 2 of my children and even though i am done having children, still drive an hr to see him for yearly checkups or as needed.   Simply the best! 	5	5	5	5	Insurance:Aetna
13	1	 Dr. Maccato is awesome!!!  I wish I would have gone to him first.  He really listens to you and has an EXCELLENT bedside manner.  He is a &quot;true&quot; doctor who cares and to me that makes a differnce.  	5	5	5	5	Insurance:CIGNA
13	1	 Dr. MaCato delivered my baby and was absolutely wonderful.  Very knowledgable in high risk and would recommend him to other high risk pregnant mommies-to-be 	5	5	5	5	Insurance:Blue Cross / Blue Shield
13	1	 The BEST!  I have just moved out of state and I wish I could have taken him with us to deliver our second child.  Never have to wait long at his office.  Staff is very kind and helpful.  He is fun and always returns your concerned phone call personally.   I recommend him to all my friends! 	5	5	5	5	Insurance:Aetna
13	1	 Excellent doctor, he delivered my 3 daughters. He is very concerned with you and will take the time to talk with you and answer all questions. He is very knowledgeable and his staff is also wonderful. If you have a problem or concern he will get you in right away. I also had 2 aminio test done by him and he was great! I highly recommend him, especially if you have a high risk pregnancy.  	5	5	5	5	Insurance:United Healthcare
13	1	 I was hospitalized for three mos. with pre-term labor. Dr. Macatto was the best, most reassuring doctor. He came by for a visit at least once per day.  He was helpful and funny! haha 	5	5	5	5	Insurance:Aetna
13	1	 Dr. Maccato delivered our little girl and was absolutely wonderful! He has a great bedside manner and was always punctual. Not to mention, he has a great sense of humor! He is very knowledgeable and always explained things to me when I had the puzzled look on my face.  I would highly recommend him to anyone! 		5	5	5	Insurance:United Healthcare
13	1	commentsDr Macatto has delivered my last 3 babies and is a wonderful Dr. I wouldnt go to anyone else. Great bedside manner, kind, great sense of humor. Id trust him with my life. 		5	5	5	Insurance:Unknown
15	1	commentsDr. Mabrito is a reliable, excellent dentist concerned for the needs of his patients. 		5	5	5	Insurance:Unknown
19	-1	commentsI am in greater pain than before my surgery. 1yr post op and still unable to work from a routine surgery. He doesn't manage pain even while in hospital. He doesn't see patients after surgery but let's a med student release them from hospital. And when you call in staff doesnt return calls. He will not call you back even with a personal promise to do so.He relies on the opinion of his nurse practitioner too much. He doesn't asses the patient himself. 	3	3	1	3	Insurance:Unknown
19	0	 because of a car wreck a year ago he was more concerned about workmans commp getting involved (of which my case is closed) than my own health. I have no no other recourse but to find a more cooperative doctor.  	1	3	1	4	Insurance:CIGNA
19	1	 I had a bulging disc in L5/S1 pressing on my sciatic nerve in 2003.  I lived with it for 6 months, tried chiropractic for months, until he ordered an MRI and we saw the problem.  He sent me to Dr. Macdougall - surgery was my only option, except live with it (I'm a diabetic and could not do cortisone injections).  He was able to get me in for surgery within a couple of weeks and I was immediately pain free.  He is a very nice man, knowledgeable, listens to his patients.  Did not order any more needless tests.  I think he's the best.  Now I live in Odessa again and need more surgery on the same disc.  I would really like to go back to him, but it's a little inconvenient since I'm so far away.  	5	5	5	5	Insurance:CIGNA
19	1	 I believe this neurosurgeon is one of the best in the Houston area.  He is personable and spends the time needed to help you understand your issues.  He allowed me to participate in making the decisions regarding treatment options best directed at my problem.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
19	1	 I read the review on thois docotr from 1/09 someone else had put in.  I fully disagree.  This person likely was disgruntled, as the docotr is excellent.  He spends time with you, treats you like an individual, and he is an excellent surgeon.  His reputation in the Baytown and Houston community is excellent.  When a neurosurgical issue is mentioned, even among any person in our community, his name comes up as among the best of the best.  	5	5	5	5	Insurance:Medicare
19	-1	commentsPoor Attitude from the doctor 	2	2	2	2	Insurance:Unknown
19	1	commentsI felt very well treated and listened to. Additionally, this doctor seemed very skilled to recognize things others, who had treated me, had not. He pinpointed the problem very rapidly. I wished I had gone here first. 		5	5	5	Insurance:Unknown
22	1	 Dr. mabry is very respectful of your time and is also quite sensitive to hearing out your concerns or issues. I highly recommend his services.  	5	5	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$20
