dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Excellent service, kind knowledgable doctor with a great bedside manor.  Would definitely recommend and return to clinic.  	 7/25/11	5	5	5	Insurance:Humana
1	-1	 	4	2	1	2 	Insurance:Unknown
2	1	Wonderful doctor!! She spent a good amount of quality time with me and was sincere about my fertility issues. 	5	5	5	5 	Insurance:Unknown
3	1	He's a really amazing doctor. He always answers all of my questions and helps with any problems.  I'd rate him a 10 out of 10 	3	3	5	5 	Insurance:Blue Cross / Blue Shield
3	1	Dr.Underwood and his staff are very caring and attentive to their pateints needs.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
4	1	Udell is a great doctor.  I loved just knowing exactly who my doctor would be every step of the way.  I did end up with a c-section because the hospital didn't call her promptly when my baby's heartbeat fell.  They waited almost 10 minutes.  However, I only know because Udell pointed it out to me and logged a complaint with MCA.  I felt so respected by her.  	4	5	5	5 	Insurance:Aetna
4	1	Dr. Udell has been my doctor through the birth of both of my boys (now 2 years and 7 months).  I very much appreciate her punctuality and professionalism.  During my pregnancy we encountered a couple of issues, it was quite a relief to experience the extra mile and care Dr. Udell took to calm my nerves; then take care of what was going on.  If youre in search of a doctor that is in a group of doctors, has a lavishly decorated office this is not the place for you.  But if you are in search of a small yet personal and professional experience,  our family HIGHLY reccommends Dr. Udell.  Without a doubt she is the best kept secret in Arlington, TX.  	4	5	5	5 	Insurance:Blue Cross / Blue Shield
4	-1	I am/was a patient for 3 years until I was misdiagnosed this past week. I was given a post-menopause creme to treat what I later found out was a yeast infection! (I am 31 y.o.) When I called to say the creme wasn't helping, I was told to switch to an otc cortisone creme. I finally went to a dermatologist to figure out what was wrong. He was astonished that she was unable to diagnose me correctly, as it took him seconds to see the problem. When I called to tell the nurse what happened she was rude and sarcastic.  Don't go to this doctor!!!! 	2	5	1	1 	Insurance:United Healthcare
4	1	After leaving my old doctor because she was AWFUL, I found Dr. Udell and am SO happy! I have never waited more than 5 minutes to be seen, everyone at the office is extremely nice and helpful and Dr. Udell always sees her patients personally and is very easy to talk to and makes you feel at ease!! I love her! I am so glad I found her. She has made me feel very at ease throughout my pregnancy and has answered and dealt promptly with all concerns I have had. I highly recommend her. 	5	5	5	5 	Insurance:Unknown
5	-1	This so-called Dr did not listen to me at all. He admitted me for overnight observation, he changed my meds, my bp and blood sugar dropped dangerously low and I ended up having my daughter stillborn. His bedside manner was non-existent.  Then the day I was discharged he came in tapped my foot and stated, &quot;I heard you've been crying!&quot; Geez-Louise you gotta be kidding me!!! 	2	1	1	1 	Insurance:United Healthcare
5	1	. Excellent doctor 	5	5	5	5 	Insurance:Unicare
6	1	Im very content with services provided.  Staff and Dr. Jane Unzeitig have been very helpful.  	5	5	5	5 	Insurance:BC Med
6	1	Dr. Unzeitig was very helpful when I took my two year old son to see her.  She quickly calmed my nervous baby by making a puppet with a tongue depressor and talking to him gently.  Her explanation regarding his diagnosis was thorough and concise.  Her bedside manner is excellent, as well.  I highly recommend this doctor to anyone who asks.  Plus, she was one of Texas Monthly's super doctors!!  It's been confirmed! 	5	5	5	5 	Insurance:Unknown
7	-1	Dr. Ure did not act like he wanted to answer any of my questions. I went for a physical had to keep calling him back to ask him questions and still was not able to ask all of them. He told his staff not to take my blood because he did not think i needed it but I wanted it done because that is what i came for. He did not really answer any of my questions and just left me to go and see another patient when i had other qustions to ask.  	2	3	1	3 	Insurance:Blue Cross / Blue Shield
