dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	I saw Dr.Valenza for an in-grown toe nail. He explained the removal procedure and answered all of my questions first. The procedure itself went very smoothly - he numbed the area first so that I didn't feel anything, then he did the removal &amp; applied the medications. He did everything with smooth precision, was very thorough, and the whole procedure lasted only 20 mins. Compared to another Podiatrist I saw years ago, this one was 100x more skilled and knowledgeable. I am glad I found this doctor and highly recommend him.  	4	5	5	5 	Insurance:Aetna
2	1	I have been with Dr. Van Dell since he came out of his residency.  He is a very good doc.  I would'nt see anyone else. 	5	5	5	2 	Insurance:Unknown
3	1	 	4	4	5	5 	Insurance:Unknown
4	1	Dr. Vainstein has been my dr. for 9 years. I moved from Houston, to San Francisco and then later moved to New York and still use him as my dentist. He's so professional and curtious. I have flown in to Houston several times from San Francisco and New York just to see him for my checkups etc. My family is from Louisiana and they as well drive to Houston just to get work done on their teeth as well. We're very pleased with his work and his staff.  	4	5	5	5 	Insurance:Blue Cross / Blue Shield
4	1	He was very helpful. He was flexible with payment plan especially since i dont have insurance. he really cares about his patients. he treats them with respect. 	5	5	5	5 	Insurance:Unknown
4	-1	 		2	1	2 	Insurance:Unknown
5	1	I hadn't been to the dentist in years so I was extremely nervous. The staff and Dr. V were gentle, kind and unjudging. I felt right at home as soon as I came through the door. The environment is relaxed and the staff seems to like their jobs.                          I've since taken my husband and he feels the same. This will be our dentist for years to come.  	5	5	5	5 	Insurance:Aetna
6	1	I've been going to dr. Guy for 4 years now I have had nothing but great experiences with him and his staff. I've never had a long wait, and i feel so comfortable in this office.I now live 45 minutes away and refuse to use anyone else. This is best doctor and staff.  	5	5	5	5 	Insurance:CIGNA
6	-1	I had a terrible experience here and actually switched doctors 5 months into my   pregnancy. they are completely chaotic, disorganized, rude, and treat you as if you are unimportant and just a dollar bill sign. They didnt even have the decency to fax my records to my new doctor after numerous attempts to get them to do it. They got an infection wrong and put me on 5 different rounds of antibiotics. I would not use them! 	1	1	1	1 	Insurance:Unknown
6	1	Dr. Van Dell is extremely knowledgeable, very personable, expresses genuine concern for his patients; he really goes the 'extra mile' when it comes to prenatal care.  	3	5	5	5 	Insurance:Aetna
6	1	he is the best doctor.he is very helpful &amp; knowledgeble.the staff are very friendly people. absolutely love their service.  	5	5	5	5 	Insurance:Medicaid / Medi-Cal
6	0	Dr. Dell was my obgyn all throughout my pregnancy, but for the delivery of my child I used a midwife.  Six months after the delivery I developed a lump in one of my breasts and He refused to give me an appointment and his staff treated me very unprofessionally over the phone.  They reason that because I did not have the delivery with him that I should not seek their help.  I wouldn't recommend this obgyn. 	1	3	1	4 	Insurance:Unknown
6	1	The only complaint I have is that my insurance wouldn't pay a single penny for anything to do with having my daughter. Entirely to insurance company's fault, the office helped me pay on installment plans, and they had excellent service and Dr. Van Dell delivered my daughter, and I have to say he made it alot better than I thought it would be.  	5	4	5	5 	Insurance:United Healthcare
7	1	Excellent doctor...kind, knowledgeable and positive. She can be a little stubborn but is considerate and will listen.  I recommend her! 	5	2	4	4 	Insurance:Blue Cross / Blue Shield
8	1	I have been a patient of Dr. Vanbiber's since he started at Hillcroft Medical Clinic. My parents were also his patients and my husband now sees him. He has always been available to us at any time and very prompt at returning our calls. We now live in Katy and still drive in to see him when we need to see a doctor. His nursing staff is also great. We really love Dixie, who has been with the practice a very long time. I would not hesitate recommending him to any one as their family doctor.  	5	5	5	5 	Insurance:United Healthcare
8	-1	Dr. Vanbiber is a complete jerk. Seriously! My husband was a patient for 2 yrs and had horrible repoire with him. He felt patronized and not listened to. The straw that broke the camel's back was when he left several unreturned messages for the doctor and then received a very curt, unapologetic message from a nurse after 8 hours. He ASked to have Dr. VB call, and he still never received a follow up call! It's all about the billing at Hillcroft Medical, no phone calls or warm bedside manner..its all about the $$! Needless to say, we never went back to him and I was completely unimpressed.  	1	1	1	2 	Insurance:Blue Cross / Blue Shield
8	1	Very good doctor. Very helpful. 	5	5	5	5 	Insurance:Unknown
9	1	. Excellent; always responsive!!  Cares about patient!! 	5	5	5	5 	Insurance:United Healthcare
9	0	Dr. Vagala's staff was very slow with responses to requests.  Perscriptions sent to wrong Pharmacy.  Wrong doses on perscriptions provided. When these issues were bought to the doctor and staffs attention they retaliated by dropping the patients.  Very unprofessional response.  Would not reccomend.  	1	3	2	3 	Insurance:GHI
9	1	Dr. Vangala has been my dr. for about 12 years.  I have had multiple medical issues during that time and she has always been very knowledgeable and helpful in all regards.  I would never consider going to another dr.  	5	5	5	5 	Insurance:Aetna
10	0	Worst staff ever! Staff not only do not greet you but make you feel as if you have done the worst thing in the world. Do not recommend this place to anyone at all. 	1	1	3	3 	Insurance:Unknown
10	1	she has taken excellent care of me, referrals for back doctor and helping with diet and cholesterol.  	5	5	5	5 	Insurance:Medicaid / Medi-Cal
10	1	 	2	1	4	5 	Insurance:Unknown
11	1	The visit turned out to be a red herring, but both Vaughan and his staff were first rate.  Thorough, good communication.  First rate. 	5	5	5	5 	Insurance:Unknown
12	-1	 	3	2	1	1 	Insurance:Unknown
12	1	Tummy tuck procedure scheduled for May 2012. Previously saw his work on someone I know. Person looks great. Will update after surgery.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
12	1	very happy with Dr. Varon will be having a tummy tuck in a week; very nice staff; he spends time with you and answers all questions.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
12	1	He does more Tummy Tucks that anybody un the country and with the best results 	5	4	5	5 	Insurance:Unknown
13	-1	Never on time, poor work ethic and very poor knowledge. I had to have my crown done twice and it's huring again. 	4	1	1	1 	Insurance:Unknown
14	-1	I would not go back to this office again. Office staff is generally rude and not the kind of people who should be in customer service. 	1	2	1	1 	Insurance:Unknown
14	1	I like Dr. Vargas but his office staff is the reason I am looking elsewhere.  They are rude, incompetent, and just an overall pain to deal with.  They also appear to be understaffed, so I'm sure that isn't helping.  	1	2	5	5 	Insurance:United Healthcare
14	0	INCOMPETENT OFFICE STAFF! The doctor is great, unfortunately, his staff is so horrible, I had to switch doctors. As an established patient, calling in, I was put on hold without being checked on for over 5 mins! When I arrived, the PT clerk who is also the biller, who is also the receptionist, informed me that although he takes my insurance, I still have to sign my life away and provide her with my credit card as policy. Her sneering and know it all attitude was rude and unprofessional! 	1	2	4	2 	Insurance:Unknown
14	1	Awesome doctor, great staff!  I didn't wait long at all and the office was easy to get to.  	5	5	5	5 	Insurance:United Healthcare
15	1	I have been seeing Dr. Vasquez and his staff for over 10 years. He has been our family doctor and my specialist. The staff are always friendly and helpful. Dr. Vasquez is the only Dr. I have ever seen that actually treats his patients like he truly cares about them and their well being. He always great me with a friendly smile and he takes the time to listen to me and my needs. He has a wonderful bedside manner and is exceptional at making and maintaining eye contact. I highly recommend him and his staff every time I can. I have driven over 30 miles when living in the suburbs to see Dr. Vasquez rather than have to find another Dr. I will continue to use Dr. Vasquez for a long time to come.  	5	4	5	5 	Insurance:United Healthcare
15	1	The nicest man on the planet. Knowlegeable, and listens! Even replies quickly to emails.  	4	5	5	5 	Insurance:United Healthcare
15	1	Excellent doc.  Good bedside manner.  Shows a sincere interest in patients and preventative care.  Staff is efficient and caring.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
