dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	 	5	4	5	5 	Insurance:Unknown
2	-1	During an outpatient endoscopic Zenker diverticulectomy, Dr. Bentz noted in his Operative Report that the supplied surgical stapler was too large and blocked visualization of the surgical area. However, he elected to continue using the over-sized stapler anyhow. The next day I was readmitted through the ER to the ICU with a perforated esophagus. It took 19 days before my feeding tube and 24/7 antibiotic drip were removed. Dr. Bentz's treatment and bedside manners following the life-threatening incident were nearly as abhorrent as his mid-surgery decision making. I transferred my treatment to an out-of-state doctor at UCLA Medical Center, where I learned the source of my continuing problems was Dr. Bentz's failure to treat for reflux which should have been done preemptively because it is a common post-operative side effect of Zenker diverticulectomy surgery.   I highly recommend to avoid using this surgeon 	5	3	1	1 	Insurance:Medicare
2	-1	Awful experience.  He told me I didn't have a hyperparathyroidism and wouldn't treat me. Went to another doctor who found the tumor and thyroid cancer. Ironically, Dr. Bentz is a thyroid cancer specialist, supposedly.  He was rude and abrasive.  Stay away.  	1	3	1	2 	Insurance:Blue Cross / Blue Shield
2	-1	I made a mistake seeing Dr. Bentz. Maybe in other situations he is an effective physician. During my visit he was rude and confrontational. He didn't want to take the time to answer my questions. Each time I brought up a valid concern, he brushed it off and threw out a one sentence answer. I felt I was wasting his time. At one point he rudely stated &quot;well, maybe it's cancer, I don't know&quot;. I don't doubt his medical expertise, I'm sure he's very knowledgable, however, I didn't appreciate the belittling and his brusk bedside manner. 		5	1	3 	Insurance:Unknown
3	-1	Avoid! these dentists will tell you that a check-up for dentures will cost nothing, then attemmpt to charge you if you decide not to buy dentures after hearing the high fees they quote; they will harrass you and turn you over to debt collection if you dont pay, which amounts to extortion. They also will name your spouse for bad credit even if she has paid her dental bills. 	1	3	1	3 	Insurance:Unknown
4	1	Dr. Baraldi is by a mile the most compassionate, patient and thorough doctor I''ve ever seen.  Her bedside manner is as good as they come and is matched by her expertise.  I refer her all the time to those I meet who are looking for a new doctor.  She has helped my family cope with our mother''s continually changing medical and life needs as she goes through a form of dementia.  She was also instrumental in diagnosing her rare illness (Pick''s disease) after we had seen several other doctors who could not pinpoint the exact nature of her decline.  She is kind, attentive and treats my mother with dignity and genuine care. 	5	5	5	5 	Insurance:Unknown
5	-1	I do not recommend Dr Bennett. I did not get the outcome I requested and expected. Also due to an infection I had to have additional surgeries. To fix what the infection caused I had to pay additional costs and I trusted Dr Bennett to make the best decision which it turned out he was wrong.  To fix the errors made was going to cost additional charges after I had aready paid $6000.00 which was outrageous.  If you have Dr Bennett perform surgery and you are not statisfied plan to pay more. 	3	2	1	3 	Insurance:Unknown
5	1	I had an excellent experience with Dr. Bennett and his staff. Highly recommended! 	5	5	5	5 	Insurance:Unknown
5	1	Dr. Bennett performed a rhinoplasty (nose job) and septum correction for me.  From my first consultation to my post-surgery checkups, he was highly professional, knowledgeable, punctual, and genial.   The surgery went very well, and not only can I breathe so much better but my nose looks so natural that no one can tell! 	 10/21/09	5	5	5	Insurance:United Healthcare
6	1	. Excellent service! Highly recommended! Great listener! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
7	1	I have beed going to Dr. Barnett for close to a decade now. Even after moving to another state I still go back to Dr. Barnett. His work has always been perfect. By far he as always done a 10+ job. Honestly I truly recommend everyone to go to him. Unfortunately it seems only bad experiences post any comments however you must remember that there are risks no matter what going in to cosmetic surgery, and some times those complications do happen. He takes care of all complications quickly and has never taken any risks with my health. 	5	5	5	5 	Insurance:Unknown
7	-1	Dr Barnett did a breast lift and augmentation. I was very dissatisfied with the end result.  Even after a year, the implants were high and halfway in my armpit.  Dr Barnett redid them.  The result was no better.  We decided that I needed to go with bigger implants to get the look I wanted.  After the 3rd surgery, which I had to pay for partially because of the new implants, they are still not right.  Dr Barnett keeps trying to convince me he can improve the way I look, but i'm not ready for him to operate on me a 4th time.  What a nightmare and a waste of 4 years and countless visits.  Please, go to someone else. 	4	4	1	1 	Insurance:Unknown
7	0	 	3	3	3	3 	Insurance:Unknown
8	-1	He botched  operations on both my arms and now I have no feeling in my hands The operations were for carpal tunnel and should have been a piece of cake.Wouldn't recomend him to eneyone!! Loss the use of both hands and my way of making a living. 	1	2	1	1 	Insurance:Unknown
8	1	Dr. Bean is not only an excellent doctor, but a wonderful, caring man. I have seen him for several problems over a period of 26 years. He saved my leg after a tramatic traffic accident.  I would not even be walking without him.  My children and husband have also been treated by him.  The only complaint I have is he will soon retire.   Then what will I do&#63;! 	5	5	5	5 	Insurance:Humana
8	1	Dr. Bean has replaced both of my knees, and prior to the replacements, (LF in 04/RT in 09) I had multiple injections and scope surgeries. I have had so many visits with him over the past 8 years that he calls me his friend, and call him a friend as well. I would recommend Dr. Bean to anyone in need of Orth surgery. He is caring, he is compasionate, he is detailed, and when he is not sure about something, he will tell you straight up, yet at the same time keep pushing to find the answers. His staff is great! In fact I have only had one issue with anyone at all in all of Layton Tanner Clinic.  ALL staff is above average, and in Dr Beans office, they are great! 	5	2	5	4 	Insurance:Coventry
8	-1	I saw Dr. Bean after a broken collar bone. I went to see him every month for a year and a half. He told me at that point the bone had healed and that he could shave the large bump off that I had showing from the break. He did the surgery. The bump then started growing back and was not supposed to. Dr. Bean diagnosed me wrong. I went to anther Dr. The bone was a non-union and was not healed. That is why the bone grew back. I went through an unnecessary surgery. I went through the pain for nothing and wasted a lot of time. Dr. Bean's bedside manner was not good. He rushed in and out. I didn't have time to ever ask questions or find out what to expect. His front desk employees were also very rude. Not a good experience!! 	1	1	1	1 	Insurance:Unknown
9	1	Dr. Bailey is a very honest, skilled,  and reasonably priced dentist.  His oral hygienist is absolutely the best I have ever visited.  I you have a need for a periodontist, I can highly recommend him.  	5	4	5	5 	Insurance:United Healthcare
10	1	He has been our family doctor for 8 yrs. He is very good. He always takes time to go over everything I have questions about.  	4	5	5	5 	Insurance:Aetna
11	1	I have seen Dr. Beus since I was a little girl & now take my family to him. He is an amazing doctor; he listens to what you say, tries to help whatever ailment you may have wether through nutrion, medicine, exercise, etc. He really cares about your total well being. 	5	5	5	5 	Insurance:Unknown
11	1	He is the best family doctor around! He is very thorough in his assessments and takes very good care of his patients. 	5	5	5	5 	Insurance:Unknown
12	1	Dr. Beazer has been our family doctor for 8 years now and the office is the best in the Tooele County.  Wait time is very short and the staff is wonderful.  If one of my children comes home sick from school, I know they will work my child in that same day for an appointment. 	5	5	5	5 	Insurance:Unknown
12	-1	If you like waiting for 45 minutes after your apt in the waiting room and then waiting another 45 minutes to an hour in the room, you'll love this doctor. Tried to give him the benefit of the doubt over 10 years and he hasn't improved one bit. Bed side manner is horrible and he truly does not care about his patients or their well-being. 	2	1	1	2 	Insurance:Unknown
12	1	His staff is phenomenal! Its easy to get an appointment, if Beazer is not available then another doctor from the practice will step in, likewise if you are left waiting too long You Will Be Seen. All records are digital so its easy to make an appointment with anyone in the practice and know that they will have what they need to connect the dots and make the right call. The only problem I have ever had is having to get a second round of antibiotics, He completely knows his business.  	5	5	5	4 	Insurance:Blue Cross / Blue Shield
12	-1	Poor personal skill and I don't believe he's knowledgeable in his profession. 	1	1	1	1 	Insurance:Unknown
13	1	I was referred to him by my family practice doc for a flair in my RA, he did a very very thorough exam and modified my medications.  My aches and stiffness are much better.  He is now my go to doc for Ra. 	4	4	5	5 	Insurance:Unknown
13	-1	I was referred to Dr. Bench in 2010 from my orthopedic specialist who did tests and suspected rheumatoid arthritis. Dr. Bench, I was told, had retired for a few years and then returned to work one day per week.  Technology had apparently left him behind and I had in hand and understood more tests and results than he could even find (could not operate the &quot;dang&quot; computer).  He even quoted me incorrect results from what he could find on the comnputer. He was not helpful nor professional.  I hate to be so negative but he should no longer be working in my opinion. One MRI report showed I had sacroiliitis and when I asked him about it he seemed embarassed, couldn't find it and when I showed it to him he said &quot;I dispute that.&quot; 	3	2	1	1 	Insurance:Unknown
13	-1	Worst experience I have ever had with a doctor. I was referred to him to determine if I had lupus. He did not listen to me, and ridiculed me in front of an intern he was training -- snickering, and telling me there was nothing wrong with me that we don't all have. I'm sure that at his age he has a few complaints, but I was barely forty. I went to another rheumatologist who did one simple test, found that my thyroid was under attack, prescribed a supplement, and my symtoms improved dramatically. I regret that I allowed my insurance to process a payment to Dr. Bench, because he did not provide the service that was billed. 	1	2	1	1 	Insurance:Unknown
13	1	He's a very caring and compassionate doctor.  He listens, spends time, and tries his hardest to figure out what's wrong.  Very willing to help in any way.  Would refer anyone to him. 	5	5	5	5 	Insurance:Unknown
13	-1	Dr. Bench tells me to come back in 6 months to get my blood drawn again. I always come with new symptoms or concerns and never get an answer! Come back in 6 months is his only statement everytime!!!!!!!!!!!!! FRUSTRATING!!!! 	4	2	1	3 	Insurance:Unknown
13	1	helped cure my polymyalgia. Always asked good questions and answered all of mine. Great communication skills and knowledge.  	5	5	5	5 	Insurance:United Healthcare
13	0	Dr. Bench's service varies from day to day (patient to patient&#63;). He is currently accepting new patients but really shouldn't (in my opinion) because 1. he is retiring in 2008 2. it is so hard for existing patients to get in to see him. The other rheumatologist seems more through in her examination techniques and on my encounter with her was much nicer than Dr. Bench. 	5	3	3	3 	Insurance:Unknown
14	1	Dr. Bell is a great podiatrist! I would recommend him to anyone. He treated my husband and our son for in-grown toe nails and he did such a great job. Our son was but 12 months at the time, had a hard time learning to walk because of the pain from the in-grown toe nails so we were a little worried and apprehensive. Other doctors wanted to put him to sleep while they would work on him and others told us we would have to wait; we did not want to do that. Dr Bell was one and only who was willing to do a local anesthetic. He so gentle and he did a marvelous job working on him. Our son healed fast with no problems and was able to walk after that.  Even my husband (a wimp with needles and blood), who is also picky on who is allowed to touch his toes, thought Dr Bell was great and he would go back to him any time, if he had a need!Service was great, he is a very pleasant doctor and not rushed!  Highly recommend him! 	5	5	5	5 	Insurance:Coventry
14	1	Great doctor! Awesome staff. Very honest and personable. Does the best he can to answer questions and does not act rushed, takes his time with all his patients. Very service oriented! Highly recommend him! 	5	5	5	5 	Insurance:Unknown
14	-1	Dr. Bell treated my husband for a rough spot on the bottom of his foot.  My husband is diabetic.  The doctor did not bio the cyst, only giving my husband instructions to soak his foot in vinegar and warm water.  My husband's foot became infected and the doctor did not check for what type of infection until after I personally went to an appointment with my husband and requested it be swabbed and sent to a lab.  When the results came back, the dcotor had to consult with the lab for treatment.  His treatment did not work.  After repeated visits where the doctor just kept making the wound deeper and wider, I finally called a wound care center and took my husband there.  The result was four months of care including having to have hyperbaric treatments and a cost to us of several thousand dollars plus the extra stress, etc. When we first went to the wound center, they thought his foot would have to be operated on and at least a toe removed.  We would not recommend this doctor.  	3	2	2	1 	Insurance:Humana
15	1	Dr Benham likes to hear himself talk, and does not listen.  He does not display the compassion that I have experienced with the other ob/gyns that I have seen over the years; his bedside manner is poor.  His appts are booked every 15 minutes, so he does not spend much time with each patient; if an appt runs over, he quickly gets behind.  I waited nearly an hour to see him during one visit.  I will not return to him for future care, nor would I recommend him to others.  	3	1	4	3 	Insurance:Aetna
16	1	Dr. Bell is awesome. He is kind and compassionate and really listens and takes the time needed with his patients. I would highly recommend him to anyone looking for a primary care doctor. 	5	4	5	5 	Insurance:Unknown
17	1	Very nice staff, very thorough and knowledgable doctor.  I switched to her after my previous physician left town, and I will be happy to bring my whole family to her, which says a lot.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
