dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
4	1	 Very knowledgeable and very courteous about my conditions.  He was able to help dramatically when others could not.  	5	5	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$15
6	1	 Dr. Dal Canto is somewhat friendly, very knowledgeable, and a great surgeon! He did a de-compression on my L3/L4, he was referred to me by my family particioner, he was very thorough, asks questions and listens, he has good bed side manner. I have had 2 de-compression surgeries, he performed the 2nd surgery and it was much better that the first as far as pain relief.  I would recommend him to anyone! 	4	4	5	5	Insurance:United Healthcare
8	1	commentsDr Davis is very knowledgeable, helpful and listens, Office staff and Nurse are awesome as well!!  I am very happy and gratful that I went there and was treated!! 	5	5	5	5	Insurance:Unknown
14	0	commentsgot blood work done and he left.. that was it i had to call him later to see what he wanted me to do.. he did call me right back tho. 	5	5	3	3	Insurance:Unknown
14	-1	 This doctor bedside manners were very poor and rude. He show no regards for his patient by suggesting long term over the counter drugs and when questioned he got irrated and for his patient with no insurance he show no regards  for their financial needs by prescribing medication that are almost $100 instead of generic for $4 which was later change when the pharmacy contacted the doctors office.  	1	1	2	2	Insurance:HumanaPaid/Co-pay:$90
16	1	commentsThis Dr is now retired...you need to update this site, thank you! 	5	5	5	5	Insurance:Unknown
17	1	 Dr. Dabling is really nice. She takes her time with you and explains things pretty thoroughly. Unfortunately, the staff at her office are not very competent. I had (what appeared to be) a receptionist with no medical background call me to give me the results of a very important biopsy. She knew nothing of my situation and could not answer any questions. It was quite disappointing, as I was anxious to discuss my results. She may have been a nurse, but obviously not one who was qualified to make that call. On my very first visit, the nurse that took my medical history did so in a back area with other patients/staff there and I felt uncomfortable talking about my private medical conditions. I think they should conduct those interviews in a private room. If you see Dr. Dabling, don't expect the staff to be to professional, but she herself is very nice.  	1	3	5	4	Insurance:Blue Cross / Blue Shield
17	0	commentsI went in for a physical and was told that Dr. Dabling doesn't see her patients for &quot;routine&quot; work. This didn't make me too happy, but I went in anyway. The nurse I saw was nice and helpful, but I was disappointed that she wasn't very thorough. I know I have a vitamin D deficiency, so I asked specifically for a test. The nurse was confused as to why I would want a blood test; Other doctors I've been to insist on doing a full blood panel, which is how I found out about the deficiency and that's what I was expecting from Dabling's office as well. I just got the feeling that this office (Utah Valley Obstetrics and Gynecology) will diagnose more than they try to find and prevent problems you may be unaware of. 	4	5	3	3	Insurance:Unknown
17	1	commentsI really like Heather. She is everything that everyone else has said. I have felt comfortable and taken care of at each appointment with her. She answers all of my questions without rushing me through. She is knowledgeable but very personable and sweet. I haven't ever felt intimidated either, which I have felt before with other doctors. I also agree with the previous comments about the front desk receptionists. They are not very friendly at all. The ultrasound technician in the office was not very friendly either and rushed me through my ultrasound with few comments. If it weren't for Heather and her nurses, I would go somewhere else. 	3	5	5	5	Insurance:Unknown
17	1	 Dr. Dabling is the best! I had a few scares early on in my pregnancy and she was very calming and always made me feel like everything would be ok. She never makes you feel stupid for asking questions and she makes sure you understand everything in detail. Unlike some doctors she never rushes when she's with you. Throughout my pregnancy and delivery I always felt that she had my best interest in mind.  I would recommend her 100%! 	5	4	5	5	Insurance:Blue Cross / Blue Shield
17	1	 So glad I found this office! They are great, they are almost always on time and a few times a bit early :) The front desk staff is very nice and I have had nothing but great experiences with Dr Dabling. I feel comfortable and at ease and I never feel rushed. I do however agree with the below comment about the Ultrasound tech. Highly recommend this office and Dr Dabling.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
17	1	commentsDr. Dabling is so awesome!! I'm really glad I found her! She is a very sweet person and very knowledgable. She will take as much time with you as you need, even if you're a worry wart like me and have millions of questions!! She has helped me out with some issues in the past year and is now helping me with my first pregnancy, and there is NO ONE else I would rather go to!! I highly highly recommend her :) 	4	4	5	5	Insurance:Unknown
17	1	commentsThe receptionists are kind of cold and rude, they definitely don't make you feel welcome.      Dr. dabling and her nurse however, are WONDERFUL!  If you are pregnant for the 1st time,she's Perfect for you! She explains everything in great detail, she listens carefully and takes time with you. You never feel rushed. She's even taught me things that I didn't know, even though I have had several children already. The appointment does tend to run a bit longer then what you might be used to, but it's only because she isn't rushing your questions and concerns. She is very knowledgable.    I Did Not Care for the ultra sound technician. She was nice, but didn't give me any information other than, looks like your doctors date is about right. Your this far along. Here's your picture, how would you like to pay&#63; I was in there literally 7 minutes!  I was Very disappointed. She has nothing to do with dr. Dabbling great service though.. 	5	5	5	5	Insurance:Unknown
17	1	 I saw Dr. Dabling during her first week practicing after her residency.  I saw her for my first pregnancy, which was ectopic.   She fit me into her schedule for multiple appointments.  She was very kind and explained everything in depth.  She was very sympathetic about the entire situation.  I loved working with her and would recommend her to anyone.  	5	5	5	5	Insurance:Aetna
