dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
2	1	commentsShe is soooo nice! I really strongly recommend her! 	5	5	5	5	Insurance:Unknown
3	1	 Dr.  Faddis has always been excellent with my family and I 	5	5	5	5	Insurance:CIGNA
3	1	 Dr Faddis is a great dentist! He is friendly and he only sees one patient at a time. He isn't going back and forth between patients which really speeds up your visits.  	5	5	5	5	Insurance:Aetna
5	1	commentsHe is a really good dentist. He knows what he is doing and he has a really great staff. Very friendly, calm and relaxing environment. 		5	5	5	Insurance:Unknown
8	1	 My husband had surgery for a herniated disk last year. Dr. Felix's PA was very helpful and knowledgeable both before and after surgery.  He told us what was going on, what the surgery would entail and how to best cope and aid in recovery. I saw  Dr. Felix twice: just after surgery where he clearly told me how the surgery had gone as well as brief instructions instructions for recovery. He came against the next morning to talk to my husband. He was clear, polite, and thorough.  I hope we.never need his services again. , but if we do, we'll gladly return! 	5	4	5	5	Insurance:AHC
8	-1	 This doctor is not helpful. He throws you asside as soon as surgery is done. If you have other issues. TOO BAD--find another doctor. I did and I must have additional surgery. Stay away.  	2	2	1	1	Insurance:Workers Comp
8	1	 Dr. Felix saved my moms life and has stayed on top of her care once she was moved to a rehab facility.  He is an amazing surgeon and doctor.  	5	5	5	5	Insurance:Medicare
8	-1	commentsI only saw the physician twice during the ENTIRE course of the care.Consult before surgery &amp; a 5 minute visit after surgery.His staff was more interested in visiting with my friend that was attending the visit with me,than my symptoms.I asked them for a referral to a pain management clinic,which they never offered.I asked them for a detailed plan of care,his staff told me that I was too needy and that they didn't have time for all of my questions.I was on medication that caused me to feel disconnected and it was difficult to remember and think, and they knew this.They made every effort to shuffle me in and out the door with as little contact as possible.I was admitted to the ER for a different issue months after the surgery and I did not know about laws regarding pain medications.They treated me like a criminal and told me that I was a liar.After a long harassing phone call where they accused me of manipulating the system,they requested that I not come back.VERY poor care!! Paid/Co-pay:$96000	1	2	1	3	Insurance:Unknown
8	-1	commentsBiggest problem with Dr. Felix is that he uses an unknowledgeable P.A. to take care of all of the pre-surgery and post surgery appointments.  If things are wrong the P.A. is no help.  So you are on your own after surgery. 	3	2	2	2	Insurance:Unknown
8	1	 I guess I was confused with Dr. Felix.  I don't know how to rate this.  I too was farmed out to the PA for the pre-surgery physical and after surgery care.  Dr. Felix did a grade Excellent (5) job on the surgery.  I have absolutely no concerns about that.  It was more the care before and after not done by Dr. Felix.  I have other chronic medical conditions that require physicians care and need to be looked at especially when considering surgery.  The PA acted as if didn't really know how to approach them. After not even examining me for the pre-surgery physical (he just asked questions), I had my own GP to do one. I know the PA was upset that I had not trusted his judgment.  I just wanted to be careful with my other conditions. I guess I would rate the surgery by the surgeon a 5.  The PA a 3.  	3	5	3	4	Insurance:Blue Cross / Blue Shield
8	1	commentshe fixed my sicatic nerve that a disc. was pushing on by a little tiny incison and trimming some of the disc. I couldn't walk in that morning because of the pain and weekness,but after OUT PATIENT SURGERY I could walk with NO PAIN or WEEKNESS at all, and have had no trouble whatsoever including NO VISITS to a choirpractor for 8years now. He was very knowledgeable in this area. 	5	5	5	5	Insurance:Unknown
8	0	commentsNot much to evaluate from this doc... Maybe good maybe not.  Busy practice.  His PA does all the pt contact (though he did not introduce himself as a PA, which was kinda off-putting, especially after he let me assume he was an MD but I finally asked if he was and he admitted, no.) No indication from Dr. Felix that he is even aware of my existance. What is up with doctors who don't even see their patients&#63; What, he can't even pop in for two seconds to say hey how's it going with that chronic back pain anyway. Office seems well-administered and professional. Nurse (&#63;) or the woman in scrubs who escorts you back, was friendly. 	4	4	3	3	Insurance:Unknown
11	1	commentsWhen we moved here from Florida I was on the hunt for a new ob.  The one I left was the BEST and I was sad to have to find a new one.  I didn't think anyone could match up, but match up Gretchen did!  She is wonderful! She is personable, knowledgeable and willing to help you deliver a baby the way YOU want to!  And I never felt like I was being rushed in any way. I liked her so much that I made the drive from West Jordan to Salt Lake just so i could see her.  And it was worth the extra drive time. 	4	5	5	5	Insurance:Unknown
11	1	commentsGretchen Faucett is extremely helpful, sweet, and patient. She takes her time and makes sure you understand and are comfortable. Every time I think about my delivery I'm extremely comforted knowing that she will be there. Paid/Co-pay:$2700	5	5	5	5	Insurance:Unknown
11	1	commentsI can go on forever about how wonderful I think Gretchen is. I am currently seeing her for my 2nd delivery and my sister has delivered 3 with her. She is very professional and knowledgable. She never acts rushed when she is with you and makes you feel like she genuinely cares for you as a person, not just as a patient. I would highly recommend Gretchen to anyone. 	5	5	5	5	Insurance:Unknown
11	1	commentsI met with Gretchen for a consultation when I was trying to decide on midwives, and she was very knowledgeable but seemed a little pessimistic. Her practice was 45 minutes behind schedule and they ended up billing me for my &quot;no-charge&quot; consultation after I decided against using their services. I wasn't actually a patient of Gretchen, so she may be a great midwife, but I didn't appreciate the pessimism and lack of punctuality. 	1	1	3	5	Insurance:Unknown
11	1	 wonderful midwife. very caring and very supportive through my c-section.  	5	5	5	5	Insurance:CIGNAPaid/Co-pay:$25
11	1	 I just delivered my fourth child with Gretchen and I think she was wonderful.  She was very helpful and attentive at every visit.  During delivery there were some potential complications and the nurses acted very worried.  Once Gretchen got there, everything calmed down.  She was calm, kind and carried the delivery off like it was not a big deal. Everything went as well as it could have.   So helpful and understanding.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
21	1	commentsHe is FANTASTIC. Caring and loving, patient and kind. He is a great doctor. Went for an IUD. He was patient and understanding. He delivered a friends premature babies and was great with them too. They love him also. 	5	5	5	5	Insurance:Unknown
21	1	commentsI have never felt so comfortable with a doctor until I met Dr Fagnant. He is very honest and straight forward with answers. I feel like he answeres all your questions and makes sure you know everything he is about to do in all procedures. I would definately reccomend him to anyone of all ages. 	5	5	5	5	Insurance:Unknown
