dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
3	1	 I love Dr Gardner, he is the best  dentist we ever had.  Because of our insurance change, we had to get a new dentist. We whished he was still our dentist.  He always takes time to explain and make sure the work is done well. My kids love him too. He has even called us in the past after a more &quot;surgery&quot; to make sure we were ok.  Definitely the best! 	5	5	5	5	Insurance:Aetna
6	1	commentsI have spent much time with Dr. Gardner and I believe he is one of the smartest people alive!  Dr. Gardner truly is compassionate and a class individual! The epitome of professionalism and integrity.     One hundred Percent accurate Diagnosis, he was deeply concerned that I receive the help I needed.  Brilliant and caring, most highly recommended.  Thank you Dr. Gardner 	5	5	5	5	Insurance:Unknown
10	1	commentsVery friendly staff and great service.  Really good Dentist, and gentle. 	5	5	5	5	Insurance:Unknown
12	1	commentsHe has done 4 angiograms on me &amp; placed 7 stents. He is very very bright &amp; is one of the best at what he does. I feel absolutely safe &amp; comfortable in his hands as he has saved my life at least twice. You can't find better! 	4	5	5	5	Insurance:Unknown
12	-1	commentsThis was my first visit to Dr. Ganellen after being referred to him by my regular doctor who by the way had open heart surgery by Dr. Ganellen. I went to see this doctor as I have been having palpitations for several months and they are getting worse. When I arrived I waited for 35 minutes before being called back. Then another 10 minutes in the exam room. Once Dr. Ganellen came into the exam room, he never introduced himself nor even attempted to shake my hand. He was very unfriendly and before I could explain why I was there, his assistant interrupted and he had to leave. The next thing I knew, his assistant came in and said, &quot;the doctor wants an EKG&quot;. I had it done and left to sit and wait some more. When the doctor came back I asked if he could explain the EKG to me but he never got around to it. He never listened to my heart while there and I was given a 24 hr. holter monitor but never got the results. My BP was 172/109 but he didn't seem to care. I wouldn't recommend him. 	3	2	1	2	Insurance:Unknown
15	1	comments 	5	2	5	5	Insurance:Unknown
19	1	commentsDr. Gagner is a very nice doc. She is friendly, compassionate, helpful and very professional. I recommend her. We loved having her as our family pediatrician and we are sad that we have to go to another one because of insurance change. 	5	4	5	5	Insurance:Unknown
19	1	 I would recommend Dr. Gagner to any family with small children.  She is attentive, caring, and compassionate.  I especially appreciate her knowledge and wonderful bedside manner with both the child and the parents.  Dr. Gagner is a top notch medical professional and she would score the highest marks from our family.  	5	5	5	5	Insurance:United Healthcare
20	1	 Best local Doctor in his field.  Takes time to know his patients and remembers all about them. His knowledge of medicine and people is unsurpassed.  	5	5	5	5	Insurance:United Healthcare
20	1	.  Excellent knowledge base and great bedside manner, he is the best internist in the valley 	5	5	5	5	Insurance:Blue Cross / Blue Shield
20	1	.  Excellent physician, Staff is always very efficient their jobs (fast) 	5	5	5	5	Insurance:Blue Cross / Blue Shield
24	-1	commentsIn March of 2001 I went to Dr. Thomas Garrison for a liver enzyme test, because a few week prior I was sexually assaulted at WSU. He asked me who was going to pay for it, and that he didn't perform that test in his ER even though a doctor in the same ER told me to come in for the test. Needless to say he asked me who was going to pay for the blood test and I said victims assistance and he then said &quot; Young lady it costs tax payers $ 500 for you to walk through that door and you are a waste of taxpayers money&quot; I decided that if he didn't take rape seriously and the care after a trumatic event...I didn't want him to take my blood. He treated me horribly and then had the nerve to bill me for services never rendered, which my father had to call the hospital about. He made a situation what was horrible for me, worse. If you are a victim of rape.. he is not the ER doctor to see..ask for another doctor.He should be ashamed of himself and I am even more appalled that this man is head of the ER 	1	1	1	1	Insurance:Unknown
24	-1	commentsI am a RN and familiar with standards of care. Felt Dr was very forceful, incorrect and out of line in initiating a forceful assessment. The findings made no sense and were incorrect. Other ER staff were very rude. Many errors occured. A terrible and shocking experience. 		3	1	1	Insurance:Unknown
29	1	commentsI disagree with the negative ratings of Dr. Vikas Garg. My friend and I travel for more than 2 hours (from Pleasant Grove to Logan)just to see him. We feel that he's worth the trip because he's the best that we've found yet. We've done this trip multiple times for her neck pain. He and his staff have always been extremely helpful,knowledgable and caring. We keep returning becausee of these things, and because she receives considerable long-term relief from her pain every time. 	5	5	5	5	Insurance:Unknown
29	-1	 I am 23 and suffered from back pain for 5 years due to an accident. Dr. Garg is the only &quot;pain management&quot; doctor in Cache Valley. I had three epidural steroid injections all of them didn't help at all. After each failed painful injection he said he would change the medication and that should help but nothing ever helped. I asked him what else we could do and he said that he couldn't help me anymore. He told me at my age I shouldn't have any pain. He won't listen to you and doesn't have a good bedside manner. It is worth it to find another doctor and travel to Salt Lake. The only thing Dr. Garg does is these injections, not &quot;pain management&quot;. There are other doctors out there that will explore many other options out there for you for pain relief. It is worth it to look outside of the valley. Don't waste your time with him.  	1	1	1	1	Insurance:United HealthcarePaid/Co-pay:$2000
29	-1	commentsDR Garge practices as a Pain Management specialist. His main (and only approach I am aware of) is epidural steriod injections. I spent two hours in his office with only 12-15 minutes with him and instantly his conclusion was epidural steriod injections and anti-depressant. He did not seem to be listening to anything I said, beware he appears to have his mind made up before even speaking to you! 		1	1	1	Insurance:Unknown
30	1	comments 	5	5	5	5	Insurance:Unknown
40	-1	comments 	1	3	1	1	Insurance:Unknown
40	-1	 Appointment was over 30 min. late. Receptionist did not listen about billing BC/BC of Mass.so I received a bill 4 months latter for 20 minutes of his time and they still insisted they were right. Dr. couldn't even find the PSI report on the blood work. Offered not information about dealing with a hydrocele.  Was not impressed, not recommended! 	2	3	1	1	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$298
40	-1	commentsPaid an insane amount of money, just for him to brush me off and tell me that my erectile problems were probably psychological. He knows little to nothing about hormones other than testosterone. Paid/Co-pay:$1600	2	3	1	1	Insurance:Unknown
40	1	commentsI really like Dr Gange.  Often times he is really busy and seems in a hurry , however, he will slow down and talk to me when I have concerns.  I have been seeing him for approximately 8 years.  He has kept my IC undercontrol.  I have had 2 surgeries with him and have had no complications and will be having another surgery next month for something different.  He does know his stuff, and is aware that he does.  But as long as he keeps me going I am happy. 	5	5	5	5	Insurance:Unknown
40	-1	 This doctor did a prostatectomy on me nine years ago and I'm still suffering the consequences of his mistakes today. During the surgery he cut my colon in two places, on the size of a quarter. I ended up with a colostomy bag for a year. During the next three years I had nine procedures to correct his mistakes. Now after having a colonoscopy I find I have to have two more surgeries related to the placement of the colostomy bag. They had to use a pediatric scope to get through the restricted colon and are concerned about a blockage happening. Yes he rid me of cancer but he would not take any responsibility for the years of misery he caused due to his mistake. I would have to agree with the other comments, he is a very arrogant person who thinks he can do no wrong.  	1	2	1	1	Insurance:United Healthcare
40	-1	commentsDr. Gange seemed not to sure of himself and going more by what the referring doctor said.  He had me go through needless procedures, and got me worrying myself sick.  His staff was absolutely the rudest people I have ever had the mispleasure of dealing with. 	1	3	1	2	Insurance:Unknown
40	-1	 He did my husband's vasectomy.  We now have a third child.  Happy to have the child now, but at the time had not planned anymore kids (obviously).  Had to have it redone a 2nd time and stupid us went back to him to redo it.  It was so uncomfortable.  This man is so arrogant.  Said it was his first time ever having to redo one.  But, I know someone else who also has a child after he did his vasectomy.  	1	3	1	2	Insurance:United Healthcare
40	1	 I cant believe all the bad comments about him. Although he asked me a lot of questions in my appointment, he didn't inform me a whole lot of what would happen, but the surgery went great and he was great to check on my in the hospital. He was also very wonderful with my family and kept in contact with my nurses while i was in the hospital after my surgery. The surgery went perfect and im looking forward to my appointments in the future. The only thing i regret is that my appointments were so quick and it was my fault i didn't ask him everything that was on my mind.  GREAT DOCTOR!!!!!! 	5	5	4	4	Insurance:United Healthcare
40	-1	 Horrible experience. Tells me I have cancer and has me watch a video that is totally unrelated to my situation. Left his office wondering if life was worth living. Got a second opinion with a careing doctor who gave me hope. Had the surgery several years ago and am happy and healthy today.  	3	4	1	1	Insurance:AetnaPaid/Co-pay:$20
40	-1	 His eyes lite up when he found cancer.  His only &quot;second&quot; opinion reference was to his own office.  Glad I left!  Other patients of his office I talked to had bad surgery's.  	3	5	1	2	Insurance:United Healthcare
40	-1	commentsThis staff was probably the rudest I have ever encountered.  I was not impressed with Dr. Gange either.  I would never step foot in this place again. 	1	2	1	1	Insurance:Unknown
40	-1	 I feel he wouldn't listen to a thing I said. I made a real mistake having him do my surgery.  	3	3	1	1	Insurance:United Healthcare
