dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dr. Updike is busy and runs behind on all of her appts, but the time she does spend is the best quality time any Dr. has ever spent with me.  She educates the patient, but not in a condescending way.  She is very helpful and is attentive to even the smallest problems.  She has a great reputation with everyone who I talk to.  I would agree with them.  Her staff could be better with making appts. and answering their phones, but the Dr. herself is without fault.  I give her an outstanding recommendation to anyone especially with auto immune disorders.  	2	2	5	5 	Insurance:Molina
1	1	. Never on time 	2	1	3	5 	Insurance:Blue Cross / Blue Shield
2	-1	Average wait is about 1 hour and takes months to get in. 	5	1	1	1 	Insurance:Unknown
3	1	Dr. Udall is a very curtious doctor that takes time to answer questions and email. He seems very knowledgable. He is an older doctor with and I appreciate his experience. I do wish he would be a little less &quot;traditional&quot; and be willing to consider more wholistic medicine. But overall I would recommend him to others.  		4	4	4 	Insurance:Blue Cross / Blue Shield
4	1	Great doctor with good bedside manner.  Staff was very nice and helpful.   Would highly recommend them! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	-1	My prescription was way off.  After my doctor eye exam I got my glasses at a  different clinic because as I felt the staff was only interested in selling me frames. When I got the glasses I could not even read the top line of the eye chart with the new glasses. I had them checked by another doctor and the glasses were per the prescription but the prescription was wrong.  A friend had warned me that she had the same experience and couldn't use her glasses at all. I think they have too many lay people doing the examining and the wait in between each part of the exam was very long.  The appointment lasted over 11/2 hours and  most of the time I was sitting alone in a tiny room. 	2	1	2	1 	Insurance:Unknown
5	1	Outstanding MD. Great concern and compassion for his patients. 	4	4	5	5 	Insurance:Unknown
5	1	Well he has been my doctor for 20 years, and my family's for over 20 years. He's amazing because he listens and gives you time to express your concerns. Whenever I was sick or had a problem even if he was booked that day he would always fit me in. Plus if something was wrong it was immediately dealt with. Such as treatment or sending me to the hospital for tests. but I was always treated with respect and dignity. Also if he isn't completely sure of what you have he will send you to someone who can help you. Usually a specialist. He's a great man and I hope he keeps up the good work and remains successful. 	5	4	5	5 	Insurance:Unknown
5	-1	Doc dismissed my concerns and wanted to solve all my problems with pills. Preachy, lack of compassion. I feel he made un-fare assumptions about my sudden weight gain and my alcohol consumption. I will be moving on for a second opinion as well as an alternative doctor.  	3	1	1	1 	Insurance:CIGNA
5	1	Dr. Udall has been my Doc for 15 years. He and his staff are so helpful. He has never made me feel rushed, and always answered my questions in a caring manner.  Wait times seem to be up slightly since the move to the new clinic, but he managed to bring most of the great staff with him.  I would highly recommend him to anyone. 	5	4	5	5 	Insurance:Unknown
5	1	Dr King Udall is 1 in a million. With a bedside manner that shows his dedication when it comes to identifying and treating your condition. And unlike many other doctors he wont make you feel rushed or hurried. He is what a doctor should be.  :) 	4	5	5	5 	Insurance:Workers Comp
6	1	quality physician, spends time with you discussing treatment options and engaged me in the treatment.  I found him to be very compassionate. 	5	5	5	5 	Insurance:Unknown
