dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dito to all that has been said.  He takes the time he needs to really understand you  treats you like you are in his own personal practice, not just another student patient. 	5	5	5	5 	Insurance:Unknown
1	1	Amazing doctor. I have never been very impressed with doctors at the health center, but Dr. Willmore is an exception. I was very apprehensive about my first gynecology visit, but he put me at easy and was very kind. He answered all my questions, regarding several different topics including getting pregnant, some issues i'd been having with my stomach, and did a full physical. He was very kind and made the appointment as un-awkward as he possibly could. 	5	5	5	5 	Insurance:Unknown
1	1	He is the best in the BYU students Health Center. He will always answer all the questions and he is very nice 	5	5	5	5 	Insurance:Unknown
1	1	Because of this guy, no other doctor seems good enough. I cannot describe it how great Dr. Willmore is. He listented, cared, never left anything to guessing, always went the extra mile to make sure every doubt was removed. He is also very very kind and polite. He remembers his patients by name and their life stories. He asks about your family about your school, work. What an angel. 	5	5	5	5 	Insurance:Unknown
1	1	My husband and I LOVE Dr. Willmore.  Best Doctor I've ever had.  He is thorough in answering questions and makes you feel like the most important person.  He treated our infertility, and was very optimistic. I wish he could be my doctor through the pregnancy. 	 12/28/09	5	5	5	Insurance:Unknown
1	1	Dr. Willmore is wonderful. He takes the time to listen, and isn't afraid to say that he doesn't know the answer. Not only that, but for the questions he can't answer, he either looks up the necessary information or makes a direct referral to someone else who might know. He was very knowledgeable, and I appreciated his kindness and his sincerity. 	5	3	5	5 	Insurance:Unknown
1	1	My wife and I had a miscarriage and Dr Willmore went above and beyond to help us. He is kind and very wiling to stay as long as you need. I highly recommend him. 	5	5	5	5 	Insurance:Unknown
1	1	Dr. Keith Willmore is one of the kindest, compassionate and knowledgeable doctors ever. His patients love him because they know he loves them. He is especially good with children. 		5	5	5 	Insurance:Unknown
1	1	Dr. Willmore is a wonderful doctor. He has EXCELLENT bedside manner. He makes you feel very comfortable because he is very kind person. He always seems genuinely interested in helping you and is willing to spend as much time with you as necessary. He will answer as many questions as you'd like and never makes you feel like you need to hurry up. What really impressed me was that I had gone in for a routine check up for my IUD. While there he decided to do a physical with me just to make sure everything else was working. I was so impressed b/c he went above and beyond to check these extra things that I didn't even ask him to. It saved me an extra doctor's visit. I would highly recommend Dr. Willmore! 		5	5	5 	Insurance:Unknown
2	1	My family has gone to Dr. Wade for 16 years.He's a great Doctor. Sandra is great also. He is very personable and really cares about giving the right treatment. He is great to help with cost by giving samples. 	4	4	5	4 	Insurance:Unknown
2	1	Dr. Wade is not the best but Sandra Waite is!  I go to her all the time!  I think I will switch though because if I did have a health issue I wouldn't really trust doctor Wade to be my primary physician.  He does do free back adjustments though :) 	3	4	3	4 	Insurance:Unknown
2	1	Dr. Wade is pretty good, his staff are not up to Dr. Wades skill level. Not recommended due to staff.  	1	3	3	4 	Insurance:Blue Cross / Blue Shield
2	1	My wife my kid and I have been going to him for over the last 10 years!  He is always accomidating in so many different areas and in the areas he lacks expertise he will be quick to refer you to a specialist who can! 	5	5	5	5 	Insurance:Unknown
2	1	I have been seeing Dr. Wade and Sandra Waite, RN, for several years.  I find the staff in the office to be great.  Stacy, his receptionist, trys to accomodate you.  His phlembotimist (sp&#63;) is TOP NOTCH!  I have referred my husband and my friends to his office and they are all happy as well. 	5	4	5	5 	Insurance:Unknown
2	-1	I would not recommend him. 	1	2	1	2 	Insurance:Unknown
3	-1	I came in for a cleaning before our insurance was to expire. She pushed unnecessary treatment, including changing all fillings and grinding down molars to install $8000+ in caps. She was very insistent that the work had to be done soon because I was &quot;going to have problems&quot; and it needed to be done &quot;before the insurance runs out&quot;. New dentist has said that advice was not only unnecessary but detrimental to health of the teeth.  	4	3	2	1 	Insurance:Delta Dental
4	1	 	5	5	5	5 	Insurance:Unknown
5	1	Dr. Williams is the best primary care physician I have ever been to.  He listens, is very knowledgeable and compassionate.  	5	5	5	5 	Insurance:Medicare
5	1	One of the best internal medicine doctors out there.  Really listens to the issues and make sure I understood my options.  Every doctor should be like Dr. Williams. 	5	5	5	5 	Insurance:Unknown
6	1	The only problem I encountered with this office is the front lady. She was fake and when she thought I wasn't looking she rolled get eyes at me.  Her overall attitude just want pleasant! 	4	5	5	5 	Insurance:Aetna
6	1	. He's very friedly and has a good &quot;bed-side manner&quot; 	5	5	5	5 	Insurance:Aetna
7	1	Wonderful Dr. Shows genuine concern for her patients.  Would not go to anyone else! 	4	3	5	5 	Insurance:Blue Cross / Blue Shield
7	1	She is a very good doctor. She prescribes medicines to easily. And depends on you to decide if you need them any longer. She is going into a new program for 1500.00 a year plus you deductible and Insurance.  I don't think its worth it. 	4	2	4	4 	Insurance:Unknown
7	1	she is the most caring doctor i have ever seen. and she is very knollagable.  	5	5	5	5 	Insurance:Medicare
7	1	She was my mother's DR. She always called and talked with me through her time in hospice. She wrote the most touching sympathy note, when my Mom passed. I know now why my Mom loved being in her care.  	5	5	5	5 	Insurance:AARP
7	1	Great knowledge and very caring.   Wouldn't trust anyone else with our healthcare 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
7	1	My first appointment (after waiting months) went well.  My follow up was a nightmare - two times I went for my appointment and waited way over an hour the first time and then next time went first appointment of the morning - I actually saw her take a drug rep in to her office before me - I waited another hour and left. Great doctor, but impossible to see her on an efficient basis.  	3	1	4	4 	Insurance:Aetna
7	1	I really like her, but it takes forever to get in to see her, and the office staff is not very friendly. She is a very good doctor if your lucky enough to get in to see her, follow up appointments take months to get in to see her, and that's even if you an established patient. 		1	4	4 	Insurance:Unknown
7	1	Very positive experiences. I would recommend her to everyone. 		5	5	5 	Insurance:Unknown
8	1	Dr. Weibell is the best OB I have ever seen. I don't think any other doctor can be as good. He is so personable and wants to know his patients. I always felt comfortable with him and felt that I could ask him anything. When I was in labor, I was the only one of his patients at the hospital. He came in to check on me every 2 hours and made sure he was there if I needed anything. I ended up needing a c-section, but he let me try to deliver vaginally for as long as I wanted, until it was dangerous for my son. He was very joking and made the mood light during the c-section. He made me feel like I had control of what went on during labor, and it made things not so scary for me. I liked that he wasn't such a serious, stone cold doctor. I am really sad that he isn't at his practice anymore. 	4	3	5	5 	Insurance:Unknown
8	1	I loved Dr. W, he is so personal and friendly and I feel I could talk to him about anything about my pregnancy. He is very comfortable to be around and so helpful and understanding! I would refer everyone I knew pregnant or not pregnant to him! Great great doctor! Five stars! Sad to hear he is no longer there. 	3	2	5	5 	Insurance:Unknown
8	1	I have been going to this practice for all four of my pregnancies and am always impressed with how well they treat their patients. I agree with the previous post about the lack of punctuality, but the superior staff make up for it. I really get along well with Dr. Weibell's style and personality. He's accessible and I feel I can relate to him. He's friendly but also professional. He delivered my third child and I was very happy with the way everything turned out. I was quite sad to find out today that he is no longer with the practice, especially as I've been visiting him this entire fourth pregnancy. 	5	1	5	5 	Insurance:Unknown
8	1	I recently moved to North Salt Lake and am considering driving all the way to Provo because Dr Weibell was so great.  I saw the Nurse-midwife in his clinic at first, and even tried dr judd, but switched to weibell near the end. He is so kind and caring.  He never blows off any of my concerns or pain and always tries to help me understand what I'm going through.  I am so sad that he is far away now.  	5	5	5	5 	Insurance:Medicaid / Medi-Cal
8	1	Dr weibell has moved to provo, ut and i saw him for most of my pregnancy. He is an AMAZING doctor. I felt ver comfortable with him and felt like he genuinely cared about all my questions and concerns. He was super amazing with the delivery. I had some complications and I felt safe and comfortable. Everything went so well! The staff is friendly and kind. I wouldnt say its the most punctual office i have been to but the service and care I received definitely was worth the wait! I am definitely going back for my next baby! 	5	3	5	5 	Insurance:Unknown
9	1	he was so nice!  He fit me in even though i called in late.  My boy was hurting so bad and after he was fine.  Great doctor that cares about his patients 	5	5	5	5 	Insurance:Unknown
10	-1	Dr. Wilcox and is staff are all very unprofessional and rude. 	1	1	1	1 	Insurance:Unknown
10	1	Love, Love, Love Doctor Wilcox. He is very friendly, very informative and more than willing to take the time and explain anything you have a question about! I don't really love the nurses that work in the office, but Doctor Wilcox more than makes up for the nurses just being so-so.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
10	1	We love Dr. Wilcox, he has been our pediatrician for our family ever since our first was born over 5 years ago.  He always answers any questions you have very nicely, no matter how stupid you think the question is.  You never have a long wait at his office, and his nurse Sam is awesome and very helpful as well.  I have never once left there feeling like my time with him was rushed or that he was too busy to take care of any and all the needs you have, and always has a good answer to any question I have ever asked him.  He is also very patient with children and makes them feel special when they come to see him and talks directly to them. 	5	5	5	5 	Insurance:Unknown
10	1	I LOVE Dr. Wilcox. We started seeing him almost eight years ago when my 1st son was 3 mos. old. I now have 4 kids and he has been absolutely wonderful. He is always patient welcoming. My kids love him and love going to the doctor just to see him. We have had some crzy medical issues with a couple of our kids, and he has always been great. He is very knowledgable and really explains things so you can understand what's going on. He always has time to answer questions. I know his office is very busy, but they have great scheduling. I've never had to wait more than 15  mins. to get in and it's usually not even that long. 	5	5	5	5 	Insurance:Unknown
10	1	Favorite Dr. EVER!  Friendly, nice, caring, great with kids, patient...  everything you want in a dr.  He's popular so sometimes it's a little harder to get in on short notice but we've only had that problem one or two times.   LOVE HIM!!!! 	5	5	5	5 	Insurance:United Healthcare
10	1	Dr. Wilcox has been my pediatrician for almost 2 years, and I think he's wonderful!  He interacts well with my kids.  He answers my questions simply but without making me feel stupid.  He never seems rushed even though he is very busy.  I think he's great! 	5	5	5	5 	Insurance:Unknown
10	1	I love Dr. Wilcox! I was recommended to him from a friend while I was pregnant. I wrote him down as my ped. in the hospital, even though I hadn't met him. When he came in to meet me right after I had my son, he was so very nice. I had a ton of questions about the circumsision (sp) for my son and he was very informative and patient with me. Every time I go in for a well child visit he askes me lots of questions about my sons development and askes for my questions. When I do have any he answeres them without seeming rushed or impatient. He is very gental with my son when he does the physical check up, i.e. looking in his ears. I never have waited longer then 10 minutes for an appointment, even when I took my son in for a sick visit after hours. I highly recommend him for anyone who needs a great doctor for their child! 		5	5	5 	Insurance:Unknown
11	1	Dr. Watabe helped me in so many ways.  I was his patient for a few years.  He was always punctual, and is very smart!  I recommend him to friends and family. 	5	5	5	5 	Insurance:Unknown
12	1	Very nice and knowledgable.  She listens and is open to questions.  I felt like she really cared about my health and was I was comfortable with the interaction from my first appt.  I would reccomment her to anyone! 	5	5	5	5 	Insurance:Unknown
