dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
3	1	commentsDr. Barrett is always available and is very friendly and helpful. 	5	4	4	5	Insurance:Unknown
3	1	comments 	4	5	5	5	Insurance:Unknown
5	1	commentsDr. Baad is a very compassionate doctor and goes above and beyond for his patients.  He listens to me and responds appropriately with recommendations.  He's really funny too! 	4	4	5	5	Insurance:Unknown
5	1	commentsDr. Baad has an incredible besside manner, always listens to all my concerns and is quite up to date on health issues. 	4	4	5	4	Insurance:Unknown
16	1	 This doctor was the only doctor in 5 years to help me. I have severe back, leg, and neck pain. I also have severe back spasms. The shots he gave eased the pain enough to function. I still have pain, but I can get out of bed now. The people that complain about him are only looking for medications. I don't want meds; I want help, and he did help me.  	4	4	4	4	Insurance:Medicaid / Medi-CalPaid/Co-pay:$3
16	-1	commentsThis doctor is very rude and arrogant, I have been told by my family doctor that I have not been the only one as of lately to complain about Mr. Balaklaw's service, I had seen him twice both times waiting at least 3 hrs, for only him to patronize me and act as if nothing was wrong with me, He absolutely needs to be investigated for fraudulent surgeries and if hes indeed able to do the work himself, anyways I cannot say enough BAD about this man, hes not a Doctor, hes just another stereotypical eastern KY Doctor that has went to a foreign country and got his license within 6 months and moved back to the states to set up a practice, hes a JOKE DONT SEE HIM&lt; DONT WASTE YOUR TIME WHY SEE A DOCTOR FOR HEALTH ADVICE WHEN THEY ARE OVERWEIGHT AND IN POOR HEALTH CONDITION THEMSELVES&lt; THATS LIKE ASKING A 500LB DIETICIAN FOR ADVICE ON HOW TO LOSE WEIGHT&lt;WAKE UP PEOPLE! 	1	1	1	1	Insurance:Unknown
16	1	 This is a wonderful doctor! He is extremely helpful, polite and genuinely cares about his patients. I have a lot of bulging and herniated discs, and he referred me to a neurosurgeon to be evaluated. He does NOT perform surgeries, he does however gives shots in an affected area. I am on meds, and take drug tests as is deemed by his office. I do not abuse the meds he gives me, therefore I have nothing to fear with blood tests! If you are in need of a pain management physician, you cannot go wrong with Dr. Balaklaw.  	5	3	5	5	Insurance:Medicaid / Medi-Cal
16	0	commentsJust a comment**NO ONE would endure 4 surgeries to the spine JUST to obtain drugs! People who dont struggle with back pain dont understand what we have to go through. I'd give back all my pain meds, my disability checks just to have my life back again! 	3	3	3	3	Insurance:Unknown
16	1	commentsGood doctor...the people below just went to him to abuse drugs 	5	5	5	5	Insurance:Unknown
16	-1	 I think this man should be investagated.he saw me one time and i had to go to the emerency room one day because. of this pain.I have to live with this chronic pain the rest of my life. I`v had three neck operations and one back operation,with numerus nerve blocks. he told me that they was nothing he could do for me any more. I think this man should be investedgated by the medical board.  	5	5	1	1	Insurance:Medicare
