dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	KATHLEEN M BAILEY MD- Was a MD I unfortunately had an urgent appointment with. She was the worst MD I have seen throughout my 21 years of being a patient at kiaser.  My whole family are patients at kiaser and have been quick to share my thoughts with them as well.  I was disappointed in the visit with her. She was very unprofessional and not caring at all. These are two of the few things I felt wrong about the visit. Very few questions were asked about my problem.  I was just referred to another doctor which I am thankful for. I was to make sure that she does not treat others in a disrespectful way that I was treated in the patient room.  	1	1	1	2 	Insurance:Aetna
2	1	Dr. Barber always allow enough time to answer all your questions and address any concerns.  	4	4	5	5 	Insurance:Anthem
2	1	Compassionate, qualified - great physician for women with gynecological needs.  Holistic practice, will recommend alternative therapies in combination with, or as an alternative to,traditional western medicine.  Dr. Barber is a jewel.  	5	5	5	5 	Insurance:Anthem
2	1	Dr. Barber has been my doctor since I moved to Charlottesville in 2004.  She is knowledgeable, personable, and recommended a fabulous doctor (Dr. T) for my first pregnancy (she doesn't do ob duties anymore).  I wish she was my gp as I am most comfortable with her out of all my doctors. I would recommend her.  	5	5	5	5 	Insurance:Anthem
2	1	Dr. Barber is not only a wonderful physician but she is so kind and caring in her manner that it makes you feel very comfortable.  She takes time with her patient's to listen to their concerns and will go out of her way to help you in any way she can.  I would highly recommend her to anyone looking for a gynecologist.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
2	-1	Doesn't listen. Tried telling me that a problem I had was in my head. I went to DC to see Dr Andrew Goldstein where it was confirmed that I had a serious problem that required treatment. Will never return nor recommend her to anyone. 	1	1	1	1 	Insurance:Unknown
2	-1	My Mother went to this woman and the woman thought she had a protruding bladder and tried to fit her w/ a pesari.  She HURT my mother.   My mother went to another doctor - she has a PROLAPSED VAGINA - NOT A BLADDER PROBLEM! 	3	3	1	1 	Insurance:Medicare
2	1	I have moved several times in the past ten years and have had many gynecologists in that time. Dr. Virginia Barber is by far my favorite as she is personable, knowledgeable and thorough. A trip to the gyno is never on the top ten hit parade, but Dr. Barber makes it a pleasant, easy experience. She is concerned with the patient's entire well-being, not just with the reproductive organs but the health of the whole body and mind. I recommend her highly. 	5	5	5	5 	Insurance:Unknown
2	1	Dr. Virginia Barber is gifted. I saw her in 1994 for suspected endometriosis. I was 28 at the time and suffered incapacitating period pain every month. It was a nightmare. I met with her and she was sharp as a tack. She got me into surgery and confirmed I had the disease. I am 40 years old and been pain free every since her laparascopy. She changed my life. Affiliated with Martha Jefferson Hospital. She was a gift from God.  		5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Dr. Barber has gone above and beyond the call of duty in treating me. She is always emotionally available, kind and accessable. When I had an abnormal pap test, she looked at it with the pathologist to make sure it was ok. I look forward to my yearly appointments as a visit with an old friend. 		5	5	5 	Insurance:Unknown
3	1	. Great Doctor!! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	-1	she is not real good you tell her that you hurt and she wants to set you to take blood duh! i came in cause my foot hurts.way out of sink just wants your money..  	3	1	1	1 	Insurance:Anthem
4	1	Dr. Bakhshi is a one of a kind.She is very professional and great at what she does.In my 54 yrs. I have never had a doctor that was so caring and concern. I strongly recommend her. My husband would never go to a women Doctor. Lol... When he seen how professional she was....1 Visit now a 2yr patient. Keep up with the good work Dr. Bakhsi. Mrs. G Jones 	5	5	5	5 	Insurance:Anthem
4	-1	I agree with the previous patient.  Their office staff lacks knowledge and I am constantly billed for things the insurance should have taken care of. 	1	2	1	1 	Insurance:Unknown
4	1	Dr B is knowledgeable, intelligent &amp; effective. Front-desk staff are poor communicators &amp; billing is seldom correct. Patients are not told of new policies/changes. Filling a prescription is a long, arduous, painful process that can result in missing crucial meds (blood thinners) &amp; meds you cannot just stop - they seem uninformed or disorganized.  Dr. B is a good doc, but her staff needs to get it together.  	1	3	4	4 	Insurance:Aetna
5	-1	He could not determine what was wrong and would not give an insurance referral to another physician.  	3	2	2	1 	Insurance:Blue Cross / Blue Shield
6	1	Everyone was fantastic!  I highly recommend Dr.Barbash!!  I was very impressed from the start.  She is great.  As well as her staff, very professional.  	5	5	5	5 	Insurance:Tricare
6	1	Very professional and friendly office.  Doctor was very knowledgable about my eyes and gave me an extremely thorough exam.  Would greatly recommend this practice to anyone.  	5	5	5	5 	Insurance:Tricare
7	1	Dr Ball is a great doctor.  I have never met anyone like him with the concern and care he gives his patients.  I have been going to him 20 plus years and have always had the highest regard for Chuck Ball.  	4	4	5	5 	Insurance:Blue Cross / Blue Shield
7	1	great Doctor. He actually takes time to talk to you instead of rush in and rush out, which causes him to run behind. But a GREAT DOCTOR 	4	3	5	5 	Insurance:Unknown
7	1	In my opinion, Dr. Ball is well educated and informed. He has a fantastic  bedside manner and is and has always been willing to return telephone calls regardless of the hour or the day. He is an extremely busy doctor  but always takes his time to talk and answer questions that patients have. I have known Dr. Ball since the opening of his first office in Roanoke and and my children have grown up under his care. He has always been willing to hear their questions and talk with them. I would recommend him to anyone seeking a a careing and informed doctor that does not rush through the office visit. He does occasionaly run behind on time but if you want a doctor that takes his time and truly care about you then he is the one for you.  	5	4	5	5 	Insurance:Anthem
7	-1	Would not talk to other doctors, and did not resolve the problem. I have suffered for years for the mistakes this doctor has made. I did not get my questions answered, my percriptions fill in a timely manner.  	1	2	1	1 	Insurance:United Healthcare
8	-1	Possibly the worst fund of knowledge I've ever seen. Rude, stupid, and unacceptable abilities. Will never go to carillon er again. I feel like some of his comments were sexual too. 	3	1	1	1 	Insurance:Unknown
8	-1	This Doctor was extremely impatient and exhibited poor bedside manner. Appeared highly agitated  with the fact that he had to be working.Discounted my needs and concerns as a patient as if I didn't know what I was talking about. I understand that Dr.'s work long hours and are under stress however &quot;PEOPLE&quot; are not numbers and I felt like a cow in a cattle. Get em in get em out. To be exact. Did not even offer a referral after asking for one. I would not recommend this Dr.  to anyones pet! 	2	2	1	1 	Insurance:Aetna
