dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	0	I tried to secure an appointment to meet Dr. Fender as a prospective new patient.  The front desk person told me &quot;we don't do that&quot; and tried to schedule me for a 20 min patient visit which I would be charged for with a copay.  Front desk person told me if I didn't like it, I could call back during patient call-in hours to speak directly to the doctor. 	1	3	3	3 	Insurance:Unknown
1	1	Dr. Fender has been my primary care provider for seven years and has been properly aggressive in providing preventive care for my aging body. He has referred me to specialists when necessary and he has followed up on the results of those visits. His availability for 8am patient call-ins has been invaluable in avoiding unnecessary visits and scheduling necessary ones.  His manner is professional and business-like and he treats me as an adult.  In summary, he is exactly what I expect from my primary care physician.  	 7/21/09	4	4	5	Insurance:Blue Cross / Blue Shield
1	1	Very knowlegable,  Follows up with me on tests and exams.  Been seeing him for over 15 years.  Excellent doctor.  	4	3	4	5 	Insurance:Medicare
1	-1	This doctor fired ME after nearly 20 years, by form letter, without a call, after I complained because he had me come in for a fasting blood test, was not at the office,left no orders and staff refused a test. Does not listen; talks over you; very arrogant. It's obvious he hates his job and appears to hate his patients. 	1	2	1	1 	Insurance:Unknown
1	-1	Very poor service, he will literally tell you that others are waiting if you tell him you have more than one issue, he send me away and told me to make another appointment. While he was talking to me every time I visited him, I had the feeling that he was talking down to me every time. He didn really listen to the issue I was having and always seemed like he didn't want to be there. Horrible listening skills, wrong antibiotics, horrible experience, STAY AWAY FROM THIS DOCTOR!!!! 	1	1	1	1 	Insurance:Unknown
2	1	Dr. Figler is one of the best doctor's I have been to. His nurses and receptionists are supper. They will call your insurance multiple times to make sure you get the right coverage. They will fit your glasses for you multiple times, they are jolly, helpful and nice. The Dr. himself is VERY helpful. He takes time with you. He will explain your prescription and will talk to you at great length about what you need to know. He even comes out and instructs the receptionist about how to handle the insurance so that you have to pay less. If you were contacts, all of your fittings are free after you pay for the 1st one.  This is the best eye doctor I have ever had and I highly recommend him! 	5	4	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Great eye doctor!  Dr. Figler really is thorough and takes his time. He spotted a retina problem with my husband 7 years ago and we've been going to him ever since. He answers all questions and works with patients to make sure contacts and glasses fit and are comfortable.  He's very knowledgeable about our VSP insurance too and helps us to use the benefits wisely.  Everyone in our family wears contacts and glasses so we need a good, caring eye doctor-and Dr. Figler really is one! 	4	5	5	5 	Insurance:Unknown
2	1	Dr. Aaron Figler is the best doctor I've ever had.  He is very patient, meticulous, and caring.  He spent a good deal of time with me and answered all my questions.  I've always been worried about things I might be doing that could worsen my already poor eyesight.  Dr. Figler answered every question I had about this.  He also tells you why he's going to prescribe something or why he's going to check for something.  He is very open about the science that he practices and that is something I can certainly appreciate!!  I made the mistake (several years ago) of going to a different optometrist back when I was away at college.  The difference between these two is light and day.  Dr. Figler will spend a lot of time examining your eyes and making sure your eyes are healthy--the other optometrist had rushed me and had me out in 10 minutes.  Go to Dr. Figler if you're concerned about your ocular health.  Words can not explain how great an optometrist Dr.  Figler is! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Have been going to Dr. Figler for years. Some doctors just test your vision but Dr. Figler discusses eye health/issues and makes suggestions on how to prevent or help these possible problems. His staff, especially Ivy, are very accommodating and extremely pleasant to deal with. 	5	4	5	5 	Insurance:Unknown
2	1	I've been seeing Dr. Figler years now for my annual eye exams and to purchase classes. I've had no problems with he, his staff or any of my visits. He has Saturday appointments which is a plus!! I just moved to Southern Maryland from Northern Virginia and still plans to see him. 	 11/26/10	5	5	5	Insurance:Unknown
3	1	Great surgeon! Professional, knowledgeable, and great bedside manor. I would highly recommend his services. 	5	5	5	5 	Insurance:Unknown
3	1	Iam very satisfied.  I had a great experience 	4	4	5	5 	Insurance:Blue Cross / Blue Shield
3	-1	 	1	2	1	1 	Insurance:Unknown
4	1	Dr. Fiedler has been my doctor since 1976. He operated on me for ovarian cancer in 1979.  I am STILL here thanks to Dr. Fiedler!! Even after moving to Delaware I still return to him in Virginia for my annual check up.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	1	I've been a patient for over 20 years, one miscarriage, four live births. I wouldn't go to anyone else! 		4	5	5 	Insurance:Unknown
4	1	Ive been a patient of his for 17yrs and just had a tubal ligation done with no complications. 		5	5	5 	Insurance:Unknown
4	1	Very kind and patient - listens well. My minor surgery was fine.  		3	4	5 	Insurance:Aetna
4	-1	Left me bleeding internally after hysterectomy. Didn't find for three months.  		3	1	1 	Insurance:Anthem
5	-1	Went to her for 10 years, but when I had trouble conceiving after one year she was very unhelpful. Told me to &quot;stop crying&quot; and it would happen. Would not offer any additiOnal testing because I am only 27. Found out 6months later I had blocked tubes by an re, a test she could have easily done. She is a fine doctor unless you need something. And she is just plain rude. 	2	3	1	2 	Insurance:Unknown
5	-1	admin staff is rude and while Dr. Fernandez is a capaple doctor - I did not feel like she had any emotional involvement with me or my pregnancy.  Maybe a better doctor for older women who are not having children any longer. 	1	3	1	1 	Insurance:Unknown
5	-1	We felt like a number... she did not explain anything clearly... and was rushing to get us in and out of the clinic.  	3	1	1	2 	Insurance:CIGNA
6	0	Dr. Feldman and Cheryl are fantastic. I had to stop going because the wait is too long and their is just no reason for it. I agree that he spends a lot of time with patients but that means he should schedule less of them.  Numbers generally rule all business so if you dont mind waiting two hours, he is great 	5	1	3	3 	Insurance:Unknown
6	1	I've been seeing Dr. Feldman for many years.  He has always been very thorough, compassionate and attentive.  Admittedly, I do have to wait a long time, but, it's worth the wait because he spends a lot of time with his patients and with me.  I just schedule my appointments knowing this and take a book to read.  His office manager, Cheryl, is very caring and attentive as well.  	5	1	5	5 	Insurance:Anthem
6	1	Dr. Feldman is extremely thorough!  Tends to order more 'tests' than are necessary. The Doctor is never on time, because he spends so much time with each patient; therefore, he is consistently and constanty overbooked. Waiting over an hour+ is not uncommon. Furniture and cosmetics, in both the waiting room and patient room areas, are in desperate need of repair and updating. 	4	1	5	5 	Insurance:Unknown
6	1	Dr. Felman is a very good doctor, and I would like to continue to see him, but I really wish that the wait was not long.  I don't know if it is due to scheduling problems or what, but I've been there for 3 to 4 hours for an appointment, which includes waiting room time and waiting in exam room time.  However, he does spend a significant amount of time with the patients, and I like that.  	5	3	5	5 	Insurance:United Healthcare
6	1	I LIKE DR. FELDMAN, HOWEVER, I WORK AND SCHEDULE MY APPT'S. AROUND MY WORK SCHEDULE.  I HAVE NEVER BEEN TO HIS OFFICE WITHOUT WAITING A MINIMUM OF LESS THAN AN HOUR AFTER MY APPT. TIME BEFORE SEEING HIM.  IT DOES CONCERN ME THAT HIS WAITING AREA IS NEVER VERY CLEAN, AND HIS EXAMINING ROOMS ARE, TO SAY THE LEAST, QUITE DIRTY.  TRASH ALWAYS OVERFLOWING FROM WASTE BASKET (BANDAGES ETC.) WOODWORK LOOKS AS IF IT HAS NEVER BEEN CLEANED, FLOORS LITTERED WITH BANDAGES AND OTHER WASTE MATERIALS AND THE FLOORS NEVER LOOKED VACUUMED.  THE DUST IS VERY THICK IN EVERY AREA OF THE ROOMS.  SO IF YOU CAN OVERLOOK ALL THAT, HE IS GREAT.  	4	1	3	4 	Insurance:Blue Cross / Blue Shield
6	1	Dr Feldman saw my elderly father. Dad had dementia which made him hard to deal with, but Dr Feldma & staff were gr8 to him. The dr sees many elderly patients. Dr Feldman was extremely thorough, kind & patient as he tried to save Dad from the neglect and incompetence he had suffered from another. Dr Feldman went the extra mile for Dad & seemed to really care. His practice is busy & the Dr is usually very late. That's because he won't turn anyone away. Practicing medicine seems a genuine passion with him & one for which he is very gifted. He is community minded. His walls r strewn with accolades. I would have dearly loved taking Dad to many more appts, but sadly he passed away. But, not before or without the heroic, educated, compassionate & certainly competent efforts of Dr Feldman to save his life. Had Dad been seeing him sooner, I know he would still be alive. Dr Feldman exhibits a rare passion for medicine. If you want a GR8 Dr, see him.  If you want a fancy waitroom & lattes, don't 	5	2	5	5 	Insurance:Tricare
6	1	Dr. Feldman is a very caring and thorough doctor. He goes the extra mile for his patients. His kindness knows no limits.  		3	5	5 	Insurance:Blue Cross / Blue Shield
7	1	Great doctor. Takes time to listen to you! You can ask as many questions as you want and she will reply. She even comes to the reception desk to talk to further if you need that. One issue though, I was very sick last year and she couldnt diagonalize what was wrong with me. But, I went to 2 other docs and even they couldnt figure out. So I can really blame Dr. Farough for that. But otherwise, great dr., I highly recommend.  	5	4	5	4 	Insurance:Aetna
8	0	I have been taking my children to Farrell Pediatrics (also known as South riding Pediatrics)in South Riding for over two years now. South Riding is a community in desperate need of another Pediatricians office. The community has grown so large so fast that the quality of service at this location is no better than taking your child to an overcrowded overwhelmed emergency room. You are just another number/co-pay here. This practice has fallen apart before my very eyes and I have decided that I would rather take my children to my Family Practice Dr than to continue to subject my children to the sub-par treatment you will receive from this office. A couple of the Physicians are great (Dr Ben and Dr Lynn) but very overwhelmed and virtually impossible to get an appointment with. Take my advice and find a different place to take your children (if you truly care about the treatment they will receive). I for one prefer personalized care and do not want my children being just a number.  	1	1	2	3 	Insurance:Blue Cross / Blue Shield
8	-1	when you are trying to make an appt, they never have any spot open and they tell you to call back later...  :( 	1	1	1	1 	Insurance:Aetna
8	-1	I have been with Dr. Farrell in Reston since 1997.  Since then he became much bigger and opened another location. His practice now is very dissapointing and the staff is nothing but rude. Their customer service is the worst! It's too bad because Dr. Farrell was highly recommanded and I thought he was an excellent doctor. I'm sure he doesnt realize how far his practice has gone down hill.  On a sale from 1-10 its now a 1 comapred to the 10 he was in 1997! 	1	2	1	3 	Insurance:Blue Cross / Blue Shield
8	-1	Agree with all the other negative comments.  All the docs are really nice, unfortunately I wasn't looking for a new best friend.  They left my son's reflux untreated for 4 mos and b/c of it he now has a GI Ped, Ped Dietician and an Allergist.  He wasn't gaining wgt at all; they said it was &quot;just the way he was&quot; but no, it wasn't, it was b/c he was allergic to dairy!  Glad we switched!  And the triage nurse is awful.  	1	4	1	1 	Insurance:Blue Cross / Blue Shield
8	-1	This now a substandard practice, which is unfortunate because when Dr. Farrell's father ran it, it was great. It has now become nothing more than a business where you and your children are treated as customers as opposed to patients. The &quot;triage&quot; done by the nurse (not the doctor) is nothing short of a joke. And if you discuss the issues with the doctors they will simply refer you to the office manager. It felt like the doctors have no desire to take responsibility for THEIR practice, and in turn treatment and patients (or as they see you - customers) suffer. Whose practice is it - the doctor's or the office manager's&#63; The doctors seem unwilling to take any responsibility for what is going on, and I think that is why it is a revolving door for docs - anybody who is skilled and dedicated will be unlikely to stay. I used to love them, now I left, but they just don't seem to listen to the concerns of patients. I guess that is what they pay an office manager for.  	1	3	1	1 	Insurance:Aetna
8	0	Dr. Farrell is fine, but the office staff at South Riding Pediatrics is incompetent. My daughther had her scheduled appt to receive her 9-month old shots, and when we arrived they claimed the appt was cancelled...even though they had call 2-days prior to confirm the appt. I even explained how I had taken off work & taken her out of daycare to come to the appt, and all they said was &quot;sorry, some how your appt was deleted and we don't have any openings untill Nov. (was over 2months away).  Bottom line: the office staff sucks! 	1	1	2	3 	Insurance:Aetna
8	-1	I was extremely unhappy at South Riding Peds.  There, you are treated like a child by the staff having to be put through &quot;triage&quot; in order to have your child seen by a doctor.  The turn around in physicians is constant and you are a number, not a person.  They even charge if you call after hours to speak with the Dr, On Call. I am so happy I left that practice and am now with a pediatrician who will see my children when I, THEIR MOTHER feel it is necessary! Don't say I didn't warn you! 	1	1	1	1 	Insurance:Unknown
8	1	Dr. Farrell is an excellent doctor, as are all the doctors in his practice. He is knowledgeable about all of the latest medical information. He is patient and makes sure he answers all questions. I have found everyone at Farrell Pediatrics to be professional and skilled. When I once complained about getting the runaround on a prescription refill (file was at his other office), he responded personally and effectively, and the problem was solved.  The best! 		4	5	5 	Insurance:Blue Cross / Blue Shield
9	1	I LOVE MY DOCTOR . HE HELPS ME WITH ALL MY NEEDS AND IS VERY KNOWLEDGABLE 	5	4	5	5 	Insurance:Unknown
9	-1	Dr.fee sent me out with depression meds and after we had a argurment he dismiss me from his case file. I taped our conversation with him hollering at me being very rude and nasty to me.  	1	1	1	1 	Insurance:Anthem
10	1	 	5	5	5	5 	Insurance:Unknown
11	1	This is the worst office I have ever visited. The Dr is ok and she does know her stuff but her staff is horrible. They greet their pt with &quot;$25&quot; which is the co-pay. I was so surprised because I work at a Dr office and I would never treat a patient like that. Their phone system is also a big no go. All I wanted to do is schedule an appt and I had to leave a message every time. The DR does not seem to care about it neither because I mentioned it to her and compalianed and she said if i did not like it, its better for me to look for a new DR. My mouth droped. 	1	3	3	5 	Insurance:Unknown
12	1	She and staff are very friendly. Yes wait times are sometimes long, but I would wait all day to see her. I trust her and her ability to take care of me and my needs.  The wait is worth the service!! 	5	4	5	5 	Insurance:Blue Cross / Blue Shield
