dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	He has helped me  a lot to get on the right track to being healthy...A great doctor so far...very pleased...  	4	5	5	5 	Insurance:Humana
1	1	 	5	4	5	5 	Insurance:Unknown
2	1	I had a pleasant experience with Dr. I and his staff.  He did cataract surgury on both my eyes and I see like I am 20 again.  I recommend him to all my friends.  	 9/3/12	5	5	5	Insurance:Medicare
2	1	Doctor was easy to talk to and really explained my condition to me in a way that I understood 	5	5	5	5 	Insurance:Unknown
2	-1	When I made appointment to get my eyes checked he told me that I would need to come in for another appointment for testing that his assistant does.  That was a 5 minute test and I had to pay another copay for that visit!! All the doctor seems to care about is money not your eye health!! 	3	1	1	1 	Insurance:Anthem
3	1	Dr. Irwin is a wonderful doctor who realy cares about his patients. 	5	5	5	5 	Insurance:Unknown
3	1	Very knowedgeable, answered all questions, and gave references for other Doctor for treatment of particular affliction.  	5	5	5	5 	Insurance:Medicare
4	1	Dr Ipakchi is not only extremely knowledgeable, he is very patient and personable. He took the time to thoroughly examine my son and explain his condition to us. Other ENTs had suggested surgery and we were not convinced it was necessary. Dr Ipakchi took the conservative approach and with the help of medication, he has treated our son completely. We are so grateful to him and I have referred friends and family members who have been very happy also. 	5	5	5	5 	Insurance:Unknown
4	1	I have never had such a wonderful experience with a doctor. He was very courteous, knowledgeable, and took a great deal of time to listen to my issues. He explained everything in terms that were easy to understand.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	1	Elizabeth Intermill is fantastic. I have seen her at Vienna Family Medicine for the  past 4 years. I specifically request her. She has seen me for a range of issues - sickness (cold/flu), knee problems from soccer, wellness exam, and pap smear. Each time she has asked very detailed questions, listened very well, and given good advice. Highly recommend Elizabeth Intermill.  	4	4	5	5 	Insurance:Blue Cross / Blue Shield
5	1	Beth Intermill is a nurse practitioner and I have been seeing her for about six years.  I love her!  She takes her time, listens, is compassionate and thorough, and has helped me through a number of health problems.  I would highly recommend her. 	4	5	5	5 	Insurance:Unknown
5	1	I love Beth Intermill.  I have been going to her for about 5 years now and will not see anyone else!  I would definately reccomend her to anyone looking for a family doctor.  She is the best!! 	5	5	5	5 	Insurance:United Healthcare
5	1	Wonderful, helpful & caring. She has a fantastic bedside manner and is quite knowledgeable. I have brought her laundry lists of health concerns and she took her time to go through each and every problem of mine. 	4	4	5	5 	Insurance:Unknown
5	1	. Very friendly and thourough, asked lots of good questions 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	-1	This woman is an NP but sees patients as would an MD. Attentive on first visit, distracted on second visit. Did not make a diagnosis or recommend a treatment plan. Seemed to need to consult the physicians on staff rather than thinking for herself. Nice, but not helpful. 	2	4	2	2 	Insurance:Unknown
6	1	 	5	3	5	2 	Insurance:Unknown
7	-1	I went to her to ask about a very personal problem. I waited about an hour for my appointment and she spent maybe 5 to 10 minutes with me and told me since I was using birth control that I would have infections all the time, there would be stinging after sex and that I could not do anything about it! She doesn't seem very knowledgeable to me and I don't think that's how patients should be treated. 	3	1	1	1 	Insurance:Unknown
7	-1	Good knowledge but a VERY POOR behavior. She spends too little time. I am trying to get out of the hell.  	1	1	1	3 	Insurance:Blue Cross / Blue Shield
7	-1	last spring, i had paid a visit.. i had some pollen alergy, and suffered from severe cold.. When i visited the doctor, i was abt to explain my case but she responded immediately by writing some drug and said i was done.. voww, she took barely 15,20 seconds to talk to me. really unbelievable to see such a quick, fast acting doc.. the cold went away eventually after having the tablets, but i felt she could have been little more patient, a little more listening skills.. not so rude 		1	1	2 	Insurance:Unknown
8	0	She is impolite and does not like to have questions asked regarding your own health and body. 	4	3	2	3 	Insurance:Unknown
8	1	THIS MY INITIAL VISIT.THE STAFF WAS VERY FRIENDLY/HELPFUL. MY APPT WAS SCHEDULED FOR 245P AND WAS SEEN AT 320.DR IURONO WAS MOST PLEASANT AND UNDERSTANDING OF MY SITUATION. SHE EXPLAINED HOW HORMONES AND THYROID MEDS EFFECT EACH OTHER AND LABS DRAWN AT THE OFFICE WAS VERY CONVENIENT.  	4	1	5	5 	Insurance:Aetna
9	1	if you looking for doctor how care, if you looking for doctor how you will fill with him that he is really a human doctor, how does money for him is way to leave not a goal, is doctor Irfan Idrees in Purcellville Virginia.  He taker about me and my 2 daughter for years now never disappointed with him for me doctor is person practice some think not every body can, some one God use him to help what he create to survive to fill better.  if you looking for good doctor like the one you see in movies and you say i wish if i find one like this doctor in reality that will be him. i know and i belave if i say some think god will ask me in judgment day about my opinion but that what i really fill without no interest just to say the thrust.  	5	5	5	5 	Insurance:Anthem
9	-1	Very incompetent front office staff.  Getting prescriptions is a nightmare; they never fax paper work to specialists and you end up making new appointments.  	1	1	1	3 	Insurance:United Healthcare
10	1	. Takes time to listen, takes time to answer the phone 	5	5	5	5 	Insurance:Medicare
10	1	Wonerful and helpful! I have recommedned Dr.  Itskovich to my friends! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
11	1	Dr is just fantastic. I have been going to her for over 10 yrs now. She is curteous and good listner. She always helps me with my issues 	5	5	5	5 	Insurance:Unknown
11	1	As a patient with a chronic condition, she was very attentive to my needs and concerns. She is direct and very knowledgeable. Staff was pleasant to deal with and fortunately spoke Spanish. 	4	4	5	5 	Insurance:Unknown
11	1	there is a big turnover in staff at this practice. The Dr is always helpful and curteous.  I've been going there for over 5 years 	2	2	4	4 	Insurance:Aetna
11	1	I have been a patient of Dr Imam for many years and I won't change her. She migth not be &quot;all smiles&quot; but she is very good at what she does and for me that's the most important fact.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
11	1	I have been going to Dr. Imam for about 4 years now on a monthly basis, because my medication requires a visit to the doctor each time the medicine is prescribed.  Needless to say, I have been very pleased with Dr. Imam during my visits (otherwise I would not have returned).  She always takes the time to ask how I'm doing and make sure that my medication is still appropriate.  The main reason I return to Dr. Imam, is because she is very direct in her recommendations and that is what I expect from my doctor.  I would encourage those who have a lesser opinion to be more constructive with your criticisms.  	4	4	4	4 	Insurance:Blue Cross / Blue Shield
11	1	I arrived at the office for the first time and saw that the atmosphere of the office was professional and nice. The waiting period was extremely low and the staff was genuinely nice. I had a good experience with the doctor and she was very kind and patient. I will remain with this doctor for as long as possible. I think that many people take her professionalism in the wrong direction, a lot of people only rate doctors when they are disappointed, not when they have been treated well. Consequently, I disagree with some of the other reviews of this doctor.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
11	-1	I went to see dr.Imam about two years ago ONCE and that was enough to never come back there again. I was pretty much patronized by her staff M.A (nurse. That girl was rude even though pretended like she is smarter than God.I noticed some other nurse on duty but I guessed she was only there doing her internship. Both the doctor and the &quot;old&quot; nurse were treating here very unpleasant. I had to wait for over 40 minutes just to be prescribed a medicine after a very quick check.  HORRIBLE!!! 	1	1	1	1 	Insurance:Aetna
11	-1	Very unfriendly and ill mannered doctor who was more interested in making money than sincerely helping me. Refused to address all my concerns.  Instead, addressed one of my 3 ailments I had come to see her for and asked that I schedule a second appointment to have the second issue addressed. Mind you, these were minor issues that didn't require much assessment...minor issues I'd expect would be included within any general physical such as the one I had originally scheduled to see her for. After having my prescription in hand, i marched to the nearest pharmacy to get them filled only to find that she had called the pharmacy and asked that they slash my prescribed dosage by more than half, a move that was done to force me into scheduling a second appointment so i cna pay more for questions she could have clearly addressed during my first appointment and for prescriptions that only had to be prescribed once.  Rudest and most unprofessional doctor I have ever consulted and I don't recommend 	1	1	1	1 	Insurance:Blue Cross / Blue Shield
11	0	As mentioned in other post I waited about 30 minutes after my appointment before seeing the doctor. When I finally met the doctor whatever she prescribed was law. She did not like answering my questions about alternate medications. I have recently change doctors.  	3	2	2	3 	Insurance:Kaiser-Permanente
11	0	I have been going to that practice for about 10 years and only b/c I was pretty healthy and lazy to change... Agree - the wait is always a minimum of 30 minutes, doctor and staff are just OK... Looks like the office is not running smoothly and neither doctor nor staff cares about reputation of the practice. I had incidents when I showed up for my appointment on time and staff would lie to me that the doctor is in, when in fact she would not be in, but shows up 30 minutes after my arrival! Her recommendations were pretty general, she never does prescription over the phone or referrals unless you come back to her for yet another visit (even though need for referral was discussed just a week ago during the appointment). I will not go back to this practice again.  	2	1	3	3 	Insurance:Blue Cross / Blue Shield
11	0	I recently visited Dr. Imam for a medical condition. After waiting 30 minutes past my scheduled time, I was escorted into an exam room, only to wait another 10 minutes. Dr Imam did not introduce herself or extend any courtesies and seemed very uncaring. She did not provide any information about my condition and offered no solutions to alleviate my discomfort. The staff was friendly but seemingly dysfunctional and inappropriately dressed for an office environment. I will never go there again and I advise everyone to do the same. 	2	1	1	4 	Insurance:Unknown
12	1	Extremely knowledgeable and caring.  Will  take calls if necessary any time.  	5	5	5	5 	Insurance:CIGNA
12	1	 	5	5	5	5 	Insurance:Unknown
13	1	Great doctor, very friendly and patient. Provided excellent service and I will refer others to Dr. Isharani in the future as well.    PV 	5	5	5	5 	Insurance:Aetna
13	1	great doc, really helpful.  will use again 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
